"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",3553.1,0.1,0.4,1.8,0.2,3530.4,22,3810.2,2552.7,0.5,46.2,1.2,29.5,2,11.5,5.9,4.8,2.7,7.4,5.4,2,22,86.2,2.5,64.1,27.1,4.9,2,0.6,76.8,0.2,70,56.2,1.8,2.8,10.6,124.4,21.3,16.7,79.5,56.4,44.4,112.1,7.9,0,3228.9,2.2,0.9,474.7,357.3,0,25.9,294.4,0,18864.8
"DOM_A03",0.7,4.1,0,0,0,30.3,0,0,0,0,4.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0.4,0,0.1,0,18.7,0,0,0,0,0,0,0.1,0.1,0.1,1,0.9,0,0,54.9,0,0,0,1.9,0,0.8,66.6,0,188.3
"DOM_B05_06",9.4,0,0.8,1.8,0.1,0.5,0,0,1.7,29.1,0.2,0,0.1,6.8,37.8,0,0,0,0,0,0,2.6,77.4,0.1,1.9,0,0.2,0,0,0.9,0.1,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,12.2,0,0,0.3,1.1,0,0,6.2,0,191.9
"DOM_B07_08",4,0.6,1.1,5.9,0.2,2.6,0.1,0.3,4.8,1.5,4.6,0,0.5,39.3,713.6,2.5,0.1,1.4,1.8,1.8,0.1,1,1.8,6.2,88.4,0,24.6,0,0,62.3,0.5,0.8,0,0,0,0,9.3,1.2,1.7,3,0.1,0.5,3.2,0.4,0,7.1,0,0,2.4,31.6,0,0,474.8,0,1507.6
"DOM_B09",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.2,0,87
"DOM_C10T12",467,6.3,0,0,0,2211.7,26.8,0,40.7,0.1,83.5,4.3,2.2,0.3,0.1,0,0.2,0.7,0.1,0.8,0.1,2.6,3.1,0.8,0.3,68.6,2.3,22.9,4.5,12.2,0.1,1431,2.7,0,0.5,0.7,1.2,20.7,10,91.7,169.2,411.3,22.5,1.7,0,9598.7,0,11.6,0,235.3,0,95.5,986.8,0,16053.3
"DOM_C13T15",19.6,5.5,0.5,0.6,0,7,126.8,0.7,9.5,0.5,1.7,0.3,3.4,2.1,3.5,4.8,7.4,2.5,11,38.3,10.8,34.1,1.4,1.6,16.1,7.5,6.9,0.8,0.5,14.8,1.4,14.2,6.3,3.9,3.4,3,1.3,13.7,6.9,26.4,12.8,67.5,9.7,4.7,0,974,0,1,6.8,22.2,0,20.8,345.4,0,1885.7
"DOM_C16",64,5.4,2.2,3.6,0.2,17.9,5.3,249.5,377.5,1.3,9.4,0.6,10.4,19.4,41.9,31.7,8.8,16.2,46.1,26.8,69.2,320.1,202.8,1.8,1085.1,67.5,39.7,1.8,1.2,81.2,1.4,4.7,10.7,1.1,9.3,2.7,396.3,31.3,19.1,15.6,13.1,7.4,21.9,43.4,0,139.2,0.1,1.7,27,55.7,0,6.2,3464.8,0,7081.3
"DOM_C17_18",49.1,1.8,0.7,8.1,0.6,248.7,23.5,15.8,2855,4,67,48.2,89.3,36.7,63.1,50.4,323,34,120.9,69,31.6,33.4,28.7,41,110.8,246.8,135.4,4.9,2.6,179.6,113.4,39.6,1287.3,91.4,158.1,196.4,149.6,570.1,482.7,142.6,241.6,137.8,127.1,133.2,0,498.4,0.1,132,33.3,179.4,0,17.6,8961.7,0,18617.1
"DOM_C19",289,3.3,1.3,10.8,0.9,17.1,3.1,4.3,21.9,62.9,70,1.8,6.6,24.7,42.6,9.9,4.5,3.7,13.2,14,3.7,8.6,188.4,20.5,140.1,125.1,198.9,28,21.1,72.7,9,4.8,5.3,5.2,3.4,5.3,29.4,12,19.8,36.1,9.9,18.9,5.8,8.7,0,1012.7,0,2.3,8.7,20.1,0,20.9,530.1,0,3180.7
"DOM_C20",255.9,1.6,0.6,15.6,0.9,48.3,46.9,32.1,314.6,99.6,799.9,177,386.3,112.5,85.1,96,77.4,91.2,101.1,105.9,35.7,117.6,82.9,20.8,136,10.7,38.6,2.2,1.3,67.6,1.7,10.9,60.5,7.1,8.8,2,60.7,33.1,38.4,30,29.3,58.8,19.7,42.5,0,535.5,0,0,0,67.2,0,5.1,2060.5,0,6433.8
"DOM_C21",1.4,0,0.3,7,0.3,21.7,21,0,0.5,0,36.3,99.1,1.5,0.6,39.2,0,1.1,0.7,0,0.3,13.2,2.1,0,6,0.2,0.6,0.2,0.1,0.2,0.1,0,4.9,1.1,0,2,0.1,0,14,0.6,14.9,12.1,269.6,1.4,5.1,0,917.7,0,1241.4,0,78.1,0,11.2,2593.9,0,5422
"DOM_C22",10.3,0.4,0.7,5.6,0.4,85.4,11.1,7.2,24.5,4.8,52.3,4,119.4,11.8,9.7,23.6,148.5,71.6,141.7,297.8,23.3,60.7,3.8,9.9,92.1,107.1,26.7,0.4,0.8,17.7,0.6,17,6.6,4,22,8.5,49.8,39.4,15.1,47.4,10.2,39.2,5,11.2,0,211.5,0,17.1,19.2,28.2,0,1.1,1796,0,3722.4
"DOM_C23",23.7,0,0.8,15.2,1.5,22.1,13.8,18.6,6.9,13.8,31.7,3.2,6.6,106.6,36.7,25.3,16.6,15,39.9,66.7,11.7,32.8,7.4,4.5,988.7,13.8,10.4,0.5,1,19.7,0.2,40.9,2.9,1.1,7.6,2.8,156.1,6.5,3.1,16,8.5,20,6.2,4.7,0,197.6,0.1,3.2,38.7,20.2,0,0.6,654.4,0,2747
"DOM_C24",13.9,0,0.7,6.2,0.6,0,5.4,15.2,27.3,10.4,22.7,0.4,14.2,36.7,3000,1062.7,83.1,190.3,731.3,500.3,92.6,197.4,12.9,46.7,542.2,3.5,2.6,0.2,1.4,25,0.6,0.7,2.1,3.5,8.8,0.1,24.4,1.5,0.1,14.2,2.3,0.6,0.1,0.6,0,8.7,0,0,0,88.5,0,0,5750.7,0,12553.3
"DOM_C25",88.3,1.2,5.6,16,1.5,103.9,5.5,91.2,10.4,33.9,38.3,3.4,23.7,32.3,148.3,718,163.3,102.5,812.7,583.4,146.7,257.5,18.3,21.3,978.1,47,34.7,3.7,3.2,71.8,1.9,11.7,18.5,21.1,63.5,5.5,126.4,62.9,25.5,90.5,31,25.6,11.4,18.6,0,287.5,0.1,2.6,1292.3,74.1,0,1.1,2420.6,0,9158.3
"DOM_C26",20.3,0.4,1,2.1,0.2,22.8,3.5,4.3,14,3.4,20.4,3.9,12.8,4.7,17.8,19.3,783.1,58.2,134.5,117.1,28.4,15.9,16.2,6.4,239,35.3,17.8,1.8,1.9,43.4,8,8.3,22.1,82.8,49,23.6,15.6,138.5,43.5,161.4,42.2,136.8,23.6,12.6,0,759.5,0.9,30.2,2810.7,86,0,13.7,7416.4,0,13535.4
"DOM_C27",19.1,0.6,0.5,3.9,0.4,9.2,1.8,6.2,7.7,3.2,6.5,4.7,5.2,5.1,24.7,37.2,249.7,191.6,106.5,258.9,34.1,60.8,47,5,240.1,24.6,40.4,5.6,4.4,52.2,4.1,8.2,5.9,21.5,25.4,9.5,47.9,49.7,27.6,48.5,17.2,14.3,8.7,12.5,0,242.1,0.5,2.3,806.1,32.8,0,4.4,2124.1,0,4969.9
"DOM_C28",312.6,0.4,4.3,33.1,2.6,50,9.6,18.3,48.9,18,29.1,7.7,21.2,9.9,45.6,52.9,79.1,43.7,726.5,220.4,97.4,65.3,51.3,9.6,340.7,46.2,41,8.4,8.4,39.5,3.3,16,19.2,10.1,26.7,13.2,43.5,38,43.2,196.9,15.7,15,7.8,14.2,0,304.3,1.4,30.4,2321.4,62.2,0,3,9310.2,0,14937.7
"DOM_C29",35.2,0.6,1.8,2.8,0.2,58.6,10.7,5.7,22.9,8.2,16,6.2,15.4,6.1,30.8,28.9,41,15.7,151,2832.2,35.6,43.9,10.5,8.4,66.1,414.2,23.4,2.2,3.1,23.3,2.5,18.2,12.8,9.1,23.9,36.8,24.3,47,35.1,43.7,10.9,23,16.2,13.8,0,2371.8,0.7,26.7,1496.2,144.4,0,17.1,10796,0,19091.1
"DOM_C30",2.3,6.2,0,0.8,0.1,0.3,0.1,0.8,0.3,0.3,0.9,0.2,0.3,0.7,3.9,0.5,1.7,0.3,8.7,0.7,352.2,72.4,6.1,0.5,1.7,1,132.5,30.8,42.7,15.2,6.1,1,0.3,0,1.8,3.5,0.4,4.6,13.8,563.7,0.6,10.2,0.3,0.1,0,374.1,0,0,10.2,0,0,0,1886.7,0,3561.4
