"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",3227.5,12.8,0,0.8,0.1,15377.4,520,158.2,43.6,0,111.1,109.9,3738.4,4.6,0.4,0.1,0,0,0,0,0.4,18.7,5,0,26.5,0.2,0,0,28.5,0.1,0,1478.3,0,0,6.7,13.8,13.6,8.8,13.7,68,104.2,203.6,15,25.3,0,9466.3,4.8,40.4,50.3,26.5,0,94.4,2749.5,0,37767.6
"DOM_A03",143.1,168.8,0,0,0,1961.4,0,0,0,0,2,84.2,0,0.1,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0.8,0,540.9,0,0,0,0,0,0,0,2.3,13.5,27.8,0.6,0,0,1320.9,1.1,0.5,0,4.5,0,0,34.1,0,4308
"DOM_B05_06",0,0,109.1,0,2.3,3.5,0.7,0,7.1,5530.8,98.8,0,0,115.8,82.6,0,0,0,0.4,0.6,0,0.1,1986.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,532.9,0,8479.1
"DOM_B07_08",1.6,0.2,1.2,0.3,2,13.7,1,0,2.1,0,58.1,8,3.3,583.6,61.1,1.3,0.6,3.3,9.2,20.6,1.4,74.1,0.2,0.4,648.5,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,3.1,0,0,0,0.5,0,0,299.4,0,1799.5
"DOM_B09",8.7,1.3,223.2,26.7,21.6,5.8,0.2,0.4,2.8,160.4,18.2,0.2,1.7,20.8,9.2,5.1,0.1,0.1,0.9,0.1,0.1,0.3,74.2,1.2,46.5,0.7,4.8,0.4,0,0.2,0,0.3,0,0,0,0,0.8,0.2,0.1,1.2,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,45.9,0,684.9
"DOM_C10T12",2416,555.4,0,0,0.3,8742.1,190.2,5,59.2,5.5,257.8,70.7,14.4,31.6,0,0,0,1.9,0,0,0.2,81.3,9.8,0,0,145.4,13.4,1,170,0,0,5154.7,3.5,0,1,39.7,1.9,2.6,6.4,289,178,138,16.1,97.1,0,18026.3,18.5,5,0,16.4,0,100.4,15201.5,0,52067.7
"DOM_C13T15",21.6,10.7,0,0.4,1.1,22.1,5571,0.1,6.9,0.2,208.3,7.9,145.4,25.8,4,0.4,12.8,44.4,13.4,67.8,81.2,282.9,5.5,1.8,9.6,631.6,104.3,25.6,6.4,5.9,0.1,323.4,17.7,0.1,9.4,145.9,2.7,10.7,20.8,74.7,10.3,79.3,5.1,87.3,0,7562.3,9.8,7.1,97.8,43.9,0,1010.3,7634.5,0,24472.3
"DOM_C16",27.1,0.7,0,1.5,0.3,7.2,1.4,271.8,1.4,0.1,11.6,1.6,4.5,8.8,1,14.7,12.1,10.2,17.2,24.7,20.6,288,0.2,1,258.5,33.6,0.1,0,0,0.6,0,2.1,1.7,0,1.7,2.7,0.1,1.8,3.7,0,0,0.3,0,5.3,0,129.6,0.5,0,13.6,-0.5,0,8.3,998.4,0,2189.7
"DOM_C17_18",6.8,0.2,0.9,0.6,0.3,91.8,53.7,11.4,1031.5,1.2,45.4,27,15.1,31.2,9.4,9.3,34.7,19.4,11.8,60,7.3,49.2,6.2,2.1,7.9,122.7,19.3,1.8,2.2,0.4,2.7,18.1,154.6,5.2,140.2,222.8,1.7,211.4,143.7,283.6,264.4,22.5,8.7,21.3,0,616.4,1.2,24.1,0,3.7,0,105.9,1145.1,0,5077.6
"DOM_C19",853.2,544.6,809.2,141.1,15.3,408.2,227.5,39.1,61.3,1208.4,898.7,6.4,226.4,482,323.3,121.1,146.3,119.3,343,306.3,127.6,95.8,1272.8,51.8,423.8,555.6,5080.3,793.2,960.6,2.6,18.6,260.1,29.6,22.8,69.2,107.4,27.8,92.5,216.2,987.2,264,58.4,12.5,195.2,0,2246.5,0,0,0,21.5,0,348,4997.1,0,26619.2
"DOM_C20",1238.6,12.2,3.2,17.7,2.5,169,582.4,47.9,212.8,102.4,2409.9,138.4,1381.9,278.3,49.7,85.9,296.8,114.5,87.2,250.2,68.1,198.5,12.3,22.9,138.7,104.6,3.2,1,7.2,0.8,0.3,62.2,54.1,0.6,4.5,27.4,1,13.5,12.9,18,25.5,101.8,0.4,264.2,0,723.8,1.2,3.6,0,5.7,0,0.4,9490.4,0,18850.3
