"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",68.7,2.8,0,1.1,0,1069.6,39.8,4,1.5,0.5,0.8,0.4,0.7,0.1,0,0.1,0.2,0.2,0.3,19,4.4,15.9,0,0,0.7,13.4,0.8,0.1,0.1,0.4,0,40.7,1,0,0.8,0,1.2,2.5,1.8,20.9,0.4,0.8,1.3,1.8,0,958.4,0.1,0,10,10.9,0,18.5,72.3,0,2388.8
"DOM_A03",12,23.2,0,0.2,0,96.7,6.8,0.4,0.5,0.1,0.2,0.1,0.1,0,0,0,0,0,0,0,0,1.2,0,0,0.1,0.3,0.3,0.1,0.1,0.1,0,24,1.3,0,0.2,0,0.4,0.8,0.6,6.3,0.1,0.3,0.6,1.1,0,161.3,0,0,0,1.8,0,1.6,21.4,0,364.4
"DOM_B05_06",17.6,2.3,116.6,5.5,0.2,21.2,9.9,1.5,3.3,41.8,0.7,0,0.3,14.2,13.3,3.2,3.8,6.3,10,1,0.5,1.2,142.6,0.8,8.2,6.8,61.1,8.8,15.1,21.6,1.3,14.4,1.4,4.7,1.9,0.8,3,5.5,4.4,7.5,0.1,0.2,0.1,0.7,0,172.9,0,0,18.7,3.4,0,0,480.9,0,1261.4
"DOM_B07_08",0,0,0.7,0.3,0.4,5,1.2,0.2,0.7,27.1,46.3,3.9,16.5,2.1,0.2,0.1,7.9,16.7,16.2,0.3,0.1,0,0,0,43.9,0.1,0,0,0,0,0,3.6,0,0,0.1,0,0.2,0.2,0.1,0,0,0,0,0,0,2,0,0,0,1.3,0,0,40.9,0,238.1
"DOM_B09",0.7,2.4,74.1,5.8,3.5,0.3,0.1,0,0.3,6.5,0.2,0,0,1.7,0.1,0,0,0,0,0,0,0,2,0.1,3,0,0.3,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,103.6
"DOM_C10T12",212.7,19.9,0.4,0.3,0.1,550.6,24.2,0.4,0.8,3.9,4.6,2.2,0.9,0.6,0.3,0.4,0.1,0.1,0.2,0.3,0.1,0.3,0.1,3,0.6,50.6,3,1.4,2.7,1.9,0.3,261.2,0.2,0.3,1.5,2.1,2.4,5,3.4,28.7,0.4,1,0.8,1.4,0,2024.8,0.4,0,0,19.6,0,85.5,267.2,0,3592.7
"DOM_C13T15",0.4,0.1,5,0.6,0,1.8,1189.1,2.4,5.2,0.3,0.4,0.2,0.8,0.1,0.1,0.1,0.3,0.3,0.3,0.1,0,2.8,0.3,1.3,0,1.2,0.4,0.1,0.2,0.2,0,0.4,0.1,0,0.2,0,0.4,0.8,0.7,3.5,0,0.1,0.2,0.2,0,563.8,0.1,0,0,12,0,41.4,2069.6,0,3907.7
"DOM_C16",1.1,0.1,0.6,1.9,0.1,16.4,14.5,44,6,0.4,0.5,0.1,0.5,2.1,0.7,1.9,1.5,2.8,3.1,0.5,0.2,15.8,0.8,0.2,62,6.2,0.6,0.1,0.1,0.3,0,1.2,0.4,0,0.5,0.5,1.6,1.2,0.9,2.4,0,0,0.2,0.3,0,73.3,0,0,11.4,1.1,0,2.8,32.9,0,315.9
"DOM_C17_18",0.6,0.1,0.4,1.4,0.1,41.4,38.2,3.4,50.9,0.5,1.1,0.8,0.9,2.3,0.4,1.4,2.8,3.5,3.2,0.7,0.2,2.9,0.8,0.2,3.7,15.2,1.3,0.2,0.4,0.8,0.1,3,21.7,0.1,1.4,3.1,1.6,7.1,2.4,7.3,0.2,0.1,0.4,0.4,0,135.7,0,0,13.1,1,0,7.1,91.8,0,477.5
"DOM_C19",17.7,3.2,6.1,2.1,1.8,25.9,15.7,12.1,15,73.5,29.4,2.8,6.8,6.5,4.2,2,2.2,4.5,5.5,6.8,1.8,12.7,4.1,1.4,10.8,1.7,6.7,1.1,2.9,0.7,0.4,3.9,0.7,0.4,1.4,1.6,3.3,4.2,5.5,21.1,0.2,0.3,0.5,0.5,0,149.8,0,0,0.4,5.2,0,15.5,50.2,0,552.7
"DOM_C20",3.3,0.1,1.2,0.4,0.7,11.6,12.7,6.9,17,12,66.6,13.1,24.8,2.4,1.2,1.9,2.5,4.7,3,7.4,1.4,12.2,0.3,1.2,2.4,0.2,0.2,0,0.1,0.1,0,1,1.2,0,0.5,0.2,2.1,2.7,1.6,1.7,0,0.1,0.1,0.2,0,37.8,0,0,0.4,2.6,0,3.2,370.1,0,637.1
"DOM_C21",1,0.1,0,0.1,0,5.7,1.8,0.7,1.2,5.4,7.4,61.2,1.5,0.1,0.1,0.1,0.4,0.3,0.5,2.1,0.4,6.2,0.1,0.8,0.3,0.1,0,0,0,0,0,0.3,0.3,0,0.3,0.1,0.5,2.4,0.6,2,0,0.3,0,0.1,0,78.6,0.1,98,0.4,1.8,0,6.5,3.8,0,293.7
"DOM_C22",3.1,0.4,1.8,0.3,0.6,34.4,27.8,8.5,16.9,8,12.5,6.6,38.1,3.4,0.9,4.6,8.2,12.9,12.2,8.1,0.8,10.4,0.3,0.5,8.4,0.9,1.5,0,0.1,0.3,0.1,1.5,2.9,0.1,0.5,0.4,1.8,2.4,1.7,4,0.1,0.2,0.1,0.3,0,43.7,0,0,1.1,2.3,0,0,44.1,0,339.5
"DOM_C23",0.1,0,0.2,0.1,1,1.2,0.7,0.4,0.2,0.5,0.4,0.3,0.3,66.9,7.5,6,0.6,0.8,0.7,6.5,0.9,1.3,0.6,0.6,275.5,0,0.3,0,0.1,0.1,0,4,0.2,0,0.1,0.1,0.5,0.4,0.2,3.5,0.1,0.1,0.1,0.2,0,29.3,0,0,0,2.7,0,0.1,28.7,0,444.5
"DOM_C24",0,0,0.4,0.1,0.8,0.7,0.5,0.3,0.6,0.2,0.3,0,0.2,4.3,25.9,50.4,0.8,3.1,3,44.8,6.8,8.1,0.9,1.2,93.8,0,0.2,0.1,0.1,0.1,0,0.7,0,0,0.2,0,0.8,1,0.3,0.4,0,0,0,0.1,0,1.1,0,0,19.9,2.2,0,0,9.6,0,283.8
"DOM_C25",0,0,1,0.2,1.9,3.1,3.8,1.8,1,0.8,0.7,0.2,0.7,10,12.4,65,1.5,2.8,5.3,40,9,12.4,2.6,1.4,207.7,0.1,1.1,0.2,0.2,0.5,0,5.7,0.2,0.1,1.4,0.2,3.8,3.8,3,3.1,0,0,0.1,0.1,0,27.1,0,0,93.9,4.7,0,0,19.8,0,554.5
