"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",6071.9,1,20.9,10.4,0.1,15068.6,2251,472.2,214.3,50.8,115.1,44,52.7,9.9,2.8,5,0.5,1.8,5.7,17.8,3.4,114.6,1.8,1.7,18.8,157.9,26.5,13.7,3.9,3.4,1.1,2144.6,1.3,0.9,3.3,5.8,26.2,45.6,99.4,289.2,50.3,120.2,3,41.9,0,19690.2,0,46.1,361,0.5,0,152.7,3357.7,0,51203.3
"DOM_A03",2.7,9.7,0,0,0,82.9,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.3,4.4,0.1,0.2,0.1,0.1,0,253.9,0,0,0,0,0,0.2,0.4,6,1.9,4.7,0.1,0.1,0,603.9,0,0,0,-0.1,0,12.9,58.3,0,1043.4
"DOM_B05_06",3.3,0,7.8,1.9,0.4,17.5,3,5.7,2.4,502.6,2.7,0.1,3.3,92.2,112,0.5,0.1,0.4,0.9,0.8,0.1,0.9,779.8,0.9,5.3,153,3,0,0,0.1,0.3,19,0.1,2.9,0.2,9.2,47.5,0.9,1.6,8.4,28.5,5.1,0.3,23.9,0,454.3,0,0.1,13,-43.7,0,0,410.5,0,2682.8
"DOM_B07_08",9,0,4.4,106.5,1.4,18.8,14.8,1.6,21.4,87.9,316.3,0.4,9.4,891.7,634.2,39,1.2,10,6.6,8.3,0.4,10.7,5.8,2.1,363.4,14.4,4.8,0.1,0.2,0.2,0,1.9,0.5,0.2,0.2,0.7,5.7,5.2,3.8,3.4,4.1,5,0.1,1,0,188.9,0,1,58,-5.7,0,0.4,484.5,0,3344.2
"DOM_B09",2.1,0.4,13.6,19.6,3.9,0.3,0.1,0,1.5,91.9,3.2,0,0.4,10.2,4.1,0.4,0,0,0.1,0,0,0,47.5,1.9,41.2,0.3,4.9,0.1,0,1,0,0.1,0,0,0,0,2.5,0.1,0.1,0.3,0.1,0.2,0,0.1,0,0,0,0,0,0,0,0,5.2,0,257.6
"DOM_C10T12",1040.2,13.9,0.5,11.8,0.3,4758.2,298.5,3.1,49.7,7,108.3,5.2,6.4,7.9,1.7,6.3,0.2,3.6,11.1,1.9,0.8,20.1,3.9,5.5,17.5,227.7,19.6,26.2,12.6,7.6,3.5,3819.1,8.8,2.6,5.6,12.3,3,80.6,193.8,219.8,67.5,182.7,9.3,25.5,0,25740.5,0,219.4,0.6,1,0,622.8,3511.3,0,41407.2
"DOM_C13T15",40.8,1.1,13.1,19.8,1.1,82.6,9646.3,32.3,149.2,20.8,59.9,8.5,119.2,56.5,105.2,50.7,18.5,33.6,45.2,125.9,21.7,660.8,33.4,18.2,118.3,218.7,148.2,4.8,96.2,12.4,10.6,77.2,17.9,2.4,3.1,8.9,43.6,118.1,247.2,149.8,89.4,82.7,8.1,110.5,0,13879.9,0,187.9,518.1,-3.2,0,498,12255.4,0,40268.5
"DOM_C16",18.1,0.1,1.6,2.2,0.6,11.5,13.6,488.1,45.3,3.6,7.8,0.6,18.7,34,112.8,35.8,3.1,24.8,18.5,9.5,11.6,572.8,6,7.8,790.3,32.7,70.5,0.1,0.4,0.6,0.1,6.8,1.4,0.3,11.2,3,13.2,24.4,25.3,13.8,21.5,11.8,0.4,30.5,0,356.4,0,0.6,44.8,-0.9,0,26.3,229.6,0,3163.9
"DOM_C17_18",16.9,0.6,1.4,8,0.4,220.7,105.5,44,1274,12.2,121.8,7.1,107.6,230.6,35.5,81.3,7.9,58.9,71.7,24.4,3.1,66.8,20.4,98.1,77.3,503,103.6,0.7,3.5,34.1,18.8,74.7,330.1,29.2,40.6,198.3,12.3,678.2,613.2,127.9,228.8,95,29.4,69.2,0,1005.2,0,2.1,34,-1,0,63.8,480.9,0,7471.6
"DOM_C19",411.6,5.7,36.7,163.4,5.1,76.2,132.2,17.7,46.6,1254,120.2,1.7,82,300.8,103.9,79.2,1.5,33.1,28.8,89.3,4.5,41.7,124.2,35.1,648.7,548.8,1739.4,84.5,470.7,66.8,20.8,71.4,6.1,4.5,7,122.4,264.9,46,104.4,129,141.2,41.7,1.7,50.2,0,2149.5,0,0.9,202.9,-0.5,0,172.6,1596.6,0,11887.4
