"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",1618.5,28.3,0,0.1,0,4608.9,160.4,13.3,2.4,0.6,7.1,14,15.9,0.9,0.8,0.5,3.7,0.6,1,0.2,0.2,2.2,0.5,0.3,70.2,63.1,0.4,0.4,0.1,0.5,0.3,652.7,1.1,0.1,0.2,1,10.8,1.4,10.4,42.5,7.9,1,9.1,5.2,0,8292.7,0.8,0.8,55.1,18.5,0,60.4,333.2,0,16119.9
"DOM_A03",4.2,115.6,0,0,0,114,0,0.1,0,0.1,0.6,0.7,0,0.1,0.1,0,0.1,0,0,0,0,6.6,0,0,0.1,2.2,0,0,0,0,0,123.2,0,0,0,0,0.1,0.2,0.1,3.8,0,0,0.8,0.1,0,1802,0.2,0.1,0.1,0.7,0,4.4,745.2,0,2925.8
"DOM_B05_06",0,0,0.9,1,0.5,0.2,0.7,0,0.5,299.2,8.8,0,0.2,17.4,45.8,0,0.3,0.3,0,0,0,0.1,137.3,0.1,6.7,0.1,0.1,0,0,0,0,0.5,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,1,0,0,1.2,0.3,0,0,104.3,0,628
"DOM_B07_08",0,0,0.1,1.3,0.3,1.2,4.2,0,4.2,50.4,139.5,0.1,1.2,355,212.4,0.2,2.6,1.3,0.2,0,0.1,0.2,99.6,0.6,217.4,0.1,0.3,0,0,0,0,0.8,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2.2,0,0,0.9,1,0,0,238.7,0,1336.2
"DOM_B09",0,0,5.6,1.8,2.5,0.9,0,0,5.9,87.5,18.1,0.1,1.4,123.3,24.6,0.2,0.5,0.6,0.3,0,0.1,0.2,264.5,0.4,88.7,0.2,0.1,0,0,0,0,0.5,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,8.6,0,637.2
"DOM_C10T12",1399.7,170.1,0.3,0.5,0.3,2796.5,103.9,4,33,6.4,50.1,30.8,21.3,6.7,23.3,12.8,59.3,9,13.2,2.9,4.7,51.3,8.2,1.2,21.8,211.1,3.1,2.1,4.8,2.3,0.5,2143.7,6.5,1.9,2.1,8.8,27.8,10.4,2.9,80,25.2,30.7,133.2,18.5,0,15724.7,2.4,15.4,128.1,26.9,0,214.1,2048.8,0,25707.3
"DOM_C13T15",15.1,54,0.6,1,0.5,25.1,4572.3,1.6,79.2,7.1,314.8,19.3,242.6,36.7,24.1,45.1,266.3,21,28.7,33.7,16.5,153.5,5.4,4.1,44,107.7,4.1,2.5,3.5,3.1,1.6,126.7,9.7,2.5,3.7,7.4,4.9,45.9,3.1,24.7,11,18.6,5.9,32.4,0,3689.1,0.8,21.9,323.5,27.2,0,158.1,8193.4,0,18845.3
"DOM_C16",8.9,3.5,1.3,2.8,1.4,1.7,3.5,258.9,50.3,0.4,3.6,0.1,3.4,6.7,4.2,24.5,16.2,6.1,13.2,4.4,13.5,67.3,3,0.3,681.5,38.1,0.3,0.2,0.1,1,0.1,21.7,3.1,0.2,0.5,0.4,0.5,13.4,3.1,3.5,5.4,0.6,1.5,2.7,0,51.8,0.1,0.6,5.9,1.6,0,7.9,102.8,0,1447.9
"DOM_C17_18",12.9,5.8,0.5,0.2,0.1,280.3,100.6,22.2,2245.9,8.6,243.3,36.8,181.7,80,45,103.2,420.1,55.2,51.5,23.7,10.2,64.2,16.3,4.1,80.1,738.3,9.4,0.7,10,11,16.1,321.5,746.4,67.6,27.1,363,46.9,708.7,162.6,383.8,190.7,94.9,46.3,226.3,0,667.1,0.5,3,31.2,10.5,0,37.7,1374.7,0,10388.5
"DOM_C19",117.7,333.1,47.9,229.5,77.9,138.6,137.2,15.4,95.7,3501.9,5524.4,10.5,173.5,290.8,1317.6,295.3,508.3,77.7,144.7,42.4,30.9,39,1682,57.3,434.7,1016.6,1412.3,255.3,1559.8,122.7,24.3,106.8,28.7,28.7,8.1,34.1,50.5,62.1,100.5,183.2,55.7,117.5,16.3,63.5,0,3920.5,0.2,7.6,111.8,3,0,147.9,8030.7,0,32792.2
