"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",5858.6,1.8,5.7,0.8,0.3,3195.5,13.1,91.7,88.2,0.7,63.7,4.3,0.2,1.6,1.7,0.6,0,0.1,0.4,0.1,1.3,11,4,0.5,9.7,670.2,22.2,16.6,6.4,16.5,0.2,37.1,0.1,22.6,3.9,0.7,10.9,1.3,12.8,87.3,128.2,28.1,2.1,0.5,0,7330.5,0,126.3,101,138,0,10.2,7298.4,0,25428.2
"DOM_A03",62,18.1,0,0,0,4.8,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,57.4,0,0,0,4.8,0,0.2,0.1,0,150.1
"DOM_B05_06",54.9,0,56.9,28.5,14.2,127.8,2.3,8.7,19.5,681.1,352.1,2.6,1.7,84.3,523.2,4.1,1.2,4,10.6,1.3,5.3,3,1168.9,1.5,4.6,95.9,182.9,40,32.5,58.9,1.8,3,0.3,1.3,1.4,0.7,22.5,6,4.7,23.4,52.7,14.6,5.8,2.2,0,318.4,0,0,0,23,0,0,73,0,4127.1
"DOM_B07_08",2.1,0,6.4,42.3,7.4,9.2,0.2,0,0.1,0.2,26.5,0.3,0.3,109.1,852.9,0.8,0,0.6,0.5,0,0.1,0.8,0.8,0.5,89.2,10.4,9.8,1.2,1.6,5.7,2.2,3.1,0.3,0.1,0.2,0.5,0.4,3.8,2.3,0,0.1,0,0.1,0.2,0,27.9,0,0,0,18,0,0,1934.3,0,3172.5
"DOM_B09",6.7,0,33.3,147.6,96,16.9,0.1,0.2,0.3,0.6,7.6,0.6,0.6,70.6,103.1,1.6,0,0.4,1.2,0.1,0.1,0.8,2.8,1.1,79,24,30.6,4,5.8,15.2,0,7.6,0,0,0.3,0.2,1,8,4.3,0,0.2,0.2,0.1,0.5,0,0,0,0,0,0,0,0,546.6,0,1219.9
"DOM_C10T12",152.3,0.1,1.8,2.3,0.6,3372.8,0.4,0.5,1.1,0.4,8.4,3.4,0.2,0.5,0.9,0.4,0.1,0.3,0.9,0.4,1,0.6,2.6,0.3,7.3,268,9.2,6.7,6.5,6.2,0.2,146.1,0.8,0.4,21,0.4,5.3,13.6,4.2,76.7,113.5,31.6,2.3,1.8,0,10759.1,21.8,29.5,0,146,0,21.2,3352.3,0,18603.5
"DOM_C13T15",2.2,0,1,1.1,0.4,5.4,75.1,0.4,1.2,0.7,1.4,0.8,0.8,1,2.5,0.5,0.1,0.3,0.7,0.5,1.2,14.3,1.6,0.3,2.1,27.4,2.1,0.8,0.8,1.4,0.3,1.3,0.1,0.2,0.5,0,1.5,1.3,1.8,10.9,1.6,0.6,3.6,1.7,0,653,11.1,15.2,0,7.2,0,6,105.1,0,970.9
"DOM_C16",19.7,0,5.8,0.6,0.2,108.5,1,278.1,34.6,0.3,10.2,4.3,7.9,13.6,2,4.8,0.4,1.7,2,0.7,0.7,29.2,2,2.7,22.4,48.5,2.2,0.8,0.4,2.9,0.1,2.7,5.3,0.6,10.6,1.1,3.9,4.9,1.4,33.2,8.5,1.2,1.2,2.7,0,66.5,0,0,0,5.2,0,1.1,679.1,0,1437.7
"DOM_C17_18",17,0,6.4,0.6,0.2,293.2,2.3,17.5,236.1,0.6,20.5,25,10.7,13,2.7,3.3,0.9,2.8,1.9,0.6,0.6,11.3,2.3,5.7,1.4,148.4,6,1.2,1.7,5.9,0.9,7.8,50.9,3.9,96.6,11.6,4.5,31.7,5.4,124.6,34.5,6.7,5.8,4.5,0,167.4,0,4.3,0,11.3,0,3.1,441.8,0,1857.2
"DOM_C19",349.4,0.3,17.2,45.2,12.7,64.2,0.9,6.8,7.3,19.6,21.3,3.3,2.8,19.4,448.3,3.4,0.6,12.1,3.5,1.1,5.3,6.7,21.1,17.6,81.2,208.1,294.1,67.3,123.4,39,6.4,1.6,0.6,3.7,9.7,3.1,10.5,28.8,17.1,15.9,11.9,6,2.2,3.3,0,583.3,0,0,0,12.6,0,4.5,131.1,0,2755.8
"DOM_C20",830,0.8,45.1,26.4,7.6,137,20,47.1,113.1,38.9,381.1,17.5,190.6,52.8,27,13.4,1.7,10.8,7.6,2,2.1,24.9,5.8,6.2,44.1,356,5.7,1.6,1.6,4.6,0,2.2,1.8,0.1,2.7,0.4,3.4,9.7,5.6,21.7,2.1,14.8,2.1,5,0,254.1,0,2.1,0,13.8,0,1.9,684.1,0,3450.9
"DOM_C21",47.3,0,0,0.1,0,19.7,0,0,0.1,0.1,1.5,117.2,0.4,0.2,0.1,0.3,0,0,0,0,0.1,0.8,0.1,0.1,0.2,43.4,0.1,0.1,0.1,0.1,0.1,0.4,0.7,0,2,2.6,0.5,3.3,0.2,5.7,1.2,228.3,0.7,0.2,0,494.5,6.5,2.5,0,4.6,0,1.3,61.7,0,1049.3
"DOM_C22",60.6,0.1,6.8,21.4,8.2,362.3,10.7,20.5,40.4,3.8,43.6,17.7,363.2,20.9,14.8,26.5,2.5,36.9,20.5,16,3.8,19.1,8.7,7,177.7,171.8,45.4,3.9,4.2,13.5,1.6,1.1,2.7,1.1,4.7,3,14.6,11.3,10,0,5.3,4.4,1.2,2.2,0,47.9,0,3.8,0,10.4,0,0,125.6,0,1803.8
"DOM_C23",38.9,0,5.1,7.7,2.9,218.8,0.9,9.8,4.7,2.1,14.5,10.9,30.4,335.5,322.2,10.5,2.5,8,10.3,2.5,2.2,18.1,12.6,3.3,664.8,82.5,23.5,6.8,8.1,20,0.3,1.7,0.1,0.8,0.7,0.4,27.8,16.2,10,95.4,6.5,3.5,1.1,1.7,0,314.8,0,0.9,0,19.3,0,0,153.1,0,2534.6
"DOM_C24",31.4,0,46,60.7,32.7,33.4,2.9,5.1,6.8,11.5,8.7,2.4,18,79.2,1558.5,503.8,10.8,208.8,442.1,73.2,132.2,128.1,428.6,161.7,758.9,103.6,22.6,11.7,4,14.9,0.1,0.3,0.1,3.4,0.8,0.4,7.4,28,5.3,0,1.3,1.1,0.3,1.8,0,2.6,0,0,0,75.1,0,0,6885.1,0,11915.6
"DOM_C25",21.9,0,70.1,26.8,10.5,56.7,2.3,12.8,6.3,1.8,9,1.9,21.6,15.8,81.8,89.9,5.3,10.2,43.5,22.2,8.6,42.7,11.6,37,276.8,82.3,25.2,7.1,5,21.7,0,2.7,0.7,1,1.2,1.5,8.9,27.4,4.8,62.1,4.2,1.7,0.9,1.7,0,41.1,0,0.3,189,8.2,0,0,203.2,0,1589.3
"DOM_C26",4.1,0,0.9,0.2,0.1,3.8,0.1,0.2,0.5,0.1,0.4,0.2,1,1.3,0.9,0.5,14.6,5.9,1.7,0.5,1.6,3.1,1.7,0.1,4.8,15.3,1,0.3,0.4,0.9,0,0.1,0.5,2.4,20.6,0.7,0.6,5.8,2.2,3.4,1.2,0.6,0.6,4,0,98,0,4.2,84,1.7,0,0.7,90,0,387.2
"DOM_C27",5.4,0,1.4,7.4,2.9,6.2,1.2,1.2,1.9,1,2.9,0.3,1.3,3.8,8.9,3.9,6.9,24.4,5.9,1.7,3.6,20.1,10.7,0.7,82.8,37.9,6.2,1.2,1,3.7,0.1,0.8,0.7,3.9,8.6,2.1,4.1,23.4,5.2,8,4.7,4,1.4,2,0,277.2,0,1.5,241.4,8.4,0,0.9,307.1,0,1162.1
"DOM_C28",89.5,0.1,39.5,21.3,8.4,35.5,0.8,5,7.3,3.4,5.1,2.9,1.8,9.6,30.7,8.1,4.9,23.9,60.1,25.3,45.2,26.8,12.4,1.2,13.5,46.8,5.6,2.1,2.1,4.6,0,0.5,0,0.1,2.2,0.3,8.3,8.2,1.8,6,0.8,0.4,0.3,1,0,18.3,0,3.5,588.4,10.1,0,0,704.8,0,1898.8
"DOM_C29",67.2,0.1,0.9,5.7,1.6,8.2,0.1,0.9,0.8,0.2,0.7,0.1,0.2,1.8,0.9,0.3,0.1,0.2,0.8,14.1,0.6,1.3,1.6,2.2,8.4,61.9,29.5,1.1,1.8,6.4,0.3,0.1,0.1,0.3,0.3,0.2,2.6,0.9,4.7,4.7,3.4,0.8,0.3,0.3,0,101.9,0,11,191.4,5,0,0.4,69,0,617.4
"DOM_C30",15.7,0,0.6,2.1,0.8,3.7,0.1,0,0.1,0.1,0.4,0.1,0,0.6,6.4,4.7,0.1,0.4,0.4,8.6,38.8,12.8,1.8,0.5,9.9,9.8,23.6,29.3,35.2,11.1,0,0,0.1,0.7,1.2,235,0.8,21.3,3.4,0,1.5,0.1,0.1,0.1,0,34,0,0,448.9,4.3,0,0,244.9,0,1214.3
"DOM_C31T33",9.8,0,32.1,16.2,8.5,25.4,1.1,2.9,3.4,3,4.3,1.7,1.1,10.8,24.5,3.4,1.6,1.5,3.9,0.9,2.4,68,28.9,2.1,25.7,50.1,42.8,12,20.4,30.3,0.5,3.3,2.7,27.9,25,21.3,21.7,15.9,8.8,129.9,9.9,7.6,1.7,3.9,0,438.1,0,1.9,27.5,0.5,0,13.3,751.6,0,1952
"DOM_D",284.7,0.6,268.6,405.3,82.9,407.3,20,43.8,84.3,91.2,296.3,12.5,56.1,154.2,849.1,44.3,11.8,30.1,68.4,11.4,22.1,43,460.4,152.1,60.3,238.4,357.5,33.1,49.3,291.7,4.6,42.9,3.7,76.9,3.6,1.4,520,45.8,57.1,171.1,370.2,163.6,38.3,22.6,0,972,0,409.3,0,0,0,0,254.8,0,8088.7
"DOM_E",20.4,0.1,8.3,3.9,1.4,30.8,1.5,3.9,9.3,2.3,5.7,1,0.8,2.1,33.7,1.8,0.7,0.9,2,0.6,1.6,2.1,158.6,60.5,54.5,19,8.1,2.4,2.3,8.1,0.5,4.6,0.4,0.4,0.3,0.2,39.3,5.4,52.5,9.4,26.7,14.9,2.4,6.5,0,171.5,0,451.9,0,0,0,0,0,0,1235
"DOM_F",35,0.1,34.7,12.3,4.1,20.5,1.6,2.2,2.6,0.9,7.8,1.3,0.8,6.4,6.6,8.5,1.3,0.6,1.4,0.6,1.8,24.5,24.7,11.3,1684.5,43.3,38.5,5.4,7.4,37.2,0.3,5.3,0.5,2.6,1.4,0.8,126.8,84,35.1,153.6,4,2.8,1.3,3.6,0,72.5,0,0,6107.6,0,0,0,0,0,8630.2
"DOM_G",1722.6,58.6,97.9,103.1,39.6,2428.9,82.9,134.4,178.1,318.4,342,125.9,198.8,187.8,757.2,102.1,48,80.4,116.5,57.9,100.4,162.8,353.1,64.4,542.7,2414.7,391.3,67.7,99.3,132.8,7,63.6,48.2,67.9,383.6,213.3,107.4,143.3,73.4,249.9,191.5,316,23.6,28.6,0,7680.8,13.5,121.7,945.7,111.6,0,19.5,2817.8,0,25138.1
"DOM_H49",403.4,10.9,57.7,120.9,41.3,454.1,11.1,31,43.2,88,82,12,40.3,68.6,334.4,31.2,4.8,21.6,32.3,13.5,15.4,28.9,170.5,20,145.7,388,151.5,21.1,23.1,60.6,4.1,9.5,5.7,4.8,7.8,10,16.5,32.3,14,79.1,31.2,29.5,15.5,4.9,0,1784.7,2.5,139.9,165.8,23.1,0,60.8,1592.4,0,6961.1
"DOM_H50",58.1,1.6,8.2,11.3,4.1,42.2,1.8,3.8,5.2,17.2,11.9,2,5.4,8.7,45,4,0.9,3.2,4.1,1.8,2.2,3.4,24.5,1.9,14.9,40.8,17.3,24.8,4.5,15.2,0.3,0.9,0.8,0.6,1.6,1.6,2.1,3.2,1.7,6.7,2.8,3.1,1.2,0.6,0,137.5,0.2,14.4,25.8,30.3,0,13.5,702.8,0,1341.4
"DOM_H51",42.7,1.4,5.9,9,4.4,47.6,1.7,2.9,4.5,9.9,10.4,2.1,4.9,7,36.9,3.6,1,2.9,4.1,1.8,2,3.7,25.7,2.2,16.1,33.3,11.3,3.1,13.3,8.5,0.6,1.3,0.9,0.9,1.9,2.1,3,6.6,2.6,13.8,4.1,4.3,2.5,0.7,0,181.8,0.3,8.1,22,31.5,0,47.6,868.1,0,1528.3
"DOM_H52",188.9,2.9,24.1,66.9,17.8,219.6,4.6,13.5,19.9,45.7,38.9,5.8,18.1,30.2,132.5,13.9,2.5,10.8,15.1,6.4,7.5,13.6,61.3,9.3,57.4,313.8,169.8,92.7,105.4,188.5,3,3.6,2,3.1,2.8,3.2,7.7,13.9,7.9,35.3,7.5,8.9,7,2.5,0,431.6,1.4,110.9,45.3,6.8,0,0.4,906,0,3508.2
"DOM_H53",1.2,0,0.2,0.1,0,1.8,0.2,0.2,0.5,0,0.3,0.3,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0,0.1,0.7,1,0.9,0.9,11.5,0.7,0.1,0.2,0.8,8,0.2,1,1.2,1.7,2,1.4,2.5,2.2,3.4,2.1,1.4,0.1,0.6,0,15.5,0,5.9,0,0.6,0,0.8,142.8,0,215.8
"DOM_I",3.5,0,2.8,0.8,0.7,10.4,0.6,0.6,1.1,0.8,2.5,2.6,1,1.3,5.9,0.7,1.3,1.7,3.1,1.8,4.5,6.1,5.7,0.3,6.7,35.4,6.4,1.1,6.1,3.2,0.1,8.3,0.9,3.6,2.7,1.4,4,22.7,9.2,40.3,5.9,4.1,20.9,2.1,0,547.3,0,12.4,0,0,0,360.1,0,0,1164.8
