"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",51482.2,7.1,69.6,43.1,31.8,139936.3,1397.7,6808.5,2366.1,5.8,5553,85.2,911.4,1.2,0.7,1.4,0.5,0.1,0.9,0.6,0.3,582.2,2.8,0.6,2143.3,2144.6,21.7,27.6,0.1,1.9,0.1,396.6,101.3,5.1,7.2,16.5,43,414.2,664.9,3819.5,303.6,7.7,386.3,36.8,0,71985.9,793.9,0,325.4,5817.9,0,425,45756.6,0,344935.6
"DOM_A03",4.6,20.7,0.1,0.1,0.1,878.8,0,0,0,0.3,3.7,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,59.4,0.2,0.3,0,0,0,463.6,0,0.1,0,0.4,5.6,8.1,0,66.3,12.2,0.1,18.7,11.4,0,491,19.2,0,53.9,31.9,0,13.7,1845.7,0,4010.7
"DOM_B05_06",973.9,5.9,13638.4,400.1,409.8,2275.2,128.8,44.2,1586.6,128355.5,3159.9,50.7,216,1798.5,5269.1,75,22,48.7,88,83.8,24.1,53.1,31258.7,51.3,1509,247.7,1022,74.2,729,65.3,224.4,567.6,20.5,28.7,43.4,442.4,573.6,307.3,164.8,21349.3,1463,239.1,62.8,124.2,0,7364.6,4.6,0.4,23800.2,3811.5,0,79.3,12992.7,0,267328.7
"DOM_B07_08",1321.3,0,608.4,2261.1,103.5,147.4,39.4,10.9,300.6,54.3,4483.6,30.2,181,4928.9,11195.8,610.7,44.1,153.2,143,68.8,65.2,334,108.4,75,9861.1,42.9,65.9,0.5,1.3,7.5,2.3,91.9,81,118.3,59.8,36.2,454.1,617.9,275.8,1480.4,211.2,86.5,696.9,433,0,622.3,5.4,0.3,7701.2,669.7,0,3.7,4627.6,0,55523.1
"DOM_B09",13.9,0.1,4839.4,708.8,998.3,32.8,2.9,4.3,12.3,240.1,26.1,2.8,10.3,12.7,12.9,44.8,14.2,10.3,28.1,57.6,10.2,13,49.8,2.8,922,27.1,12.1,2,1.3,2.7,2.2,11.7,4.2,12.8,4,24.5,264.4,47.1,7.9,214.9,21.7,13.9,2.9,11.9,0,114.4,2.6,0.5,60471.7,16.9,0,0.6,2884.2,0,72250.6
"DOM_C10T12",26696.2,0.3,33.2,15,15.2,110409.1,558.3,70.2,1909.4,179.9,2084,853.2,361.8,213.9,76.2,126.9,111.9,55.3,130.2,156.7,52.4,133.2,38.4,12.2,402.4,4908.2,32.3,140.6,283.7,13.6,10.3,32444.8,104.9,55.8,25.4,28.7,75.7,1075.6,111.7,20442.6,12747.9,10403.4,2881.4,887,0,459098.6,1457.2,12.6,2942.3,14224.7,0,2519.4,36558.1,0,748181.8
"DOM_C13T15",259.5,9.5,23.2,9.6,9.5,195.5,4982.2,255.7,1370.3,37,663.1,45.9,988.9,167.3,30.5,145.5,53.6,27.7,401,1296.1,320.5,1866,16.1,54,976,2113.7,17.8,79.7,4.5,10.1,24.1,790.9,71.4,100,18,16.5,70.6,145.8,177.4,1702.6,338.1,1428.3,197.7,544.7,0,38630.5,128.9,4.1,2419.6,1209.3,0,515,5680.7,0,70644.3
"DOM_C16",248.4,16.2,48.1,7.3,53.1,201.7,34.2,9079,2366.3,5.3,175.4,10.7,606.5,184.1,197.4,421.3,111.4,134,413.1,1169.7,186,3730.7,5.3,9,24216.2,1607.3,798.9,0.6,1.3,64.1,24.8,602.9,200,310.3,458.2,56.1,1160.9,229.2,315.9,746.2,1213.2,730.5,66.5,164.6,0,4992.9,83.2,1.1,3721.3,1089.9,0,129.6,3429.9,0,65829.6
"DOM_C17_18",404.1,0.2,94.8,101.3,68.5,17071.1,623.5,443.4,40482,69,4426.9,918,3068.8,1365.4,1147.8,2036.2,1038.8,889,1887.4,1956.7,506.6,2909.4,186.4,227.1,2500.3,14669.3,908,141.2,91.5,1091.7,643.1,5789.8,11251,2036.2,3251.6,6820.1,687,10937.3,5248.5,14987.2,9921.1,8346.5,1766.1,2323.6,0,35009.2,211.4,2.9,1722.3,3863.8,0,424.7,17848.8,0,244416.7
"DOM_C19",7868.3,121.3,2624.3,1589,1633.3,2762.6,659.3,698.5,3161.1,7314.5,15425.1,638.3,2701.5,4888.1,2083.4,1330.2,500.8,863.2,1358.8,754,282.7,1140,12907.8,970.1,25230.1,3810,19143.1,1533.1,15127.5,1225.5,4631,2676.9,368.6,353.2,843.6,8301.4,1724.6,2559.8,3454.6,62441.7,23328.8,3375,814.1,1672,0,154286.9,23.6,5.9,1628.4,8294.5,0,1674.7,38914.2,0,461719.1
"DOM_C20",16873.8,0.5,2263,948.2,889,4891.7,5960,1263.9,10986.5,3925.2,85849.6,4422.4,27644.3,3125.8,1146.2,5354.2,3007.6,1598.9,2577.4,4250,1111.1,5498.5,799.5,491.6,7594.9,1943.6,220.9,13.8,45.7,550.3,125.9,997.9,584.3,537.1,254.1,233.9,2672.2,5813.3,3871.6,18805,4149.3,6808.2,334.4,1722.3,0,69851.8,310.2,23.4,8415.8,7017.9,0,588.6,77780.6,0,416145.7
"DOM_C21",898.1,0.3,45.6,20,20.5,1073,107.9,87.7,235.9,74.6,1129.4,10991.6,390.6,78.8,95.6,174.8,196.4,74.8,177.8,219.1,77.9,179.2,83.6,20,641.4,615.5,31,5.4,17.6,15.4,11.8,160.2,57.1,92.6,45.4,62,60.8,1930.1,152.1,1507.6,164.2,18351,235.4,63.5,0,95110.5,199,6333.7,28669.8,2251.7,0,323.3,30759.7,0,204320.9
"DOM_C22",1063.9,0.4,301.2,276.7,303,10700.7,545.8,503,2259.6,122.4,5214.9,990.9,7974.9,802.1,887.9,2463.3,1858.1,1014.1,3987.8,10982.2,1654.8,5592.9,22.1,208.8,18742.9,8354,382.2,6.8,5.9,228.6,1008.1,2896.5,1062.4,1901.7,354.5,381,781.5,2460.4,1136.7,7624.2,1127,6286.9,158.1,693.1,0,29431.9,6.5,3.4,2793.8,2839.8,0,14,17388.9,0,167802.2
"DOM_C23",102.3,2.6,290.3,167.1,295.7,3413.6,151.9,424.6,326.2,25.9,1007.3,216.2,805.4,8088.5,1813.5,809.4,441.7,917.9,1278.8,3615.8,188.3,688,31.5,124.9,50519.4,788.4,37.9,2,2.7,55,19,1030.8,137.5,1179.6,383.4,72.5,242,1749.7,609.9,4568.7,430.7,1988,81.7,486.9,0,10359.9,3.5,2.1,3102.6,1921.3,0,4.5,5325.8,0,110332.7
"DOM_C24",52.8,0,1404.6,292,240.1,2859.5,157.5,233.3,407.8,0,606.7,0,758.5,474.7,37321.7,36642.2,3253.1,7670.2,17757.6,15355.1,6349.9,5904.7,784.6,284.1,4912.4,1535.1,578.7,0,0.7,118.7,3,61.1,1309.4,441.4,119.1,1,218.3,694.1,241,919.7,87.1,213.1,133.2,141.4,0,1029.2,0,0,1846.3,2526.6,0,0,31745.4,0,187686.5
"DOM_C25",1499,16.1,683.7,334.5,593.1,9421.5,589.9,1634.3,3574,188,4724.8,218.6,3348.1,1769,4825.2,23895.8,5464.1,4915.8,13644.5,31525.5,4600.1,5254.8,204.7,1149.9,52819.7,3428.2,1308.2,996.7,120,270.1,585.1,2077.5,1400,3084.1,1101,676.8,817.3,3694.4,1363.9,8966.1,803,1728.6,717.5,774.4,0,20675.3,127,6.5,30031.9,4562.7,0,15.6,19624.5,0,285851.4
"DOM_C26",157.1,0.3,36.1,13.8,128.4,1055.7,234,212.8,774.8,69.7,1532.1,72.6,641.3,385.1,681.4,1428.7,22968.4,1316.7,2505.8,4680.2,2915.2,1812.3,104,174.1,3078.2,2939.5,106.2,5.6,16.8,98.4,11.1,280.1,1561.5,6401.8,2172,739.3,131.8,7138.3,1049.4,8993.5,769,2299.5,71.7,861.7,0,49686.2,187,15,140951.3,4332,0,434.3,76386.3,0,354618.2
"DOM_C27",425.1,0.8,26.3,10.1,57,422.2,36.3,344.4,235.3,11.8,365.5,23.4,369.5,145.1,1044.9,977,1867.7,3247.5,4786.6,1645.1,791.4,623.5,15.9,217.5,14002.8,803.3,91.5,13,4.5,136.3,4.5,371.1,27.5,1512,390.1,120.2,89.2,1491.4,737.8,3020.1,610.4,502.5,73.1,459.7,0,27230.1,55.9,2.5,14470.2,1577.7,0,187.2,17258.5,0,102933.2
