"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",15277.9,51.5,0.1,1.4,1.1,27482.9,1260.6,2491.1,45.2,0.4,1346.7,66.2,994.5,6.7,2.7,0.1,0.1,4.5,0.1,0,0.3,975.9,0.1,1.9,41.9,239.7,0.2,0.1,0,5.7,0,1372.2,1.9,0.2,3.6,8.6,30.5,170.5,57.8,8.3,112.9,7.7,10.1,4,0,14084.1,0,0,880.6,-12.5,0,52.9,11793.3,0,78886.1
"DOM_A03",15,4328.4,0,0,0,10684.4,0.3,0.8,0,0,1.7,15.3,0.2,0,0,0,0,0,0,0,0,0.3,0,0,0,7.4,0,0,0,48.8,0,493.7,0,0,0,0.1,0.6,11.7,0.3,0,19.5,2.7,0.3,1.3,0,6848.2,0,0,0.2,2.3,0,4.1,1997.6,0,24485.4
"DOM_B05_06",67.8,0.2,3886.1,5.1,13.1,62.7,88.7,2.6,64.5,7016.7,899.8,7.7,61.1,1731.9,202.1,38.7,31.4,42.1,2.5,12.7,12.9,53.5,950.9,5.9,67.4,48.8,2.3,0.3,0,0.5,0,91.1,0,0,0.4,0,17,7.9,7.3,0.5,6.2,1.5,1.8,10.1,0,2986.6,0,0,0,-35.4,0,0,20579.4,0,39054.3
"DOM_B07_08",1.5,0.4,6.6,28.9,0.1,21.9,1,0,3.6,7.1,566.2,0.3,16.2,476.6,89.4,3.7,3.3,0,0,0,0.5,10.7,5.7,0.7,141.6,17.9,0,2.7,0,0.7,0,0.2,0,0,0,0.4,10.8,11.2,0.8,0.5,0,0.2,0,11.9,0,17,0,0,0.1,1.6,0,0,1295.4,0,2757.4
"DOM_B09",0,0.8,736.7,16.1,0.4,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0.1,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,762.1
"DOM_C10T12",8348,6014.9,20.1,2,0.7,25584.9,24,1,116.8,47,28.8,108.6,16.1,39.4,2.2,1.7,0.7,0,0,0.1,0,137.6,2,1.5,2.4,396.9,7.2,5.4,26.6,5.1,0,4153.6,1.4,1.6,3.5,3.1,20.4,45.9,7.1,7.2,117.3,25.8,2.3,19.4,0,28357.1,0,0,7.7,-49.1,0,241.5,22526.8,0,96434.2
"DOM_C13T15",81.2,37,82.6,7.3,1.3,23.6,11137.2,22.4,62.9,26.1,11.8,2.3,44.7,92.7,6.1,4.8,16.9,5.8,2.6,21.9,12.3,201.2,17.5,21.5,63.4,199.4,20.1,4.2,7.4,19.3,9.4,57.2,4.4,14.2,2,35,49,25.9,37,64.7,61.4,18.8,30.1,149.2,0,5441.3,0,4.3,0,-37.1,0,170,50916.1,0,69310.3
"DOM_C16",112,33.8,0.2,0.9,0,79.4,92.7,2240.5,398.4,0.2,62.4,0.9,20.8,35.5,4,4.3,11.7,8.5,6.1,0.7,3.2,3071.8,1,1.3,385.6,78.8,0.6,4.2,0.1,3.4,0.1,13.4,0.2,5.7,0,2.9,26.6,13.8,1.4,12.1,4.9,0.6,1.8,15,0,338.7,0,0,0,-10.9,0,8.9,2306.3,0,9404.8
"DOM_C17_18",135.9,7.7,9.9,1,1.2,563.6,876.2,71,3302.2,0.5,100.8,44.3,201.6,214.8,5.5,13.7,271,322.9,8.6,11.9,7.5,638.2,10,3.1,48,702.6,13.9,1.9,0.8,14.3,19.4,106.1,337.9,33.8,13.2,151.8,52.3,204.2,17.1,229.7,128.6,20,579.5,31.5,0,342.5,0,7.2,77.5,-2.1,0,21.2,1087.9,0,11063.9
"DOM_C19",675.1,1696.1,2590.8,256.6,6,212,205.3,92.7,61.8,3685.5,90.9,12.1,223,568.4,135.7,28,35.4,63.8,19,24,81.3,249.7,141.9,101.6,1488.9,1296.3,2587.4,848.8,808.5,293.5,35,985.1,26.4,98.5,6.5,194.8,78.1,70.6,94.4,211.4,165.1,14.4,21.3,36.8,0,1137.5,0,0,0,-0.7,0,58.3,333.4,0,22146.9
