"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_A01_02",520.7,12,1.3,2.2,0,4613.6,381.2,267.7,248,83.5,21,5,94.1,9.9,7.7,6.3,7.3,4.7,11.2,13.2,13.7,126,1.6,3.9,0.5,1,0.1,0,0,0.1,0,16.3,9.1,0.2,1.6,0.1,1.6,1.6,3.1,6.1,1.7,6.3,78.5,117.4,0,5117.6,1.2,0,253.4,88.8,0,26.2,883.2,0,13071.7
"DOM_A03",0,107.7,0,0,0,307.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.4,0.7,0,0,0.2,0,0.1,0.1,0,10.1,0.6,0.4,0.3,0,0.3,0.4,0.6,4.1,0.3,1,8.4,24.3,0,85.6,0.5,0,0,8.5,0,1.8,27.9,0,603.3
"DOM_B05_06",1.7,0.2,4.1,42.7,0.1,8.8,3.3,2.1,22.1,1588.3,7.3,0.1,1.6,36.6,19.2,2.2,0.1,0.4,1.3,0.8,0.3,4.5,383,19.2,3.2,0,0.7,0,0.4,0.6,0,0.5,0.2,1.5,0,0,0,0,0,1.3,0.2,0.6,2.8,1.3,0,22.4,0,0,0.1,9.6,0,0,1830.6,0,4026.3
"DOM_B07_08",1.4,0,0.7,1.5,0,1.8,0.4,0.4,0,2.7,44.3,4.4,1.1,0,1142.5,227.4,23.4,69.1,141.2,169,20.2,4,0.1,0.1,20.5,0.2,0.5,0,0.3,0.4,0,0,0,0.1,0,0.1,2.9,0.1,0.1,2.3,0.5,0.5,0.2,0.4,0,14.5,0,0,1,12.2,0,0.1,10633.3,0,12546.1
"DOM_B09",0,0,171.6,0.8,29.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,53.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,259.5
"DOM_C10T12",1269.4,35.6,10.2,63.1,0,2509.8,1.1,0.1,10,29.3,81.1,14.6,0.3,0.1,0.1,47.3,0,0,0.9,0.2,0,31.5,6.7,16.2,0.2,21.1,21.8,0.7,12.5,19.8,0.3,531.4,8.3,62.6,18.5,0,18,19.8,31.3,29.2,5.1,18.1,100.8,294.4,0,10895.1,2.6,1.7,0,94.2,0,112.3,747.3,0,17194.7
"DOM_C13T15",108.8,2.4,16.3,51.2,0.2,7.5,414.7,1.2,12.7,5,8.5,1.4,21.8,0.1,0.8,0.6,2.1,0.6,3.6,169.2,1.9,36.7,2,8.2,37.1,23.2,9.6,0.3,5.6,8.8,0.1,2.4,9.3,22.9,0.9,0.2,0.9,1,1.6,14.8,6.8,24.2,82.1,66.5,0,3080.6,0.9,0,0.4,30.5,0,72.8,132.4,0,4513.4
"DOM_C16",17.8,0.2,4,109.2,0.7,81.9,3.8,139.9,13.3,271.1,25.7,2.3,2.3,15.2,3.4,13.5,1.6,0.8,4,24.5,4.6,83.6,4.8,2.1,48.1,15.4,7.3,0.2,2.9,6.8,1.8,0.9,2.8,12.4,0,0,3.6,1,0.8,3.8,2.1,5.7,24.9,11.1,0,28.5,0.1,0.1,0.1,1.9,0,3.7,128.9,0,1145.3
"DOM_C17_18",4.7,0.9,4.1,10.8,0.1,223.8,17.3,14.8,704.6,134.1,73.2,16.9,18.4,32,3.4,9.2,3.7,4.6,13.3,60.7,0.7,33,6.4,9.3,19.5,388.6,26.4,0.7,14.6,27.1,3.1,2.8,151.3,51.1,83.5,10.9,233,167.9,135.5,28.3,21.3,59.1,87.9,51.2,0,836.9,0.3,0,0.4,22.5,0,9,400.2,0,4233.2
"DOM_C19",1092.8,28.7,172.4,447.1,14.1,97.3,71.2,1.8,17.9,902.3,347.9,17.7,43.8,8.7,350.8,1.4,32.1,59.6,3.6,4.3,11.4,5.2,224.3,49.8,600.5,376.1,789.9,25.7,494,787.5,151.2,11,25.6,1840.7,199.7,30.5,184.7,252.1,329.6,173.6,14,47,315.1,104.9,0,5151.2,0,0,32.3,214.3,0,34.5,538,0,16730
