"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1692,0.0245,0.0054,0.0042,0.0099,0.4315,0.1485,0.0586,0.0288,0.0062,0.0219,0.0192,0.0148,0.0109,0.0067,0.0081,0.0097,0.009,0.0097,0.0089,0.0088,0.0136,0.0039,0.0065,0.0099,0.0036,0.007,0.0107,0.0125,0.0073,0.0052,0.1865,0.0111,0.008,0.0061,0.0058,0.0052,0.0087,0.0135,0.015,0.0099,0.0121,0.0147,0.0154,0
"DOM_A03",5e-04,1.0299,2e-04,1e-04,5e-04,0.0064,3e-04,3e-04,4e-04,2e-04,5e-04,7e-04,3e-04,3e-04,2e-04,3e-04,4e-04,3e-04,4e-04,3e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,5e-04,5e-04,2e-04,1e-04,0.0121,4e-04,2e-04,2e-04,2e-04,0,2e-04,2e-04,4e-04,3e-04,3e-04,4e-04,4e-04,0
"DOM_B05_06",0.0223,0.0287,1.0311,0.0289,0.0269,0.0173,0.0119,0.0212,0.0169,0.5892,0.0646,0.0272,0.0291,0.0316,0.0265,0.0148,0.0134,0.0187,0.0135,0.0122,0.0104,0.0147,0.1996,0.0277,0.0214,0.0083,0.0843,0.0472,0.0913,0.0419,0.0213,0.014,0.0094,0.0111,0.0063,0.0089,0.0108,0.009,0.0142,0.0126,0.0066,0.0073,0.0082,0.009,0
"DOM_B07_08",0.0011,0.0015,0.0067,1.0581,0.0012,0.0032,0.0019,0.0027,0.0033,0.0096,0.0092,0.0085,0.0036,0.0977,0.0777,0.0185,0.0051,0.0235,0.0116,0.0102,0.0054,0.0048,0.0028,0.0031,0.0296,8e-04,0.0034,0.0031,0.0041,0.0026,0.0018,0.0023,0.0017,0.0029,0.0011,9e-04,0.006,0.0013,0.0063,0.0017,9e-04,0.0014,0.0012,0.0014,0
"DOM_B09",0.0047,0.0061,0.2102,0.0186,1.0407,0.0038,0.0026,0.0046,0.0037,0.1203,0.0136,0.0061,0.0062,0.0078,0.0065,0.0034,0.0031,0.0043,0.0032,0.0028,0.0024,0.0032,0.041,0.0061,0.0055,0.002,0.0177,0.0101,0.0192,0.009,0.0048,0.0034,0.0028,0.0029,0.0023,0.0026,0.0025,0.01,0.0067,0.0028,0.0016,0.0018,0.0026,0.0023,0
"DOM_C10T12",0.0468,0.0186,0.007,0.0049,0.0133,1.1317,0.0179,0.013,0.0236,0.0083,0.0314,0.0318,0.0149,0.0195,0.0131,0.0127,0.0153,0.0146,0.0148,0.0131,0.0131,0.0126,0.004,0.0073,0.0085,0.0039,0.0075,0.014,0.0207,0.0075,0.0057,0.279,0.0151,0.0113,0.0093,0.0081,0.0032,0.0102,0.0147,0.0223,0.017,0.0229,0.0287,0.0244,0
"DOM_C13T15",0.0061,0.0085,0.0067,0.0019,0.0105,0.0096,1.2106,0.007,0.0142,0.0057,0.0079,0.0096,0.0346,0.006,0.0035,0.0048,0.0059,0.0057,0.0079,0.01,0.006,0.0254,0.0029,0.01,0.0037,0.0037,0.0065,0.0068,0.0095,0.0125,0.0076,0.0136,0.0063,0.0054,0.0032,0.0032,0.0035,0.0057,0.0078,0.008,0.0046,0.0077,0.007,0.0145,0
"DOM_C16",0.0024,0.0011,0.0012,0.001,8e-04,0.0035,0.0022,1.1456,0.0052,0.0013,0.0026,0.0022,0.0028,0.0037,0.0019,0.0046,0.0032,0.0041,0.0034,0.0043,0.0022,0.0667,0.001,0.0154,0.0158,0.0057,0.0019,0.0018,0.0021,0.0026,0.0012,0.0034,0.0028,0.0022,0.0011,0.001,0.0032,0.0015,0.0035,0.0015,9e-04,0.001,0.0021,0.0016,0
"DOM_C17_18",0.0032,0.0107,0.0033,0.0129,0.0073,0.0174,0.0093,0.0237,1.2466,0.0039,0.018,0.022,0.011,0.0251,0.0047,0.0087,0.0189,0.0131,0.0083,0.0072,0.0084,0.0151,0.0038,0.0067,0.0056,0.0074,0.0069,0.01,0.0107,0.0062,0.0283,0.0129,0.1071,0.0094,0.0207,0.027,0.0042,0.03,0.0137,0.0098,0.0105,0.0073,0.0149,0.0181,0
"DOM_C19",0.0369,0.046,0.0104,0.0326,0.0204,0.025,0.0154,0.0306,0.0216,1.0678,0.0755,0.0202,0.0406,0.0358,0.024,0.0168,0.0152,0.022,0.016,0.0145,0.013,0.017,0.0326,0.0349,0.0151,0.01,0.1392,0.074,0.1491,0.0574,0.0315,0.0152,0.0106,0.0072,0.0065,0.0088,0.0062,0.0099,0.0138,0.0152,0.0051,0.0064,0.0085,0.0085,0
"DOM_C20",0.0216,0.0072,0.0047,0.0136,0.0097,0.0177,0.0275,0.0249,0.0443,0.0152,1.1288,0.0373,0.1594,0.0199,0.0102,0.0158,0.027,0.0309,0.018,0.0186,0.0163,0.0268,0.004,0.0103,0.0115,0.0035,0.0125,0.0138,0.0119,0.0096,0.0056,0.0123,0.0127,0.0065,0.0048,0.0041,0.0078,0.0073,0.0093,0.0044,0.0028,0.0109,0.007,0.0134,0
"DOM_C21",0.0083,0.0028,0.002,0.0025,0.0027,0.0122,0.0074,0.0094,0.0089,0.0057,0.0152,1.2438,0.0133,0.0058,0.0042,0.0053,0.011,0.0076,0.0088,0.0086,0.005,0.0067,0.0025,0.0034,0.0051,0.0026,0.0048,0.0054,0.0059,0.0049,0.0035,0.0082,0.0077,0.0121,0.0065,0.0046,0.0026,0.0085,0.0047,0.0027,0.0033,0.0688,0.0092,0.0307,0
"DOM_C22",0.0108,0.012,0.0111,0.0061,0.0292,0.0282,0.0371,0.0157,0.0466,0.0113,0.0702,0.0318,1.0553,0.0158,0.0064,0.0135,0.0257,0.0346,0.0436,0.047,0.0326,0.0423,0.0061,0.0142,0.0139,0.0077,0.0328,0.0123,0.0252,0.0317,0.0116,0.0239,0.0127,0.0064,0.0061,0.0054,0.0051,0.0084,0.0085,0.0073,0.0035,0.007,0.0081,0.0092,0
"DOM_C23",0.002,0.0015,0.0055,0.0037,0.0038,0.0079,0.0022,0.0065,0.0034,0.0045,0.0087,0.008,0.006,1.0868,0.0061,0.0067,0.0099,0.0118,0.008,0.0111,0.0038,0.0048,0.0061,0.0109,0.0938,0.0027,0.0061,0.0113,0.0179,0.0053,0.0032,0.0048,0.0038,0.0055,0.0026,0.0025,0.0194,0.0033,0.0234,0.0032,0.0026,0.0039,0.0031,0.0039,0
"DOM_C24",0.0057,0.0098,0.0229,0.0115,0.0059,0.011,0.0076,0.0242,0.0207,0.0176,0.0217,0.0115,0.0264,0.0274,1.3526,0.2719,0.0633,0.3821,0.1762,0.1265,0.0737,0.0599,0.0123,0.0095,0.0556,0.0038,0.0146,0.0123,0.0117,0.0136,0.013,0.0077,0.012,0.0164,0.0067,0.0042,0.0132,0.0063,0.0164,0.0052,0.0032,0.004,0.0075,0.0054,0
"DOM_C25",0.0037,0.0095,0.0184,0.0039,0.0042,0.0073,0.0052,0.017,0.0065,0.0127,0.0131,0.008,0.009,0.0071,0.0154,1.0463,0.0153,0.047,0.0853,0.0768,0.0346,0.0238,0.0078,0.0066,0.0274,0.0023,0.0106,0.0097,0.0093,0.0113,0.0138,0.0049,0.0052,0.0073,0.004,0.0027,0.0081,0.0037,0.0112,0.0029,0.0018,0.0022,0.0056,0.0031,0
"DOM_C26",0.0011,0.0014,0.0019,0.0017,0.0033,0.002,0.0017,0.0023,0.006,0.0028,0.0032,0.0033,0.0023,0.0021,0.0017,0.0029,1.1764,0.0114,0.0085,0.0076,0.0025,0.004,0.0027,0.0023,0.0051,0.0021,0.0035,0.0037,0.0045,0.0038,0.0027,0.0029,0.0541,0.0199,0.0089,0.0041,0.0016,0.0064,0.0048,0.0035,0.0025,0.0069,0.0055,0.0051,0
