"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.2138,0.0548,0.0053,0.0082,0.0046,0.3271,0.179,0.174,0.0113,0.0059,0.0231,0.0212,0.0159,0.007,0.0045,0.0067,0.0056,0.0061,0.0058,0.0071,0.0076,0.0167,0.0052,0.0139,0.0212,0.0168,0.0089,0.0098,0.007,0.0085,0.008,0.084,0.0084,0.0063,0.0048,0.0042,0.0056,0.0107,0.0118,0.0076,0.0102,0.0097,0.0337,0.0272,0
"DOM_A03",0.0041,1.0092,9e-04,0.001,7e-04,0.0352,0.0097,0.0017,0.0014,0.0013,0.0022,0.0018,0.0017,0.0012,7e-04,0.0011,0.0011,0.0013,0.0013,0.0015,0.0013,0.002,7e-04,0.0011,0.0011,0.0085,0.0012,9e-04,0.001,8e-04,0.0012,0.0295,8e-04,0.0011,7e-04,6e-04,4e-04,0.0013,0.0011,8e-04,8e-04,0.001,0.0039,0.0012,0
"DOM_B05_06",0.0095,0.0059,1.019,0.0329,0.0097,0.0085,0.0072,0.0093,0.0087,0.3425,0.0258,0.0074,0.0137,0.019,0.0363,0.0181,0.0056,0.0095,0.0084,0.008,0.0081,0.0072,0.0633,0.0084,0.0118,0.0083,0.0195,0.0119,0.0203,0.0063,0.0192,0.0072,0.0033,0.007,0.0021,0.0019,0.0026,0.0045,0.0036,0.0045,0.0024,0.0036,0.0044,0.0043,0
"DOM_B07_08",0.0055,0.0029,0.0085,1.0135,0.0051,0.0075,0.005,0.0116,0.0048,0.0054,0.0227,0.0087,0.0089,0.1167,0.3442,0.0797,0.0226,0.0556,0.045,0.0274,0.0223,0.0227,0.0062,0.0122,0.0279,0.0068,0.0068,0.0047,0.0044,0.0034,0.005,0.0044,0.0021,0.0033,0.0021,0.0012,0.004,0.003,0.0027,0.003,0.0021,0.0026,0.0054,0.0046,0
"DOM_B09",0.0018,8e-04,0.0557,0.0914,1.0049,0.0018,0.0013,0.0023,0.0017,0.0192,0.0044,0.0018,0.0021,0.0119,0.0325,0.0086,0.0026,0.0058,0.0048,0.0033,0.0029,0.0028,0.0044,0.0023,0.0049,0.0018,0.0025,0.0026,0.0029,0.0021,0.0022,0.0012,6e-04,0.0013,7e-04,4e-04,8e-04,0.001,9e-04,8e-04,5e-04,7e-04,0.0011,9e-04,0
"DOM_C10T12",0.0496,0.0202,0.0062,0.0074,0.0064,1.1686,0.0419,0.0134,0.0083,0.008,0.0223,0.0196,0.0116,0.0072,0.0044,0.0065,0.0069,0.0071,0.0072,0.0067,0.0072,0.0083,0.0048,0.0101,0.0067,0.0138,0.0063,0.0059,0.0076,0.006,0.0086,0.2151,0.0054,0.0066,0.0042,0.0048,0.0028,0.0119,0.0099,0.0074,0.0107,0.0142,0.0403,0.0122,0
"DOM_C13T15",0.0021,0.0031,0.0016,0.002,9e-04,0.0033,1.1195,0.003,0.0039,0.0012,0.0042,0.0032,0.0051,0.0035,0.0013,0.0037,0.0027,0.0024,0.0023,0.005,0.0053,0.0097,0.0015,0.003,0.004,0.0027,0.0031,0.0035,0.0028,0.0018,0.0032,0.0023,0.0013,0.0018,7e-04,7e-04,7e-04,0.0019,0.0021,0.0024,0.0027,0.0076,0.0054,0.008,0
"DOM_C16",0.0063,0.0024,0.0039,0.0071,0.0025,0.0044,0.0052,1.1502,0.0307,0.0037,0.0042,0.0031,0.0058,0.0058,0.0037,0.0094,0.0036,0.0044,0.0043,0.0078,0.0117,0.0636,0.0052,0.0116,0.0594,0.0046,0.0084,0.0045,0.0039,0.0085,0.0055,0.0041,0.005,0.0036,0.0028,0.002,0.0052,0.0032,0.003,0.0039,0.0054,0.0022,0.0061,0.0039,0
"DOM_C17_18",0.0114,0.0046,0.0057,0.008,0.0084,0.0279,0.0252,0.0165,1.1514,0.0067,0.0285,0.0274,0.0226,0.0165,0.0053,0.0107,0.014,0.0139,0.0122,0.0119,0.0119,0.0124,0.0079,0.0127,0.0117,0.0238,0.011,0.0104,0.0132,0.0087,0.0229,0.0186,0.1107,0.0236,0.022,0.0195,0.0066,0.0215,0.0159,0.0151,0.0214,0.0152,0.025,0.0165,0
"DOM_C19",0.0177,0.0134,0.0189,0.0345,0.0125,0.0102,0.0073,0.0139,0.0087,1.05,0.0413,0.0126,0.0246,0.014,0.0196,0.0131,0.0054,0.0079,0.0071,0.0089,0.0097,0.0083,0.0082,0.0122,0.0183,0.0075,0.0477,0.0294,0.0559,0.0087,0.0367,0.0061,0.0042,0.0137,0.0027,0.0025,0.0029,0.0061,0.0046,0.0059,0.0027,0.0046,0.0057,0.006,0
