"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1778,0.0259,0.003,0.0039,0.0046,0.2049,0.0241,0.1642,0.0417,0.0015,0.0062,0.0027,0.0084,0.0041,0.0031,0.0029,0.0026,0.0024,0.0027,0.0022,0.0037,0.0165,0.0017,0.0032,0.0083,0.0051,0.0034,0.0117,0.0076,0.0049,7e-04,0.0364,0.0065,0.0028,0.0049,0.0033,0.005,0.0045,0.005,0.0034,0.0027,0.0072,0.0033,0.0059,0
"DOM_A03",0,1.0221,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B05_06",0.0014,0.0018,1.0084,0.0024,0.003,0.0011,9e-04,0.0011,0.0012,0.0626,0.0023,4e-04,0.0013,0.002,0.0059,0.0011,5e-04,6e-04,7e-04,6e-04,7e-04,7e-04,0.0184,0.0012,0.001,6e-04,0.0024,0.0013,0.0029,6e-04,3e-04,0.001,6e-04,8e-04,4e-04,4e-04,5e-04,6e-04,5e-04,7e-04,6e-04,9e-04,9e-04,0.0011,0
"DOM_B07_08",0.0014,0.0032,0.0011,1.0112,0.0073,0.0016,7e-04,0.0012,0.0047,4e-04,0.0066,8e-04,0.0017,0.0556,0.0018,9e-04,0.001,0.001,7e-04,7e-04,6e-04,0.0011,4e-04,0.0025,0.0218,7e-04,0.0015,0.001,8e-04,8e-04,4e-04,0.0011,9e-04,7e-04,7e-04,7e-04,0.0035,9e-04,8e-04,0.0017,5e-04,7e-04,0.001,9e-04,0
"DOM_B09",0,0,0,1e-04,1.0003,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.0356,0.1076,0.0022,0.0019,0.003,1.0887,0.0198,0.0063,0.0052,0.001,0.0143,0.0049,0.0026,0.0018,0.0017,0.0015,0.0019,0.0014,0.0017,0.0012,0.002,0.0019,0.0012,0.0011,0.0016,0.0033,0.0033,0.02,0.0131,0.0077,3e-04,0.0905,0.0022,0.0017,0.0042,0.0033,7e-04,0.0036,0.0083,0.0023,0.0052,0.0172,0.0017,0.005,0
"DOM_C13T15",0.0014,0.0032,0.0011,7e-04,8e-04,0.0012,1.0917,0.002,0.0013,6e-04,0.0011,0.001,0.0049,0.0021,9e-04,0.001,0.0011,0.0013,0.0014,0.0018,0.0021,0.0037,5e-04,6e-04,0.0021,0.0017,0.001,0.0014,0.0016,5e-04,2e-04,0.0014,0.001,0.0012,4e-04,6e-04,5e-04,0.001,7e-04,9e-04,7e-04,0.0032,0.0015,0.0013,0
"DOM_C16",0.0063,0.0107,0.0043,0.005,0.005,0.0037,0.0032,1.2052,0.0287,0.0013,0.0041,0.0018,0.0043,0.0058,0.0055,0.0057,0.0029,0.0038,0.0039,0.0035,0.0065,0.0736,0.0017,0.003,0.0261,0.003,0.002,0.0034,0.0029,0.0016,5e-04,0.0023,0.0045,0.0024,0.0022,0.0019,0.0062,0.0031,0.0016,0.0033,0.0014,0.0023,0.0035,0.005,0
"DOM_C17_18",0.0075,0.0155,0.0063,0.0123,0.0152,0.0301,0.02,0.0213,1.1898,0.0052,0.0298,0.014,0.0178,0.0153,0.0094,0.0099,0.0106,0.0115,0.0117,0.0079,0.0134,0.0112,0.0068,0.0098,0.0099,0.0241,0.0095,0.016,0.0215,0.0116,0.0026,0.011,0.1273,0.0207,0.0229,0.0212,0.0055,0.0508,0.02,0.0198,0.0041,0.0088,0.0218,0.0639,0
"DOM_C19",0.015,0.0126,0.0067,0.0193,0.0186,0.0081,0.0063,0.0086,0.0054,1.0156,0.0183,0.003,0.0105,0.0111,0.0176,0.0057,0.0033,0.0036,0.004,0.0032,0.0035,0.0046,0.0059,0.0086,0.0096,0.0052,0.0238,0.0168,0.0408,0.006,0.0039,0.0069,0.0034,0.0052,0.0034,0.0022,0.0027,0.0043,0.0043,0.0046,0.0032,0.0058,0.0039,0.008,0
"DOM_C20",0.0187,0.0092,0.0101,0.0121,0.0128,0.0094,0.0216,0.014,0.0233,0.0061,1.0727,0.0092,0.0829,0.016,0.0072,0.0078,0.0157,0.0127,0.0071,0.0075,0.0054,0.01,0.0018,0.0035,0.0089,0.0054,0.0029,0.005,0.0048,0.0021,5e-04,0.0046,0.0076,0.0036,0.0028,0.0029,0.0032,0.0065,0.0041,0.0032,0.0018,0.0099,0.0053,0.0085,0
"DOM_C21",0.0013,0.0011,0.0021,0.0023,0.0024,0.0018,0.0046,0.0013,9e-04,7e-04,0.0035,1.1072,0.0014,9e-04,0.0016,8e-04,8e-04,7e-04,8e-04,6e-04,0.0012,9e-04,4e-04,6e-04,8e-04,5e-04,4e-04,7e-04,7e-04,3e-04,1e-04,0.001,6e-04,5e-04,5e-04,4e-04,3e-04,0.0013,5e-04,6e-04,2e-04,0.0072,4e-04,5e-04,0
"DOM_C22",0.0041,0.0089,0.0035,0.007,0.0076,0.0094,0.0093,0.0053,0.0061,0.0029,0.0089,0.0043,1.0207,0.0055,0.0035,0.0115,0.0119,0.013,0.0153,0.0174,0.0158,0.0123,0.0018,0.0068,0.0086,0.0069,0.0049,0.0045,0.0042,0.0022,5e-04,0.0027,0.0049,0.0052,0.0038,0.0031,0.0023,0.0051,0.0032,0.002,0.001,0.004,0.0039,0.0037,0
"DOM_C23",0.006,0.0147,0.0043,0.0154,0.0184,0.007,0.0038,0.0087,0.0024,0.0017,0.0073,0.009,0.009,1.0754,0.0054,0.0063,0.0115,0.0116,0.0059,0.0081,0.0042,0.0077,0.0021,0.0055,0.0582,0.0034,0.0039,0.0044,0.004,0.0025,0.0011,0.0051,0.0026,0.0034,0.0029,0.0029,0.0125,0.0041,0.0024,0.0048,0.0016,0.0038,0.0036,0.0033,0
