"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0659,0.0011,0,0.001,0.0017,0.2019,0.0136,0.0379,0.0072,0.0017,0.0016,9e-04,0.0043,9e-04,8e-04,0.0016,0.0011,9e-04,0.0011,0.0019,8e-04,0.007,9e-04,0.0018,0.0017,0.0045,0.0016,0.004,0.0074,0.0031,7e-04,0.0402,0.0047,0.001,0.0016,0.001,3e-04,0.0023,0.0051,0.0016,5e-04,0.0061,0.0051,0.0038,0
"DOM_A03",2e-04,1.005,0,0,0,9e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,1e-04,1e-04,0,0,0.0013,0,0,0,0,0,0,2e-04,0,0,0,0,0,0
"DOM_B05_06",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",8e-04,6e-04,0,1.0142,0.003,8e-04,7e-04,0.001,0.0017,0.0025,0.0047,3e-04,0.001,0.0344,0.0027,9e-04,5e-04,6e-04,0.0015,7e-04,5e-04,0.0074,6e-04,0.001,0.0099,8e-04,9e-04,8e-04,7e-04,0.0013,2e-04,0.0021,6e-04,3e-04,3e-04,3e-04,0.0015,4e-04,6e-04,8e-04,2e-04,4e-04,6e-04,0.0059,0
"DOM_B09",1e-04,0.0013,0,0.0021,1.0079,1e-04,1e-04,1e-04,1e-04,0.0056,2e-04,0,1e-04,0.0011,2e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,3e-04,1e-04,6e-04,1e-04,2e-04,2e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,0
"DOM_C10T12",0.1783,0.0021,0,0.0019,0.0052,1.1948,0.0097,0.0094,0.0052,0.0057,0.0065,0.0021,0.0033,0.0022,0.0021,0.0034,0.0025,0.0023,0.0025,0.0025,0.0017,0.0041,0.0018,0.0045,0.003,0.0104,0.0042,0.0159,0.0388,0.0112,0.0017,0.2069,0.0046,0.0028,0.0041,0.0029,7e-04,0.0048,0.0207,0.0027,9e-04,0.0181,0.0187,0.006,0
"DOM_C13T15",0.0026,0.0395,0,0.002,0.0043,0.0061,1.2291,0.004,0.0137,0.0023,0.004,0.0025,0.0165,0.0033,0.0018,0.003,0.0035,0.0017,0.0038,0.021,0.0026,0.0388,0.0017,0.0091,0.006,0.0067,0.0027,0.0046,0.0052,0.0061,0.0025,0.0045,0.0062,0.0067,0.0034,0.0017,0.001,0.0051,0.0157,0.0018,0.001,0.0047,0.0059,0.0024,0
"DOM_C16",0.002,0.0024,0,0.0017,0.0042,0.0022,0.0013,1.2361,0.0043,0.0012,0.0014,9e-04,0.0024,0.0035,0.0016,0.0035,0.0045,0.0023,0.0036,0.0031,0.0036,0.0612,0.0016,0.0015,0.0214,0.0026,0.0018,0.0042,0.0033,0.0099,7e-04,0.0019,0.0039,9e-04,0.0014,0.0011,0.0015,0.0038,0.0054,0.0015,7e-04,0.0012,0.0068,0.0051,0
"DOM_C17_18",0.0067,0.0038,0,0.0051,0.012,0.0203,0.0101,0.0115,1.2355,0.0057,0.0086,0.0093,0.0115,0.0084,0.0069,0.0086,0.0087,0.0056,0.0093,0.0062,0.006,0.0117,0.0043,0.0077,0.0093,0.0158,0.0081,0.0132,0.0124,0.018,0.0041,0.0151,0.2362,0.0101,0.0188,0.0091,0.0023,0.0414,0.0195,0.0095,0.0147,0.009,0.0402,0.0113,0
"DOM_C19",0.0143,0.0267,0,0.0181,0.0269,0.0114,0.0105,0.0115,0.0094,1.0973,0.0176,0.0061,0.017,0.0114,0.0251,0.0106,0.0049,0.0056,0.0076,0.006,0.0094,0.0089,0.0242,0.0089,0.0135,0.0132,0.0443,0.0267,0.0529,0.0198,0.0266,0.0075,0.0065,0.0144,0.007,0.0045,0.0023,0.0088,0.0106,0.0072,0.0024,0.0065,0.0066,0.0121,0
"DOM_C20",0.0293,0.0064,0,0.0106,0.0128,0.0136,0.0522,0.0345,0.023,0.0767,1.1078,0.023,0.1366,0.0133,0.0064,0.017,0.0081,0.0037,0.0087,0.0139,0.0044,0.012,0.0077,0.0127,0.0138,0.0136,0.0074,0.0082,0.0086,0.0085,0.0052,0.0073,0.0151,0.0047,0.0052,0.0033,0.0028,0.0087,0.0104,0.0036,0.0023,0.0256,0.0067,0.0099,0
"DOM_C21",0.0044,7e-04,0,4e-04,9e-04,0.002,0.0104,0.0024,0.0013,0.0021,0.01,1.1936,0.0036,6e-04,7e-04,7e-04,6e-04,4e-04,4e-04,8e-04,5e-04,0.0011,4e-04,0.0012,7e-04,0.0011,4e-04,7e-04,6e-04,7e-04,3e-04,0.001,0.0015,3e-04,4e-04,4e-04,1e-04,0.001,8e-04,4e-04,4e-04,0.0185,0.0017,5e-04,0
