"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1101,0.0076,0.0029,0.0043,0.0034,0.4697,0.034,0.4363,0.1162,0.0156,0.0465,0.0453,0.0489,0.022,0.011,0.0129,0.0162,0.0158,0.013,0.0136,0.0128,0.0613,0.0108,0.0033,0.0337,0.0113,0.0085,0.0069,0.0121,0.008,0.0096,0.1307,0.0259,0.0074,0.0053,0.0028,0.0036,0.0053,0.0059,0.0108,0.0092,0.0176,0.0123,0.0152,0
"DOM_A03",0.0023,1.0484,4e-04,4e-04,5e-04,0.0494,0.0013,0.0021,0.0017,0.002,0.0032,0.0029,0.0021,0.0016,0.0011,0.0011,0.0017,0.0015,0.0013,0.0012,0.0011,0.0023,8e-04,3e-04,0.0013,0.0012,0.001,0.0016,0.002,0.001,9e-04,0.0357,0.0019,8e-04,6e-04,3e-04,2e-04,5e-04,6e-04,9e-04,0.0011,0.0024,0.0014,0.0017,0
"DOM_B05_06",0.0018,0.0021,1.0036,0.0046,0.0031,0.0029,0.0022,0.0032,0.0052,0.2666,0.0191,0.0049,0.0103,0.0145,0.012,0.0064,0.0053,0.0072,0.0054,0.0048,0.0042,0.0056,0.0262,0.0019,0.0082,0.0021,0.0205,0.0102,0.0239,0.0049,0.0085,0.002,0.0029,0.0023,0.0011,7e-04,8e-04,0.0011,0.0017,0.0022,0.0014,0.0019,0.0012,0.003,0
"DOM_B07_08",0,0,1e-04,1.0012,2e-04,1e-04,1e-04,1e-04,3e-04,5e-04,0.0015,3e-04,5e-04,0.0103,0.0029,9e-04,5e-04,8e-04,6e-04,5e-04,4e-04,4e-04,3e-04,1e-04,0.0027,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,0,0,1e-04,0,1e-04,0,1e-04,0
"DOM_B09",0,1e-04,0.0015,6e-04,1.0008,1e-04,1e-04,1e-04,2e-04,0.0061,5e-04,1e-04,2e-04,8e-04,3e-04,2e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,4e-04,0,4e-04,1e-04,5e-04,2e-04,6e-04,1e-04,2e-04,1e-04,1e-04,1e-04,0,0,0,0,0,1e-04,0,0,0,1e-04,0
"DOM_C10T12",0.0271,0.0088,0.0011,0.0015,0.0013,1.1266,0.0101,0.0131,0.0111,0.0077,0.0294,0.0258,0.0149,0.0073,0.0049,0.0046,0.0068,0.0063,0.005,0.0046,0.004,0.0069,0.0029,0.0014,0.005,0.0047,0.0035,0.0046,0.0082,0.0039,0.0037,0.1683,0.007,0.0028,0.0025,0.0013,8e-04,0.0023,0.0029,0.0058,0.0066,0.0158,0.0077,0.0086,0
"DOM_C13T15",0.0013,0.0018,0.0016,0.0016,0.0017,0.0043,1.1858,0.0047,0.0091,0.0059,0.0086,0.0075,0.0169,0.0091,0.0058,0.0075,0.0097,0.0093,0.0087,0.0131,0.0081,0.0221,0.0032,0.0017,0.0085,0.0032,0.0043,0.0028,0.0054,0.003,0.0075,0.0042,0.0066,0.0037,0.0016,0.001,9e-04,0.0018,0.0024,0.0045,0.0019,0.0065,0.0042,0.0097,0
"DOM_C16",8e-04,6e-04,9e-04,0.0015,0.0012,0.002,0.0015,1.1123,0.0157,0.0029,0.0042,0.003,0.0053,0.0119,0.0042,0.0066,0.0052,0.0063,0.0056,0.0072,0.0104,0.0728,0.0032,9e-04,0.041,0.0013,0.0022,0.0013,0.0022,0.0022,0.0021,0.0014,0.0043,0.0018,9e-04,5e-04,0.0024,0.0011,0.001,0.0014,0.0012,0.0012,0.0015,0.0043,0
"DOM_C17_18",0.0021,0.0014,0.0017,0.0037,0.0026,0.0222,0.0116,0.0136,1.3335,0.0123,0.0374,0.0393,0.0358,0.044,0.0104,0.0151,0.03,0.0281,0.0168,0.0139,0.0105,0.0243,0.0061,0.0035,0.0139,0.0094,0.0069,0.004,0.0079,0.0086,0.0286,0.0096,0.1868,0.0158,0.0155,0.0081,0.0026,0.015,0.0103,0.0094,0.0122,0.0084,0.0099,0.0161,0
"DOM_C19",0.0076,0.0096,0.0089,0.0192,0.0109,0.0121,0.0088,0.0135,0.0204,1.2381,0.0772,0.02,0.0425,0.0548,0.0454,0.0253,0.0214,0.0288,0.0214,0.0192,0.017,0.0233,0.0551,0.0083,0.0344,0.009,0.0925,0.046,0.1087,0.0216,0.0376,0.0083,0.0119,0.0097,0.0047,0.0028,0.0032,0.0045,0.0072,0.0093,0.0057,0.0077,0.005,0.0127,0
"DOM_C20",0.0133,0.0022,0.0055,0.0115,0.0065,0.0167,0.0223,0.026,0.0639,0.0772,1.2966,0.1153,0.2998,0.0715,0.0364,0.0378,0.0528,0.065,0.0355,0.0458,0.0286,0.0417,0.0117,0.0062,0.0362,0.0053,0.0133,0.0063,0.0124,0.0067,0.0089,0.0073,0.0241,0.0056,0.0039,0.0017,0.0029,0.0049,0.0052,0.0051,0.0045,0.0186,0.0051,0.0158,0
"DOM_C21",7e-04,1e-04,2e-04,6e-04,2e-04,0.0013,0.0011,8e-04,0.0017,0.0019,0.0103,1.114,0.0055,0.0017,0.0018,0.0012,0.0019,0.0016,0.0013,0.0012,0.0014,0.0014,4e-04,3e-04,0.001,3e-04,5e-04,3e-04,6e-04,3e-04,5e-04,6e-04,9e-04,3e-04,3e-04,1e-04,1e-04,6e-04,3e-04,7e-04,5e-04,0.0172,4e-04,8e-04,0
"DOM_C22",0.0019,0.0014,0.0022,0.0038,0.0035,0.0117,0.0093,0.0082,0.0185,0.0111,0.0293,0.0209,1.1071,0.0213,0.0099,0.0199,0.0442,0.0486,0.0317,0.0607,0.0273,0.0321,0.0042,0.0029,0.0298,0.0049,0.0131,0.0025,0.0054,0.0049,0.0067,0.0042,0.0082,0.0041,0.0024,9e-04,0.0019,0.0021,0.0024,0.0026,0.0016,0.0042,0.0019,0.0095,0
"DOM_C23",0.001,4e-04,0.0016,0.0042,0.003,0.0045,0.0017,0.0053,0.0033,0.0056,0.0098,0.0091,0.0102,1.1431,0.0141,0.011,0.0157,0.0166,0.0102,0.0133,0.0084,0.0099,0.0051,0.0016,0.1028,0.0016,0.0029,0.0014,0.0024,0.0027,0.0023,0.0027,0.0023,0.0027,0.001,7e-04,0.005,0.0012,0.001,0.0023,0.0014,0.0022,0.0014,0.0035,0
"DOM_C24",0.0015,0.0011,0.0063,0.006,0.008,0.0051,0.0039,0.0093,0.0105,0.0152,0.0221,0.0109,0.0298,0.0447,1.5119,0.3754,0.1186,0.2944,0.2203,0.1517,0.1262,0.0843,0.0118,0.0109,0.0727,0.0035,0.0075,0.0041,0.0069,0.0046,0.0048,0.0028,0.0055,0.0068,0.0025,0.001,0.0035,0.0023,0.002,0.0035,0.0019,0.0032,0.0021,0.011,0
"DOM_C25",0.0011,9e-04,0.0034,0.0034,0.0036,0.0048,0.0029,0.0072,0.0052,0.0108,0.0105,0.0061,0.0131,0.0152,0.0247,1.0675,0.027,0.0363,0.0508,0.0404,0.0318,0.0226,0.0057,0.0019,0.0353,0.0018,0.0036,0.0023,0.0036,0.0028,0.0028,0.0021,0.003,0.0032,0.0014,5e-04,0.0019,0.0013,0.0013,0.0022,0.0011,0.0016,0.0012,0.0054,0
"DOM_C26",2e-04,2e-04,5e-04,5e-04,6e-04,7e-04,7e-04,8e-04,0.0015,0.0023,0.002,0.0016,0.0022,0.0023,0.0019,0.0026,1.1344,0.0176,0.0087,0.0074,0.0076,0.0048,0.0021,5e-04,0.0037,9e-04,0.0013,8e-04,0.0018,0.0012,0.0027,7e-04,0.0032,0.0123,0.0051,7e-04,3e-04,0.0014,9e-04,0.0014,0.001,0.0039,9e-04,0.0076,0
"DOM_C27",4e-04,3e-04,8e-04,0.0011,0.0012,0.0011,0.001,0.0013,0.002,0.0038,0.0029,0.0021,0.0037,0.0045,0.0054,0.0062,0.0522,1.0961,0.0243,0.0207,0.0154,0.01,0.0105,9e-04,0.0148,0.0012,0.0026,0.0013,0.0021,0.0019,0.0026,0.001,0.0021,0.0074,0.0021,5e-04,0.001,0.001,9e-04,0.0012,8e-04,0.0013,0.0011,0.008,0
"DOM_C28",0.0011,6e-04,0.0031,0.0041,0.0045,0.0022,0.002,0.0028,0.0051,0.0085,0.0054,0.0037,0.0068,0.0105,0.0082,0.0102,0.0119,0.0147,1.0541,0.0222,0.0189,0.0178,0.005,0.0013,0.0109,0.0012,0.0029,0.002,0.0034,0.002,0.0024,0.0013,0.0025,0.002,9e-04,4e-04,7e-04,9e-04,0.0011,0.0021,7e-04,0.0011,9e-04,0.004,0
"DOM_C29",3e-04,2e-04,5e-04,7e-04,6e-04,9e-04,7e-04,9e-04,0.0012,0.0017,0.0017,0.0012,0.0027,0.0027,0.0067,0.0051,0.005,0.0072,0.0077,1.1356,0.0067,0.004,9e-04,6e-04,0.0025,0.0021,0.0068,8e-04,0.0013,0.0015,0.0021,5e-04,8e-04,0.001,4e-04,2e-04,2e-04,4e-04,7e-04,6e-04,3e-04,4e-04,3e-04,0.0014,0
"DOM_C30",0,0.001,1e-04,1e-04,1e-04,2e-04,2e-04,2e-04,2e-04,4e-04,3e-04,2e-04,4e-04,4e-04,4e-04,5e-04,7e-04,6e-04,8e-04,0.0022,1.0893,0.0022,2e-04,1e-04,4e-04,1e-04,0.0019,0.0076,0.013,6e-04,7e-04,1e-04,2e-04,2e-04,1e-04,0,0,1e-04,2e-04,0.0016,1e-04,1e-04,1e-04,4e-04,0
"DOM_C31T33",0.0019,0.002,0.004,0.0043,0.005,0.004,0.0065,0.0081,0.0086,0.0136,0.0087,0.0076,0.0101,0.0201,0.0105,0.0122,0.0157,0.017,0.0183,0.015,0.018,1.0569,0.0115,0.0032,0.0137,0.0028,0.0086,0.0085,0.0159,0.0046,0.0088,0.0037,0.0063,0.0071,0.003,0.0019,0.0017,0.0028,0.0031,0.0035,0.0033,0.0064,0.005,0.0077,0
"DOM_D",0.0024,0.0014,0.0059,0.0085,0.0045,0.0067,0.0059,0.0082,0.0197,0.0342,0.0277,0.0123,0.0237,0.0429,0.0379,0.0205,0.0168,0.0204,0.0169,0.0147,0.0128,0.0129,1.094,0.0051,0.0116,0.0038,0.0099,0.003,0.0063,0.0074,0.0082,0.0082,0.01,0.0088,0.0033,0.0022,0.0037,0.0027,0.0027,0.0056,0.0067,0.0071,0.0053,0.0089,0
"DOM_E",0.0014,8e-04,0.0026,0.0031,0.003,0.0051,0.0044,0.0056,0.0246,0.0158,0.0159,0.0098,0.0182,0.0245,0.0961,0.0339,0.017,0.0264,0.0214,0.0164,0.0146,0.0133,0.0103,1.0727,0.0141,0.0039,0.0075,0.0031,0.0048,0.0056,0.0062,0.0078,0.0106,0.0061,0.0034,0.0016,0.0055,0.0034,0.0028,0.0124,0.0044,0.0085,0.0045,0.0086,0
"DOM_F",0.0026,0.0015,0.005,0.0067,0.0067,0.0051,0.0044,0.0065,0.0078,0.0187,0.0112,0.0082,0.0105,0.0213,0.0111,0.011,0.013,0.0131,0.0117,0.0092,0.0093,0.0135,0.028,0.0064,1.1306,0.0054,0.0131,0.0051,0.0098,0.0165,0.0129,0.0072,0.0089,0.0166,0.0045,0.0044,0.04,0.0051,0.0038,0.0159,0.0083,0.007,0.0066,0.0102,0
"DOM_G",0.0187,0.0112,0.0072,0.0134,0.0125,0.0782,0.0703,0.059,0.0741,0.0773,0.0869,0.0713,0.089,0.0759,0.0605,0.0595,0.0885,0.0792,0.0666,0.0948,0.0544,0.0669,0.0244,0.0097,0.0543,1.0265,0.0553,0.0198,0.0378,0.0211,0.0344,0.047,0.0481,0.0215,0.0125,0.0056,0.0053,0.0102,0.0136,0.0121,0.0088,0.0183,0.011,0.0271,0
"DOM_H49",0.0053,0.0033,0.0056,0.0111,0.0047,0.0227,0.0125,0.0218,0.0266,0.0406,0.0307,0.0174,0.0307,0.0416,0.0283,0.0249,0.0237,0.0283,0.0229,0.0236,0.0168,0.0203,0.0097,0.0041,0.0223,0.0109,1.034,0.011,0.019,0.0277,0.0359,0.0113,0.0153,0.0062,0.0039,0.0019,0.0018,0.0033,0.0044,0.0044,0.004,0.005,0.0035,0.0092,0
"DOM_H50",9e-04,0.0011,0.0028,0.0028,0.0024,0.0035,0.0051,0.003,0.0056,0.0207,0.0084,0.0044,0.0074,0.0081,0.0078,0.0064,0.0068,0.0072,0.0063,0.0062,0.0046,0.0047,0.0024,7e-04,0.0043,0.0034,0.0065,1.084,0.0062,0.0106,0.0078,0.0019,0.0027,0.0015,9e-04,4e-04,4e-04,8e-04,0.0014,0.0014,7e-04,0.0011,8e-04,0.002,0
"DOM_H51",6e-04,4e-04,8e-04,8e-04,8e-04,0.0025,0.0049,0.0017,0.0035,0.0038,0.0054,0.004,0.0057,0.0042,0.0048,0.0047,0.0067,0.0059,0.0052,0.0046,0.0042,0.0037,0.0016,5e-04,0.0032,0.0015,0.0019,0.0019,1.0164,0.0045,0.0124,0.0016,0.0028,0.0021,0.0017,9e-04,4e-04,0.0012,0.0036,0.0017,0.001,0.0012,0.001,0.0023,0
"DOM_H52",0.0016,0.0021,0.0018,0.0042,0.003,0.0072,0.0049,0.0064,0.0097,0.0225,0.0134,0.0078,0.0114,0.0146,0.0104,0.0095,0.0103,0.0106,0.0083,0.0097,0.0069,0.0074,0.004,0.0015,0.0072,0.0091,0.0341,0.0524,0.0986,1.0507,0.016,0.0039,0.0059,0.0038,0.0018,8e-04,7e-04,0.0017,0.0025,0.002,0.0011,0.0017,0.0013,0.0035,0
"DOM_H53",2e-04,1e-04,3e-04,3e-04,4e-04,6e-04,8e-04,6e-04,0.0011,0.0019,0.0019,0.0016,0.0016,0.0015,0.001,0.0012,0.0021,0.0018,0.0015,0.0011,0.0011,0.0018,0.0013,4e-04,0.0011,0.0016,0.0015,8e-04,0.0015,0.0024,1.0711,9e-04,0.0056,0.0094,0.0017,0.0018,4e-04,0.0014,0.0014,0.0019,8e-04,0.001,0.0011,0.0027,0
"DOM_I",4e-04,3e-04,0.001,0.0014,0.0015,0.0018,0.0022,0.0017,0.0029,0.0047,0.0048,0.0052,0.0045,0.0049,0.0034,0.0043,0.0066,0.0052,0.0048,0.0034,0.0038,0.0044,0.0024,9e-04,0.0041,0.003,0.0044,0.0026,0.0154,0.0064,0.0052,1.0032,0.0061,0.0044,0.0045,0.0027,9e-04,0.0033,0.006,0.004,0.0029,0.0042,0.0038,0.0062,0
"DOM_J58T60",4e-04,2e-04,7e-04,9e-04,9e-04,0.0025,0.0025,0.0017,0.0071,0.0043,0.0058,0.0072,0.0047,0.0049,0.0027,0.0033,0.0071,0.0048,0.004,0.0038,0.0035,0.0044,0.0023,0.0011,0.0031,0.0035,0.0026,0.0015,0.0041,0.0032,0.0065,0.0028,1.094,0.0122,0.0093,0.0038,0.0011,0.0148,0.0047,0.0039,0.0067,0.0028,0.0093,0.008,0
"DOM_J61",7e-04,5e-04,0.0014,0.0015,0.0016,0.0024,0.0034,0.0025,0.0045,0.0067,0.0061,0.0059,0.006,0.0073,0.0042,0.0058,0.0119,0.0078,0.0072,0.0051,0.0051,0.0066,0.0044,0.0018,0.0061,0.0053,0.0062,0.0031,0.0074,0.0078,0.0118,0.0042,0.017,1.0848,0.0113,0.007,0.0019,0.0064,0.0059,0.0063,0.0038,0.0046,0.0044,0.0107,0
"DOM_J62_63",2e-04,1e-04,6e-04,5e-04,6e-04,9e-04,0.0011,9e-04,0.0017,0.0033,0.0024,0.0029,0.0023,0.0024,0.0019,0.0021,0.0058,0.003,0.0026,0.0025,0.0024,0.0023,0.0025,9e-04,0.0019,0.0015,0.0021,0.001,0.0033,0.0021,0.0044,0.001,0.0058,0.0095,1.019,0.0036,5e-04,0.0024,0.0017,0.0027,0.0012,0.0014,0.0012,0.0037,0
"DOM_K",0.0047,0.0029,0.0087,0.0082,0.0077,0.0105,0.0119,0.0111,0.0171,0.0373,0.0245,0.0202,0.0244,0.0286,0.0226,0.0218,0.0288,0.0261,0.0235,0.0207,0.0198,0.0242,0.0232,0.0054,0.0244,0.0122,0.0234,0.0125,0.022,0.0167,0.02,0.0114,0.0201,0.024,0.0123,1.0533,0.0208,0.0102,0.0119,0.0119,0.0067,0.0094,0.008,0.0172,0
"DOM_L",0.001,7e-04,0.002,0.0023,0.0025,0.0041,0.0063,0.0046,0.0072,0.0116,0.008,0.0079,0.0102,0.0103,0.0066,0.0101,0.0131,0.0107,0.009,0.0078,0.008,0.0102,0.0065,0.0026,0.0099,0.0135,0.0088,0.0047,0.0105,0.0144,0.0139,0.0188,0.0157,0.0161,0.0122,0.0086,1.0092,0.0094,0.0082,0.0071,0.0071,0.0088,0.0091,0.0183,0
"DOM_M",0.0027,0.0014,0.0085,0.0066,0.012,0.0123,0.012,0.0083,0.018,0.0322,0.0302,0.0461,0.027,0.0293,0.0188,0.0209,0.0455,0.0306,0.025,0.0238,0.0235,0.0228,0.0178,0.0073,0.0323,0.014,0.0138,0.0095,0.0181,0.0152,0.0178,0.0108,0.0405,0.0318,0.0221,0.0133,0.008,1.0304,0.0172,0.0117,0.0068,0.0105,0.0123,0.0225,0
"DOM_N",0.0019,0.0012,0.0058,0.0059,0.0119,0.0089,0.0092,0.0072,0.0149,0.0237,0.021,0.0282,0.02,0.023,0.0149,0.0185,0.0306,0.0229,0.0191,0.0168,0.0166,0.0196,0.014,0.0049,0.0195,0.0098,0.0167,0.0128,0.0301,0.0214,0.0283,0.0095,0.0258,0.0252,0.0171,0.0102,0.0065,0.0148,1.0233,0.0092,0.0071,0.0122,0.0112,0.0205,0
"DOM_O",0.001,0.001,0.0017,0.0025,0.0031,0.0035,0.0032,0.0041,0.0056,0.0101,0.0087,0.0097,0.0083,0.0102,0.0099,0.0081,0.0104,0.0087,0.0075,0.0075,0.0064,0.0082,0.006,0.0038,0.0088,0.0033,0.0106,0.0035,0.0069,0.0067,0.0071,0.0037,0.01,0.0083,0.0041,0.0029,0.0027,0.0042,0.0035,1.0164,0.0056,0.0056,0.0043,0.0071,0
"DOM_P",2e-04,2e-04,5e-04,5e-04,5e-04,8e-04,9e-04,8e-04,0.0014,0.0026,0.002,0.0038,0.0022,0.0025,0.0019,0.0019,0.0043,0.0029,0.0022,0.0021,0.0022,0.002,0.0016,5e-04,0.0016,9e-04,0.0015,7e-04,0.0033,0.0015,0.0024,7e-04,0.0025,0.0031,0.0035,0.0017,3e-04,0.0019,0.0015,0.0036,1.0105,0.0021,0.0012,0.0029,0
