"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1323,0.0047,0.0031,0.0036,0.0067,0.0878,0.0061,0.2041,0.019,0.0036,0.0219,0.0068,0.0048,0.0038,0.005,0.0048,0.0042,0.004,0.0049,0.0052,0.0044,0.0072,0.0028,0.0046,0.0058,0.0067,0.0044,0.0037,0.0049,0.0056,0.0039,0.0107,0.0027,0.0032,0.0035,0.0017,0.0021,0.0039,0.0073,0.0021,0.001,0.0037,0.0048,0.0062,0
"DOM_A03",2e-04,1.065,0,1e-04,1e-04,0.0027,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,4e-04,1e-04,2e-04,1e-04,0.0012,2e-04,4e-04,0,0,0,0,0,0,1e-04,1e-04,0,0,1e-04,1e-04,0
"DOM_B05_06",0.0026,0.0027,1.0056,0.0032,0.0037,0.003,0.0012,0.0062,0.002,0.0067,0.0038,0.0041,0.0015,0.0058,0.005,0.0021,0.002,0.002,0.0026,0.0018,0.0024,0.002,0.0143,0.0037,0.0243,0.0031,0.0106,0.0032,0.0021,0.0037,0.0018,0.0025,0.0012,0.0015,0.002,0.0012,0.0023,0.0015,0.0044,0.0011,9e-04,0.0025,0.0025,0.0103,0
"DOM_B07_08",0.0022,0.0028,8e-04,1.0882,0.0102,0.0092,0.001,0.0024,0.0035,0.0016,0.032,0.0175,0.0016,0.0031,0.0318,0.0112,0.0033,0.0054,0.0155,0.0038,0.0067,0.0035,0.0015,0.0078,0.0296,0.0026,0.0018,0.0016,0.0029,0.0043,0.0036,0.0071,0.0023,0.0015,0.001,0.0011,0.0035,0.0028,0.0048,0.0012,0.001,0.0052,0.005,0.0022,0
"DOM_B09",2e-04,7e-04,0.0044,0.0082,1.022,2e-04,1e-04,2e-04,2e-04,0.0024,5e-04,3e-04,1e-04,8e-04,0.0016,3e-04,1e-04,2e-04,3e-04,1e-04,3e-04,1e-04,4e-04,3e-04,0.001,1e-04,4e-04,2e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,0
"DOM_C10T12",0.0091,0.0028,3e-04,9e-04,0.0019,1.2007,6e-04,0.0022,6e-04,3e-04,0.0011,0.0014,5e-04,5e-04,5e-04,6e-04,7e-04,5e-04,0.0012,7e-04,7e-04,9e-04,4e-04,4e-04,9e-04,0.0027,0.001,0.0029,0.0019,0.0013,8e-04,0.0874,6e-04,4e-04,6e-04,4e-04,6e-04,0.0017,0.0026,0.0015,0.001,0.0037,0.0051,0.0017,0
"DOM_C13T15",0.0015,0.0011,8e-04,0.0012,0.0034,0.0017,1.1123,0.0025,0.0026,8e-04,0.0014,0.0086,0.0037,0.0011,0.0017,0.0018,0.0021,0.0013,0.0015,0.0844,0.0023,0.0043,0.0013,0.0022,0.0019,0.0036,0.0022,0.001,0.0018,0.0024,0.0011,0.0017,0.0011,9e-04,7e-04,6e-04,0.0013,0.0014,0.0031,0.0026,3e-04,0.0013,0.0029,0.0081,0
"DOM_C16",0.0022,0.0011,7e-04,0.0013,0.0025,0.0022,0.0014,1.1721,0.0021,0.0012,0.0066,0.0012,0.0022,0.001,0.0021,0.0022,0.0014,0.0026,0.0019,0.0015,0.0017,0.0169,8e-04,0.0015,0.0032,0.0019,0.0013,9e-04,0.0011,0.0025,0.0015,0.001,0.0012,5e-04,5e-04,4e-04,0.0014,8e-04,0.0011,5e-04,2e-04,7e-04,0.001,0.0021,0
"DOM_C17_18",0.0041,0.0037,0.0019,0.003,0.0071,0.0138,0.0038,0.0072,1.2234,0.0023,0.0118,0.0094,0.0048,0.0059,0.0038,0.0043,0.0088,0.0036,0.0063,0.0041,0.0092,0.0103,0.0018,0.0036,0.0048,0.0105,0.0041,0.0038,0.0056,0.0061,0.0117,0.0075,0.0298,0.0035,0.0056,0.0161,0.0025,0.0197,0.0076,0.0191,0.0039,0.0084,0.0128,0.0757,0
"DOM_C19",0.03,0.0222,0.005,0.0339,0.0294,0.015,0.0046,0.0219,0.0071,1.0103,0.0105,0.0099,0.0054,0.0124,0.0187,0.0099,0.0059,0.0075,0.0092,0.0075,0.0081,0.0075,0.0085,0.0181,0.0244,0.0136,0.095,0.0527,0.0775,0.0201,0.0237,0.0073,0.0035,0.0043,0.0027,0.0029,0.0038,0.0047,0.0119,0.0028,0.0022,0.0051,0.0061,0.0067,0
