"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.2795,0.0574,0.0057,0.0056,0.0062,0.44,0.0371,0.1884,0.0334,0.0015,0.034,0.0294,0.0256,0.0077,0.0055,0.0053,0.0072,0.0067,0.0056,0.0051,0.0063,0.0212,0.0065,0.0097,0.0101,0.0128,0.0059,0.0131,0.0115,0.0082,0.0066,0.1455,0.015,0.0075,0.007,0.0039,0.002,0.0068,0.0101,0.0131,0.0099,0.0158,0.0295,0.0201,0
"DOM_A03",6e-04,1.0146,0,0,1e-04,0.0034,1e-04,1e-04,1e-04,0,2e-04,2e-04,1e-04,0,0,0,1e-04,0,0,0,0,1e-04,0,1e-04,0,1e-04,0,1e-04,1e-04,1e-04,0,0.002,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,1e-04,1e-04,3e-04,1e-04,0
"DOM_B05_06",0.001,0.0012,1.0055,0.0027,0.0035,0.001,8e-04,0.0013,0.0015,0.0252,0.0037,9e-04,0.0015,0.0034,0.0041,0.0013,0.001,0.0014,0.001,7e-04,9e-04,0.001,0.0127,0.0016,0.0011,6e-04,0.0022,0.0029,0.0035,0.0011,0.001,8e-04,8e-04,8e-04,4e-04,3e-04,2e-04,4e-04,5e-04,7e-04,4e-04,6e-04,0.0012,0.0011,0
"DOM_B07_08",6e-04,4e-04,0.0011,1.0102,0.0033,6e-04,3e-04,7e-04,9e-04,7e-04,0.0049,8e-04,0.001,0.0322,0.0094,0.0022,0.0011,0.0021,0.0013,9e-04,0.0011,0.0015,0.0014,0.0012,0.0089,2e-04,4e-04,3e-04,3e-04,4e-04,2e-04,3e-04,3e-04,3e-04,2e-04,1e-04,3e-04,2e-04,2e-04,4e-04,2e-04,2e-04,5e-04,5e-04,0
"DOM_B09",2e-04,4e-04,0.0229,0.0073,1.021,2e-04,2e-04,3e-04,5e-04,0.0041,8e-04,2e-04,3e-04,0.0024,0.0029,7e-04,3e-04,6e-04,4e-04,3e-04,3e-04,3e-04,0.0023,5e-04,0.0014,1e-04,4e-04,5e-04,6e-04,3e-04,2e-04,2e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,3e-04,2e-04,0
"DOM_C10T12",0.1653,0.1057,0.0039,0.0047,0.0048,1.2737,0.0187,0.0297,0.0143,0.0014,0.044,0.0338,0.0119,0.0064,0.005,0.0047,0.007,0.0062,0.0053,0.0041,0.0049,0.01,0.0045,0.0092,0.0057,0.0133,0.0056,0.0199,0.0161,0.0087,0.0059,0.292,0.0145,0.0077,0.0083,0.0046,0.0017,0.0078,0.0103,0.016,0.0153,0.0259,0.0452,0.0263,0
"DOM_C13T15",0.004,0.015,0.0044,0.0038,0.0041,0.0049,1.3688,0.0087,0.0131,8e-04,0.0053,0.0067,0.0181,0.0068,0.0044,0.0053,0.0071,0.0062,0.0062,0.0116,0.0095,0.0383,0.003,0.01,0.0061,0.0061,0.0039,0.0067,0.0059,0.0046,0.0082,0.0064,0.0096,0.0044,0.0038,0.0019,8e-04,0.0047,0.0063,0.0108,0.0032,0.0089,0.0193,0.0288,0
"DOM_C16",0.0021,0.002,0.0012,0.002,0.0014,0.0023,0.0019,1.17,0.0113,2e-04,0.0024,0.0017,0.0033,0.0047,0.0022,0.0034,0.0026,0.0034,0.0027,0.0033,0.0071,0.0481,0.002,0.0023,0.0185,0.0015,0.0012,0.0015,0.0015,0.002,0.0013,0.0014,0.0036,0.0013,9e-04,5e-04,0.0011,0.0014,0.0014,0.0013,9e-04,0.0014,0.0031,0.0046,0
"DOM_C17_18",0.0104,0.0109,0.0042,0.0067,0.0051,0.0335,0.0188,0.0353,1.4096,0.0015,0.0258,0.0409,0.0316,0.0284,0.0083,0.0111,0.0227,0.022,0.0128,0.0095,0.0098,0.0282,0.0056,0.0145,0.0093,0.0193,0.0069,0.0079,0.0079,0.0126,0.0336,0.0163,0.2244,0.0219,0.0244,0.0163,0.0029,0.0306,0.0205,0.0193,0.0192,0.0126,0.0408,0.033,0
"DOM_C19",0.0175,0.0326,0.0188,0.0301,0.0232,0.0135,0.0095,0.0167,0.0123,1.0415,0.0375,0.0115,0.0166,0.0319,0.0271,0.0114,0.0115,0.0131,0.0094,0.0079,0.0093,0.0126,0.0215,0.0203,0.0149,0.0099,0.0676,0.1022,0.1253,0.0182,0.0202,0.0085,0.0091,0.0074,0.0052,0.0035,0.0017,0.0061,0.0081,0.0087,0.0038,0.0059,0.0113,0.0144,0
