"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.067,0.0167,0.0081,0.0123,0.008,0.3205,0.0451,0.1116,0.0614,0.0583,0.08,0.0129,0.0439,0.0157,0.0149,0.0108,0.0079,0.0126,0.0077,0.0109,0.0073,0.0141,0.0061,0.0068,0.0106,0.0131,0.0126,0.0074,0.0195,0.0044,0.0036,0.0804,0.0296,0.0042,0.0025,0.0023,8e-04,0.0057,0.0042,0.0051,0.0056,0.0085,0.0068,0.0224,0
"DOM_A03",6e-04,1.0168,1e-04,1e-04,1e-04,0.0047,2e-04,5e-04,6e-04,1e-04,3e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,0,1e-04,1e-04,0,1e-04,2e-04,0,0,0.0036,4e-04,1e-04,0,0,0,1e-04,0,2e-04,4e-04,3e-04,1e-04,5e-04,0
"DOM_B05_06",0.0226,0.0048,1.0742,0.0298,0.0328,0.0218,0.0138,0.0192,0.0287,0.3267,0.0457,0.012,0.0281,0.0364,0.0427,0.0224,0.0089,0.0196,0.0121,0.0171,0.0095,0.0115,0.0794,0.0238,0.0152,0.0092,0.0554,0.0216,0.0728,0.0088,0.0081,0.0105,0.0069,0.005,0.003,0.0024,9e-04,0.0046,0.006,0.0036,0.003,0.0042,0.0057,0.0092,0
"DOM_B07_08",0.0057,8e-04,0.0087,1.0363,0.0187,0.0053,0.0031,0.006,0.0047,0.006,0.0206,0.003,0.0068,0.0873,0.1252,0.0272,0.0024,0.0208,0.0175,0.0146,0.0087,0.0093,0.0031,0.0103,0.0287,0.0014,0.0021,0.0019,0.0026,0.0017,0.0011,0.0024,0.0016,0.0019,8e-04,5e-04,0.0016,9e-04,0.0014,0.0012,7e-04,0.0013,0.0015,0.0019,0
"DOM_B09",0.0015,3e-04,0.0225,0.0143,1.0408,0.0014,8e-04,0.0012,0.0018,0.0187,0.003,8e-04,0.0018,0.005,0.0059,0.002,6e-04,0.0017,0.0012,0.0013,8e-04,9e-04,0.0045,0.0012,0.0027,6e-04,0.0033,0.0013,0.0042,7e-04,5e-04,7e-04,5e-04,4e-04,2e-04,2e-04,2e-04,3e-04,5e-04,3e-04,2e-04,3e-04,4e-04,6e-04,0
"DOM_C10T12",0.0506,0.0191,0.0092,0.0122,0.008,1.1725,0.0353,0.0165,0.0254,0.0247,0.0518,0.0156,0.0353,0.0136,0.0094,0.0109,0.0063,0.0131,0.0076,0.0093,0.0067,0.0098,0.0068,0.006,0.0075,0.0076,0.0069,0.005,0.0164,0.0041,0.0032,0.2187,0.0307,0.0043,0.0026,0.0035,9e-04,0.0062,0.0045,0.0086,0.0108,0.0157,0.006,0.0304,0
"DOM_C13T15",0.0026,4e-04,0.0028,0.0051,0.0023,0.0028,1.2379,0.0115,0.0047,0.0021,0.0028,0.0034,0.0081,0.0026,0.0027,0.0033,0.0024,0.0023,0.0025,0.0102,0.0047,0.0129,0.0023,0.0025,0.0026,0.0014,0.002,0.0028,0.0065,0.002,0.0019,0.0039,0.0036,0.0021,7e-04,0.0017,3e-04,0.0016,0.0019,0.0012,0.0019,0.0015,0.004,0.0117,0
"DOM_C16",0.0026,6e-04,0.0017,0.0026,0.0024,0.0028,0.0022,1.1253,0.008,0.0015,0.0017,0.0023,0.0024,0.0031,0.0046,0.0049,0.0044,0.0021,0.0051,0.0033,0.007,0.0445,0.0032,0.002,0.0107,0.0029,0.001,0.0034,0.0018,0.0026,0.0017,0.0013,0.0034,0.0013,8e-04,4e-04,0.001,0.001,0.0013,7e-04,5e-04,0.0018,0.0017,0.0021,0
"DOM_C17_18",0.0062,0.0015,0.0061,0.0077,0.0066,0.023,0.02,0.0358,1.1511,0.0072,0.014,0.0238,0.0292,0.0289,0.0069,0.0215,0.025,0.0147,0.0099,0.015,0.0076,0.0153,0.0055,0.005,0.008,0.015,0.0055,0.0085,0.0105,0.008,0.008,0.013,0.0615,0.0119,0.0115,0.0086,0.0018,0.0261,0.0134,0.0049,0.0057,0.0068,0.0143,0.0113,0
"DOM_C19",0.0827,0.0174,0.0522,0.1048,0.069,0.0724,0.0431,0.0557,0.0706,1.4318,0.151,0.0407,0.0974,0.1022,0.0847,0.0472,0.0309,0.06,0.0351,0.0484,0.0288,0.0365,0.0518,0.0335,0.046,0.0309,0.2354,0.0884,0.31,0.0303,0.0297,0.0349,0.0206,0.0112,0.0085,0.0067,0.0026,0.014,0.0152,0.0096,0.0082,0.0122,0.0142,0.0291,0
"DOM_C20",0.1555,0.0106,0.0486,0.0687,0.0335,0.0762,0.0833,0.0839,0.1209,0.0954,1.2891,0.0885,0.2458,0.0824,0.049,0.0588,0.0252,0.0784,0.0273,0.0456,0.0318,0.0511,0.0161,0.0308,0.0391,0.0168,0.0301,0.0191,0.0362,0.0114,0.0088,0.0248,0.0255,0.0104,0.0057,0.0044,0.0038,0.012,0.0169,0.0062,0.0065,0.0148,0.0154,0.0224,0
"DOM_C21",0.0065,4e-04,0.0021,8e-04,6e-04,0.0031,0.0021,0.0015,0.0016,0.0017,0.0031,1.0604,0.002,0.0012,0.0017,0.0012,9e-04,0.001,0.0016,9e-04,5e-04,8e-04,0.0013,6e-04,6e-04,6e-04,9e-04,7e-04,0.0011,7e-04,4e-04,0.001,6e-04,0.001,2e-04,2e-04,2e-04,5e-04,3e-04,6e-04,0.0012,0.0194,6e-04,0.0032,0
"DOM_C22",0.0077,0.002,0.0067,0.0151,0.0111,0.0312,0.0183,0.015,0.0257,0.0074,0.0201,0.0134,1.1452,0.031,0.0131,0.0159,0.0236,0.0392,0.0282,0.0743,0.0289,0.0353,0.0059,0.0101,0.0274,0.0097,0.0229,0.0268,0.0298,0.0061,0.004,0.0104,0.0186,0.0041,0.0026,0.0017,9e-04,0.0065,0.0053,0.0023,0.0023,0.0057,0.0062,0.0057,0
