"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0223,8e-04,6e-04,7e-04,6e-04,0.0283,0.001,0.002,7e-04,0.001,5e-04,7e-04,0.0015,5e-04,5e-04,0.011,0.0669,5e-04,0.0276,0,0.0175,0.0298,7e-04,0.0043,0.0047,0.0012,0.0025,6e-04,8e-04,9e-04,3e-04,0.0219,9e-04,9e-04,0.0016,5e-04,3e-04,0.0011,0.0027,0.0274,0.0137,0.017,8e-04,7e-04,0
"DOM_A03",3e-04,1,0,0,0,6e-04,0,0,0,0,0,0,0,0,0,3e-04,0,1e-04,7e-04,0,5e-04,7e-04,0,1e-04,0,0,1e-04,0,0,0,0,9e-04,0,0,0,0,0,0,1e-04,0.0012,4e-04,4e-04,0,0,0
"DOM_B05_06",0.0648,0.1831,1.1739,0.1455,0.0924,0.0703,0.0602,0.1111,0.1045,0.4899,0.3152,0.1271,0.0952,0.1123,0.1165,0.0932,0.2078,0.0873,0.1401,0,0.1474,0.1341,0.2547,0.0656,0.1364,0.0923,0.2294,0.1453,0.1774,0.1626,0.0806,0.0414,0.053,0.0598,0.0943,0.0389,0.0219,0.0767,0.1005,0.0989,0.0426,0.0575,0.0337,0.0381,0
"DOM_B07_08",0.0372,0.0232,0.0772,1.154,0.0736,0.0671,0.0657,0.3245,0.6358,0.0552,0.3879,0.4229,0.1975,0.888,0.9232,0.4952,0.0706,0.6567,0.1697,0,0.1325,0.1633,0.0949,0.0865,0.5301,0.1086,0.1538,0.5803,0.0858,0.0371,0.0326,0.1209,0.1308,0.3624,0.1672,0.1913,0.1058,0.1431,0.1017,0.1494,0.1025,0.0809,0.044,0.0523,0
"DOM_B09",0.0011,0.0026,0.0052,0.0031,1.0036,0.0015,0.0012,0.0078,0.003,0.0069,0.005,0.0025,0.0018,0.0024,0.0025,0.0108,0.0031,0.0019,0.0026,0,0.0025,0.0027,0.0038,0.0014,0.0039,0.0029,0.0058,0.0026,0.0032,0.0025,0.0012,0.001,0.0013,0.0014,0.0023,0.0026,0.0022,0.002,0.0021,0.0039,0.0023,0.0011,0.0016,9e-04,0
"DOM_C10T12",0.0216,0.02,8e-04,0.0011,6e-04,1.0642,0.0032,0.0023,0.0013,0.0022,0.001,0.0013,0.0027,8e-04,9e-04,0.0034,0.0024,0.0017,0.0072,0,0.0052,0.0066,0.0058,0.0033,0.0031,0.0038,0.0022,0.0015,0.0022,0.0091,6e-04,0.0314,0.0039,0.0011,0.0038,0.0013,0.0013,0.0027,0.0026,0.0066,0.0055,0.0052,0.0034,0.0032,0
"DOM_C13T15",7e-04,5e-04,6e-04,7e-04,4e-04,0.0038,1.0517,8e-04,6e-04,0.0014,7e-04,9e-04,0.0014,6e-04,6e-04,0.0085,9e-04,0.0036,0.0176,0,0.0153,0.0189,9e-04,0.0027,0.0096,0.0019,0.001,0.0014,0.0021,7e-04,0.0616,9e-04,8e-04,0.0011,0.0021,0.0011,3e-04,0.0013,0.0015,0.0013,0.0032,0.0025,5e-04,7e-04,0
"DOM_C16",0,0,1e-04,1e-04,1e-04,1e-04,2e-04,1.0008,4e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,2e-04,0,2e-04,2e-04,1e-04,2e-04,3e-04,2e-04,1e-04,1e-04,1e-04,5e-04,0.0044,0,4e-04,1e-04,3e-04,2e-04,0,3e-04,2e-04,1e-04,3e-04,1e-04,3e-04,3e-04,0
"DOM_C17_18",1e-04,1e-04,4e-04,5e-04,2e-04,4e-04,9e-04,0.0025,1.0018,3e-04,3e-04,2e-04,4e-04,3e-04,4e-04,5e-04,7e-04,3e-04,8e-04,0,6e-04,7e-04,3e-04,7e-04,9e-04,9e-04,4e-04,3e-04,3e-04,3e-04,2e-04,2e-04,0.0018,6e-04,0.0012,4e-04,1e-04,0.001,9e-04,5e-04,9e-04,4e-04,9e-04,9e-04,0
"DOM_C19",0.1461,0.2693,0.1358,0.2163,0.0879,0.1418,0.1129,0.2124,0.1731,1.1494,0.1421,0.1133,0.151,0.1671,0.1733,0.1624,0.3606,0.1273,0.2029,0,0.2486,0.1985,0.4894,0.1114,0.2348,0.1864,0.5161,0.2779,0.3982,0.3446,0.0384,0.0785,0.1014,0.0962,0.1924,0.0692,0.0353,0.1551,0.2174,0.2128,0.0869,0.1059,0.0638,0.0724,0
