"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1843,0.0602,0.002,0.003,0.0031,0.2725,0.0158,0.3218,0.0584,0.003,0.0103,0.0107,0.0216,0.0064,0.0031,0.005,0.0036,0.0044,0.0036,0.0037,0.0029,0.0222,0.0028,0.0024,0.0266,0.0049,0.0041,0.0033,0.0033,0.004,0.0037,0.0603,0.0056,0.0031,0.0036,0.0035,0.0029,0.0035,0.0029,0.0077,0.0029,0.0053,0.0054,0.006,0
"DOM_A03",0.0041,1.0258,1e-04,1e-04,1e-04,0.0281,3e-04,0.0012,4e-04,1e-04,5e-04,0.0028,6e-04,2e-04,1e-04,2e-04,2e-04,2e-04,1e-04,1e-04,1e-04,3e-04,1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,2e-04,1e-04,1e-04,0.0062,2e-04,1e-04,2e-04,2e-04,1e-04,2e-04,1e-04,2e-04,1e-04,4e-04,2e-04,2e-04,0
"DOM_B05_06",0.0238,0.0544,1.053,0.028,0.0319,0.0193,0.0135,0.0216,0.0298,0.4986,0.1237,0.0131,0.0239,0.0435,0.0321,0.0184,0.0073,0.0136,0.014,0.0107,0.0087,0.0173,0.0627,0.0254,0.0213,0.0168,0.0678,0.1208,0.1171,0.0205,0.0298,0.0119,0.009,0.0064,0.0054,0.0112,0.0106,0.0068,0.0122,0.0117,0.0135,0.009,0.0102,0.0167,0
"DOM_B07_08",0.0014,0.0027,0.0023,1.0062,0.005,0.0021,0.0012,0.0018,0.0031,0.0022,0.0035,0.0023,0.0027,0.0395,0.09,0.0116,0.0022,0.0062,0.0067,0.0053,0.0039,0.0113,0.0026,0.001,0.0107,0.0014,0.0012,0.0016,0.0016,0.0022,0.001,0.0014,0.0014,0.0011,0.0014,0.0015,0.0013,0.0013,0.0015,0.0018,8e-04,0.0013,0.0016,0.0014,0
"DOM_B09",0.0014,0.003,0.0373,0.0199,1.0274,0.001,7e-04,0.0011,0.0014,0.0178,0.0047,8e-04,0.0011,0.0027,0.0031,0.0011,5e-04,0.001,0.0017,8e-04,6e-04,0.0011,0.003,0.0012,0.0266,9e-04,0.0031,0.0047,0.0044,0.0013,0.0013,8e-04,7e-04,7e-04,9e-04,0.001,0.0022,6e-04,8e-04,0.0014,0.001,9e-04,0.0011,0.0011,0
"DOM_C10T12",0.0555,0.0193,0.0024,0.0036,0.0041,1.158,0.0118,0.0188,0.0097,0.004,0.0174,0.0294,0.02,0.0061,0.0038,0.0058,0.006,0.0063,0.0046,0.0048,0.0049,0.0077,0.0022,0.0032,0.006,0.0073,0.0031,0.0045,0.0053,0.0044,0.0035,0.1622,0.0057,0.0039,0.0051,0.0058,0.0024,0.0055,0.005,0.0066,0.0045,0.0131,0.0071,0.0057,0
"DOM_C13T15",0.0025,0.0231,6e-04,0.0015,0.0011,0.0026,1.1127,0.0024,0.0024,7e-04,0.0024,0.0018,0.0074,0.0033,0.0012,0.0019,0.0015,0.0028,0.0016,0.0026,0.0013,0.0152,4e-04,9e-04,0.0044,0.0014,0.0011,0.0027,0.001,0.0017,0.0015,0.0027,0.0011,7e-04,9e-04,8e-04,6e-04,0.0011,8e-04,0.0022,9e-04,0.0043,0.0016,0.0028,0
"DOM_C16",0.0037,0.0159,0.0019,0.0021,0.0029,0.0047,0.0054,1.1213,0.0649,0.0022,0.0046,0.0039,0.0066,0.0101,0.0035,0.0075,0.0036,0.0044,0.0049,0.0039,0.0025,0.0593,0.0026,0.002,0.0561,0.0031,0.003,0.0027,0.0024,0.0034,0.0034,0.0028,0.0051,0.0029,0.003,0.0027,0.0045,0.0024,0.0024,0.0036,0.0021,0.0027,0.005,0.009,0
"DOM_C17_18",0.0063,0.0161,0.0036,0.0049,0.0053,0.0212,0.022,0.0102,1.1547,0.0051,0.0137,0.0173,0.0138,0.0175,0.0049,0.0074,0.0075,0.0127,0.0066,0.0064,0.0063,0.0198,0.0033,0.0077,0.0101,0.0106,0.0048,0.0076,0.007,0.0086,0.0087,0.0117,0.053,0.0214,0.022,0.011,0.0034,0.0084,0.0074,0.006,0.0078,0.0072,0.0272,0.0132,0
"DOM_C19",0.0294,0.0805,0.0095,0.0252,0.0349,0.0171,0.0112,0.0203,0.0205,1.048,0.1267,0.0119,0.0219,0.0214,0.019,0.0127,0.0068,0.0103,0.0111,0.0091,0.0069,0.017,0.0117,0.0341,0.0264,0.0176,0.1003,0.1747,0.1803,0.0216,0.042,0.01,0.0073,0.0069,0.0046,0.0072,0.0053,0.0061,0.0146,0.0106,0.0096,0.0066,0.0088,0.0131,0
"DOM_C20",0.0264,0.0302,0.0053,0.0134,0.0127,0.0172,0.0391,0.024,0.0355,0.0253,1.1137,0.036,0.1329,0.0222,0.0116,0.0206,0.0102,0.0241,0.013,0.0123,0.008,0.0286,0.0073,0.0116,0.0185,0.0077,0.0272,0.0439,0.0447,0.0101,0.0139,0.0084,0.0072,0.0048,0.0057,0.0056,0.0034,0.0047,0.0113,0.0066,0.0056,0.0069,0.0089,0.0163,0
"DOM_C21",0.0015,0.0033,8e-04,9e-04,0.001,0.0022,0.0021,0.0015,0.0016,0.0011,0.0027,1.1085,0.0031,0.0015,0.001,0.0014,0.0014,0.0017,0.0013,0.0015,0.0011,0.0016,5e-04,0.001,0.0014,0.0014,8e-04,0.0012,0.0014,0.001,7e-04,0.0017,0.0018,9e-04,0.0013,0.0038,7e-04,0.0021,0.001,0.0155,7e-04,0.0092,0.0018,0.0012,0
"DOM_C22",0.0045,0.0203,0.0021,0.0063,0.0056,0.01,0.0111,0.0078,0.0113,0.0031,0.0173,0.0052,1.0399,0.0081,0.0033,0.0104,0.007,0.0194,0.0101,0.0258,0.0044,0.025,0.0036,0.0032,0.0213,0.006,0.0085,0.0061,0.0046,0.0053,0.0043,0.0042,0.0035,0.002,0.0031,0.0026,0.0024,0.0021,0.0031,0.0027,0.0023,0.0027,0.0106,0.0065,0
