"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1607,3e-04,0.0039,0.0011,0.0017,0.1725,0.0067,0.0546,0.0136,0.006,0.0091,0.0044,0.0068,0.0022,0.002,0.0015,0.0018,0.0021,0.0015,0.0015,0.0016,0.0035,0.0032,0.0028,0.0036,0.0048,0.0041,0.0117,0.0065,0.0022,0.001,0.0367,0.003,7e-04,6e-04,8e-04,8e-04,0.0017,0.0032,0.004,0.0039,0.004,0.0041,0.0025,0
"DOM_A03",0,1.0375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B05_06",0.0014,1e-04,1.0397,0.0045,0.0073,0.0015,0.001,0.0012,0.0025,0.0294,0.0082,0.0012,0.0027,0.0074,0.0152,0.0017,0.001,0.0017,0.0015,0.001,0.001,0.0013,0.0237,0.002,0.0013,0.001,0.0019,0.0023,0.0017,0.0014,8e-04,0.001,9e-04,5e-04,3e-04,4e-04,4e-04,7e-04,7e-04,0.0011,0.0019,7e-04,0.0019,0.001,0
"DOM_B07_08",6e-04,0,0.0039,1.0034,0.0027,5e-04,5e-04,5e-04,0.0011,0.0122,0.013,9e-04,0.0026,0.0083,0.0083,7e-04,6e-04,0.001,8e-04,4e-04,5e-04,7e-04,0.0036,9e-04,0.0014,4e-04,6e-04,9e-04,6e-04,6e-04,3e-04,3e-04,3e-04,2e-04,1e-04,1e-04,2e-04,3e-04,2e-04,4e-04,6e-04,3e-04,6e-04,4e-04,0
"DOM_B09",0,0,0.0023,2e-04,1.0019,0,0,0,1e-04,4e-04,3e-04,0,1e-04,1e-04,1e-04,0,0,0,0,0,0,0,3e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.1232,9e-04,0.0068,0.0021,0.0028,1.1467,0.0232,0.0098,0.0078,0.0197,0.0281,0.0157,0.0084,0.0048,0.0048,0.0029,0.0038,0.0047,0.0031,0.003,0.0036,0.0036,0.0037,0.0073,0.003,0.0083,0.0187,0.0608,0.0332,0.0055,0.0022,0.1603,0.0039,0.0014,0.0012,0.0023,0.0012,0.0036,0.0058,0.0104,0.0153,0.0177,0.0054,0.0053,0
"DOM_C13T15",0.0016,1e-04,9e-04,3e-04,4e-04,9e-04,1.0711,5e-04,0.0019,0.0014,0.0013,5e-04,0.0028,0.0033,7e-04,7e-04,0.0012,8e-04,9e-04,0.0032,0.0017,0.0035,5e-04,0.0012,0.0011,0.001,9e-04,0.0017,0.001,0.0011,8e-04,0.001,0.001,2e-04,2e-04,4e-04,3e-04,5e-04,0.001,7e-04,6e-04,8e-04,0.002,0.0017,0
"DOM_C16",0.0062,4e-04,0.0223,0.0052,0.0075,0.0049,0.0036,1.2635,0.0073,0.0037,0.0038,0.0024,0.0086,0.0091,0.006,0.0075,0.0068,0.007,0.0057,0.0037,0.0061,0.0449,0.0083,0.0057,0.0537,0.0059,0.0036,0.0059,0.0041,0.0067,0.0022,0.0035,0.003,0.002,0.0011,0.0012,0.0054,0.0022,0.0024,0.0031,0.0052,0.0018,0.0114,0.0064,0
"DOM_C17_18",0.0033,4e-04,0.005,0.0018,0.0023,0.0078,0.0048,0.0074,1.0788,0.0061,0.0116,0.0062,0.0094,0.0061,0.0032,0.0035,0.004,0.0046,0.0036,0.003,0.0037,0.0043,0.0033,0.0049,0.003,0.0074,0.0035,0.006,0.004,0.0055,0.0074,0.0043,0.1557,0.0038,0.0039,0.0045,0.0015,0.0089,0.0098,0.0041,0.0062,0.0025,0.0063,0.0144,0
"DOM_C19",0.0127,7e-04,0.0164,0.0067,0.0061,0.0065,0.0088,0.0063,0.0072,1.0597,0.0262,0.0067,0.0249,0.0134,0.0141,0.0051,0.0071,0.0098,0.0039,0.0038,0.0041,0.0049,0.0066,0.0073,0.0056,0.0073,0.0189,0.0277,0.0242,0.0122,0.0045,0.0055,0.0033,0.0015,0.0013,0.001,0.0013,0.0028,0.0038,0.0031,0.0068,0.0032,0.0075,0.0049,0
"DOM_C20",0.0176,5e-04,0.0273,0.0089,0.0111,0.012,0.022,0.0166,0.0397,0.0772,1.2377,0.0588,0.1948,0.0266,0.0311,0.0153,0.0339,0.0447,0.0096,0.011,0.0116,0.0169,0.007,0.0135,0.0106,0.0075,0.0088,0.0141,0.0085,0.0096,0.0034,0.0088,0.0097,0.0039,0.0025,0.0017,0.0025,0.0065,0.0054,0.0048,0.0122,0.0113,0.0131,0.012,0
"DOM_C21",0.0246,5e-04,0.1587,0.0278,0.0147,0.0144,0.0055,0.0062,0.0084,0.0507,0.1126,1.4602,0.0213,0.0069,0.0103,0.0042,0.0121,0.008,0.0041,0.0035,0.0046,0.005,0.0091,0.0143,0.0041,0.0071,0.0051,0.0089,0.0058,0.0058,0.0025,0.0054,0.0043,0.0027,0.0022,0.003,0.0029,0.0196,0.0071,0.0371,0.0073,0.1278,0.0052,0.0045,0
"DOM_C22",0.0038,3e-04,0.0066,0.0019,0.0029,0.007,0.0039,0.0047,0.0063,0.0043,0.0062,0.0044,1.0253,0.0109,0.0028,0.0045,0.0075,0.0112,0.009,0.0114,0.0083,0.0073,0.0026,0.0036,0.0112,0.0053,0.0042,0.0046,0.003,0.0046,0.0016,0.0027,0.0025,0.0014,9e-04,0.001,0.0014,0.002,0.0021,0.0016,0.0019,0.0023,0.0027,0.0025,0
"DOM_C23",0.0036,2e-04,0.0136,0.0055,0.0084,0.0041,0.0025,0.0078,0.0022,0.0054,0.0061,0.0061,0.0093,1.1008,0.0061,0.0057,0.0069,0.0116,0.004,0.0067,0.0088,0.0054,0.0044,0.0093,0.0551,0.0026,0.0034,0.0054,0.0036,0.0064,0.0019,0.0029,0.0018,0.0018,9e-04,0.0011,0.0059,0.002,0.0021,0.0033,0.0033,0.0018,0.0044,0.0022,0
"DOM_C24",0.0013,1e-04,0.0045,0.0012,0.003,0.0011,8e-04,0.0018,0.0015,0.0014,0.0015,7e-04,0.0039,0.0035,1.1184,0.0466,0.0076,0.0279,0.0198,0.0116,0.0156,0.0306,0.0023,0.0041,0.0061,0.0014,0.0016,0.0027,0.0017,0.0016,5e-04,8e-04,7e-04,0.0011,4e-04,3e-04,7e-04,7e-04,6e-04,7e-04,8e-04,6e-04,0.001,7e-04,0
"DOM_C25",0.0104,7e-04,0.0143,0.0046,0.0084,0.0103,0.007,0.015,0.006,0.0059,0.0062,0.0046,0.0138,0.0126,0.0298,1.1316,0.0243,0.0599,0.0818,0.057,0.0691,0.0333,0.0075,0.0116,0.036,0.0127,0.0076,0.0127,0.0085,0.0139,0.0041,0.0079,0.0048,0.004,0.002,0.0021,0.0046,0.0044,0.0037,0.0044,0.007,0.0032,0.0069,0.0054,0
"DOM_C26",0.0074,0.0013,0.0107,0.0034,0.0055,0.0078,0.0078,0.0089,0.0079,0.008,0.0084,0.0075,0.0086,0.0075,0.0091,0.0163,1.2146,0.1059,0.037,0.0244,0.0372,0.0474,0.0153,0.013,0.0131,0.0203,0.0103,0.0181,0.0127,0.0129,0.0132,0.0063,0.019,0.089,0.0329,0.0055,0.0031,0.0163,0.01,0.0087,0.01,0.0051,0.013,0.0143,0
"DOM_C27",0.0042,4e-04,0.0059,0.0018,0.0024,0.003,0.0022,0.0029,0.0029,0.0032,0.0033,0.0022,0.003,0.0035,0.0052,0.0041,0.0258,1.0915,0.0228,0.0147,0.0146,0.0195,0.0197,0.0037,0.0205,0.004,0.0053,0.0067,0.0045,0.0057,0.0028,0.0024,0.0021,0.0056,0.0025,0.001,0.0023,0.0022,0.0019,0.002,0.0031,0.0015,0.0036,0.0054,0
"DOM_C28",0.0039,3e-04,0.0105,0.0035,0.0056,0.0029,0.0023,0.0033,0.0037,0.0023,0.0022,0.0025,0.0037,0.004,0.0036,0.0027,0.0076,0.0114,1.0875,0.0479,0.0168,0.009,0.0021,0.0033,0.0067,0.0041,0.0019,0.0035,0.0024,0.0023,0.0011,0.0016,0.0014,0.0013,7e-04,4e-04,9e-04,0.0016,0.0017,0.001,0.0011,9e-04,0.0014,0.0011,0
"DOM_C29",2e-04,0,2e-04,1e-04,1e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,4e-04,0.0015,1.0161,0.001,3e-04,2e-04,0.0017,1e-04,7e-04,8e-04,5e-04,4e-04,9e-04,1e-04,1e-04,1e-04,1e-04,0,0,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,0
