"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.169,0.0441,0.0017,0.0012,7e-04,0.2077,0.0165,0.2916,0.0841,0.001,0.0047,0.0085,0.0221,0.0035,0.0016,0.0016,0.0019,0.0018,0.0023,0.003,0.0026,0.0093,0.0117,0.0025,0.0049,0.0043,0.0025,0.0053,0.0024,0.0033,0.0022,0.0697,0.0126,0.0029,0.002,0.0023,0.0014,0.0024,0.0075,0.005,0.0023,0.0036,0.006,0.0109,0
"DOM_A03",0.0095,1.1175,3e-04,2e-04,1e-04,0.1291,0.0014,0.0028,0.0012,2e-04,0.0014,0.0106,0.001,7e-04,4e-04,3e-04,3e-04,3e-04,5e-04,6e-04,5e-04,5e-04,5e-04,3e-04,5e-04,0.0011,6e-04,0.0025,7e-04,4e-04,4e-04,0.0269,7e-04,3e-04,5e-04,4e-04,2e-04,3e-04,6e-04,0.001,5e-04,0.0011,0.0013,0.0021,0
"DOM_B05_06",0.0022,0.0026,1.0048,0.0013,0.003,0.0021,0.0011,0.0019,0.0024,0.0492,0.0033,0.0015,0.0018,0.0045,0.0065,0.0016,0.0012,0.0015,0.0016,0.0019,0.0014,0.0012,0.0142,0.0017,0.0022,0.0013,0.0064,0.0075,0.0041,0.0011,0.0012,0.0015,0.0012,7e-04,7e-04,5e-04,5e-04,8e-04,0.0012,0.001,5e-04,9e-04,9e-04,9e-04,0
"DOM_B07_08",0.0587,0.0281,0.1443,1.2891,0.0672,0.053,0.0448,0.0603,0.0541,0.0248,0.2162,0.0622,0.1954,0.3565,0.4764,0.437,0.3148,0.4661,0.2579,0.2369,0.1713,0.2585,0.0246,0.0308,0.1802,0.0295,0.0221,0.0223,0.0164,0.0221,0.0179,0.0304,0.0503,0.0267,0.0295,0.0213,0.0314,0.0361,0.0354,0.024,0.0134,0.0231,0.0426,0.0244,0
"DOM_B09",4e-04,1e-04,0.0036,1e-04,1.0019,2e-04,1e-04,2e-04,2e-04,2e-04,0.0025,1e-04,5e-04,0.0064,5e-04,2e-04,2e-04,2e-04,3e-04,2e-04,2e-04,2e-04,1e-04,1e-04,0.0011,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,0,0,0,2e-04,0,1e-04,1e-04,0,1e-04,1e-04,1e-04,0
"DOM_C10T12",0.083,0.2381,0.0029,0.0017,0.0011,1.1574,0.0123,0.0244,0.0106,0.0017,0.0119,0.0235,0.0087,0.0058,0.0031,0.0029,0.0029,0.0029,0.0039,0.0047,0.0042,0.0044,0.0041,0.0024,0.0039,0.009,0.0046,0.0149,0.0054,0.0029,0.0031,0.206,0.006,0.0028,0.0037,0.0029,0.0018,0.0027,0.0048,0.0078,0.0042,0.0081,0.0095,0.0153,0
"DOM_C13T15",0.001,0.0027,5e-04,4e-04,3e-04,0.0015,1.0485,9e-04,0.0023,3e-04,0.0017,0.0021,0.0032,0.0011,6e-04,7e-04,0.001,9e-04,0.001,0.0011,0.001,0.0061,6e-04,8e-04,0.0031,0.0012,7e-04,0.0013,6e-04,6e-04,6e-04,0.0016,0.0018,6e-04,6e-04,9e-04,6e-04,6e-04,9e-04,0.0013,5e-04,8e-04,0.0011,0.0015,0
"DOM_C16",0.0011,8e-04,9e-04,4e-04,2e-04,0.0015,0.001,1.031,0.0067,3e-04,8e-04,8e-04,0.001,0.002,5e-04,6e-04,6e-04,6e-04,7e-04,0.0011,0.001,0.0056,0.0036,0.0015,0.0064,8e-04,4e-04,4e-04,3e-04,7e-04,5e-04,9e-04,0.0018,6e-04,5e-04,5e-04,0.001,4e-04,7e-04,8e-04,4e-04,5e-04,7e-04,0.001,0
"DOM_C17_18",0.0088,0.0103,0.0045,0.004,0.0023,0.0244,0.0129,0.0344,1.1082,0.0031,0.0149,0.0303,0.018,0.013,0.0051,0.0054,0.0078,0.0074,0.0088,0.0086,0.0074,0.0109,0.0287,0.0107,0.0104,0.0205,0.0068,0.0069,0.0051,0.0139,0.0117,0.0148,0.1322,0.0153,0.0084,0.0128,0.0055,0.0165,0.016,0.0099,0.0086,0.0074,0.0128,0.0164,0
"DOM_C19",0.039,0.0484,0.0141,0.0128,0.0096,0.0302,0.0123,0.0257,0.0284,1.0293,0.0333,0.0121,0.0205,0.0417,0.0233,0.014,0.012,0.0143,0.0151,0.0171,0.013,0.0146,0.0896,0.0181,0.0222,0.0162,0.1277,0.1524,0.0831,0.0159,0.0158,0.0203,0.0118,0.0068,0.0048,0.0046,0.0048,0.0061,0.0145,0.0129,0.0055,0.0116,0.0092,0.0134,0
"DOM_C20",0.0443,0.013,0.0074,0.0108,0.0045,0.0233,0.0224,0.0295,0.0317,0.0101,1.09,0.0227,0.1381,0.0352,0.0177,0.0132,0.0135,0.0149,0.0166,0.015,0.0115,0.0177,0.0085,0.0093,0.0179,0.0061,0.012,0.0122,0.0071,0.0046,0.0037,0.0114,0.0141,0.0038,0.0033,0.0028,0.0034,0.0039,0.0089,0.0057,0.0039,0.0106,0.0106,0.0101,0
"DOM_C21",0.0072,0.0109,2e-04,2e-04,1e-04,0.0046,6e-04,0.0021,9e-04,1e-04,0.0053,1.0848,0.0014,4e-04,3e-04,2e-04,4e-04,4e-04,3e-04,5e-04,5e-04,4e-04,2e-04,2e-04,3e-04,2e-04,2e-04,3e-04,2e-04,2e-04,2e-04,0.0013,0.001,3e-04,3e-04,2e-04,1e-04,5e-04,6e-04,0.0028,3e-04,0.0249,0.0013,6e-04,0
"DOM_C22",0.01,0.0114,0.0025,0.0028,0.003,0.0191,0.008,0.0063,0.0098,0.0017,0.013,0.0179,1.0427,0.0057,0.0028,0.0052,0.0038,0.0045,0.0086,0.0179,0.0132,0.0082,0.0032,0.0024,0.012,0.0103,0.0126,0.0035,0.0025,0.0029,0.0024,0.0066,0.0066,0.0034,0.0026,0.0022,0.0021,0.0019,0.0044,0.0029,0.0016,0.0032,0.0023,0.0046,0
"DOM_C23",0.0037,0.0033,0.0013,0.0018,0.0016,0.006,0.0024,0.004,0.0031,7e-04,0.0066,0.0083,0.0087,1.1302,0.0053,0.005,0.0245,0.0264,0.009,0.0074,0.0071,0.0055,0.0021,0.0057,0.0871,0.0049,0.0029,0.002,0.0017,0.0032,0.0016,0.0058,0.0028,0.0039,0.0015,0.0016,0.0114,0.002,0.0023,0.005,0.0029,0.002,0.0027,0.0037,0
"DOM_C24",0.0079,0.0053,0.0059,0.0189,0.0022,0.0073,0.0055,0.0071,0.0077,0.0035,0.0155,0.0063,0.0259,0.0162,1.1208,0.1114,0.0495,0.0748,0.0722,0.099,0.0594,0.0387,0.0037,0.0051,0.0475,0.0043,0.0038,0.0036,0.003,0.0038,0.0025,0.0047,0.0068,0.0043,0.0045,0.0026,0.0069,0.0032,0.0061,0.0048,0.0021,0.0035,0.0039,0.0039,0
"DOM_C25",0.005,0.008,0.0057,0.0071,0.0021,0.0087,0.0063,0.0066,0.0079,0.0015,0.0068,0.0048,0.0085,0.0103,0.0115,1.0196,0.0147,0.0173,0.0175,0.0212,0.0189,0.0135,0.0055,0.0052,0.049,0.0054,0.0055,0.0046,0.0037,0.0049,0.0029,0.0061,0.0074,0.0054,0.0029,0.0033,0.0071,0.0026,0.0066,0.0053,0.0024,0.0034,0.0041,0.0047,0
"DOM_C26",0,1e-04,0,0,0,1e-04,0,0,0,0,0,1e-04,1e-04,0,1e-04,1e-04,1.0002,1e-04,1e-04,1e-04,1e-04,0,1e-04,0,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,4e-04,1e-04,0,0,1e-04,1e-04,0,1e-04,1e-04,1e-04,0
