"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.2329,0.1141,0.0166,0.0188,0.018,0.5105,0.2186,0.3058,0.153,0.012,0.0594,0.3011,0.0716,0.028,0.0178,0.0279,0.0227,0.0283,0.0256,0.025,0.0236,0.1272,0.016,0.0444,0.0397,0.0262,0.0346,0.0375,0.0572,0.1,0.0304,0.2319,0.0679,0.0282,0.0328,0.0198,0.0128,0.0601,0.0302,0.0349,0.0272,0.1134,0.0331,0.0263,0
"DOM_A03",0.0099,1.2236,0.0014,0.0023,0.0019,0.0511,0.0061,0.0069,0.0061,0.0013,0.0059,0.0068,0.0039,0.0028,0.0022,0.003,0.0025,0.0031,0.0029,0.0025,0.0025,0.0055,0.0018,0.0062,0.003,0.0034,0.0028,0.0161,0.0047,0.0038,0.0031,0.0814,0.0072,0.0038,0.0041,0.0037,0.0019,0.0102,0.0051,0.0053,0.0039,0.0047,0.0021,0.0029,0
"DOM_B05_06",0.0225,0.0184,1.116,0.0611,0.06,0.0236,0.0316,0.0428,0.0513,0.3524,0.1153,0.0295,0.0639,0.1281,0.0961,0.0711,0.03,0.0547,0.0529,0.039,0.0433,0.0447,0.2877,0.0632,0.0629,0.0193,0.0701,0.0888,0.1051,0.0727,0.0398,0.019,0.0334,0.0241,0.0301,0.0122,0.0112,0.045,0.0271,0.0232,0.0144,0.0289,0.0103,0.0157,0
"DOM_B07_08",0.0045,0.0024,0.0097,1.0668,0.0195,0.0046,0.006,0.0084,0.0092,0.005,0.0336,0.0079,0.0174,0.0912,0.1438,0.0646,0.0154,0.0493,0.0436,0.0275,0.033,0.0218,0.0077,0.0182,0.0545,0.0041,0.0058,0.0045,0.0059,0.0083,0.0084,0.0031,0.008,0.0089,0.0067,0.0024,0.0034,0.0129,0.0035,0.0041,0.0027,0.0081,0.0022,0.0035,0
"DOM_B09",8e-04,7e-04,0.0348,0.0058,1.0075,0.0013,0.0011,0.0014,0.0017,0.011,0.0038,0.001,0.0021,0.0044,0.0036,0.0025,0.001,0.0019,0.0019,0.0014,0.0015,0.0015,0.0096,0.0021,0.0038,6e-04,0.0022,0.0028,0.0033,0.0023,0.0013,8e-04,0.0011,8e-04,0.001,4e-04,4e-04,0.0015,9e-04,8e-04,5e-04,0.001,4e-04,5e-04,0
"DOM_C10T12",0.1741,0.1604,0.0138,0.0225,0.0168,1.3327,0.0921,0.0651,0.0498,0.0152,0.0649,0.0996,0.0438,0.029,0.024,0.0307,0.0284,0.0327,0.0302,0.0257,0.0276,0.0482,0.0196,0.0533,0.0309,0.0338,0.0277,0.0448,0.0716,0.0537,0.0352,0.4183,0.0713,0.038,0.0344,0.0264,0.0171,0.0627,0.0374,0.047,0.0373,0.0648,0.0307,0.0375,0
"DOM_C13T15",0.0077,0.0049,0.0099,0.015,0.0174,0.0121,1.682,0.0225,0.0337,0.0065,0.023,0.0336,0.0764,0.0258,0.0144,0.0224,0.0171,0.0247,0.0234,0.0447,0.0246,0.1713,0.0136,0.0546,0.023,0.0297,0.0182,0.0126,0.0255,0.0304,0.0315,0.0235,0.081,0.0173,0.015,0.0151,0.0126,0.0435,0.0288,0.0582,0.0109,0.0494,0.0139,0.0225,0
"DOM_C16",0.0022,0.0021,0.0139,0.0066,0.0053,0.0036,0.0053,1.3999,0.0315,0.0054,0.0061,0.004,0.0084,0.0152,0.0058,0.0249,0.0065,0.0101,0.0126,0.0077,0.0103,0.1653,0.0066,0.0151,0.038,0.0044,0.004,0.0033,0.0037,0.0049,0.0111,0.0028,0.0138,0.0043,0.006,0.0034,0.0033,0.0106,0.0034,0.0065,0.0092,0.0077,0.0041,0.0065,0
"DOM_C17_18",0.0087,0.0073,0.0063,0.0111,0.0105,0.0243,0.0216,0.026,1.3618,0.0051,0.0216,0.0356,0.0268,0.0345,0.01,0.0185,0.0241,0.0297,0.0217,0.0177,0.0164,0.0458,0.0113,0.0192,0.0182,0.0361,0.0106,0.0081,0.0105,0.0118,0.0592,0.0144,0.2149,0.0257,0.1158,0.03,0.0121,0.0918,0.025,0.0362,0.0266,0.0222,0.0052,0.0123,0
"DOM_C19",0.0333,0.0398,0.0309,0.079,0.0733,0.0313,0.0366,0.0463,0.0452,1.0814,0.1413,0.035,0.0722,0.0879,0.0948,0.0674,0.0358,0.0604,0.0574,0.0457,0.0507,0.0479,0.0665,0.0638,0.0693,0.0304,0.174,0.2523,0.2975,0.1861,0.0779,0.0252,0.0433,0.0269,0.0307,0.0192,0.0181,0.0774,0.0642,0.0375,0.0188,0.0327,0.0129,0.02,0
