"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0441,0.002,3e-04,4e-04,8e-04,0.1596,0.0025,0.0185,0.0058,2e-04,0.0175,0.0167,0.029,5e-04,0.0011,0.0014,2e-04,0.0012,8e-04,6e-04,4e-04,0.0023,6e-04,0.0011,8e-04,9e-04,0.0011,7e-04,0.0014,0.0012,0.001,0.1116,0.0012,7e-04,8e-04,0.0016,1e-04,0.0012,4e-04,0.0023,6e-04,0.0022,0.001,0.0082,0
"DOM_A03",1e-04,1.0227,0,0,1e-04,0.0048,0,1e-04,1e-04,0,4e-04,4e-04,0,0,0,0,0,1e-04,1e-04,0,0,0,0,1e-04,1e-04,0,0,0,1e-04,1e-04,0,0.0125,1e-04,1e-04,1e-04,2e-04,0,1e-04,0,2e-04,0,1e-04,1e-04,9e-04,0
"DOM_B05_06",0.0011,0.0035,1.0007,0.0011,0.0011,0.0021,6e-04,0.0031,0.0011,0.0985,0.002,0.001,0.0013,0.0022,0.0029,0.002,5e-04,0.0023,4e-04,0.0026,0.0018,0.0014,4e-04,0.0019,0.0013,0.0016,0.0098,0.0158,0.0183,0.0042,0.0055,0.0023,4e-04,4e-04,3e-04,6e-04,1e-04,2e-04,4e-04,0.001,2e-04,6e-04,3e-04,7e-04,0
"DOM_B07_08",0.0051,0.0032,0.0099,1.0317,0.0275,0.013,0.0062,0.026,0.0121,0.0025,0.0145,0.008,0.0056,0.0605,0.3537,0.1623,0.0037,0.1771,0.0022,0.0145,0.0086,0.0724,0.0048,0.0068,0.0264,0.0044,0.0027,0.0037,0.0029,0.0047,0.0026,0.0063,0.004,0.0038,0.0028,0.003,0.0021,0.0029,0.003,0.0025,0.0013,0.009,0.0019,0.0044,0
"DOM_B09",5e-04,0.001,0.0053,0.0049,1.0106,0.0015,5e-04,0.0022,9e-04,0.0224,0.0014,6e-04,6e-04,0.0029,0.0151,0.0108,2e-04,0.0056,2e-04,0.0014,9e-04,8e-04,2e-04,7e-04,0.0016,6e-04,0.0023,0.0038,0.0043,0.0012,0.0014,0.001,3e-04,3e-04,2e-04,2e-04,1e-04,2e-04,3e-04,3e-04,1e-04,0.0019,2e-04,4e-04,0
"DOM_C10T12",0.0058,0.0096,7e-04,9e-04,0.0016,1.0911,0.0018,0.002,0.009,3e-04,0.0513,0.0379,0.0042,8e-04,8e-04,9e-04,3e-04,0.0022,0.0018,9e-04,7e-04,9e-04,0.0012,0.0028,0.0015,0.0015,0.0012,0.0011,0.0028,0.0015,0.0013,0.2925,0.003,0.0015,0.0021,0.0038,2e-04,0.0032,0.001,0.0097,0.0024,0.0023,0.0024,0.0208,0
"DOM_C13T15",8e-04,0.0025,3e-04,5e-04,9e-04,6e-04,1.0684,8e-04,0.0077,1e-04,8e-04,7e-04,0.0011,0.0213,5e-04,5e-04,6e-04,4e-04,4e-04,4e-04,3e-04,0.0128,7e-04,0.0012,0.004,4e-04,3e-04,3e-04,3e-04,4e-04,3e-04,5e-04,7e-04,6e-04,5e-04,0.0018,2e-04,3e-04,3e-04,8e-04,2e-04,4e-04,2e-04,0.0419,0
"DOM_C16",2e-04,1e-04,3e-04,3e-04,0.0011,0.0037,8e-04,1.0775,8e-04,1e-04,0.001,6e-04,6e-04,1e-04,4e-04,5e-04,0.0017,3e-04,3e-04,3e-04,2e-04,0.0365,0.0017,3e-04,3e-04,2e-04,2e-04,2e-04,2e-04,3e-04,2e-04,0.0012,4e-04,3e-04,2e-04,0.0011,0,2e-04,1e-04,5e-04,1e-04,2e-04,2e-04,0.001,0
"DOM_C17_18",0.0014,9e-04,6e-04,0.001,0.0011,0.005,0.0026,0.0022,1.0902,0.0012,0.0098,0.0107,0.0028,0.0027,9e-04,0.001,0.0013,0.0017,0.0023,0.03,0.0196,0.0011,0.001,0.0014,0.0018,0.0096,0.0025,0.0019,0.0023,0.0022,0.0029,0.0127,0.0027,0.0013,0.0011,0.0053,3e-04,0.0013,7e-04,0.0053,0.0055,0.0089,0.0017,0.0023,0
"DOM_C19",0.0108,0.0359,0.0041,0.0069,0.0067,0.0195,0.0061,0.0301,0.0102,1.0234,0.0184,0.0093,0.0124,0.0062,0.0099,0.0082,0.0052,0.007,0.0041,0.0256,0.0179,0.0075,0.0029,0.0182,0.0093,0.0161,0.101,0.1638,0.1897,0.0427,0.0571,0.0233,0.0035,0.0033,0.0022,0.0058,0.0013,0.0019,0.004,0.0097,0.0016,0.003,0.003,0.0073,0
"DOM_C20",0.0062,9e-04,7e-04,0.0011,0.0015,0.0083,0.0132,0.0054,0.0235,8e-04,1.0753,0.0257,0.0614,0.0029,0.0014,0.0017,0.0013,0.0124,0.0013,0.0023,0.0015,0.006,9e-04,0.0068,0.0068,0.0057,0.0029,0.0019,0.0021,0.0027,0.0026,0.0127,0.0018,0.0014,0.0011,0.0017,4e-04,0.001,0.0011,0.001,5e-04,0.0011,0.0011,0.0087,0
"DOM_C21",3e-04,1e-04,0,0,1e-04,8e-04,5e-04,3e-04,8e-04,0,0.004,1.0552,0.0015,1e-04,1e-04,1e-04,1e-04,4e-04,1e-04,1e-04,1e-04,2e-04,0,3e-04,2e-04,4e-04,1e-04,1e-04,1e-04,1e-04,2e-04,0.001,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,0,5e-04,1e-04,6e-04,0
"DOM_C22",0.0083,0.0033,0.001,0.0015,0.0019,0.0198,0.0396,0.0115,0.089,0.0014,0.0352,0.0303,1.0743,0.0072,0.002,0.0026,0.0017,0.0046,0.0016,0.0045,0.0031,0.007,0.0022,0.0023,0.0067,0.0116,0.0256,0.0122,0.0115,0.023,0.0214,0.0098,0.0024,0.0019,0.0014,0.0021,5e-04,0.001,8e-04,0.0017,9e-04,0.0016,0.0018,0.0047,0
"DOM_C23",0.0034,0.0053,0.0104,0.0177,0.0246,0.0081,0.0035,0.0266,0.0125,0.0031,0.02,0.019,0.0067,1.1075,0.0159,0.018,0.0028,0.0144,0.0058,0.005,0.0037,0.0116,0.0059,0.0555,0.2001,0.0082,0.005,0.0055,0.0059,0.0086,0.0052,0.0069,0.0189,0.0215,0.0154,0.004,0.0108,0.0112,0.0135,0.0094,0.0041,0.0077,0.0032,0.0055,0
"DOM_C24",0.0029,0.0019,0.0026,0.0047,0.0065,0.0048,0.0035,0.0163,0.0101,0.001,0.0051,0.0026,0.0037,0.0017,1.0497,0.0669,8e-04,0.0776,0.0011,0.0112,0.0057,0.0048,0.0011,0.0023,0.0078,0.0025,0.0016,0.0025,0.0016,0.0026,0.0012,0.0028,0.0014,0.0012,9e-04,7e-04,9e-04,0.0014,0.0013,7e-04,6e-04,0.001,9e-04,0.0017,0
"DOM_C25",0.0311,0.017,0.0201,0.0359,0.0599,0.0467,0.0353,0.1527,0.06,0.0081,0.034,0.0219,0.0243,0.0119,0.0662,1.1996,0.0052,0.2688,0.0075,0.087,0.0532,0.0306,0.008,0.0163,0.059,0.0223,0.0128,0.0176,0.0127,0.0237,0.0124,0.0271,0.0111,0.01,0.0077,0.0056,0.0075,0.0115,0.0121,0.0054,0.005,0.0091,0.0096,0.0157,0
