"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0296,0.0059,0.0022,0.0043,0.0053,0.2154,0.0287,0.1704,0.0045,4e-04,0.0412,0.047,0.006,0.0093,0.0038,0.0028,0.0027,0.0051,0.0042,0.0686,0.0505,0.0608,0.001,0.0038,0.0548,0.0092,0.0034,0.0053,0.0132,0.0051,0.0026,0.0879,0.0096,0.0051,0.0045,0.0052,0.0027,0.0019,0.0048,0.0171,0.0047,0.025,0.0253,0.0142,0
"DOM_A03",0.0012,1.0086,1e-04,5e-04,2e-04,0.021,9e-04,5e-04,5e-04,0,0.0031,0.0036,7e-04,3e-04,2e-04,2e-04,3e-04,4e-04,4e-04,5e-04,4e-04,4e-04,1e-04,2e-04,3e-04,0.0017,4e-04,7e-04,0.0017,6e-04,3e-04,0.0117,0.001,5e-04,5e-04,6e-04,0,1e-04,4e-04,0.002,6e-04,7e-04,6e-04,0.0011,0
"DOM_B05_06",0.0257,0.0092,1.0734,0.0527,0.0278,0.0113,0.0189,0.0073,0.0373,0.1389,0.0718,0.0096,0.007,0.1564,0.0979,0.008,0.0067,0.0119,0.0074,0.0053,0.0037,0.0072,0.1758,0.0171,0.0126,0.0074,0.0121,0.0233,0.0219,0.0069,0.0066,0.0058,0.0066,0.0055,0.0054,0.0048,6e-04,0.0025,0.0038,0.0087,0.0028,0.0054,0.0058,0.0047,0
"DOM_B07_08",0.0011,5e-04,0.0044,1.0216,0.0109,0.001,4e-04,4e-04,4e-04,6e-04,7e-04,5e-04,0.0017,0.1212,0.0037,0.001,0.0269,3e-04,2e-04,8e-04,4e-04,4e-04,0.001,0.0014,0.0342,4e-04,3e-04,6e-04,7e-04,5e-04,3e-04,0.0016,5e-04,4e-04,4e-04,4e-04,2e-04,5e-04,0.0099,6e-04,3e-04,7e-04,7e-04,5e-04,0
"DOM_B09",0.001,5e-04,0.0222,0.002,1.0369,0.0016,0.001,0.0017,0.0021,0.0045,0.003,0.0017,0.0011,0.0061,0.0028,0.0011,0.0029,0.0013,0.0013,0.0022,0.0017,0.0016,0.0099,0.001,0.0029,0.0085,0.0042,0.004,0.0027,0.0035,0.0103,0.0012,9e-04,5e-04,8e-04,6e-04,1e-04,8e-04,4e-04,0.0011,5e-04,5e-04,9e-04,5e-04,0
"DOM_C10T12",0.0107,0.0038,0.0019,0.0105,0.004,1.1079,0.016,0.0054,0.0122,5e-04,0.1335,0.1542,0.0157,0.0059,0.0039,0.0041,0.0065,0.0129,0.0092,0.0067,0.005,0.0059,0.0016,0.0058,0.005,0.0222,0.0084,0.0132,0.0348,0.0128,0.0066,0.2372,0.0223,0.011,0.0078,0.0132,6e-04,0.0025,0.0097,0.0524,0.012,0.0203,0.0086,0.0244,0
"DOM_C13T15",5e-04,0.0138,0.0047,9e-04,0.0088,0.0014,1.1262,7e-04,8e-04,6e-04,0.0049,0.0046,0.0034,0.0014,7e-04,3e-04,0.0054,6e-04,5e-04,9e-04,5e-04,0.0017,9e-04,4e-04,0.0066,0.0011,5e-04,8e-04,8e-04,6e-04,4e-04,0.0014,0.0011,6e-04,6e-04,4e-04,2e-04,0.0018,0.0027,0.0182,0.0022,0.0307,0.0958,0.018,0
"DOM_C16",0.0064,9e-04,5e-04,0.001,0.0011,0.0083,0.0085,1.1316,0.0016,1e-04,0.0192,0.0122,0.0016,0.0029,0.0011,8e-04,4e-04,0.0045,0.0048,0.3502,0.2578,0.2369,4e-04,0.0013,0.0521,0.001,9e-04,0.0015,0.0018,0.0015,4e-04,0.0066,0.0034,0.0019,0.0019,0.001,0.0014,0.0047,0.0069,0.0034,8e-04,0.0103,0.042,0.0038,0
"DOM_C17_18",9e-04,2e-04,2e-04,0.0047,5e-04,0.0014,0.0022,4e-04,1.0515,1e-04,0.0052,0.0067,0.0018,0.0082,2e-04,2e-04,2e-04,0.0031,0.0023,0.0013,6e-04,0.0022,5e-04,2e-04,0.0014,0.0011,4e-04,6e-04,7e-04,9e-04,5e-04,5e-04,0.0167,0.0033,0.0043,0.003,3e-04,0.0014,0.0035,0.0049,0.0088,0.0017,0.0092,7e-04,0
"DOM_C19",0.024,0.0624,0.0116,0.0097,0.0216,0.0194,0.0087,0.0178,0.0163,1.0021,0.0155,0.01,0.0106,0.0062,0.0104,0.0067,0.0024,0.0064,0.0062,0.0112,0.0083,0.0227,0.0044,0.0272,0.0237,0.0122,0.0686,0.1375,0.1349,0.0309,0.0203,0.0112,0.0073,0.0069,0.0067,0.0206,0.0011,0.0088,0.012,0.0414,0.0084,0.0184,0.0111,0.0093,0
"DOM_C20",0.0093,6e-04,0.0011,0.0028,0.0027,0.0065,0.0084,0.0033,0.0493,2e-04,1.2134,0.0899,0.0261,0.0057,0.0042,0.0025,0.0012,0.0804,0.0417,0.0034,0.002,0.0039,4e-04,0.0163,0.006,0.0026,0.0024,0.0048,0.003,0.0051,0.0013,0.0028,0.014,0.0031,0.0034,0.0011,3e-04,0.0025,0.0053,0.0076,0.0064,0.0095,0.0043,0.0253,0
"DOM_C21",5e-04,1e-04,1e-04,2e-04,1e-04,5e-04,3e-04,2e-04,0.002,0,0.0085,1.1136,0.001,3e-04,2e-04,1e-04,1e-04,0.0025,0.0026,2e-04,1e-04,2e-04,0,0.0011,3e-04,2e-04,2e-04,7e-04,4e-04,4e-04,3e-04,2e-04,6e-04,3e-04,3e-04,1e-04,0,3e-04,4e-04,0.0018,9e-04,0.0073,3e-04,0.0032,0
"DOM_C22",6e-04,0.0011,0.0028,4e-04,0.0073,0.0027,0.0062,5e-04,0.002,4e-04,0.0023,0.0021,1.0368,7e-04,4e-04,3e-04,2e-04,0.0019,0.0016,0.0224,0.0067,6e-04,6e-04,0.0029,0.0033,0.0011,0.0048,0.002,0.0022,0.0036,0.0016,0.001,4e-04,2e-04,3e-04,2e-04,0,2e-04,0.0013,9e-04,3e-04,0.001,0.0036,0.0018,0
"DOM_C23",0.0032,3e-04,0.0021,0.0036,0.0052,0.0017,7e-04,0.001,7e-04,3e-04,7e-04,6e-04,0.0095,1.0604,0.0036,0.0022,3e-04,4e-04,3e-04,0.0032,0.0014,0.0014,0.001,0.0085,0.036,4e-04,5e-04,8e-04,7e-04,8e-04,4e-04,7e-04,2e-04,2e-04,2e-04,8e-04,1e-04,3e-04,8e-04,0.001,5e-04,0.0021,0.0021,7e-04,0
