"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0507,0.2634,0.0057,0.0109,0.0042,0.2337,0.0195,0.3786,0.0197,0.0047,0.0095,0.0088,0.0121,0.0048,0.0089,0.0087,0.0061,0.0052,0.008,0.0038,0.0046,0.0164,0.0046,0.0042,0.01,0.0045,0.0016,0.0015,0.0034,0.0021,0.0059,0.0871,0.0293,0.0034,8e-04,7e-04,4e-04,0.0011,4e-04,0.0196,0.0026,0.0058,0.0119,0.015,0
"DOM_A03",4e-04,1.0152,3e-04,6e-04,4e-04,0.0035,0.0138,3e-04,5e-04,3e-04,0.0047,0.0069,0.0011,3e-04,3e-04,3e-04,5e-04,4e-04,4e-04,4e-04,3e-04,3e-04,2e-04,2e-04,2e-04,2e-04,1e-04,1e-04,3e-04,2e-04,3e-04,0.0147,3e-04,2e-04,1e-04,0,0,0,0,0.0045,4e-04,0.0011,0.0011,0.0016,0
"DOM_B05_06",0.0065,0.0043,1.0918,0.0569,0.0482,0.026,0.019,0.0185,0.0359,0.7923,0.028,0.0141,0.0313,0.1266,0.1273,0.071,0.0357,0.0319,0.0343,0.0385,0.0415,0.017,0.2545,0.0132,0.0301,0.0133,0.0693,0.0358,0.0926,0.011,0.0559,0.0265,0.0218,0.0283,0.0042,0.0048,0.0033,0.0088,0.0036,0.0242,0.0054,0.01,0.0086,0.0129,0
"DOM_B07_08",0.001,7e-04,0.0033,1.0146,0.0015,0.0022,7e-04,0.0013,0.0015,0.0034,0.0069,0.0024,0.0024,0.046,0.209,0.0769,0.0094,0.0126,0.0113,0.044,0.0459,0.0366,0.0018,0.0011,0.0232,6e-04,0.001,7e-04,0.0019,0.0013,9e-04,0.0015,7e-04,9e-04,2e-04,2e-04,2e-04,2e-04,2e-04,0.0013,3e-04,7e-04,6e-04,9e-04,0
"DOM_B09",5e-04,9e-04,0.0021,0.0033,1.0008,5e-04,2e-04,4e-04,6e-04,0.0015,4e-04,1e-04,8e-04,8e-04,0.0015,9e-04,4e-04,4e-04,5e-04,3e-04,4e-04,3e-04,0.0014,0.0014,3e-04,2e-04,2e-04,2e-04,3e-04,1e-04,4e-04,3e-04,2e-04,1e-04,0,1e-04,1e-04,0,1e-04,3e-04,1e-04,1e-04,1e-04,2e-04,0
"DOM_C10T12",0.0621,0.0249,0.0014,0.0026,0.005,1.1494,0.0035,0.0239,0.0056,0.0019,0.0094,0.0088,0.0045,0.004,0.0053,0.0042,0.0039,0.0029,0.0034,0.0019,0.002,0.0025,0.0046,0.0022,0.0022,0.0028,0.0012,8e-04,0.0041,0.0018,0.0039,0.1994,0.0064,0.0031,6e-04,5e-04,5e-04,6e-04,3e-04,0.0257,0.0038,0.0109,0.0379,0.0433,0
"DOM_C13T15",0.0051,0.0017,0.0017,0.0019,0.0079,0.0032,1.2025,0.0046,0.0074,0.0017,0.0035,0.0029,0.0179,0.0025,0.0031,0.0042,0.013,0.0091,0.0046,0.0167,0.0154,0.0094,0.0014,0.0021,0.0076,0.001,0.0028,0.0017,0.0017,0.0013,0.0036,0.0118,0.002,0.0031,0.0019,2e-04,3e-04,2e-04,2e-04,0.0124,0.0042,0.0146,0.001,0.0028,0
"DOM_C16",0.0024,0.0011,0.0023,0.0074,0.0013,0.0024,0.0012,1.0288,0.0018,0.0019,0.0014,0.001,0.0026,0.0039,0.0076,0.0095,0.0063,0.0058,0.0128,0.0041,0.0061,0.0288,0.0018,0.0011,0.0195,0.0015,7e-04,0.0015,0.0016,0.0022,0.0082,0.0012,0.0016,0.0046,3e-04,3e-04,2e-04,0.0015,2e-04,0.003,7e-04,8e-04,0.0014,0.0026,0
"DOM_C17_18",0.0041,0.0026,0.0051,0.0081,0.0056,0.0292,0.011,0.0117,1.1889,0.006,0.0255,0.0313,0.018,0.0166,0.0114,0.0161,0.0449,0.0297,0.0206,0.0101,0.0098,0.0083,0.0047,0.0074,0.0059,0.0106,0.0038,0.0024,0.0091,0.0094,0.0298,0.0124,0.0439,0.0136,0.0142,0.0055,0.0016,0.0057,0.0068,0.0197,0.0146,0.0086,0.0177,0.0264,0
"DOM_C19",0.0048,0.0027,0.005,0.0135,0.0168,0.0156,0.0074,0.0107,0.017,1.0153,0.0122,0.0062,0.0155,0.0206,0.0336,0.0224,0.0163,0.0163,0.0188,0.0339,0.0377,0.0116,0.005,0.0056,0.0078,0.0114,0.0825,0.0443,0.1135,0.0071,0.0567,0.0086,0.0108,0.0184,0.0028,0.0036,9e-04,0.007,0.0033,0.0237,0.0023,0.0055,0.0051,0.0078,0
