"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1045,0.0598,0.0327,0.0191,0.0121,0.2425,0.0296,0.165,0.002,0.0034,0.0091,0.0093,0.0096,0.0029,0.0043,0.002,0.0014,0.0015,0.0016,0.0016,0.0024,0.0034,8e-04,0.0048,0.0033,0.0018,8e-04,0.0011,0.0022,0.0018,8e-04,0.0677,0.0018,9e-04,3e-04,7e-04,0.001,0.0014,0.0017,0.0034,0.0084,0.0064,0.0066,0.0078,0
"DOM_A03",4e-04,1.0333,1e-04,1e-04,1e-04,0.0092,1e-04,2e-04,0,1e-04,3e-04,3e-04,1e-04,0,1e-04,0,0,0,0,0,0,0,0,1e-04,0,1e-04,0,0,1e-04,1e-04,0,0.0036,0,0,0,0,0,0,1e-04,1e-04,2e-04,1e-04,2e-04,2e-04,0
"DOM_B05_06",0,0,1.0093,0.0028,0.0021,0,0,0,0,8e-04,4e-04,1e-04,1e-04,5e-04,0,0,0,0,0,0,0,1e-04,0,0,6e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",0.001,6e-04,0.0032,1.0051,0.0031,9e-04,4e-04,0.0013,5e-04,0.0011,0.0014,0.0014,7e-04,0.036,0.0061,8e-04,0.0012,0.0012,0.0013,8e-04,0.0011,6e-04,6e-04,0.0017,0.0398,6e-04,4e-04,5e-04,5e-04,9e-04,4e-04,0.001,6e-04,0.0011,1e-04,3e-04,0.0026,6e-04,4e-04,4e-04,5e-04,4e-04,2e-04,0.0026,0
"DOM_B09",0,0,5e-04,2e-04,1.0005,0,0,0,0,3e-04,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.0477,0.186,0.0067,0.0046,0.0046,1.1235,0.0057,0.0182,0.0035,0.0118,0.0318,0.033,0.0133,0.0034,0.0053,0.003,0.0028,0.0035,0.0037,0.0023,0.0034,0.0037,0.0016,0.0051,0.0037,0.0054,0.002,0.003,0.0058,0.0046,0.0021,0.1659,0.0038,0.0023,8e-04,0.0017,0.0013,0.0032,0.0043,0.0046,0.0089,0.0087,0.0174,0.0174,0
"DOM_C13T15",0.001,9e-04,6e-04,4e-04,4e-04,0.0013,1.0716,5e-04,0.0131,7e-04,0.0012,9e-04,0.0016,7e-04,6e-04,9e-04,7e-04,5e-04,5e-04,6e-04,0.001,0.0039,5e-04,0.0015,5e-04,9e-04,3e-04,5e-04,6e-04,7e-04,7e-04,0.0015,0.0016,6e-04,1e-04,6e-04,2e-04,7e-04,9e-04,0.001,5e-04,0.0015,0.0019,0.0026,0
"DOM_C16",0.0025,9e-04,5e-04,4e-04,4e-04,0.0019,0.0052,1.1184,8e-04,5e-04,8e-04,6e-04,0.0012,0.0053,0.0014,0.0039,5e-04,0.0017,0.0018,0.0045,0.0076,0.0063,4e-04,7e-04,0.0093,4e-04,1e-04,2e-04,2e-04,5e-04,2e-04,7e-04,6e-04,4e-04,1e-04,2e-04,0.0032,4e-04,2e-04,3e-04,2e-04,4e-04,2e-04,0.0012,0
"DOM_C17_18",0.0155,0.0045,0.0029,0.0025,0.0023,0.0134,0.0076,0.0049,1.1248,0.0079,0.0113,0.0153,0.0106,0.0117,0.0038,0.0042,0.0037,0.0056,0.0059,0.0037,0.0049,0.0149,0.0023,0.0042,0.004,0.0092,0.0022,0.0033,0.0041,0.0039,0.005,0.0108,0.0639,0.0029,0.0011,0.0031,0.0025,0.0132,0.0053,0.0037,0.0062,0.0092,0.0036,0.0112,0
"DOM_C19",0.0047,0.0124,0.0067,0.0088,0.0041,0.0036,0.0016,0.0042,0.0019,1.0019,0.002,0.0012,0.0029,0.0092,0.0038,0.0023,0.0011,0.0012,0.0013,0.0028,0.004,0.0024,0.0036,0.003,0.0036,0.0019,0.0129,0.0188,0.0272,0.0037,0.0072,0.0027,0.0017,0.001,3e-04,6e-04,6e-04,0.0014,0.0025,9e-04,6e-04,9e-04,0.0018,0.0025,0
