"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1037,0.0025,6e-04,7e-04,0.0011,0.2525,8e-04,9e-04,7e-04,0.0012,0.0051,0.0022,0.0011,4e-04,4e-04,4e-04,3e-04,8e-04,9e-04,5e-04,0.0014,0.0013,3e-04,0.0011,0.0044,8e-04,5e-04,4e-04,7e-04,6e-04,7e-04,0.0199,6e-04,4e-04,1e-04,4e-04,8e-04,7e-04,0.0013,0.0025,0.001,0.0068,0.0033,0.0019,0
"DOM_A03",5e-04,1.0114,0,0,1e-04,0.0067,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,1e-04,0,0,0,0,0,0.0045,1e-04,0,0,0,0,0,1e-04,3e-04,0,0.0016,3e-04,1e-04,0
"DOM_B05_06",5e-04,5e-04,1.0016,0.0017,0.0014,7e-04,4e-04,4e-04,6e-04,0.0071,0.0013,7e-04,0.0011,0.0028,0.001,3e-04,3e-04,2e-04,3e-04,2e-04,2e-04,4e-04,0.0155,0.0013,8e-04,4e-04,1e-04,1e-04,2e-04,2e-04,3e-04,7e-04,2e-04,3e-04,1e-04,1e-04,1e-04,2e-04,3e-04,3e-04,2e-04,4e-04,3e-04,5e-04,0
"DOM_B07_08",4e-04,0.0023,0.0028,1.0065,0.0059,5e-04,4e-04,6e-04,4e-04,0.0949,0.0133,0.0029,8e-04,0.0192,0.0037,9e-04,0.0016,4e-04,9e-04,4e-04,5e-04,6e-04,5e-04,9e-04,0.0108,5e-04,2e-04,1e-04,3e-04,6e-04,3e-04,7e-04,2e-04,2e-04,2e-04,2e-04,0.0011,2e-04,3e-04,6e-04,4e-04,7e-04,3e-04,5e-04,0
"DOM_B09",0,0,9e-04,6e-04,1.0016,0,0,0,0,8e-04,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,3e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.0895,0.0017,0.0012,0.0012,0.0025,1.1334,0.0017,8e-04,0.0013,0.001,0.015,0.0036,0.001,7e-04,6e-04,7e-04,4e-04,0.002,0.0011,9e-04,0.004,0.0035,4e-04,8e-04,9e-04,0.0015,0.0014,9e-04,0.0013,3e-04,0.0012,0.0718,0.0015,0.001,3e-04,4e-04,7e-04,0.001,0.0014,0.0028,0.0025,0.0169,0.0116,0.0042,0
"DOM_C13T15",2e-04,2e-04,2e-04,2e-04,2e-04,3e-04,1.036,0.0014,8e-04,2e-04,2e-04,1e-04,2e-04,2e-04,3e-04,4e-04,3e-04,7e-04,2e-04,0.0014,2e-04,0.0013,1e-04,1e-04,4e-04,1e-04,0,0,1e-04,1e-04,1e-04,8e-04,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,1e-04,0,6e-04,2e-04,2e-04,0
"DOM_C16",0.0019,0.0038,0.0022,0.0027,0.0033,0.0081,0.005,1.2169,0.0014,0.0019,0.008,0.0014,0.0018,0.002,0.0012,0.0022,0.001,0.0015,0.0024,0.0132,0.0248,0.0158,0.002,0.002,0.0166,0.0039,7e-04,9e-04,0.002,0.0024,0.0012,0.0098,0.0017,0.0012,3e-04,6e-04,0.0027,0.001,0.0012,0.0011,9e-04,0.003,0.0044,0.0011,0
"DOM_C17_18",0.0013,0.0242,0.0027,0.0033,0.0042,0.0047,0.0055,0.0028,1.1098,0.0018,0.0049,0.0218,0.0393,0.0027,0.0028,0.0029,0.002,0.0077,0.0041,0.014,0.0036,0.0035,0.0015,0.0047,0.0027,0.0056,0.003,0.0022,0.0031,0.0018,0.0314,0.0027,0.0066,0.0053,0.0016,0.003,0.0015,0.0078,0.008,0.0012,0.003,0.0032,0.0068,0.0069,0
"DOM_C19",1e-04,1e-04,3e-04,5e-04,3e-04,1e-04,1e-04,1e-04,1e-04,1.0004,2e-04,1e-04,3e-04,3e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,0.0017,3e-04,1e-04,1e-04,2e-04,0,1e-04,0,1e-04,1e-04,0,0,0,0,0,0,1e-04,1e-04,0,1e-04,1e-04,1e-04,0
