"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1196,0.0195,0.0062,0.0164,0.0307,0.2264,0.0404,0.2277,0.0335,0.0044,0.013,0.0096,0.0066,0.0068,0.0097,0.0049,0.0026,0.0034,0.0052,0.0065,0.0053,0.0161,0.0047,0.0079,0.0086,0.0114,0.006,0.0073,0.0065,0.0044,0.0022,0.0789,0.0083,0.0016,0.003,0.0028,0.0078,0.0069,0.0152,0.004,0.0036,0.0071,0.0159,0.0099,0
"DOM_A03",3e-04,1.0045,0,0,0,0.0015,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,1e-04,0,0,0,1e-04,3e-04,0
"DOM_B05_06",0.0063,0.009,1.0116,0.0077,0.0248,0.0056,0.0075,0.0087,0.0103,0.0515,0.0289,0.005,0.0059,0.0124,0.0421,0.0077,0.0028,0.0056,0.0093,0.0048,0.0053,0.0066,0.0744,0.0063,0.0047,0.0048,0.0081,0.0072,0.0097,0.008,0.0031,0.0043,0.0033,0.0022,0.0016,0.0025,0.0048,0.003,0.0036,0.0047,0.0042,0.0039,0.0048,0.0053,0
"DOM_B07_08",0.0022,0.0053,0.002,1.0722,0.0057,0.0015,0.0013,0.0018,0.0012,0.0011,0.0067,0.0011,0.0015,0.0341,0.0165,0.0023,6e-04,0.0019,0.0026,0.0012,0.0017,0.002,0.0022,0.0078,0.0144,0.0011,0.0014,0.002,0.001,0.002,5e-04,0.001,6e-04,3e-04,5e-04,5e-04,0.0021,0.0018,0.0016,0.0013,5e-04,8e-04,0.0012,9e-04,0
"DOM_B09",0.0037,0.0047,0.006,5e-04,1.1141,0.001,5e-04,0.0012,5e-04,0.0054,0.0017,4e-04,5e-04,7e-04,0.0024,5e-04,1e-04,3e-04,5e-04,3e-04,3e-04,4e-04,0.003,4e-04,3e-04,3e-04,9e-04,5e-04,8e-04,5e-04,2e-04,5e-04,2e-04,1e-04,1e-04,1e-04,3e-04,2e-04,6e-04,2e-04,2e-04,2e-04,3e-04,3e-04,0
"DOM_C10T12",0.1592,0.0307,0.0043,0.0068,0.0068,1.2132,0.0128,0.0371,0.0099,0.0027,0.0172,0.0087,0.0093,0.0063,0.0056,0.0054,0.0033,0.0035,0.0051,0.0054,0.0042,0.0068,0.0035,0.0064,0.006,0.0127,0.0076,0.0105,0.0099,0.0043,0.0026,0.1474,0.0061,0.0017,0.0041,0.0029,0.0058,0.0073,0.0217,0.0071,0.0089,0.0161,0.0133,0.0114,0
"DOM_C13T15",0.0033,0.0043,0.0038,0.0021,0.0015,0.0026,1.1121,0.0024,0.0039,0.001,0.003,0.0259,0.009,0.0021,0.0016,0.0027,0.0014,0.0034,0.0035,0.0151,0.005,0.0115,0.0011,0.0027,0.0021,0.0038,0.0031,0.0024,0.0018,0.0014,0.002,0.0027,0.0036,5e-04,0.001,8e-04,0.0023,0.0019,0.0055,0.0019,9e-04,0.0062,0.0063,0.0052,0
"DOM_C16",0.0112,0.0074,0.0078,0.0089,0.0047,0.0059,0.0043,1.2157,0.0412,0.0025,0.0064,0.0054,0.0077,0.0147,0.0261,0.0086,0.0029,0.0059,0.009,0.0147,0.0082,0.0547,0.0028,0.0113,0.0199,0.0073,0.005,0.0054,0.0052,0.0056,0.0027,0.0069,0.01,0.0014,0.003,0.0028,0.0223,0.0086,0.0083,0.0034,0.0031,0.0038,0.008,0.0098,0
"DOM_C17_18",0.0068,0.0046,0.0034,0.0057,0.0029,0.0138,0.0077,0.0158,1.2246,0.0015,0.0116,0.0122,0.0088,0.0108,0.0052,0.0052,0.0041,0.0051,0.006,0.0059,0.0039,0.0086,0.0028,0.0061,0.0092,0.0094,0.0059,0.0114,0.006,0.0075,0.0055,0.0087,0.1579,0.0027,0.0073,0.0144,0.0072,0.0347,0.0294,0.0067,0.0111,0.006,0.017,0.021,0
"DOM_C19",0.0325,0.0175,0.0091,0.0122,0.0065,0.0135,0.0101,0.0322,0.0154,1.0144,0.0812,0.0092,0.0223,0.0216,0.012,0.0117,0.004,0.0069,0.0115,0.0114,0.0067,0.0116,0.0133,0.0206,0.0187,0.0279,0.0585,0.0518,0.1069,0.0142,0.0117,0.0071,0.0068,0.007,0.005,0.0052,0.0102,0.0104,0.0154,0.0105,0.0032,0.0062,0.0118,0.011,0
"DOM_C20",0.0232,0.0133,0.0081,0.0191,0.0071,0.0106,0.0191,0.0248,0.019,0.0062,1.099,0.0198,0.0966,0.0189,0.008,0.0098,0.0056,0.0136,0.0097,0.0159,0.0115,0.0137,0.0044,0.0071,0.0066,0.0048,0.0059,0.0062,0.0075,0.0038,0.0018,0.0043,0.0046,0.0011,0.0014,0.0016,0.0054,0.0042,0.0052,0.0026,0.0018,0.0043,0.0038,0.0069,0
"DOM_C21",0.0014,9e-04,4e-04,7e-04,3e-04,0.0011,0.001,0.001,9e-04,2e-04,0.0025,1.0224,0.0024,7e-04,4e-04,5e-04,4e-04,5e-04,6e-04,0.0011,7e-04,7e-04,3e-04,7e-04,7e-04,7e-04,4e-04,4e-04,4e-04,3e-04,2e-04,6e-04,4e-04,1e-04,2e-04,2e-04,4e-04,0.0012,5e-04,3e-04,2e-04,0.0208,7e-04,0.0012,0
"DOM_C22",0.008,0.0061,0.0159,0.021,0.0052,0.0118,0.0107,0.0106,0.0098,0.0033,0.0103,0.0115,1.1059,0.0135,0.0079,0.0325,0.0318,0.0244,0.0187,0.0865,0.0682,0.0194,0.0034,0.0081,0.0153,0.0091,0.0112,0.0064,0.0065,0.0052,0.0027,0.005,0.0037,0.0017,0.0023,0.0021,0.0117,0.0073,0.0069,0.0026,0.0017,0.003,0.005,0.0045,0
"DOM_C23",0.0061,0.0076,0.0071,0.016,0.0133,0.009,0.0135,0.0155,0.0046,0.0024,0.0094,0.0073,0.0058,1.2142,0.0105,0.0087,0.0064,0.0068,0.008,0.0058,0.0065,0.0123,0.0032,0.0105,0.0673,0.0051,0.0049,0.0069,0.0042,0.007,0.002,0.0057,0.0029,0.0016,0.0027,0.0026,0.0226,0.0088,0.0054,0.0052,0.0023,0.0035,0.0069,0.0043,0
"DOM_C24",0.0042,0.0836,0.0089,0.0046,0.0066,0.0035,0.0035,0.0063,0.0035,0.0022,0.0047,0.0027,0.007,0.0096,1.133,0.0856,0.0053,0.0671,0.0894,0.035,0.048,0.0276,0.0041,0.0283,0.0174,0.005,0.0042,0.0118,0.0046,0.0031,0.0011,0.0023,0.0015,7e-04,0.0012,0.0011,0.0036,0.004,0.0032,0.0022,0.001,0.002,0.0028,0.0025,0
"DOM_C25",0.0094,0.0192,0.0302,0.0198,0.0151,0.0107,0.0126,0.0309,0.0139,0.007,0.0177,0.0113,0.0176,0.0232,0.0513,1.2002,0.0155,0.0392,0.1163,0.0316,0.027,0.0472,0.0087,0.0111,0.0275,0.0111,0.0096,0.01,0.0103,0.0077,0.0029,0.0061,0.005,0.0018,0.0032,0.0029,0.0122,0.0114,0.0079,0.0047,0.0026,0.0049,0.0076,0.0072,0
"DOM_C26",0.0025,0.0034,0.0025,0.0023,0.002,0.0022,0.0021,0.0024,0.0028,0.0015,0.0026,0.0023,0.0027,0.002,0.0014,0.0024,1.0452,0.0214,0.0103,0.0058,0.0386,0.0067,0.0021,0.0021,0.0046,0.0028,0.0035,0.0032,0.0041,0.0025,0.0038,0.0028,0.0057,0.0188,0.0055,0.004,0.0017,0.0057,0.0024,0.002,0.0025,0.0026,0.0037,0.0044,0
