"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0327,0.0019,0.004,0.004,0.0017,0.1666,0.0083,0.0744,0.0086,0.0016,0.0032,0.0025,0.0037,0.0014,0.0011,0.0014,0.0013,0.0011,0.0011,0.0014,0.0014,0.0035,0.0012,0.0011,0.0028,0.0021,0.0013,0.0026,0.0022,0.0017,7e-04,0.0299,0.0017,8e-04,6e-04,8e-04,0.0018,7e-04,0.0011,0.0041,0.0011,0.0057,0.0026,0.0017,0
"DOM_A03",0,1.019,0,0,0,7e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,5e-04,0,0,0,0,0,0,0,0,0,1e-04,1e-04,0,0
"DOM_B05_06",0.0022,0.0013,1.0136,0.0047,0.0036,0.0021,0.0024,0.0022,0.0033,0.0342,0.0034,0.001,0.0019,0.0055,0.0053,0.0018,0.0011,0.0013,0.0012,0.0013,0.001,0.0013,0.029,0.0016,0.0013,0.001,0.0019,0.0015,0.0019,0.0012,7e-04,0.0014,9e-04,6e-04,3e-04,4e-04,3e-04,5e-04,4e-04,7e-04,8e-04,9e-04,7e-04,8e-04,0
"DOM_B07_08",0.0058,0.0035,9e-04,1.0768,0.0055,0.0026,9e-04,0.0022,0.0016,0.001,0.0023,0.001,0.0011,0.0433,0.0022,0.0011,0.0013,0.0012,8e-04,0.001,6e-04,0.0013,0.0012,0.0019,0.0099,4e-04,7e-04,3e-04,3e-04,5e-04,4e-04,9e-04,4e-04,5e-04,2e-04,2e-04,7e-04,2e-04,2e-04,0.0013,3e-04,5e-04,4e-04,5e-04,0
"DOM_B09",2e-04,9e-04,0.0043,0.0041,1.0089,1e-04,1e-04,1e-04,1e-04,0.0031,2e-04,0,1e-04,8e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,5e-04,1e-04,4e-04,0,1e-04,1e-04,2e-04,1e-04,0,1e-04,0,0,0,0,1e-04,0,0,1e-04,0,0,0,0,0
"DOM_C10T12",0.0557,0.0012,0.0036,0.0035,0.0028,1.1044,0.0063,0.0062,0.0025,0.003,0.0086,0.0057,0.003,0.0019,0.0018,0.0018,0.0023,0.0022,0.0018,0.002,0.0017,0.0019,0.0014,0.0011,0.0022,0.0023,0.0018,0.0047,0.0062,0.0024,7e-04,0.132,0.0022,9e-04,7e-04,0.0019,5e-04,0.0016,0.0013,0.0049,0.0024,0.0212,0.0032,0.0027,0
"DOM_C13T15",0.001,0.0301,9e-04,0.0014,0.0014,0.0011,1.1017,0.0013,0.0011,0.001,0.0013,0.0045,0.0048,9e-04,9e-04,0.0014,0.0014,0.0014,0.0014,0.0025,0.0025,0.007,7e-04,7e-04,0.0019,9e-04,6e-04,7e-04,8e-04,6e-04,0.0014,0.0015,7e-04,4e-04,6e-04,3e-04,2e-04,3e-04,6e-04,5e-04,2e-04,0.0015,0.0015,6e-04,0
"DOM_C16",0.0025,0.0022,0.0037,0.0059,0.004,0.0031,0.0027,1.1474,0.0051,0.0015,0.0033,0.0015,0.0033,0.0034,0.0028,0.006,0.0032,0.003,0.0043,0.004,0.011,0.034,0.0029,0.0036,0.0241,0.0014,0.0016,0.001,0.0019,0.0017,0.001,0.0024,0.0017,0.0016,8e-04,8e-04,0.0028,0.001,0.001,0.0018,0.0022,0.0015,0.0019,0.01,0
"DOM_C17_18",0.0083,0.0118,0.0092,0.0221,0.0095,0.0312,0.0315,0.017,1.2285,0.0103,0.0216,0.0165,0.0176,0.0149,0.0111,0.0119,0.02,0.0148,0.0139,0.0127,0.0087,0.0191,0.0084,0.011,0.0094,0.0204,0.0093,0.0062,0.0079,0.0112,0.027,0.0168,0.1101,0.0184,0.0058,0.0115,0.0034,0.0164,0.0127,0.0095,0.0102,0.0068,0.0047,0.0062,0
"DOM_C19",0.0196,0.0129,0.0063,0.0146,0.0225,0.0126,0.0128,0.0141,0.0078,1.0495,0.0245,0.0068,0.0112,0.0124,0.0235,0.0083,0.007,0.0071,0.0068,0.0072,0.0054,0.0076,0.0116,0.0076,0.0113,0.0077,0.0272,0.0293,0.0467,0.0197,0.0104,0.0063,0.005,0.0031,0.0021,0.0018,0.0015,0.0031,0.0033,0.0047,0.0047,0.0049,0.0041,0.0043,0
"DOM_C20",0.0532,0.0086,0.014,0.0237,0.0205,0.0263,0.096,0.094,0.0605,0.0241,1.1435,0.0364,0.1598,0.0397,0.0317,0.0247,0.0262,0.0227,0.021,0.0292,0.0164,0.0266,0.0083,0.0121,0.0282,0.0069,0.0062,0.0049,0.0065,0.0056,0.0048,0.0098,0.0107,0.0041,0.0039,0.0032,0.0031,0.0063,0.0067,0.0051,0.0039,0.0179,0.0046,0.0081,0
"DOM_C21",0.0021,4e-04,6e-04,8e-04,9e-04,0.0015,0.0022,0.0018,0.0013,6e-04,0.0071,1.0909,0.0027,9e-04,8e-04,6e-04,8e-04,7e-04,6e-04,8e-04,7e-04,0.001,4e-04,7e-04,7e-04,3e-04,3e-04,3e-04,4e-04,4e-04,2e-04,9e-04,5e-04,3e-04,3e-04,3e-04,2e-04,6e-04,5e-04,2e-04,2e-04,0.006,4e-04,0.0012,0
"DOM_C22",0.0074,0.0043,0.0085,0.0095,0.014,0.0152,0.014,0.012,0.0174,0.0057,0.0146,0.0159,1.0572,0.0141,0.0068,0.0157,0.0197,0.0199,0.0252,0.039,0.0146,0.0261,0.0061,0.0088,0.0393,0.0073,0.0059,0.003,0.0041,0.0053,0.0028,0.0053,0.0038,0.0032,0.0017,0.0015,0.0032,0.0024,0.0027,0.0036,0.0016,0.0039,0.0023,0.0027,0
"DOM_C23",0.011,0.0023,0.0071,0.0243,0.0132,0.0082,0.0073,0.0229,0.0039,0.0032,0.0088,0.0059,0.009,1.1148,0.0153,0.0104,0.0157,0.0132,0.0073,0.0109,0.0056,0.0096,0.0096,0.0053,0.0753,0.0024,0.0036,0.0018,0.0023,0.0033,0.0017,0.0045,0.0022,0.004,0.0015,0.0015,0.0054,0.002,0.0017,0.003,0.0018,0.0032,0.0034,0.0056,0
"DOM_C24",0.0041,0.0027,0.0168,0.0096,0.014,0.0047,0.0048,0.0064,0.0049,0.0033,0.0142,0.0037,0.0118,0.0069,1.2042,0.1039,0.025,0.0466,0.0429,0.0372,0.0418,0.0326,0.0082,0.0066,0.0158,0.0028,0.0042,0.0019,0.0043,0.0029,0.0014,0.002,0.0018,0.0022,0.0011,8e-04,0.0015,0.0015,0.0013,0.0022,8e-04,0.0017,0.0011,0.0012,0
"DOM_C25",0.0116,0.0165,0.0372,0.0253,0.0282,0.0165,0.0148,0.0251,0.0087,0.0109,0.017,0.0111,0.0172,0.0132,0.0233,1.1353,0.0339,0.0406,0.0726,0.058,0.065,0.0562,0.016,0.0349,0.0546,0.007,0.0092,0.0061,0.0092,0.0094,0.0035,0.007,0.0044,0.0049,0.003,0.0022,0.0051,0.0028,0.0035,0.0065,0.0027,0.0048,0.003,0.0036,0
"DOM_C26",0.0027,0.0023,0.0058,0.009,0.0054,0.0042,0.0051,0.0043,0.0047,0.0046,0.0054,0.0049,0.0049,0.0053,0.0059,0.0059,1.0758,0.0284,0.0156,0.007,0.0108,0.011,0.007,0.0061,0.0057,0.0036,0.0035,0.0027,0.004,0.0041,0.0038,0.0034,0.0064,0.0175,0.0125,0.003,0.0013,0.0033,0.0022,0.0043,0.0029,0.0142,0.0054,0.0035,0
"DOM_C27",0.0066,0.0037,0.0198,0.0194,0.0143,0.0073,0.0088,0.0073,0.0075,0.0065,0.0094,0.0059,0.0095,0.0111,0.0163,0.0138,0.0389,1.1901,0.0538,0.0444,0.0243,0.0244,0.0446,0.0103,0.056,0.0067,0.0107,0.0053,0.0075,0.0095,0.0058,0.0075,0.0052,0.0118,0.0063,0.0031,0.0051,0.0036,0.0045,0.0046,0.0033,0.0072,0.0047,0.0042,0
"DOM_C28",0.0168,0.0061,0.0538,0.0377,0.0396,0.0128,0.0149,0.0106,0.0161,0.0082,0.0142,0.0058,0.0222,0.017,0.0267,0.0318,0.0152,0.0191,1.1191,0.034,0.0462,0.0348,0.0163,0.0162,0.0163,0.0044,0.007,0.007,0.0079,0.005,0.0026,0.0061,0.005,0.0044,0.003,0.0018,0.0036,0.0023,0.0018,0.0113,0.0016,0.0037,0.0017,0.0025,0
"DOM_C29",0.0087,0.0026,0.007,0.0108,0.0087,0.0062,0.0059,0.0069,0.004,0.0048,0.0061,0.0092,0.0085,0.0093,0.0073,0.0087,0.0093,0.0134,0.0168,1.2764,0.0088,0.0273,0.0056,0.0071,0.0072,0.0119,0.0214,0.0064,0.0062,0.0166,0.0033,0.0032,0.0023,0.0024,0.0015,0.0014,0.0013,0.0023,0.0024,0.0033,0.0013,0.0022,0.0015,0.0012,0
"DOM_C30",5e-04,0.0104,9e-04,0.0017,7e-04,5e-04,5e-04,6e-04,4e-04,6e-04,5e-04,3e-04,5e-04,6e-04,7e-04,7e-04,6e-04,4e-04,6e-04,0.0013,1.1146,0.0136,9e-04,3e-04,4e-04,3e-04,0.0044,8e-04,0.0593,8e-04,4e-04,3e-04,4e-04,3e-04,2e-04,2e-04,1e-04,4e-04,6e-04,0.0087,1e-04,2e-04,6e-04,2e-04,0
"DOM_C31T33",0.0043,0.0036,0.0327,0.0807,0.0221,0.0077,0.0115,0.0088,0.0092,0.0046,0.0116,0.0041,0.0082,0.0155,0.0224,0.0171,0.0126,0.0092,0.0156,0.0185,0.028,1.0446,0.0138,0.004,0.0066,0.0027,0.0094,0.0075,0.0176,0.0039,0.0018,0.0039,0.0095,0.0084,0.0019,0.0015,0.0026,0.0021,0.002,0.0025,0.0018,0.0044,0.0027,0.0029,0
