"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1139,0.0166,3e-04,0.0012,0.0028,0.1654,0.0048,0.0523,0.0028,0.001,0.0073,0.0066,0.0032,0.0021,0.0015,0.0027,0.0032,0.0021,0.0096,0.0026,0.0027,0.0081,0.0082,0.0058,0.0062,0.0034,0.0024,4e-04,0.0013,0.0054,0.003,0.0434,0.0044,0.0036,0.004,0.0018,0.0015,0.0071,0.0094,0.0047,0.0032,0.0047,0.0058,0.0048,0
"DOM_A03",0.0014,1.002,0,2e-04,4e-04,0.0106,3e-04,2e-04,2e-04,1e-04,7e-04,3e-04,2e-04,2e-04,1e-04,1e-04,5e-04,1e-04,3e-04,2e-04,2e-04,5e-04,1e-04,6e-04,5e-04,3e-04,3e-04,0,1e-04,0.001,2e-04,0.0032,3e-04,2e-04,4e-04,1e-04,1e-04,4e-04,5e-04,2e-04,2e-04,2e-04,4e-04,3e-04,0
"DOM_B05_06",0.0124,0.0203,1.0401,0.2015,0.0205,0.0223,0.0063,0.0065,0.015,0.582,0.0208,0.0042,0.0122,0.0482,0.0375,0.0097,0.0033,0.0043,0.005,0.0076,0.0047,0.0041,0.1295,0.0074,0.0213,0.0034,0.0134,0.0108,0.018,0.0044,0.0055,0.01,0.0045,0.0031,0.0023,0.0017,0.0032,0.0032,0.0118,0.0036,0.0032,0.0049,0.0084,0.003,0
"DOM_B07_08",0.0014,6e-04,0.0023,1.038,0.0035,0.0017,0.001,0.0015,0.0023,0.0018,9e-04,3e-04,0.0019,0.0427,0.002,0.0012,5e-04,7e-04,7e-04,9e-04,9e-04,4e-04,0.0061,5e-04,0.0046,2e-04,3e-04,1e-04,2e-04,3e-04,3e-04,6e-04,3e-04,4e-04,2e-04,2e-04,6e-04,3e-04,6e-04,4e-04,3e-04,3e-04,4e-04,3e-04,0
"DOM_B09",0.0029,0.0142,0.0448,0.0715,1.241,0.0024,0.0011,0.0018,0.0037,0.0475,0.0089,0.0014,0.0024,0.0224,0.0162,0.0045,9e-04,0.0011,0.0016,0.0016,0.0014,0.001,0.0101,0.0022,0.0111,6e-04,0.0037,0.0015,0.0028,0.0026,9e-04,0.0013,7e-04,9e-04,5e-04,5e-04,0.0019,0.0014,0.0016,9e-04,5e-04,6e-04,0.0011,8e-04,0
"DOM_C10T12",0.1116,0.1097,3e-04,0.0013,0.0016,1.1755,0.0119,0.0077,0.0041,8e-04,0.0366,0.0142,0.0049,0.0026,0.0015,0.0022,0.003,0.0023,0.0053,0.0032,0.0025,0.0064,0.0052,0.0052,0.0024,0.0044,0.0032,4e-04,0.002,0.0048,0.0031,0.1352,0.0041,0.0025,0.0045,0.0018,0.001,0.0059,0.0061,0.0042,0.0027,0.0067,0.0072,0.0088,0
"DOM_C13T15",3e-04,8e-04,0,2e-04,4e-04,5e-04,1.0969,0.0012,0.0081,1e-04,5e-04,4e-04,0.0024,0.0022,9e-04,0.0014,9e-04,7e-04,0.001,0.0031,0.0054,0.0037,3e-04,0.0015,9e-04,4e-04,4e-04,1e-04,1e-04,5e-04,0.0028,6e-04,8e-04,4e-04,3e-04,1e-04,2e-04,4e-04,0.001,6e-04,3e-04,0.001,0.0016,0.0017,0
"DOM_C16",0.0019,0.0017,2e-04,0.0014,8e-04,0.0015,0.0012,1.0726,0.0031,5e-04,0.0015,8e-04,0.0037,0.0025,0.0029,0.0032,0.0027,0.0014,0.0023,0.0051,0.0052,0.0174,0.0046,0.0028,0.0207,8e-04,0.0011,2e-04,4e-04,0.001,9e-04,0.001,7e-04,0.0014,6e-04,7e-04,0.0026,0.001,0.0012,0.001,4e-04,8e-04,0.002,0.0012,0
"DOM_C17_18",0.0018,0.0013,1e-04,7e-04,9e-04,0.0074,0.0028,0.0038,1.123,2e-04,0.0045,0.0026,0.0064,0.0027,0.0031,0.0024,0.0026,0.0023,0.002,0.0021,0.0016,0.0031,6e-04,0.0028,0.0013,0.0038,0.001,1e-04,3e-04,0.001,0.0041,0.0022,0.0149,0.0025,0.0029,0.0012,9e-04,0.0028,0.0021,0.0024,0.0017,0.0014,0.0029,0.0024,0
"DOM_C19",0.0086,0.0274,5e-04,0.0024,0.0055,0.0038,0.0016,0.003,0.0018,1.0019,0.0016,7e-04,0.0018,0.0093,0.0017,0.0024,0.001,0.0012,0.0017,0.0021,0.0016,0.0018,0.0015,0.0034,0.0043,0.0021,0.0196,0.018,0.0299,0.003,0.0044,0.0017,9e-04,0.0011,7e-04,5e-04,9e-04,0.001,0.0022,0.0022,7e-04,8e-04,0.0013,0.0013,0
"DOM_C20",0.0161,0.0022,8e-04,0.0036,0.0046,0.009,0.0325,0.0102,0.0164,0.0033,1.066,0.0205,0.0569,0.0097,0.0124,0.007,0.0083,0.0077,0.0097,0.0105,0.0088,0.022,0.0012,0.0037,0.0054,0.0021,0.0017,3e-04,7e-04,0.002,0.0022,0.0032,0.0043,0.0028,0.0023,0.0012,0.0015,0.0041,0.0048,0.0035,0.0026,0.0052,0.0036,0.0062,0
"DOM_C21",0.0071,0.0016,2e-04,6e-04,0.0017,0.0079,0.0028,0.0022,0.0026,4e-04,0.0131,1.048,0.0044,0.0013,0.0012,0.0017,0.0022,0.0018,0.0075,0.0019,0.002,0.0046,0.0013,0.0054,0.0024,0.0028,0.0013,3e-04,7e-04,0.0028,0.0036,0.0036,0.0049,0.0047,0.0044,0.0021,0.0012,0.0094,0.0051,0.0084,0.0051,0.0289,0.0047,0.0035,0
"DOM_C22",0.0034,0.0034,3e-04,0.0019,0.0018,0.0085,0.0095,0.0085,0.0104,5e-04,0.0074,0.0056,1.0275,0.0053,0.0075,0.0085,0.0085,0.0074,0.0085,0.0114,0.011,0.0105,0.0011,0.0027,0.0103,0.0054,0.0022,3e-04,6e-04,0.0016,0.0018,0.0025,0.0019,0.0019,0.0012,7e-04,0.0017,0.0015,0.0021,0.0024,0.0013,0.0026,0.0032,0.0021,0
"DOM_C23",0.0039,0.005,0.0011,0.0089,0.0042,0.0036,0.0052,0.0264,0.0028,0.001,0.0033,0.0028,0.0114,1.062,0.0075,0.0062,0.005,0.009,0.0085,0.0072,0.017,0.0044,0.0023,0.0043,0.0448,0.0015,0.003,7e-04,0.0013,0.002,0.0023,0.0027,0.0015,0.0039,0.0016,0.0018,0.007,0.0023,0.0017,0.0027,9e-04,0.0014,0.002,0.0022,0
"DOM_C24",0.001,0.0011,2e-04,7e-04,0.0032,0.0012,0.0018,0.0118,0.0026,3e-04,0.0014,7e-04,0.0073,0.0042,1.1056,0.0506,0.006,0.0132,0.0193,0.0448,0.0224,0.0072,5e-04,0.001,0.0064,8e-04,7e-04,1e-04,3e-04,5e-04,8e-04,6e-04,4e-04,9e-04,4e-04,4e-04,0.0012,5e-04,5e-04,7e-04,3e-04,5e-04,5e-04,6e-04,0
"DOM_C25",0.008,0.0085,0.0011,0.0052,0.0079,0.0094,0.0144,0.0323,0.0081,0.0013,0.007,0.0051,0.0202,0.0177,0.0279,1.0813,0.0225,0.0304,0.0531,0.0367,0.0586,0.0238,0.0035,0.0074,0.0349,0.0035,0.0046,0.001,0.0017,0.004,0.005,0.0043,0.003,0.0065,0.0029,0.0026,0.0091,0.003,0.0035,0.0059,0.002,0.0029,0.0039,0.0042,0
"DOM_C26",0.0022,0.0021,2e-04,8e-04,0.0012,0.0017,0.0023,0.0018,0.0023,4e-04,0.0035,0.002,0.0035,0.0016,0.0026,0.0043,1.0398,0.0127,0.0127,0.0036,0.0098,0.0052,0.001,0.0039,0.0059,0.0015,0.0015,3e-04,6e-04,0.0023,0.0051,0.0014,0.002,0.0049,0.0034,0.0012,0.0025,0.0027,0.0017,0.0029,0.0012,0.0014,0.0017,0.003,0
"DOM_C27",0.0014,0.0016,2e-04,7e-04,0.001,0.0012,0.001,0.0016,0.0014,2e-04,9e-04,0.001,0.0018,0.0014,0.0031,0.0061,0.0146,1.0385,0.0228,0.0066,0.0117,0.0046,0.0013,0.0049,0.005,8e-04,0.001,2e-04,6e-04,0.001,0.0034,9e-04,0.0017,0.0028,9e-04,6e-04,0.0017,0.001,0.001,0.0015,6e-04,9e-04,0.0014,0.0022,0
"DOM_C28",0.0113,0.0135,0.0014,0.0057,0.0131,0.01,0.008,0.0158,0.016,0.0019,0.0074,0.0082,0.0138,0.0149,0.024,0.0566,0.0392,0.0745,1.1474,0.0665,0.1032,0.0252,0.0061,0.0172,0.0403,0.0056,0.0076,0.0019,0.0031,0.006,0.0132,0.0068,0.0065,0.0145,0.0065,0.0047,0.0143,0.0062,0.0066,0.0085,0.0033,0.0044,0.0067,0.0083,0
"DOM_C29",3e-04,3e-04,0,1e-04,2e-04,3e-04,3e-04,3e-04,3e-04,1e-04,2e-04,1e-04,3e-04,2e-04,3e-04,3e-04,3e-04,3e-04,5e-04,1.014,7e-04,5e-04,1e-04,3e-04,2e-04,0.0011,0.0016,0,1e-04,2e-04,2e-04,2e-04,1e-04,3e-04,1e-04,1e-04,3e-04,1e-04,3e-04,3e-04,1e-04,1e-04,1e-04,1e-04,0
"DOM_C30",1e-04,0.001,0,1e-04,0,1e-04,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,1e-04,0,0,2e-04,0,0,0,1.0064,0.0011,0,0,2e-04,0,1e-04,7e-04,0.0015,2e-04,0,0,0,1e-04,1e-04,0,0,0,1e-04,1e-04,0,0,0,1e-04,0
