"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0941,0.003,0.0019,0.0064,0.0073,0.2906,0.0092,9e-04,0.0028,0.001,0.0034,0.0047,0.0016,8e-04,8e-04,6e-04,7e-04,9e-04,9e-04,7e-04,5e-04,6e-04,0.001,3e-04,7e-04,2e-04,8e-04,7e-04,0.002,8e-04,6e-04,0.0301,5e-04,2e-04,1e-04,5e-04,2e-04,5e-04,5e-04,0.0013,9e-04,0.0046,7e-04,4e-04,0
"DOM_A03",0,1.0036,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0,0,0,0,0,0,0,0,0,1e-04,0,0,0
"DOM_B05_06",0.0137,0.0491,1.1105,0.0087,0.0103,0.0797,0.0483,0.1101,0.0429,0.6001,0.0347,0.0168,0.0477,0.1171,0.1138,0.0399,0.0265,0.0335,0.0357,0.05,0.0288,0.0395,0.4677,0.0676,0.0231,0.0125,0.1398,0.1206,0.2105,0.0364,0.0164,0.105,0.0283,0.0197,0.0068,0.0073,0.0032,0.0115,0.0153,0.0081,0.0086,0.0174,0.0231,0.0277,0
"DOM_B07_08",0.0013,4e-04,2e-04,1.0115,0.0058,0.0011,0.0069,0.0069,0.0087,4e-04,0.1081,0.0317,0.0201,0.0449,0.0617,0.0145,0.0151,0.0179,0.0144,0.0156,0.0071,0.006,3e-04,9e-04,0.0243,2e-04,4e-04,2e-04,6e-04,5e-04,6e-04,0.0029,0.0017,8e-04,4e-04,2e-04,0.0016,7e-04,4e-04,3e-04,5e-04,0.0028,5e-04,4e-04,0
"DOM_B09",0.0207,0.0047,0.0011,0.0232,1.0165,0.0057,5e-04,3e-04,4e-04,6e-04,0.0026,0.001,6e-04,0.0012,0.0017,5e-04,6e-04,6e-04,9e-04,7e-04,3e-04,2e-04,5e-04,1e-04,9e-04,1e-04,2e-04,2e-04,3e-04,6e-04,0.0063,8e-04,1e-04,2e-04,0,0.0048,1e-04,1e-04,1e-04,2e-04,0,2e-04,1e-04,1e-04,0
"DOM_C10T12",0.03,0.0099,5e-04,9e-04,9e-04,1.0614,0.0062,5e-04,7e-04,3e-04,6e-04,8e-04,8e-04,8e-04,5e-04,9e-04,6e-04,7e-04,0.0015,9e-04,5e-04,9e-04,7e-04,4e-04,6e-04,3e-04,0.0013,4e-04,0.0039,0.0021,4e-04,0.0236,4e-04,5e-04,2e-04,5e-04,2e-04,0.001,8e-04,0.0021,0.0025,0.0112,0.002,8e-04,0
"DOM_C13T15",1e-04,2e-04,1e-04,1e-04,3e-04,2e-04,1.1758,0.0013,0.0037,0,6e-04,0.0013,0.0014,1e-04,5e-04,5e-04,0.0014,4e-04,4e-04,0.0022,0.002,0.0068,1e-04,1e-04,5e-04,0,1e-04,1e-04,0.0011,2e-04,2e-04,0.0016,5e-04,2e-04,1e-04,1e-04,0,8e-04,3e-04,2e-04,3e-04,0.0011,2e-04,4e-04,0
"DOM_C16",9e-04,0.0028,5e-04,4e-04,8e-04,0.0017,0.001,1.0548,0.0022,3e-04,5e-04,8e-04,0.001,0.001,0.0025,0.0023,0.0016,0.0027,0.0022,0.0018,0.0045,0.115,7e-04,5e-04,0.0054,3e-04,0.0014,3e-04,0.0039,0.0021,5e-04,0.0011,5e-04,5e-04,2e-04,6e-04,5e-04,0.001,6e-04,7e-04,0.001,0.0021,0.0015,0.0012,0
"DOM_C17_18",1e-04,2e-04,1e-04,2e-04,4e-04,0.0012,0.0012,3e-04,1.0541,1e-04,4e-04,0.0015,6e-04,4e-04,9e-04,9e-04,0.001,0.0011,0.0015,0.0057,0.0013,6e-04,2e-04,5e-04,0.0011,3e-04,6e-04,8e-04,8e-04,0.0031,0.0334,0.0035,0.0896,6e-04,8e-04,0.0054,8e-04,0.0051,0.0022,5e-04,0.0074,0.0056,0.0031,0.0014,0
"DOM_C19",0.0182,0.0378,0.0039,0.0109,0.0047,0.0542,0.0264,0.0087,0.0282,1.0041,0.03,0.0143,0.0634,0.0893,0.0992,0.035,0.0223,0.0295,0.0309,0.0242,0.0322,0.0106,0.1413,0.0365,0.0187,0.0097,0.0648,0.1154,0.0754,0.0297,0.0178,0.052,0.0203,0.0053,0.0022,0.003,0.0026,0.0088,0.0124,0.0046,0.0066,0.0109,0.0089,0.0149,0
