"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0653,0.0198,0.0082,0.0074,0.005,0.2367,0.0317,0.0324,0.0302,0.0025,0.0234,0.0226,0.0225,0.007,0.0061,0.006,0.0062,0.0062,0.0058,0.0064,0.007,0.0087,0.0064,0.0069,0.0048,0.0083,0.0045,0.0068,0.0064,0.005,0.0048,0.0388,0.008,0.0054,0.0065,0.0039,0.001,0.0062,0.009,0.0055,0.0045,0.0062,0.0128,0.0052,0
"DOM_A03",2e-04,1.0093,1e-04,1e-04,1e-04,0.0014,0,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,0,0,0,0,1e-04,0,1e-04,0,1e-04,1e-04,2e-04,3e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,0,0,0,1e-04,1e-04,3e-04,1e-04,1e-04,1e-04,0
"DOM_B05_06",2e-04,5e-04,1.0009,7e-04,9e-04,3e-04,2e-04,4e-04,4e-04,0.0052,6e-04,2e-04,3e-04,9e-04,0.0012,4e-04,2e-04,4e-04,2e-04,3e-04,2e-04,2e-04,0.0044,4e-04,2e-04,2e-04,9e-04,7e-04,0.0012,4e-04,4e-04,2e-04,2e-04,2e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,1e-04,1e-04,2e-04,1e-04,0
"DOM_B07_08",6e-04,0.0014,0.0028,1.0147,0.0137,0.0016,6e-04,0.0013,0.0046,2e-04,0.0058,0.0014,0.0013,0.0447,0.0182,0.005,0.0014,0.008,0.0025,0.0027,0.0014,0.0017,6e-04,0.0027,0.0076,8e-04,5e-04,7e-04,7e-04,7e-04,4e-04,8e-04,6e-04,0.0011,8e-04,4e-04,3e-04,6e-04,5e-04,5e-04,2e-04,4e-04,5e-04,4e-04,0
"DOM_B09",0,0,7e-04,5e-04,1.002,0,0,0,0,4e-04,0,0,0,1e-04,1e-04,0,0,0,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.158,0.0681,0.0221,0.0188,0.0108,1.2315,0.0181,0.0155,0.0184,0.0048,0.0236,0.0349,0.015,0.013,0.0106,0.0096,0.0099,0.0103,0.0094,0.0098,0.0157,0.0115,0.0164,0.0171,0.0093,0.02,0.0116,0.0116,0.0151,0.0115,0.0085,0.1648,0.0114,0.0113,0.0196,0.01,0.0026,0.0132,0.0206,0.0122,0.01,0.0172,0.0126,0.0148,0
"DOM_C13T15",9e-04,0.0095,0.0022,0.0013,0.0018,0.0019,1.1211,0.003,0.0062,4e-04,0.0035,0.0041,0.011,0.0023,0.002,0.0025,0.002,0.0026,0.0019,0.0078,0.0015,0.01,0.001,0.0022,0.002,0.0017,0.0011,0.0015,0.003,0.0019,0.001,0.0041,0.0029,9e-04,0.0011,8e-04,2e-04,0.0031,0.0019,0.0015,7e-04,0.0015,0.0018,0.0028,0
"DOM_C16",0.0018,0.0056,0.0157,0.0081,0.0025,0.004,0.0018,1.2731,0.0086,7e-04,0.0029,0.003,0.0055,0.0087,0.0081,0.0073,0.0025,0.0057,0.0082,0.0035,0.002,0.0274,0.0017,0.002,0.0106,0.0018,0.0032,0.0025,0.0029,0.0034,0.0013,0.0026,0.0016,0.0018,0.0017,0.0011,5e-04,0.0016,0.0023,0.001,0.001,0.0015,0.0014,0.0016,0
"DOM_C17_18",0.0056,0.0041,0.0073,0.0071,0.0056,0.0234,0.0138,0.0413,1.2286,0.002,0.0219,0.0417,0.0211,0.0169,0.0098,0.0138,0.008,0.0137,0.0122,0.0074,0.0066,0.0243,0.0085,0.0122,0.0051,0.0076,0.0035,0.0057,0.0067,0.0044,0.0042,0.0083,0.0271,0.0061,0.0281,0.0119,0.0014,0.0192,0.0067,0.005,0.0048,0.0042,0.0055,0.0064,0
"DOM_C19",0.0108,0.0391,0.025,0.0296,0.0357,0.009,0.0058,0.0189,0.0121,1.0283,0.0305,0.008,0.0177,0.0199,0.016,0.009,0.0057,0.0125,0.0071,0.0071,0.005,0.0091,0.0309,0.0187,0.0108,0.0082,0.0656,0.035,0.0721,0.0179,0.0183,0.0043,0.0054,0.0044,0.0038,0.0037,0.0011,0.0048,0.0046,0.0061,0.0039,0.0034,0.0037,0.0039,0
"DOM_C20",0.0244,0.0087,0.0193,0.0276,0.017,0.0164,0.0183,0.0336,0.0386,0.0051,1.1565,0.0564,0.0742,0.0411,0.0279,0.0221,0.0142,0.0214,0.0126,0.0241,0.0126,0.0149,0.017,0.0266,0.0183,0.0087,0.0077,0.0084,0.0107,0.0102,0.0044,0.0066,0.0098,0.0058,0.0071,0.0042,0.0014,0.0083,0.0057,0.0048,0.0023,0.0123,0.0048,0.0053,0
"DOM_C21",0.0027,0.0015,0.0026,0.0027,0.0018,0.0031,0.002,0.0032,0.0029,7e-04,0.0087,1.0205,0.0042,0.003,0.0041,0.0024,0.0022,0.0025,0.0021,0.0026,0.0032,0.0021,0.0017,0.0025,0.0019,0.0027,0.0014,0.0016,0.0022,0.0019,0.0012,0.0017,0.002,0.002,0.0028,0.0014,4e-04,0.0024,0.002,0.0016,7e-04,0.0172,0.0016,0.0016,0
"DOM_C22",0.0072,0.0064,0.0084,0.0075,0.0071,0.0156,0.0118,0.0199,0.0199,0.0015,0.02,0.0184,1.1146,0.0161,0.0097,0.0101,0.0147,0.029,0.0146,0.0369,0.0092,0.0131,0.0034,0.0082,0.0109,0.0068,0.0036,0.0044,0.0054,0.0077,0.0026,0.0086,0.0043,0.0039,0.0051,0.0025,8e-04,0.006,0.0058,0.0021,0.0013,0.0028,0.0041,0.0038,0
"DOM_C23",0.0038,0.0027,0.0297,0.0457,0.0084,0.0114,0.0039,0.0126,0.0064,0.0014,0.0142,0.0092,0.0099,1.0789,0.0159,0.0076,0.0055,0.0148,0.0055,0.0129,0.0129,0.0082,0.0033,0.0071,0.0462,0.005,0.0033,0.0042,0.0054,0.0044,0.003,0.0059,0.0034,0.0111,0.0042,0.0025,0.0017,0.004,0.0052,0.0026,0.0015,0.0034,0.0031,0.0027,0
"DOM_C24",0.0032,0.0039,0.0151,0.0087,0.0152,0.004,0.0032,0.0059,0.0073,0.0018,0.0045,0.0038,0.0096,0.0085,1.128,0.1714,0.0269,0.0808,0.0846,0.0666,0.0292,0.0243,0.0068,0.0079,0.0181,0.0042,0.0037,0.0072,0.0069,0.0078,0.0021,0.0027,0.0032,0.0035,0.0029,0.0018,8e-04,0.0052,0.0031,0.0018,0.001,0.0015,0.0023,0.0017,0
"DOM_C25",0.0121,0.0096,0.0202,0.016,0.0205,0.0124,0.0087,0.0165,0.011,0.0038,0.0124,0.0088,0.0243,0.0117,0.0659,1.112,0.0453,0.0714,0.0697,0.0893,0.038,0.0317,0.0182,0.0201,0.0231,0.0063,0.0066,0.0104,0.0146,0.0124,0.0046,0.0074,0.0059,0.007,0.0062,0.0038,0.0014,0.0086,0.0092,0.0035,0.0023,0.0035,0.0056,0.0048,0
