"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.2021,0.006,0.0035,0.0055,0.0046,0.2394,0.0117,0.2546,0.0682,0.0029,0.0066,0.0053,0.0046,0.0068,0.0037,0.0026,0.0013,0.0023,0.003,0.0033,0.0077,0.0344,0.0068,0.0106,0.0119,0.0064,0.0038,0.0049,0.0062,0.0044,0.0047,0.0524,0.0133,0.0023,0.0031,0.0027,0.0041,0.009,0.0065,0.0046,0.0074,0.0053,0.009,0.0076,0
"DOM_A03",9e-04,1.0029,1e-04,1e-04,1e-04,0.0189,2e-04,3e-04,1e-04,1e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,3e-04,2e-04,2e-04,4e-04,1e-04,1e-04,0.0098,2e-04,0,1e-04,1e-04,1e-04,3e-04,3e-04,2e-04,6e-04,4e-04,4e-04,2e-04,0
"DOM_B05_06",0.0104,0.0079,1.0107,0.014,0.0101,0.0077,0.0049,0.0082,0.0146,0.1779,0.0237,0.0263,0.0067,0.013,0.008,0.0037,0.001,0.0025,0.0036,0.0033,0.0031,0.0051,0.1279,0.0123,0.0049,0.0053,0.0105,0.0134,0.0121,0.007,0.0044,0.0074,0.0044,0.0033,0.0018,0.0018,0.0045,0.0031,0.003,0.0044,0.0072,0.0052,0.0087,0.0081,0
"DOM_B07_08",0.003,0.0014,0.0079,1.0219,0.0106,0.002,0.0017,0.0023,0.0031,0.0026,0.0395,0.002,0.0039,0.041,0.0023,0.0012,3e-04,9e-04,0.0012,9e-04,0.0016,0.0015,0.0119,0.0042,0.0271,0.0014,0.0018,0.0044,0.0013,0.0019,0.0011,0.0017,0.0011,9e-04,6e-04,5e-04,0.0037,0.0012,0.0016,0.0023,0.0014,0.0011,0.0022,0.0026,0
"DOM_B09",0,0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.0447,0.0113,7e-04,9e-04,0.001,1.1138,0.005,0.0101,0.0036,6e-04,0.0158,0.0086,0.0013,0.001,6e-04,5e-04,3e-04,5e-04,8e-04,7e-04,9e-04,0.0065,8e-04,0.0012,0.0013,0.0021,0.0012,0.0013,0.0041,9e-04,9e-04,0.1184,0.004,6e-04,0.0013,0.0011,8e-04,0.0042,0.0042,0.0039,0.0142,0.0089,0.0078,0.0033,0
"DOM_C13T15",0.0016,0.0127,0.0015,0.002,0.0019,0.002,1.1058,0.0019,0.0027,0.0016,0.0011,0.0014,0.0063,0.0025,7e-04,0.0016,8e-04,0.0032,0.0019,0.0118,0.0035,0.0165,0.001,0.0013,0.0021,0.0018,0.0014,0.0017,0.0023,0.0012,0.0015,0.0031,0.0027,5e-04,8e-04,7e-04,9e-04,0.0033,0.0061,0.002,0.0012,0.0032,0.0056,0.0054,0
"DOM_C16",0.011,0.0056,0.0051,0.0075,0.007,0.0069,0.0061,1.1822,0.0098,0.0048,0.0057,0.0038,0.011,0.0187,0.0045,0.0042,0.0021,0.0044,0.0047,0.0074,0.0225,0.0669,0.0197,0.0069,0.0413,0.0057,0.0054,0.0038,0.0071,0.0073,0.0033,0.0048,0.0038,0.0024,0.0021,0.0021,0.0081,0.0051,0.0038,0.0041,0.003,0.0044,0.005,0.0054,0
"DOM_C17_18",0.0056,0.0043,0.004,0.0037,0.0022,0.016,0.0129,0.0096,1.1067,0.0029,0.0052,0.0149,0.0053,0.006,0.0032,0.0027,0.0025,0.0031,0.0049,0.003,0.0038,0.0058,0.0029,0.0066,0.0038,0.0115,0.0034,0.0042,0.0045,0.0032,0.0194,0.0074,0.1656,0.0146,0.0202,0.0114,0.0023,0.0328,0.011,0.0035,0.0084,0.0041,0.0109,0.0451,0
"DOM_C19",0.0163,0.0274,0.0141,0.0189,0.0166,0.0082,0.0035,0.0089,0.0052,1.007,0.0077,0.0033,0.0044,0.0092,0.0054,0.0031,0.001,0.0018,0.003,0.0026,0.0039,0.0063,0.0082,0.0105,0.0123,0.0051,0.0471,0.0347,0.0531,0.009,0.007,0.0036,0.0027,0.0013,0.0017,0.0012,0.0021,0.0036,0.0043,0.0051,0.0033,0.0028,0.0049,0.005,0
