"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1686,0.0065,0.0125,0.0051,0.0088,0.245,0.0065,0.3252,0.0863,0.0023,0.0073,0.0051,0.0161,0.0074,0.0044,0.0048,0.0029,0.0042,0.0046,0.0039,0.0065,0.0158,0.0151,0.0065,0.0334,0.0086,0.0045,0.0329,0.0276,0.0094,0.0039,0.0724,0.0233,0.0082,0.0056,0.0058,0.0059,0.0077,0.0074,0.0116,0.0089,0.0079,0.0114,0.0086,0
"DOM_A03",2e-04,1.1675,2e-04,2e-04,1e-04,0.0011,2e-04,2e-04,2e-04,1e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,4e-04,3e-04,3e-04,2e-04,2e-04,2e-04,1e-04,2e-04,2e-04,2e-04,2e-04,5e-04,7e-04,4e-04,1e-04,0.0075,2e-04,2e-04,3e-04,3e-04,1e-04,3e-04,3e-04,3e-04,3e-04,3e-04,4e-04,4e-04,0
"DOM_B05_06",0.001,0.0019,1.0914,0.0017,0.0014,0.0013,9e-04,0.002,0.0031,6e-04,0.0025,4e-04,0.0012,0.0029,0.0059,0.0015,3e-04,9e-04,0.0011,9e-04,0.001,0.001,0.0437,0.0018,0.0013,7e-04,4e-04,5e-04,8e-04,0.0016,3e-04,9e-04,0.001,6e-04,4e-04,7e-04,0.0017,5e-04,5e-04,7e-04,9e-04,6e-04,0.0011,0.0018,0
"DOM_B07_08",0.0029,4e-04,0.0267,1.1042,0.0266,0.0026,0.0013,0.0018,0.0103,4e-04,0.0159,5e-04,0.0028,0.0281,0.0385,0.0054,5e-04,0.0022,0.0025,0.0016,0.0024,0.0022,0.0031,0.0019,0.0107,8e-04,4e-04,6e-04,9e-04,0.0016,4e-04,0.001,0.0027,0.001,5e-04,5e-04,0.0012,6e-04,6e-04,7e-04,5e-04,5e-04,8e-04,7e-04,0
"DOM_B09",0,1e-04,1e-04,2e-04,1.0004,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.0601,0.004,0.0038,0.0038,0.0037,1.1635,0.0066,0.0198,0.0127,0.0032,0.0104,0.0063,0.0048,0.0041,0.003,0.0033,0.0026,0.0033,0.004,0.0027,0.0036,0.0039,0.0078,0.0085,0.0064,0.0081,0.0055,0.0564,0.0254,0.0119,0.0035,0.2406,0.007,0.0093,0.0094,0.012,0.0032,0.0103,0.0126,0.0187,0.0146,0.0157,0.0187,0.0164,0
"DOM_C13T15",8e-04,8e-04,8e-04,0.0011,8e-04,0.0013,1.0838,0.0013,0.0018,4e-04,0.0012,0.0023,0.0037,0.004,7e-04,0.0016,7e-04,8e-04,0.0015,0.0015,0.0028,0.0031,8e-04,0.0032,0.002,0.0025,6e-04,0.0055,0.0012,0.0013,4e-04,0.0019,0.001,9e-04,0.0011,0.0013,5e-04,0.0019,0.0024,0.0018,4e-04,0.0013,7e-04,0.0023,0
"DOM_C16",0.0037,0.003,0.0282,0.0066,0.0193,0.0057,0.0038,1.1393,0.0247,0.0019,0.0059,0.0034,0.0069,0.0106,0.007,0.0067,0.0024,0.0045,0.0047,0.0045,0.0091,0.0414,0.0273,0.0075,0.1008,0.0043,0.0024,0.0041,0.008,0.0132,0.0026,0.004,0.0077,0.006,0.0028,0.0032,0.0107,0.0036,0.0035,0.004,0.0034,0.002,0.0045,0.0044,0
"DOM_C17_18",0.0136,0.0096,0.014,0.0188,0.0149,0.037,0.0248,0.0244,1.1837,0.006,0.0299,0.0158,0.0311,0.0241,0.0121,0.0147,0.014,0.0149,0.0177,0.0123,0.0158,0.0167,0.0169,0.0195,0.0196,0.0455,0.0115,0.0126,0.0232,0.0241,0.0116,0.0258,0.285,0.0531,0.0211,0.0175,0.009,0.0384,0.0295,0.0263,0.0232,0.0162,0.0491,0.0296,0
"DOM_C19",0.0236,0.0405,0.0124,0.0345,0.0198,0.0128,0.0089,0.0171,0.0141,1.0667,0.035,0.0032,0.0115,0.0152,0.0198,0.0081,0.0029,0.0059,0.0058,0.0086,0.0067,0.0064,0.0327,0.0162,0.0162,0.0096,0.0505,0.0427,0.0705,0.0552,0.0139,0.0074,0.0068,0.0067,0.0035,0.0056,0.0093,0.005,0.0069,0.0078,0.0056,0.0052,0.0124,0.0107,0
