"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.208,0.0124,0.005,0.0084,0.0012,0.1985,0.0129,0.5072,0.0482,0.0016,0.0099,0.0057,0.0091,0.008,0.0041,0.0032,0.0027,0.0031,0.004,0.0066,0.0033,0.0101,0.0057,0.0045,0.0261,0.0028,0.0014,0.0048,0.0047,0.0022,0.0013,0.0408,0.011,0.0034,0.0019,0.0023,0.0013,0.003,0.0034,0.0047,0.0048,0.0032,0.0099,0.0054,0
"DOM_A03",3e-04,1.006,1e-04,1e-04,0,0.0046,3e-04,2e-04,1e-04,0,2e-04,2e-04,2e-04,0,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,2e-04,0,0,0.0011,1e-04,0,0,0.001,1e-04,0,0,0,0,0,0,0,1e-04,2e-04,2e-04,2e-04,0
"DOM_B05_06",3e-04,4e-04,1.0004,3e-04,2e-04,2e-04,1e-04,2e-04,2e-04,0.0081,6e-04,1e-04,2e-04,3e-04,5e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.0028,2e-04,1e-04,2e-04,4e-04,5e-04,6e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,0,2e-04,1e-04,0
"DOM_B07_08",0.003,0.0167,5e-04,1.0094,0.0049,0.0031,0.0019,0.0018,0.0051,7e-04,0.0138,0.0016,0.0035,0.0442,0.0252,0.0048,0.0018,0.0028,0.0028,0.0024,0.0012,0.0021,0.0013,0.0028,0.0085,5e-04,3e-04,7e-04,7e-04,3e-04,2e-04,0.0012,0.001,5e-04,3e-04,4e-04,3e-04,5e-04,6e-04,4e-04,3e-04,4e-04,7e-04,6e-04,0
"DOM_B09",0,0,3e-04,1e-04,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.0827,0.0331,0.0143,0.0188,0.0016,1.1684,0.0271,0.0377,0.0172,0.0039,0.0357,0.0201,0.0092,0.0069,0.0075,0.0055,0.0045,0.0055,0.0058,0.0061,0.0035,0.0067,0.0038,0.0072,0.0068,0.0082,0.0037,0.0138,0.0164,0.0047,0.0041,0.1768,0.0158,0.0068,0.0055,0.0044,0.0018,0.0093,0.0097,0.0046,0.02,0.0143,0.0293,0.0077,0
"DOM_C13T15",0.0013,0.0018,0.0016,8e-04,3e-04,0.001,1.0987,0.0012,0.0141,3e-04,0.0023,0.002,0.0024,0.0014,0.0011,8e-04,0.0018,0.0015,0.0017,0.0045,0.0021,0.0043,3e-04,0.001,0.0014,0.0011,3e-04,0.0013,0.001,4e-04,4e-04,0.0012,0.0032,7e-04,3e-04,5e-04,3e-04,6e-04,5e-04,7e-04,5e-04,0.0011,0.0022,0.0016,0
"DOM_C16",0.0071,0.0128,0.0011,0.0076,0.001,0.0041,0.0016,1.0698,0.0101,7e-04,0.002,0.0027,0.003,0.0123,0.0038,0.0035,0.0027,0.0027,0.0038,0.01,0.0046,0.0173,0.001,0.0034,0.0166,0.0013,6e-04,0.0026,0.0028,0.0018,5e-04,0.0016,0.0062,0.0025,7e-04,9e-04,8e-04,9e-04,0.0014,9e-04,8e-04,6e-04,0.0039,0.0028,0
"DOM_C17_18",0.0063,0.0092,0.0054,0.0089,0.0017,0.0141,0.0166,0.0069,1.1168,0.0034,0.0132,0.0185,0.0126,0.012,0.0061,0.0052,0.0077,0.0084,0.0068,0.0061,0.0048,0.0069,0.0034,0.0111,0.0059,0.0108,0.0036,0.0102,0.0058,0.0062,0.0032,0.0064,0.0982,0.0129,0.0093,0.0151,0.0032,0.0158,0.0139,0.007,0.0066,0.0042,0.019,0.0119,0
"DOM_C19",0.0237,0.0338,0.0043,0.019,0.0086,0.0119,0.0091,0.0134,0.0093,1.0487,0.0432,0.0063,0.0087,0.0137,0.0077,0.0054,0.0042,0.0054,0.006,0.0063,0.0039,0.0055,0.0072,0.0085,0.0098,0.0138,0.0455,0.0583,0.0698,0.0093,0.004,0.0068,0.0098,0.0074,0.0055,0.0041,0.0013,0.0062,0.0056,0.0052,0.0028,0.0023,0.0089,0.005,0
