"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1315,0.0053,8e-04,0.0023,0.0016,0.1168,0.003,0.026,0.0036,7e-04,0.0035,0.0096,0.0045,0.0016,0.0018,0.0012,0.0025,0.0024,0.002,0.0017,9e-04,0.002,0.005,0.0011,0.0019,0.0018,0.0027,0.0012,0.0019,0.0028,0.0012,0.0174,0.0021,9e-04,0.0012,0.0015,6e-04,0.0015,0.0019,0.0014,0.0019,0.0018,0.005,0.0019,0
"DOM_A03",5e-04,1.1513,0,1e-04,1e-04,0.007,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,0,2e-04,1e-04,1e-04,1e-04,0,1e-04,0,0,0,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,0.0029,1e-04,0,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,0
"DOM_B05_06",0.0123,0.0176,1.0094,0.0181,0.0053,0.0067,0.0057,0.0076,0.0082,0.487,0.0178,0.0033,0.0079,0.0143,0.0303,0.0073,0.0034,0.0056,0.005,0.0061,0.0037,0.0071,0.149,0.0067,0.0057,0.0078,0.021,0.0094,0.0569,0.01,0.0092,0.0041,0.0034,0.0033,0.0029,0.0037,0.0023,0.0034,0.0059,0.0047,0.0028,0.0026,0.0063,0.0055,0
"DOM_B07_08",8e-04,6e-04,7e-04,1.1239,0.0025,9e-04,8e-04,0.0013,0.001,6e-04,0.0065,5e-04,0.0022,0.0463,0.0026,0.0061,6e-04,0.0013,0.001,0.0017,9e-04,0.0023,0.0012,0.0014,0.0197,7e-04,7e-04,4e-04,7e-04,8e-04,4e-04,5e-04,5e-04,3e-04,3e-04,6e-04,0.0016,5e-04,0.0013,0.0011,5e-04,4e-04,8e-04,7e-04,0
"DOM_B09",0.0011,0.0015,0.0825,0.0265,1.0377,7e-04,6e-04,8e-04,8e-04,0.0398,0.0018,4e-04,8e-04,0.0024,0.0027,9e-04,4e-04,6e-04,5e-04,7e-04,4e-04,8e-04,0.0123,7e-04,0.0023,8e-04,0.0019,8e-04,0.0048,0.001,9e-04,4e-04,4e-04,3e-04,3e-04,5e-04,4e-04,6e-04,6e-04,6e-04,3e-04,3e-04,7e-04,5e-04,0
"DOM_C10T12",0.0845,0.0468,0.0032,0.0092,0.0074,1.1701,0.0201,0.0101,0.0135,0.0037,0.0181,0.0065,0.0107,0.0078,0.0104,0.0053,0.0194,0.0186,0.0154,0.0096,0.0039,0.0062,0.0052,0.0043,0.004,0.0084,0.0196,0.0086,0.0089,0.021,0.0079,0.1595,0.0134,0.0044,0.0058,0.0065,0.0017,0.0038,0.0085,0.0058,0.0143,0.0109,0.0282,0.0114,0
"DOM_C13T15",9e-04,0.0041,6e-04,0.0015,0.0016,0.0013,1.099,0.0016,0.004,6e-04,0.0018,8e-04,0.0045,0.002,0.0011,0.0013,0.0012,0.0013,0.0013,0.005,0.0013,0.009,0.0011,7e-04,0.0019,0.0017,8e-04,4e-04,0.0014,6e-04,5e-04,8e-04,0.0012,4e-04,5e-04,6e-04,3e-04,9e-04,5e-04,0.0012,0.0011,9e-04,0.0012,0.0032,0
"DOM_C16",9e-04,0.0026,0.0019,0.0028,0.0032,0.0014,0.0015,1.1997,0.0123,0.0013,0.0018,9e-04,0.0022,0.0042,0.0016,0.0043,0.0012,0.0027,0.0021,0.0045,0.0034,0.0351,0.0027,0.0018,0.02,0.0012,0.0011,8e-04,0.0027,0.0011,6e-04,8e-04,0.0016,7e-04,6e-04,0.0014,0.0018,8e-04,0.002,0.0016,0.0012,0.001,0.002,0.0053,0
"DOM_C17_18",0.0103,0.0064,0.0024,0.0077,0.0054,0.0208,0.015,0.0143,1.1596,0.0023,0.0155,0.0132,0.0146,0.0146,0.006,0.0068,0.0069,0.0104,0.0071,0.008,0.0045,0.0125,0.0045,0.0065,0.0066,0.0137,0.0063,0.004,0.0048,0.0087,0.0066,0.0067,0.0752,0.0073,0.0086,0.0181,0.0029,0.0107,0.0119,0.0151,0.0147,0.0088,0.0221,0.0109,0
"DOM_C19",0.0161,0.0235,0.0037,0.0196,0.0058,0.0071,0.0056,0.0088,0.0062,1.0127,0.0135,0.0026,0.006,0.0118,0.0062,0.0048,0.0029,0.0045,0.0039,0.0047,0.0028,0.0077,0.0035,0.005,0.0069,0.0109,0.0374,0.0175,0.1158,0.0161,0.0124,0.0046,0.0036,0.0036,0.0028,0.0044,0.0013,0.003,0.0069,0.0056,0.0031,0.0028,0.0035,0.0039,0
"DOM_C20",0.0293,0.0067,0.0024,0.0138,0.0066,0.0118,0.0274,0.0196,0.0336,0.005,1.1692,0.0144,0.0937,0.0262,0.0104,0.0158,0.0136,0.0153,0.0087,0.0287,0.008,0.0146,0.0067,0.0068,0.0109,0.0043,0.005,0.0019,0.0054,0.0039,0.0021,0.0041,0.0109,0.0021,0.0026,0.0031,0.0016,0.0056,0.0041,0.0043,0.0033,0.0042,0.0056,0.0092,0
"DOM_C21",0.0033,0.0014,6e-04,0.0017,0.0016,0.0026,0.0025,0.0016,0.0023,7e-04,0.0073,1.0592,0.004,0.0018,0.0015,0.0014,0.0016,0.0015,0.0014,0.002,0.001,0.0016,0.0013,0.0013,0.0013,0.0013,0.0014,7e-04,0.0012,0.0014,8e-04,0.0012,0.002,0.0011,0.0019,0.0019,5e-04,0.0048,0.0027,0.002,0.0014,0.0131,0.002,0.003,0
