"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.2492,0.0084,0.009,0.0021,0.0024,0.4164,0.051,0.1907,0.0094,4e-04,0.0094,0.0054,0.0149,0.0037,0.0045,0.0071,0.0045,0.0075,0.0062,0.0037,0.0024,0.0374,3e-04,0.0055,0.0074,8e-04,7e-04,0.0039,0.0093,7e-04,0.0012,0.1094,0.0049,5e-04,6e-04,0.001,9e-04,0.0029,0.0044,0.0019,5e-04,0.0057,0.0013,0.0075,0
"DOM_A03",0,1.0428,0,0,1e-04,0.0013,4e-04,1e-04,0,0,0,0,8e-04,5e-04,0,2e-04,0,0,0,0,0,0.0021,0,0,1e-04,0,0,2e-04,5e-04,0,1e-04,0.0068,1e-04,0,0,0,0,1e-04,2e-04,0,0,1e-04,0,2e-04,0
"DOM_B05_06",3e-04,2e-04,1.0059,0.001,0.0011,5e-04,5e-04,9e-04,5e-04,0.0035,7e-04,4e-04,0.0011,0.003,0.002,8e-04,2e-04,7e-04,7e-04,4e-04,9e-04,0.001,0.0209,8e-04,6e-04,2e-04,4e-04,4e-04,5e-04,6e-04,1e-04,8e-04,4e-04,5e-04,1e-04,2e-04,1e-04,3e-04,3e-04,3e-04,2e-04,3e-04,3e-04,3e-04,0
"DOM_B07_08",4e-04,4e-04,0.0044,1.01,0.0034,0.0011,8e-04,0.0103,9e-04,0.0072,0.008,0.0015,0.0021,0.0388,0.0122,0.003,0.0014,0.0031,0.0014,0.0013,6e-04,0.0027,3e-04,5e-04,0.0197,5e-04,7e-04,7e-04,0.0012,5e-04,3e-04,0.0011,7e-04,4e-04,2e-04,5e-04,0.0025,9e-04,7e-04,4e-04,3e-04,5e-04,9e-04,0.0014,0
"DOM_B09",0,0.001,0.0057,0.0024,1.0046,0,0,1e-04,1e-04,9e-04,1e-04,0,1e-04,7e-04,1e-04,0,0,0,0,0,0,0,2e-04,0,3e-04,0,1e-04,1e-04,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0
"DOM_C10T12",0.0245,0.0077,0.0014,7e-04,0.0027,1.0997,0.0105,0.0304,0.0022,2e-04,0.007,0.0059,0.0022,8e-04,0.0041,0.0078,0.0084,0.0136,0.0117,0.0017,0.0017,0.0053,2e-04,6e-04,0.0025,7e-04,8e-04,0.0061,0.016,5e-04,0.0012,0.1959,0.0089,5e-04,8e-04,0.0012,3e-04,0.0043,0.0076,0.0028,5e-04,0.0102,0.0012,0.0072,0
"DOM_C13T15",0.001,0.0157,9e-04,6e-04,0.0013,0.0034,1.1192,0.0022,0.0022,5e-04,0.0039,0.0045,0.0063,0.0015,7e-04,0.0021,9e-04,0.0011,9e-04,7e-04,7e-04,0.0126,3e-04,0.002,0.0013,0.0023,4e-04,7e-04,0.002,3e-04,5e-04,0.0054,0.0012,0.0022,2e-04,0.001,2e-04,0.0012,0.0011,0.0022,4e-04,0.0019,0.0018,0.0017,0
"DOM_C16",0.0019,0.0066,0.0082,0.0022,0.0045,0.0064,0.003,1.2952,0.0045,9e-04,0.0078,0.006,0.0061,0.0032,0.0017,0.0033,0.0016,0.0029,0.0029,0.0051,0.0015,0.1485,6e-04,0.0011,0.0396,0.0013,8e-04,0.0011,0.0021,0.0018,0.0028,0.0041,0.0029,0.001,6e-04,0.0014,0.0047,0.0023,0.0018,9e-04,9e-04,0.0014,0.0024,0.0054,0
"DOM_C17_18",0.0021,0.0035,0.023,0.007,0.0102,0.0169,0.0093,0.0183,1.1705,0.0013,0.0174,0.0242,0.017,0.0095,0.0056,0.0092,0.0044,0.0071,0.0056,0.0047,0.004,0.012,0.0015,0.0016,0.0279,0.0107,0.0064,0.003,0.0119,0.0025,0.0062,0.0114,0.0584,0.0059,0.0163,0.0143,0.0035,0.0459,0.0208,0.0115,0.0047,0.004,0.0215,0.0517,0
"DOM_C19",0.0155,0.0297,0.0284,0.041,0.0149,0.0122,0.0111,0.0217,0.0071,1.0111,0.0178,0.0051,0.0097,0.0193,0.0107,0.0113,0.0081,0.0135,0.0139,0.0393,0.0029,0.0183,0.0156,0.0099,0.0141,0.0079,0.0672,0.0643,0.0352,0.0121,0.0025,0.012,0.0044,0.0095,0.0018,0.0037,0.0017,0.0079,0.0089,0.0035,0.0015,0.0047,0.0047,0.0081,0
