"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0014,6e-04,0,0,4e-04,0.0015,4e-04,4e-04,5e-04,3e-04,5e-04,5e-04,0,4e-04,2e-04,2e-04,3e-04,3e-04,3e-04,3e-04,3e-04,1e-04,0.0011,5e-04,3e-04,4e-04,7e-04,0.0015,0.0028,4e-04,7e-04,0.0055,4e-04,5e-04,2e-04,2e-04,1e-04,2e-04,5e-04,2e-04,3e-04,3e-04,8e-04,7e-04,0
"DOM_A03",1e-04,1.0012,0,0,1e-04,1e-04,0,0,1e-04,0,1e-04,1e-04,0,1e-04,0,0,0,0,0,0,0,0,1e-04,1e-04,0,1e-04,1e-04,3e-04,6e-04,1e-04,1e-04,0.001,1e-04,1e-04,0,0,0,0,1e-04,0,0,0,1e-04,1e-04,0
"DOM_B05_06",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B09",0.0119,0.031,0,0,1.0929,7e-04,7e-04,0.0012,0.0012,3e-04,4e-04,2e-04,0,0.0015,9e-04,6e-04,3e-04,4e-04,0.005,6e-04,5e-04,1e-04,3e-04,2e-04,2e-04,2e-04,8e-04,2e-04,5e-04,0.0026,6e-04,3e-04,3e-04,2e-04,2e-04,3e-04,1e-04,7e-04,0.0011,2e-04,6e-04,3e-04,2e-04,3e-04,0
"DOM_C10T12",0.0662,0.0596,0,0,0.0105,1.0659,0.0515,0.0444,0.0815,0.0422,0.0836,0.0814,0,0.0271,0.0159,0.015,0.0214,0.0219,0.0235,0.0209,0.0199,0.0065,0.0206,0.0182,0.0388,0.0221,0.0205,0.0384,0.0443,0.0202,0.034,0.0916,0.0274,0.0277,0.0134,0.0127,0.0059,0.0116,0.0324,0.0091,0.012,0.0272,0.0346,0.0371,0
"DOM_C13T15",0.0024,0.0034,0,0,0.0016,0.0023,1.0443,0.002,0.0041,0.0027,0.0034,0.0034,0,0.0033,0.0021,0.0022,0.0027,0.0029,0.003,0.004,0.0034,0.0014,9e-04,0.002,0.0014,0.0034,0.0029,0.0029,0.0032,0.0027,0.0051,0.0019,0.0034,0.0035,0.0018,0.002,8e-04,0.0015,0.0055,0.0013,0.0013,0.0016,0.0037,0.0057,0
"DOM_C16",0.0174,0.0132,0,0,6e-04,0.0043,9e-04,1.0006,0.0012,0.0011,0.0013,0.0012,0,0.0014,9e-04,0.0011,0.001,0.0012,0.0012,0.0013,0.0011,5e-04,7e-04,0.0013,0.0169,0.001,0.0031,0.0066,0.0026,0.0034,0.0025,0.0014,0.0015,0.0021,5e-04,6e-04,3e-04,5e-04,0.0012,9e-04,0.0012,0.0068,0.0021,0.002,0
"DOM_C17_18",0.0122,0.0156,0,0,0.0018,0.0212,0.0108,0.003,1.0294,0.0044,0.0072,0.0078,0,0.0086,0.0025,0.0025,0.0056,0.006,0.0051,0.0044,0.0038,0.0035,0.0014,0.0022,0.0052,0.004,0.0028,0.0032,0.0034,0.0028,0.0039,0.0033,0.0078,0.0041,0.0017,0.0027,9e-04,0.0019,0.0038,0.0012,0.0021,0.0064,0.0045,0.0042,0
"DOM_C19",0.0026,0.0026,0,0,0.0032,0.0021,0.0024,0.0014,0.0033,1.0635,0.0349,0.0126,0,0.0148,0.0202,0.0125,0.0051,0.0069,0.0071,0.0065,0.0055,0.002,0.001,0.0017,0.0012,0.005,0.0017,0.0025,0.0032,0.0025,0.0016,0.0017,0.0018,0.0014,8e-04,0.0011,4e-04,7e-04,0.0025,0.0017,0.0013,0.001,0.0019,0.002,0
"DOM_C20",0.0052,0.0031,0,0,0.0035,0.0032,0.0038,0.0045,0.0129,0.0622,1.1801,0.0752,0,0.046,0.0135,0.0127,0.026,0.0341,0.0214,0.0168,0.0128,0.0085,0.0011,0.0075,0.0016,0.0052,0.0012,0.0017,0.0021,0.002,0.0017,0.0026,0.0062,0.0021,0.0013,0.0014,7e-04,0.0014,0.0043,0.002,0.0043,0.003,0.0064,0.009,0
"DOM_C21",0.001,9e-04,0,0,6e-04,7e-04,7e-04,6e-04,0.0014,0.0065,0.0146,1.1465,0,0.0039,0.0016,0.0014,0.0029,0.0027,0.0025,0.0018,0.0016,8e-04,2e-04,8e-04,3e-04,0.001,2e-04,3e-04,4e-04,3e-04,4e-04,5e-04,0.001,5e-04,3e-04,3e-04,1e-04,4e-04,6e-04,8e-04,0.0011,0.0034,0.002,0.0015,0
"DOM_C22",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C23",0.0024,0.0024,0,0,0.0039,0.0028,0.0021,0.0015,0.0029,0.0577,0.0184,0.0213,0,1.2717,0.0276,0.0233,0.0372,0.0486,0.0257,0.0426,0.0301,0.0069,8e-04,0.0028,0.0026,0.0038,9e-04,0.0011,0.0014,0.0012,0.0016,0.0016,0.0022,0.0022,8e-04,8e-04,4e-04,7e-04,0.0019,0.0029,0.0028,0.001,0.0028,0.0029,0
"DOM_C24",0.0015,0.0014,0,0,0.0021,0.0013,0.0014,0.0011,0.002,0.0104,0.0068,0.0045,0,0.0191,1.205,0.181,0.0359,0.0822,0.0966,0.0338,0.0189,0.0114,6e-04,0.0024,9e-04,0.0028,6e-04,7e-04,9e-04,7e-04,8e-04,0.001,0.0014,0.0013,6e-04,5e-04,3e-04,5e-04,0.0013,6e-04,7e-04,6e-04,0.0015,0.0015,0
"DOM_C25",0.0015,0.0015,0,0,0.002,0.0014,0.0015,0.0013,0.0021,0.0125,0.0072,0.0053,0,0.0143,0.0397,1.0824,0.0272,0.046,0.0596,0.0297,0.0238,0.0069,6e-04,0.0017,0.0011,0.0027,6e-04,8e-04,0.001,9e-04,8e-04,0.001,0.0016,0.0012,7e-04,6e-04,4e-04,6e-04,0.0017,7e-04,8e-04,6e-04,0.0018,0.0016,0
