"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1277,0.035,0.0026,0.0051,0.0014,0.1668,0.0146,0.2129,0.0713,0.0037,0.0228,0.0096,0.0107,0.0094,0.0065,0.0064,0.0068,0.0069,0.0072,0.0065,0.0097,0.0085,0.0081,0.0051,0.0063,0.0225,0.0116,0.0064,0.0131,0.0124,0.0036,0.0274,0.0106,0.0042,0.0062,0.0045,0.0024,0.0083,0.0153,0.0072,0.0054,0.0064,0.0138,0.0128,0
"DOM_A03",0.0032,1.0687,3e-04,6e-04,2e-04,0.0112,0.0014,0.0012,0.0012,4e-04,0.0013,9e-04,0.0023,0.0019,8e-04,8e-04,9e-04,0.0011,9e-04,0.0013,0.0015,9e-04,9e-04,5e-04,8e-04,0.0013,8e-04,8e-04,9e-04,7e-04,4e-04,0.0025,7e-04,4e-04,4e-04,4e-04,1e-04,6e-04,9e-04,7e-04,4e-04,6e-04,6e-04,6e-04,0
"DOM_B05_06",0.0036,0.0054,1.0843,0.0325,0.1028,0.0091,0.0028,0.0029,0.0035,0.1262,0.0061,0.0021,0.0023,0.0046,0.0107,0.0025,0.0017,0.0028,0.0021,0.002,0.0024,0.0025,0.0399,0.0033,0.0035,0.0061,0.0076,0.0173,0.0133,0.0117,0.0034,0.0033,0.003,0.0033,0.0021,0.0014,0.0011,0.0067,0.0048,0.0048,0.0019,0.0019,0.0028,0.0027,0
"DOM_B07_08",2e-04,5e-04,0.0039,1.0228,0.0013,4e-04,1e-04,2e-04,4e-04,5e-04,2e-04,1e-04,1e-04,0.0027,3e-04,1e-04,1e-04,2e-04,1e-04,1e-04,2e-04,1e-04,2e-04,4e-04,0.0018,1e-04,1e-04,1e-04,1e-04,4e-04,0,1e-04,1e-04,1e-04,0,0,1e-04,3e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,0
"DOM_B09",5e-04,7e-04,0.0095,6e-04,1.021,0.0013,4e-04,4e-04,4e-04,0.0168,8e-04,3e-04,3e-04,6e-04,0.0015,3e-04,2e-04,4e-04,3e-04,3e-04,3e-04,3e-04,0.0045,4e-04,0.0012,8e-04,0.0011,0.0023,0.0018,0.0016,5e-04,4e-04,4e-04,4e-04,3e-04,2e-04,2e-04,0.001,6e-04,6e-04,2e-04,2e-04,4e-04,4e-04,0
"DOM_C10T12",0.0807,0.0139,0.0012,0.0029,6e-04,1.0727,0.0376,0.0174,0.0118,0.0023,0.0453,0.0181,0.0047,0.0045,0.0033,0.0027,0.0031,0.0033,0.0039,0.0031,0.0041,0.0034,0.0032,0.0026,0.0041,0.0171,0.0041,0.0101,0.0053,0.0107,0.0018,0.1351,0.0045,0.0023,0.0026,0.0023,9e-04,0.0087,0.0234,0.0054,0.0145,0.0128,0.02,0.0091,0
"DOM_C13T15",0.0023,0.0022,6e-04,0.0016,3e-04,0.0025,1.1182,0.0016,0.0033,9e-04,0.0016,0.0015,0.0048,0.0105,0.0038,0.0018,0.0024,0.0038,0.0028,0.0038,0.004,0.0107,0.0013,0.0114,0.0056,0.0035,0.0045,0.0032,0.0086,0.0103,0.0078,0.0029,0.0027,0.0087,0.0021,0.0039,0.0017,0.0064,0.0085,0.0368,0.0038,0.0071,0.0085,0.007,0
"DOM_C16",0.002,0.0027,8e-04,0.0012,3e-04,0.0037,0.0029,1.1277,0.0048,8e-04,0.003,0.0018,0.0071,0.0072,0.0039,0.0065,0.0026,0.0058,0.0047,0.0033,0.0063,0.0133,0.0026,0.0013,0.0033,0.0021,0.0023,0.0014,0.0027,0.0071,7e-04,0.0014,0.0015,0.0012,8e-04,0.0011,0.0032,0.0014,0.0014,0.0016,9e-04,0.0028,0.0034,0.003,0
"DOM_C17_18",0.0077,0.0073,0.0013,0.0034,6e-04,0.0267,0.0119,0.0165,1.2114,0.0036,0.0366,0.0184,0.014,0.0139,0.0046,0.0071,0.0077,0.0094,0.0087,0.0042,0.0144,0.0075,0.0049,0.0034,0.0044,0.0064,0.0051,0.0037,0.0053,0.0077,0.0096,0.0168,0.0585,0.0079,0.0048,0.0051,0.001,0.0079,0.0077,0.0068,0.0048,0.0053,0.0151,0.0351,0
"DOM_C19",0.0215,0.0245,0.0325,0.0159,0.0112,0.0197,0.0155,0.0169,0.0194,1.0386,0.0241,0.011,0.012,0.0272,0.0345,0.0141,0.0094,0.0157,0.0119,0.0118,0.0138,0.0142,0.1942,0.0177,0.0171,0.0387,0.0519,0.1272,0.0975,0.0355,0.0246,0.0139,0.0155,0.0202,0.0121,0.008,0.005,0.0233,0.0275,0.0294,0.0094,0.0107,0.0151,0.0152,0
"DOM_C20",0.0221,0.0044,0.0016,0.0022,6e-04,0.0109,0.0221,0.0122,0.0152,0.0197,1.0735,0.0179,0.0295,0.0141,0.0084,0.0061,0.0097,0.0092,0.0038,0.0037,0.0045,0.0045,0.005,0.0062,0.0041,0.0037,0.0037,0.0056,0.0038,0.0038,0.002,0.0037,0.003,0.0017,0.0014,0.0014,0.0028,0.0034,0.0038,0.003,0.0018,0.0028,0.003,0.005,0
"DOM_C21",0.0028,0.0052,6e-04,0.0021,4e-04,0.0027,0.004,0.0017,0.0025,0.0022,0.0087,1.039,0.0034,0.0021,0.0018,0.0012,0.003,0.0066,0.0014,0.0019,0.0066,0.0014,0.0011,8e-04,9e-04,0.0037,0.0026,0.0012,0.0021,0.0011,5e-04,0.001,0.0016,8e-04,0.004,6e-04,4e-04,0.0021,0.0017,0.0013,0.0011,0.0261,0.0018,0.0033,0
