"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.276,0.2955,0.0119,0.0114,0.0069,0.4535,0.0199,0.1455,0.028,0.0092,0.0126,0.0104,0.0223,0.0136,0.0175,0.0104,0.0032,0.0044,0.0095,0.0059,0.0099,0.0201,0.0063,0.0157,0.0165,0.0324,0.0104,0.0216,0.0208,0.0133,0.0052,0.1253,0.0151,0.0065,0.0076,0.0057,0.0074,0.0109,0.0119,0.018,0.0043,0.0254,0.0175,0.0201,0
"DOM_A03",1e-04,1.0239,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,0,9e-04,0,0,0,0,0,0,0,0,0,0,1e-04,0,0
"DOM_B05_06",0.0011,0.0016,1.0071,0.0018,0.0011,8e-04,4e-04,8e-04,9e-04,0.0175,0.0037,5e-04,8e-04,0.002,0.0016,6e-04,2e-04,2e-04,6e-04,3e-04,6e-04,5e-04,0.0071,0.0015,7e-04,8e-04,0.0021,0.0034,0.0022,0.001,3e-04,7e-04,5e-04,3e-04,3e-04,4e-04,4e-04,4e-04,5e-04,6e-04,6e-04,7e-04,9e-04,5e-04,0
"DOM_B07_08",9e-04,0.0023,0.0045,1.045,0.0061,0.0014,5e-04,0.0012,6e-04,5e-04,0.004,6e-04,9e-04,0.0287,0.0036,0.0011,3e-04,6e-04,0.0012,6e-04,7e-04,6e-04,5e-04,0.0019,0.0094,6e-04,6e-04,0.0018,0.0011,0.0043,1e-04,7e-04,4e-04,4e-04,2e-04,2e-04,0.0013,4e-04,5e-04,5e-04,6e-04,6e-04,5e-04,4e-04,0
"DOM_B09",4e-04,6e-04,0.1176,0.0025,1.07,3e-04,1e-04,3e-04,3e-04,0.0089,0.0014,2e-04,4e-04,6e-04,0.0012,3e-04,1e-04,1e-04,3e-04,1e-04,3e-04,3e-04,0.0015,5e-04,7e-04,3e-04,0.001,0.0016,0.001,4e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,2e-04,2e-04,1e-04,2e-04,2e-04,2e-04,0
"DOM_C10T12",0.1298,0.0649,0.0043,0.0029,0.0022,1.1526,0.0066,0.0187,0.0104,0.0027,0.0075,0.0068,0.005,0.005,0.0054,0.0031,0.0012,0.0014,0.0031,0.0017,0.0035,0.0051,0.0018,0.0051,0.0037,0.0128,0.0026,0.0168,0.0117,0.003,0.0027,0.1891,0.0052,0.0019,0.0034,0.0022,0.0033,0.0056,0.0053,0.0085,0.0021,0.0247,0.0051,0.0079,0
"DOM_C13T15",0.0015,0.003,0.0018,0.0016,0.0011,0.0023,1.0872,0.0029,0.0043,0.0012,0.0017,0.0018,0.009,0.0021,0.0021,0.0021,0.0021,0.0012,0.0017,0.0039,0.0043,0.0214,0.001,0.0035,0.0024,0.0048,0.002,0.0029,0.0023,0.0029,0.0013,0.0035,0.003,9e-04,0.0017,0.0011,0.0016,0.0021,0.003,0.0033,0.0023,0.0039,0.0055,0.0045,0
"DOM_C16",0.0055,0.013,0.003,0.0033,0.0015,0.0046,0.0022,1.1329,0.0042,0.0014,0.0038,0.0014,0.0034,0.0088,0.0041,0.0044,0.0011,0.002,0.0031,0.0032,0.0095,0.0423,0.0019,0.003,0.0359,0.0048,0.0034,0.0075,0.0034,0.0057,0.001,0.0034,0.0024,0.0024,0.0016,0.0014,0.0066,0.0038,0.0057,0.0011,0.0012,0.0013,0.0025,0.0033,0
"DOM_C17_18",0.0085,0.0085,0.0052,0.0062,0.0043,0.026,0.0067,0.0159,1.2083,0.0052,0.0102,0.0077,0.0092,0.0127,0.0081,0.0069,0.0045,0.0045,0.0072,0.0038,0.0066,0.0118,0.0037,0.0116,0.0066,0.0283,0.0066,0.0122,0.0131,0.01,0.0116,0.0127,0.1791,0.0074,0.0173,0.0474,0.0182,0.0172,0.0134,0.0123,0.0069,0.0076,0.0127,0.012,0
"DOM_C19",0.0378,0.0596,0.0718,0.0599,0.0421,0.0267,0.0082,0.0215,0.0183,1.0773,0.1365,0.0116,0.0248,0.0336,0.0473,0.0158,0.0054,0.0061,0.0148,0.009,0.0181,0.0152,0.0532,0.0372,0.021,0.0256,0.1071,0.1838,0.1128,0.0399,0.0094,0.0159,0.0117,0.0071,0.011,0.0083,0.0087,0.0094,0.0145,0.0103,0.0064,0.0099,0.0113,0.0117,0
"DOM_C20",0.0291,0.0157,0.016,0.0212,0.0127,0.0286,0.0136,0.0183,0.0303,0.011,1.0938,0.0341,0.1078,0.0257,0.0109,0.0106,0.0149,0.0117,0.0133,0.0064,0.0134,0.0157,0.0037,0.0103,0.0119,0.0087,0.0091,0.0198,0.007,0.0063,0.0032,0.0118,0.0102,0.0024,0.0064,0.0048,0.0073,0.0063,0.0097,0.0041,0.004,0.0153,0.0071,0.0101,0
"DOM_C21",0.0032,0.0141,9e-04,8e-04,8e-04,0.0043,7e-04,0.0011,0.0011,6e-04,0.0036,1.0879,0.0027,0.001,0.0022,7e-04,5e-04,5e-04,8e-04,4e-04,0.0026,8e-04,3e-04,0.0015,6e-04,8e-04,5e-04,0.0042,0.0025,6e-04,4e-04,0.0018,0.001,4e-04,7e-04,4e-04,3e-04,0.0018,8e-04,0.0012,5e-04,0.0316,0.0011,0.0014,0
"DOM_C22",0.007,0.0095,0.0066,0.0047,0.0039,0.0145,0.0097,0.0165,0.0137,0.0024,0.0128,0.0069,1.0397,0.0105,0.0047,0.0065,0.0111,0.0247,0.01,0.014,0.0126,0.0144,0.0036,0.009,0.0212,0.0083,0.0091,0.0059,0.005,0.0061,0.002,0.0077,0.0063,0.0026,0.0034,0.0025,0.0063,0.0066,0.0083,0.0026,0.0028,0.0106,0.0046,0.0046,0
"DOM_C23",0.0078,0.0061,0.006,0.0516,0.01,0.0089,0.002,0.015,0.0043,0.0024,0.0059,0.0058,0.0056,1.0918,0.0148,0.0062,0.003,0.0068,0.0079,0.0074,0.0068,0.0063,0.0036,0.0082,0.0951,0.0057,0.0042,0.0126,0.005,0.0107,0.0012,0.007,0.0036,0.0038,0.0024,0.0024,0.0209,0.0043,0.005,0.0023,0.0026,0.0057,0.0046,0.0043,0
"DOM_C24",0.0063,0.0054,0.0445,0.0137,0.0469,0.0072,0.0032,0.0201,0.0105,0.0053,0.0077,0.0035,0.0115,0.0165,1.2157,0.1534,0.0072,0.0171,0.079,0.0271,0.044,0.0238,0.0062,0.0108,0.0264,0.0071,0.0046,0.0101,0.005,0.0095,0.001,0.0038,0.0034,0.002,0.0023,0.0017,0.0051,0.0046,0.0056,0.0016,0.0014,0.0021,0.0027,0.0034,0
"DOM_C25",0.0134,0.0083,0.0139,0.0126,0.0068,0.0145,0.0059,0.0229,0.0078,0.0053,0.0135,0.0069,0.0155,0.0105,0.0162,1.0725,0.0066,0.013,0.0262,0.031,0.0248,0.0253,0.0118,0.0099,0.0366,0.0092,0.0058,0.0099,0.0071,0.0116,0.0016,0.0088,0.0046,0.0042,0.0062,0.0026,0.0109,0.0051,0.0075,0.0044,0.0035,0.0051,0.0054,0.0057,0
"DOM_C26",0.0019,0.0022,0.0035,0.0024,0.0039,0.0024,0.0013,0.003,0.0025,0.0023,0.0026,0.0019,0.0082,0.0022,0.0028,0.0045,1.056,0.0345,0.0073,0.0067,0.0054,0.0087,0.0026,0.0035,0.003,0.0033,0.0022,0.0033,0.0031,0.003,0.0023,0.0019,0.0037,0.0089,0.0079,0.0023,0.0018,0.003,0.0026,0.0022,0.0017,0.0042,0.0044,0.0029,0
"DOM_C27",0.0019,0.0021,0.0035,0.0031,0.003,0.0024,0.0013,0.0028,0.0025,0.0024,0.0028,0.0017,0.0053,0.0027,0.0029,0.0037,0.0233,1.0293,0.0093,0.0088,0.0078,0.0062,0.0038,0.0034,0.0046,0.0029,0.0031,0.0041,0.0038,0.004,0.0018,0.002,0.0026,0.005,0.0041,0.0015,0.0019,0.0026,0.0023,0.0015,0.0011,0.002,0.0029,0.002,0
"DOM_C28",0.0037,0.0038,0.015,0.0079,0.0043,0.0037,0.002,0.005,0.0052,0.0034,0.0054,0.0023,0.0037,0.0045,0.0048,0.0081,0.0027,0.0039,1.0247,0.0163,0.0073,0.0052,0.0031,0.0042,0.007,0.0027,0.0038,0.0033,0.0032,0.0041,6e-04,0.0021,0.0025,0.0012,0.0013,0.0011,0.0022,0.0021,0.0024,0.0021,0.001,0.0011,0.0021,0.0019,0
"DOM_C29",0.0083,0.0057,0.0097,0.0045,0.0063,0.0062,0.0026,0.0051,0.0039,0.0033,0.0047,0.0028,0.0051,0.005,0.0113,0.0078,0.002,0.004,0.012,1.2781,0.0058,0.0051,0.0028,0.0097,0.0059,0.0135,0.0209,0.0184,0.0185,0.0124,0.0024,0.0059,0.0045,0.0027,0.0027,0.0026,0.0021,0.0036,0.0047,0.0022,0.0013,0.0019,0.0075,0.0039,0
"DOM_C30",3e-04,5e-04,7e-04,7e-04,5e-04,4e-04,2e-04,4e-04,3e-04,4e-04,4e-04,2e-04,3e-04,5e-04,3e-04,3e-04,2e-04,2e-04,3e-04,3e-04,1.0805,0.0021,2e-04,4e-04,5e-04,8e-04,0.009,0.0122,0.0178,0.0054,2e-04,3e-04,3e-04,2e-04,2e-04,2e-04,2e-04,2e-04,0.0011,3e-04,1e-04,3e-04,4e-04,3e-04,0
"DOM_C31T33",0.0017,0.0045,0.002,0.0036,0.0027,0.0023,0.01,0.0054,0.0025,0.0045,0.0042,0.0033,0.0033,0.0026,0.0027,0.0025,0.0013,0.0014,0.0047,0.005,0.0088,1.025,0.0059,0.0032,0.0038,0.0032,0.0057,0.0076,0.0074,0.009,6e-04,0.0028,0.0029,0.0022,0.0028,0.0022,0.0023,0.0021,0.0028,0.0017,0.0019,0.0024,0.0048,0.0031,0
"DOM_D",0.025,0.0419,0.0478,0.054,0.0173,0.0299,0.0136,0.0349,0.0317,0.0321,0.0842,0.0231,0.0314,0.0715,0.0755,0.0279,0.0058,0.0074,0.0249,0.0108,0.0366,0.0192,1.0517,0.0784,0.0201,0.0215,0.0264,0.0443,0.0182,0.0258,0.0065,0.0371,0.017,0.0155,0.0108,0.0134,0.0185,0.0151,0.013,0.0249,0.0221,0.0209,0.033,0.0218,0
"DOM_E",0.0058,0.0287,0.0097,0.0054,0.0102,0.0077,0.0047,0.0101,0.0232,0.0059,0.0133,0.0062,0.0062,0.0089,0.0372,0.0096,0.0021,0.0028,0.0064,0.0044,0.0083,0.0049,0.0093,1.025,0.0049,0.0063,0.0076,0.0136,0.0071,0.0077,0.0019,0.0121,0.0088,0.0032,0.0035,0.0113,0.0076,0.0066,0.0068,0.0073,0.0094,0.0108,0.0073,0.0087,0
"DOM_F",0.0097,0.0142,0.0076,0.0296,0.0081,0.0112,0.0048,0.0104,0.0112,0.0077,0.0114,0.0068,0.0063,0.0194,0.0101,0.0088,0.0032,0.0034,0.0075,0.0045,0.0155,0.0073,0.0143,0.0295,1.0203,0.0158,0.0157,0.0264,0.0197,0.072,0.0048,0.0214,0.0127,0.0211,0.0113,0.0103,0.03,0.0099,0.0075,0.011,0.0153,0.0105,0.0241,0.0147,0
"DOM_G",0.1175,0.0959,0.0566,0.0584,0.0412,0.1396,0.0754,0.1275,0.1091,0.0645,0.0804,0.0621,0.0663,0.0771,0.1474,0.069,0.0206,0.0291,0.0659,0.0552,0.0577,0.0813,0.0389,0.0824,0.0612,1.063,0.0528,0.1014,0.0694,0.0443,0.0286,0.0981,0.0768,0.0318,0.0333,0.0392,0.027,0.0417,0.0423,0.0213,0.0162,0.0356,0.044,0.0374,0
