"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0584,0.0266,0.0012,0.0019,0.0052,0.2545,0.0532,0.1988,0.043,0.0062,0.0377,0.0469,0.1452,0.0064,0.0042,0.0068,0.0086,0.009,0.003,0.0029,0.0171,0.0461,0.0026,0.0463,0.0363,0.0099,0.0029,0.0078,0.008,0.0048,0.0132,0.0881,0.0159,0.0033,0.0098,0.0014,0.0142,0.0117,0.0128,0.004,0.003,0.1875,0.0599,0.0186,0
"DOM_A03",4e-04,1.0201,1e-04,1e-04,2e-04,0.0177,4e-04,2e-04,3e-04,1e-04,3e-04,6e-04,2e-04,3e-04,2e-04,2e-04,3e-04,2e-04,1e-04,1e-04,4e-04,0.0015,1e-04,0.0035,5e-04,5e-04,1e-04,5e-04,5e-04,2e-04,7e-04,0.0155,5e-04,2e-04,0.0014,1e-04,6e-04,0.0012,0.0017,4e-04,6e-04,0.0143,0.0019,8e-04,0
"DOM_B05_06",0.0029,0.0065,1.0605,0.0087,0.0292,0.0068,0.0223,0.0093,0.021,0.2138,0.046,0.0081,0.0161,0.1517,0.0493,0.0667,0.0185,0.0328,0.0107,0.0069,0.024,0.0196,0.2566,0.0376,0.0305,0.0269,0.0247,0.0325,0.0384,0.0127,0.0376,0.0046,0.0122,0.0078,0.02,0.0021,0.0187,0.0176,0.0275,0.0049,0.0029,0.0111,0.0119,0.0161,0
"DOM_B07_08",0.0022,9e-04,0.0036,1.0238,0.0866,0.0034,0.007,0.0032,0.0074,0.0083,0.1085,0.007,0.0168,0.0983,0.1833,0.0587,0.0101,0.0196,0.0083,0.0042,0.0155,0.0166,0.0029,0.0208,0.062,0.0055,0.0018,0.0033,0.0028,0.0028,0.0056,0.0012,0.0045,0.0019,0.0052,7e-04,0.0145,0.0056,0.0063,0.0017,0.0052,0.0038,0.0031,0.0062,0
"DOM_B09",2e-04,3e-04,0.0342,0.0181,1.0151,4e-04,0.001,4e-04,0.001,0.0076,0.0047,5e-04,0.0012,0.0077,0.0087,0.0043,0.0013,0.0024,7e-04,4e-04,0.0015,0.0024,0.0085,0.0019,0.0025,0.0013,9e-04,0.0013,0.0015,6e-04,0.0018,2e-04,8e-04,5e-04,0.0011,1e-04,0.0013,0.0179,0.0014,2e-04,2e-04,6e-04,7e-04,9e-04,0
"DOM_C10T12",0.0239,0.0269,0.001,0.0015,0.0028,1.0888,0.0131,0.0072,0.0064,0.0023,0.0128,0.0122,0.0058,0.0131,0.0032,0.0033,0.0038,0.004,0.0018,0.0015,0.0054,0.0051,0.0016,0.0513,0.0201,0.0064,0.0012,0.0152,0.0088,0.0057,0.0128,0.0959,0.0059,0.0029,0.0082,0.0013,0.0171,0.0103,0.0115,0.003,9e-04,0.1235,0.1007,0.005,0
"DOM_C13T15",0.0012,8e-04,7e-04,9e-04,0.0026,0.0022,1.2455,0.0026,0.0035,0.0014,0.0032,0.0026,0.0083,0.0013,0.0015,0.0059,0.0045,0.0046,0.0029,0.0025,0.0054,0.0107,0.0017,0.0058,0.0035,0.011,0.0019,0.0027,0.0024,0.0049,0.0072,0.0047,0.004,0.002,0.0061,5e-04,0.0079,0.006,0.0108,0.0028,0.0016,0.0067,0.0035,0.0176,0
"DOM_C16",7e-04,0.001,6e-04,0.0011,0.003,0.0015,0.0024,1.0601,0.0023,0.0101,0.002,9e-04,0.0017,0.0025,0.0013,0.0059,0.004,0.0026,0.0018,0.0014,0.0146,0.0718,0.0024,0.0027,0.0285,0.0073,0.0018,0.0038,0.0032,0.0021,0.0043,0.001,0.0019,0.0013,0.003,3e-04,0.0072,0.0021,0.0041,8e-04,7e-04,0.0022,0.0036,0.0078,0
"DOM_C17_18",0.0017,0.0016,0.0019,0.002,0.0047,0.0064,0.0092,0.0044,1.1743,0.0033,0.0063,0.0061,0.0056,0.0039,0.0038,0.0064,0.016,0.0111,0.0051,0.0046,0.0116,0.0075,0.0043,0.0121,0.0063,0.0286,0.0041,0.0051,0.0056,0.004,0.0418,0.0038,0.086,0.0071,0.0256,0.0073,0.0166,0.0192,0.0313,0.0135,0.028,0.0089,0.0146,0.0092,0
"DOM_C19",0.0083,0.028,0.0119,0.0255,0.0804,0.0213,0.0525,0.0264,0.0574,1.0424,0.0371,0.0181,0.0314,0.0376,0.0486,0.0582,0.0369,0.042,0.0215,0.0176,0.0562,0.0433,0.1691,0.0511,0.0677,0.0905,0.111,0.1449,0.177,0.0351,0.1395,0.0143,0.0329,0.014,0.048,0.0048,0.0484,0.0324,0.0856,0.015,0.0081,0.031,0.033,0.0322,0
"DOM_C20",0.0162,0.0016,0.0027,0.0111,0.0331,0.008,0.0519,0.0178,0.055,0.007,1.1026,0.0393,0.1033,0.0125,0.0277,0.0664,0.0384,0.0743,0.0123,0.0058,0.0234,0.0269,0.0037,0.1326,0.0182,0.0108,0.0034,0.0054,0.0051,0.0039,0.0115,0.0038,0.029,0.0038,0.0137,0.0018,0.0115,0.0129,0.0217,0.0042,0.007,0.0184,0.0092,0.0219,0
"DOM_C21",3e-04,7e-04,1e-04,1e-04,3e-04,4e-04,3e-04,2e-04,3e-04,1e-04,9e-04,1.0429,9e-04,1e-04,4e-04,3e-04,6e-04,4e-04,2e-04,1e-04,4e-04,2e-04,1e-04,7e-04,2e-04,3e-04,3e-04,4e-04,2e-04,3e-04,0.0018,2e-04,3e-04,2e-04,0.001,1e-04,4e-04,0.0023,0.0017,8e-04,3e-04,0.0527,5e-04,0.0021,0
"DOM_C22",0.001,0.0015,6e-04,0.001,0.0027,0.0031,0.0069,0.0029,0.0037,0.0016,0.0036,0.0026,1.0319,0.0015,0.002,0.0056,0.0242,0.0253,0.0049,0.008,0.0261,0.0099,0.002,0.0036,0.0099,0.0143,0.0072,0.004,0.0094,0.0067,0.0091,0.002,0.0055,0.002,0.0067,0.0014,0.009,0.0056,0.0102,0.0018,0.0012,0.0062,0.0083,0.0362,0
