"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.2871,0.0996,0.0516,0.0339,0.0164,0.8266,0.4464,0.4899,0.1489,0.0308,0.1384,0.1721,0.2481,0.035,0.0387,0.0336,0.044,0.0392,0.0359,0.0405,0.0328,0.2127,0.0429,0.0403,0.1009,0.0398,0.0595,0.0398,0.0577,0.0551,0.0098,0.56,0.0514,0.0341,0.0172,0.0332,0.0189,0.0256,0.0245,0.1563,0.0166,0.0659,0.0486,0.0472,0
"DOM_A03",0.0019,1.0541,9e-04,6e-04,3e-04,0.0326,0.0013,9e-04,0.001,5e-04,0.0027,0.0054,0.0013,5e-04,6e-04,5e-04,5e-04,6e-04,5e-04,6e-04,5e-04,7e-04,6e-04,5e-04,8e-04,7e-04,5e-04,6e-04,8e-04,6e-04,1e-04,0.0125,5e-04,5e-04,3e-04,6e-04,2e-04,4e-04,4e-04,0.0037,2e-04,0.0018,5e-04,5e-04,0
"DOM_B05_06",0.0094,0.0091,1.0218,0.0308,0.0122,0.0129,0.0184,0.0109,0.0394,0.2046,0.0475,0.0269,0.0277,0.0585,0.0776,0.0389,0.0286,0.0353,0.054,0.0688,0.0506,0.0232,0.0715,0.0511,0.0288,0.0212,0.0503,0.0392,0.0525,0.0337,0.0169,0.0138,0.0205,0.0352,0.0092,0.0153,0.012,0.0198,0.0246,0.0071,0.0101,0.0116,0.0364,0.0345,0
"DOM_B07_08",0.001,0.0018,0.0066,1.0079,0.0045,0.0013,0.0014,0.0027,0.0045,0.0027,0.0027,0.0017,0.0028,0.0465,0.073,0.0686,0.015,0.0219,0.0186,0.0171,0.0106,0.0249,0.0094,0.0027,0.0165,0.0021,0.0025,0.0044,0.0056,0.0032,9e-04,0.0014,0.0024,0.0039,0.0013,0.0013,0.0025,0.0018,0.0018,0.0014,0.0011,0.0011,0.0049,0.0038,0
"DOM_B09",0.0028,0.003,0.0494,0.0421,1.0446,0.0033,0.0044,0.003,0.0097,0.0466,0.0125,0.0067,0.0064,0.0172,0.0185,0.0118,0.007,0.0088,0.0088,0.0158,0.0115,0.0062,0.0193,0.0107,0.012,0.0053,0.0121,0.0096,0.0128,0.009,0.004,0.0037,0.0051,0.0088,0.0024,0.0038,0.0037,0.005,0.0061,0.0021,0.0026,0.003,0.0095,0.0088,0
"DOM_C10T12",0.0629,0.0426,0.0243,0.0178,0.0071,1.0747,0.0391,0.028,0.0285,0.0156,0.0843,0.0849,0.0413,0.0132,0.0168,0.0154,0.014,0.0168,0.0151,0.0182,0.0147,0.0223,0.0141,0.0129,0.0231,0.0148,0.0131,0.0139,0.0191,0.0143,0.0036,0.241,0.0135,0.0126,0.0061,0.0131,0.0052,0.0091,0.0088,0.1204,0.0052,0.0384,0.0138,0.0141,0
"DOM_C13T15",0.0066,0.0816,0.0354,0.0155,0.0067,0.0102,1.2754,0.0129,0.0277,0.0167,0.0639,0.0411,0.0519,0.0143,0.0147,0.0118,0.0178,0.0177,0.0155,0.0224,0.0178,0.0246,0.0108,0.0113,0.0155,0.0133,0.0104,0.0152,0.0251,0.0653,0.003,0.0084,0.0156,0.0081,0.0034,0.0076,0.0039,0.0063,0.0071,0.005,0.0041,0.0284,0.025,0.031,0
"DOM_C16",0.0023,0.0049,0.0113,0.003,0.002,0.0026,0.0029,1.0772,0.0269,0.0037,0.0042,0.0022,0.003,0.0036,0.0039,0.0066,0.0037,0.0037,0.0053,0.0056,0.0066,0.0735,0.0037,0.0025,0.0043,0.0049,0.0028,0.0044,0.0057,0.0032,9e-04,0.0021,0.0066,0.0027,0.001,0.0012,0.0011,0.004,0.0045,0.0011,0.0018,0.0014,0.0037,0.0031,0
"DOM_C17_18",0.0055,0.0028,0.0059,0.0124,0.0053,0.0066,0.0064,0.0063,1.1644,0.0051,0.0067,0.0105,0.0085,0.0086,0.0105,0.0087,0.012,0.0099,0.0101,0.0088,0.0069,0.0091,0.0365,0.0149,0.0076,0.009,0.0304,0.0631,0.09,0.0424,0.0103,0.0071,0.1953,0.0261,0.01,0.013,0.0057,0.0266,0.0209,0.0048,0.0372,0.007,0.0323,0.0276,0
"DOM_C19",0.049,0.0482,0.1059,0.1427,0.053,0.062,0.09,0.0518,0.1793,1.201,0.2533,0.1458,0.126,0.1834,0.1534,0.1244,0.0927,0.1082,0.1003,0.3154,0.2354,0.0849,0.2519,0.2067,0.1116,0.1115,0.2748,0.1937,0.2604,0.1714,0.0932,0.0665,0.0977,0.1752,0.045,0.0754,0.0596,0.1052,0.1343,0.0318,0.0507,0.0599,0.1808,0.177,0
"DOM_C20",0.025,0.022,0.0809,0.0523,0.0173,0.0236,0.0923,0.0216,0.0996,0.0596,1.3563,0.2402,0.1449,0.0449,0.0431,0.0365,0.0422,0.0486,0.0418,0.0582,0.0478,0.0523,0.0283,0.0289,0.0603,0.0217,0.0248,0.0263,0.0346,0.0282,0.0073,0.0242,0.0405,0.0198,0.0069,0.0089,0.0115,0.0124,0.0134,0.0104,0.0087,0.1075,0.0287,0.0346,0
"DOM_C21",0.0044,0.0104,0.0133,0.0086,0.003,0.0043,0.015,0.0036,0.0174,0.0099,0.0655,1.1919,0.0252,0.0073,0.0073,0.0062,0.0085,0.0083,0.0072,0.0098,0.0079,0.0094,0.0047,0.0053,0.0101,0.0036,0.0043,0.0044,0.0057,0.0047,0.0012,0.005,0.0075,0.0033,0.0012,0.0017,0.0019,0.0021,0.0022,0.0039,0.0015,0.2712,0.005,0.006,0
