"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0441,0.0532,6e-04,5e-04,2e-04,0.0483,0.0014,0.0605,4e-04,1e-04,3e-04,3e-04,8e-04,5e-04,5e-04,3e-04,1e-04,1e-04,2e-04,3e-04,4e-04,1e-04,0.001,3e-04,0.0015,0.0016,7e-04,8e-04,2e-04,2e-04,8e-04,0.0041,5e-04,3e-04,0,1e-04,1e-04,2e-04,1e-04,3e-04,1e-04,0.0011,0.001,0.001,0
"DOM_A03",0,1.1303,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B05_06",1e-04,1e-04,1.0016,3e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.006,0,0,1e-04,4e-04,0.0011,2e-04,2e-04,2e-04,4e-04,1e-04,3e-04,1e-04,8e-04,0,1e-04,1e-04,1e-04,0,2e-04,0,1e-04,0,0,1e-04,0,0,0,0,0,2e-04,0,2e-04,0,1e-04,0
"DOM_B07_08",0.0197,0.0012,4e-04,1.0246,0.0094,0.0015,1e-04,0.0012,1e-04,1e-04,1e-04,0,4e-04,0.008,0.0169,5e-04,1e-04,4e-04,3e-04,3e-04,0.0055,0.0011,1e-04,2e-04,0.0108,2e-04,2e-04,1e-04,1e-04,0,1e-04,3e-04,0,2e-04,0,0,0,1e-04,0,1e-04,1e-04,1e-04,2e-04,9e-04,0
"DOM_B09",0,1e-04,0.0012,4e-04,1.0014,0,0,0,0,0.0016,0,0,0,1e-04,1e-04,0,0,0,1e-04,0,1e-04,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.1671,0.0485,0.0036,0.0045,0.0025,1.1378,0.0224,0.0194,0.0066,6e-04,0.0026,0.0056,0.012,0.0034,0.0083,0.0036,0.0021,0.0016,0.002,0.0045,0.0035,0.0014,0.01,0.0026,0.0035,0.016,0.0132,0.0097,0.0034,0.004,0.0147,0.0872,0.0099,0.0022,8e-04,8e-04,0.0011,0.0027,0.0021,0.0038,0.0017,0.0071,0.0144,0.0192,0
"DOM_C13T15",1e-04,1e-04,0,1e-04,1e-04,0,1.0096,1e-04,1e-04,0,0,0,1e-04,0,0,0,1e-04,0,0,0,0,3e-04,0,0,3e-04,0.001,1e-04,0,1e-04,0,1e-04,2e-04,0,1e-04,0,0,0,3e-04,1e-04,2e-04,0,2e-04,1e-04,2e-04,0
"DOM_C16",0,0,1e-04,0,1e-04,0,1e-04,1.0046,1e-04,0,0,0,7e-04,1e-04,0,0,0,0,1e-04,1e-04,0,5e-04,3e-04,2e-04,0.0029,0,0,0,0,0,1e-04,0,0,1e-04,0,0,0,0,0,1e-04,0,0,0,2e-04,0
"DOM_C17_18",3e-04,2e-04,3e-04,2e-04,3e-04,3e-04,7e-04,4e-04,1.0077,0,2e-04,1e-04,4e-04,3e-04,3e-04,6e-04,1e-04,4e-04,2e-04,3e-04,4e-04,4e-04,5e-04,3e-04,4e-04,0.0015,6e-04,2e-04,3e-04,1e-04,0.001,6e-04,0.009,7e-04,2e-04,8e-04,1e-04,0.002,4e-04,3e-04,0.0021,0.0014,8e-04,0.002,0
"DOM_C19",0.0074,0.0149,0.0027,0.0033,0.0075,0.0012,9e-04,0.0036,0.0012,1.0306,5e-04,0.0029,0.0075,0.0066,0.0032,0.0245,0.0253,0.0313,0.0687,0.0125,0.034,0.0089,0.0015,0.0019,0.0068,0.0032,0.0102,0.0033,0.0291,0.001,0.0075,9e-04,0.001,0.0055,2e-04,4e-04,2e-04,0.0019,0.0026,0.0029,0.001,0.015,0.0016,0.004,0
