"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0988,0.0014,8e-04,4e-04,7e-04,0.0809,0.0324,0.0283,6e-04,2e-04,4e-04,4e-04,0.0083,7e-04,4e-04,5e-04,5e-04,5e-04,5e-04,6e-04,6e-04,0.001,4e-04,4e-04,9e-04,5e-04,4e-04,5e-04,6e-04,7e-04,4e-04,0.0273,6e-04,4e-04,5e-04,3e-04,4e-04,8e-04,6e-04,0.0017,0.0017,9e-04,8e-04,7e-04,0
"DOM_A03",0.0385,1.0475,0.0016,0.0016,0.0014,0.3684,0.0038,0.0033,0.0022,4e-04,0.0015,0.0017,0.0023,0.0027,0.0012,0.0018,0.0015,0.002,0.0018,0.0017,0.0017,0.0012,0.0013,0.0012,0.0023,0.0019,0.0014,0.0019,0.0022,0.0027,0.0015,0.0497,0.0022,0.0016,0.0019,0.001,0.0017,0.0033,0.0021,0.0028,0.0022,0.0036,0.0024,0.0029,0
"DOM_B05_06",1e-04,0,1.0034,0,8e-04,1e-04,1e-04,1e-04,1e-04,0.0122,1e-04,1e-04,1e-04,2e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.0026,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,0
"DOM_B07_08",1e-04,0,0.0046,1.0783,0.0238,4e-04,0,1e-04,1e-04,0.0029,6e-04,7e-04,1e-04,0.013,0.0081,8e-04,3e-04,2e-04,3e-04,4e-04,2e-04,5e-04,1e-04,0.0032,0.0055,0,0,0,0,0,0,1e-04,0,0,0,0,4e-04,1e-04,0,0,0,1e-04,1e-04,1e-04,0
"DOM_B09",0,0,6e-04,1e-04,1.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.1131,0.0095,0.0045,0.0047,0.0041,1.0812,0.0113,0.0096,0.0065,0.0012,0.0044,0.0051,0.0068,0.008,0.0036,0.0052,0.0043,0.0058,0.0053,0.005,0.0049,0.0036,0.0037,0.0036,0.0069,0.0055,0.004,0.0057,0.0066,0.0078,0.0044,0.1438,0.0064,0.0047,0.0056,0.003,0.0049,0.0097,0.0062,0.0082,0.0064,0.0105,0.0069,0.0084,0
"DOM_C13T15",0.0028,0.0241,0.0012,4e-04,9e-04,0.0091,1.1472,3e-04,3e-04,1e-04,2e-04,2e-04,0.001,0.001,7e-04,6e-04,2e-04,2e-04,3e-04,0.0036,0.0033,0.0071,2e-04,4e-04,7e-04,2e-04,2e-04,3e-04,4e-04,3e-04,2e-04,0.0078,2e-04,2e-04,2e-04,3e-04,2e-04,3e-04,9e-04,6e-04,2e-04,0.0017,0.0035,6e-04,0
"DOM_C16",1e-04,1e-04,8e-04,2e-04,9e-04,1e-04,1e-04,1.0729,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,0.0024,1e-04,1e-04,0.0027,0.0011,0.0131,2e-04,4e-04,0.0104,1e-04,1e-04,1e-04,3e-04,2e-04,1e-04,3e-04,1e-04,1e-04,1e-04,0,8e-04,2e-04,1e-04,1e-04,2e-04,1e-04,7e-04,3e-04,0
"DOM_C17_18",0.0011,5e-04,0.0019,6e-04,0.0017,0.0015,0.0012,0.0014,1.1107,5e-04,0.0014,0.0017,0.0011,0.0011,5e-04,0.0012,0.0011,0.0012,9e-04,0.0012,8e-04,0.0012,0.001,0.0015,9e-04,0.003,0.0011,0.0012,0.0015,0.0019,0.005,0.0023,0.0579,0.0015,0.0041,0.0025,0.0038,0.0038,0.0033,0.009,0.0485,9e-04,0.0148,0.0038,0
"DOM_C19",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
