"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1238,0.068,2e-04,0.0012,9e-04,0.2124,0.0013,0.0024,0.0016,0.0012,0.0088,0.0018,0.0059,0.0013,0.0011,0.0012,5e-04,0.0018,0.0017,9e-04,6e-04,0.002,0.0013,0.0017,0.0014,0.0017,0.0016,0.0013,0.0018,7e-04,5e-04,0.076,0.0048,0.0011,0.0014,0.0014,3e-04,0.0026,0.0057,0.0054,0.0017,0.0019,0.0041,0.0026,0
"DOM_A03",0,1.0013,0,0,0,3e-04,0,0,0,0,0,0,8e-04,0,0,0,0,0,0,0,0,0,0,4e-04,0,0,0,0,0,0,0,3e-04,5e-04,0,0,0,0,0,0,0,0,0,9e-04,2e-04,0
"DOM_B05_06",2e-04,4e-04,1.0001,7e-04,4e-04,2e-04,6e-04,3e-04,3e-04,0.0159,9e-04,1e-04,0.0017,0.0013,3e-04,2e-04,1e-04,3e-04,2e-04,1e-04,1e-04,8e-04,0.0011,6e-04,2e-04,1e-04,8e-04,6e-04,8e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,0,0,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0
"DOM_B07_08",3e-04,0.1173,0,1.0002,1e-04,6e-04,4e-04,0.0031,0.006,7e-04,0.001,0.002,0.0035,7e-04,4e-04,6e-04,5e-04,0.0018,6e-04,6e-04,6e-04,0.1143,3e-04,5e-04,8e-04,3e-04,3e-04,3e-04,2e-04,2e-04,4e-04,3e-04,0.0031,6e-04,3e-04,2e-04,0,3e-04,3e-04,6e-04,2e-04,8e-04,5e-04,6e-04,0
"DOM_B09",0,1e-04,0.0534,5e-04,1.0896,1e-04,1e-04,2e-04,1e-04,9e-04,1e-04,0,1e-04,2e-04,1e-04,1e-04,0,1e-04,1e-04,0,0,1e-04,1e-04,2e-04,0.0034,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,0,0,1e-04,0,0,1e-04,1e-04,0,1e-04,0,0
"DOM_C10T12",0.145,0.1482,5e-04,0.0031,0.0025,1.2386,0.0033,0.0072,0.005,0.0026,0.0212,0.0041,0.0033,0.0029,0.0026,0.0029,0.001,0.0077,0.0039,0.002,0.0014,0.0055,0.0025,0.0029,0.002,0.0024,0.0035,0.0034,0.0045,0.0012,9e-04,0.2129,0.0087,0.0027,0.0036,0.0033,7e-04,0.0057,0.0041,0.0097,0.0051,0.0049,0.0096,0.0068,0
"DOM_C13T15",0.001,8e-04,1e-04,8e-04,4e-04,0.0011,1.1165,0.0026,0.0059,8e-04,0.0038,5e-04,0.0047,0.0016,8e-04,0.0015,4e-04,0.001,0.0012,0.004,8e-04,0.0057,5e-04,0.0018,0.0011,0.001,0.001,0.0017,0.0012,6e-04,4e-04,0.0013,7e-04,2e-04,2e-04,3e-04,1e-04,7e-04,0.001,0.0012,4e-04,0.0016,0.0016,0.0013,0
"DOM_C16",3e-04,5e-04,0,3e-04,2e-04,8e-04,9e-04,1.1785,0.0033,0.0012,0.0019,2e-04,0.0018,0.0031,0.0013,0.0013,3e-04,0.0014,5e-04,0.0015,5e-04,0.0187,2e-04,4e-04,0.0045,2e-04,2e-04,2e-04,2e-04,2e-04,3e-04,3e-04,3e-04,1e-04,1e-04,1e-04,2e-04,2e-04,3e-04,4e-04,1e-04,2e-04,3e-04,2e-04,0
"DOM_C17_18",0.0123,0.005,2e-04,0.0018,0.001,0.0163,0.0061,0.0372,1.1858,0.0045,0.0164,0.0052,0.0144,0.0098,0.0045,0.0081,0.0024,0.0056,0.0046,0.0031,0.0038,0.0109,0.0025,0.0045,0.0048,0.0062,0.0021,0.0024,0.0024,0.0031,0.0036,0.0057,0.0624,0.0038,0.0015,0.0032,6e-04,0.0104,0.0017,0.0047,0.0035,0.0041,0.0092,0.0031,0
"DOM_C19",0.0097,0.0277,0.0016,0.0194,0.0062,0.016,0.0503,0.0187,0.0222,1.318,0.0615,0.0084,0.1373,0.0675,0.0202,0.0129,0.0072,0.0207,0.0129,0.0111,0.0068,0.0256,0.0163,0.0227,0.0163,0.0102,0.0656,0.0469,0.0659,0.0048,0.0096,0.0084,0.0056,0.0045,0.0027,0.0029,0.0013,0.0046,0.0118,0.0105,0.0039,0.0043,0.0065,0.0054,0
"DOM_C20",0.0179,0.0068,7e-04,0.0066,0.0029,0.0143,0.0158,0.0125,0.0384,0.0664,1.1314,0.0189,0.0367,0.0249,0.0128,0.0099,0.0037,0.0097,0.0102,0.0061,0.0042,0.0097,0.0044,0.0095,0.0097,0.0027,0.0046,0.0038,0.0046,0.0017,0.0021,0.0063,0.0053,0.001,7e-04,0.001,7e-04,0.0029,0.0028,0.0032,0.0013,0.0046,0.003,0.0023,0
"DOM_C21",0.0013,0.001,1e-04,0.0011,4e-04,0.0031,8e-04,0.0013,0.0015,0.0034,0.0229,1.0663,0.0019,0.0014,8e-04,7e-04,5e-04,8e-04,0.001,5e-04,6e-04,0.0055,0.0013,0.0016,0.001,0.001,9e-04,0.001,0.001,0.0015,7e-04,0.001,0.0014,4e-04,5e-04,0.0018,4e-04,0.0036,0.0015,0.0016,4e-04,0.0456,0.0018,0.0014,0
"DOM_C22",0.0065,0.0147,5e-04,0.0053,0.0031,0.0282,0.0113,0.0486,0.0259,0.0091,0.0244,0.0093,1.0804,0.0147,0.0117,0.0124,0.0056,0.0169,0.0213,0.0151,0.0088,0.0232,0.0054,0.0144,0.0188,0.0099,0.0041,0.0028,0.0028,0.0018,0.006,0.0113,0.0035,0.0012,0.0011,0.0012,8e-04,0.0028,0.0042,0.0043,0.0013,0.0053,0.0035,0.0025,0
