"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0751,0.0144,0.0043,0.0055,0.0062,0.1519,0.0184,0.0526,0.0113,0.0037,0.0079,0.0109,0.0136,0.008,0.0086,0.0045,0.0066,0.004,0.0044,0.0049,0.0035,0.0083,0.029,0.0069,0.0044,0.0084,0.005,0.0082,0.0061,0.0045,0.0083,0.0372,0.0058,0.003,0.0022,0.0016,9e-04,0.0042,0.0104,0.0036,0.0023,0.0038,0.0083,0.0072,0
"DOM_A03",1e-04,1.0052,1e-04,0,0,0.0012,1e-04,1e-04,0,1e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,1e-04,0,1e-04,0,1e-04,1e-04,0.0026,1e-04,1e-04,0,0.0012,2e-04,0,0,0,0,0,1e-04,0,0,0,0,0,0
"DOM_B05_06",0.0016,0.0023,1.004,0.0074,0.0047,0.0016,7e-04,0.0012,0.0013,0.0446,0.0066,0.0016,0.0015,0.0019,0.0055,0.0012,9e-04,0.001,0.0013,0.0013,8e-04,0.001,0.0098,0.0016,0.0014,8e-04,0.0024,0.0074,0.0074,0.0022,0.0019,0.0013,7e-04,4e-04,4e-04,3e-04,2e-04,6e-04,8e-04,9e-04,6e-04,0.0013,0.0011,0.001,0
"DOM_B07_08",5e-04,3e-04,3e-04,1.0004,0.0027,8e-04,4e-04,9e-04,0.0026,3e-04,6e-04,4e-04,6e-04,0.0058,7e-04,5e-04,7e-04,8e-04,6e-04,8e-04,6e-04,5e-04,4e-04,0.001,0.0022,0.0011,0.0018,4e-04,4e-04,4e-04,3e-04,3e-04,3e-04,2e-04,3e-04,2e-04,2e-04,3e-04,4e-04,2e-04,1e-04,2e-04,3e-04,5e-04,0
"DOM_B09",3e-04,6e-04,0.014,0.0057,1.0337,3e-04,1e-04,2e-04,4e-04,0.0064,0.0011,2e-04,3e-04,0.002,0.0021,5e-04,2e-04,3e-04,3e-04,3e-04,2e-04,2e-04,0.0016,4e-04,0.0012,2e-04,5e-04,0.0011,0.0011,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,2e-04,0
"DOM_C10T12",0.0637,0.0691,0.0049,0.0147,0.0051,1.2431,0.021,0.0095,0.0072,0.007,0.0203,0.0334,0.0065,0.0048,0.009,0.0039,0.0038,0.0041,0.004,0.0042,0.0035,0.0052,0.0087,0.0048,0.0042,0.0096,0.0101,0.0379,0.0078,0.0072,0.0044,0.127,0.0045,0.0023,0.0021,0.0012,0.0013,0.0039,0.0081,0.0023,0.0028,0.0065,0.0069,0.0066,0
"DOM_C13T15",0.0036,0.0258,0.0012,0.001,0.0036,0.0027,1.2471,0.0139,0.0209,0.0013,0.0063,0.006,0.0135,0.0029,0.0026,0.0043,0.003,0.0031,0.0034,0.0113,0.0056,0.0156,0.0016,0.0028,0.0026,0.0024,0.0017,0.002,0.0022,0.0018,0.0017,0.0015,0.0028,0.0015,0.0012,7e-04,8e-04,0.0022,0.0042,0.0012,8e-04,0.0019,0.0056,0.0053,0
"DOM_C16",0.0027,0.0039,0.002,0.0023,0.004,0.0053,0.003,1.1669,0.0325,0.0015,0.0023,0.0049,0.0035,0.004,0.0034,0.0049,0.0033,0.0036,0.0038,0.0049,0.0046,0.0538,0.0028,0.0029,0.0127,0.0021,0.0022,0.0028,0.0029,0.0023,0.002,0.0021,0.0035,0.0019,0.0016,0.001,9e-04,0.0025,0.0043,0.002,7e-04,0.003,0.0032,0.004,0
"DOM_C17_18",0.0055,0.0076,0.0083,0.007,0.0106,0.0173,0.0093,0.0191,1.1926,0.0057,0.0118,0.0149,0.0189,0.0119,0.0144,0.0119,0.008,0.0143,0.0116,0.0137,0.0092,0.0137,0.0096,0.0152,0.0113,0.0092,0.0119,0.0118,0.017,0.0165,0.0111,0.0104,0.0417,0.0246,0.013,0.0133,0.0037,0.0233,0.0547,0.0096,0.006,0.0073,0.0383,0.0139,0
"DOM_C19",0.0293,0.0419,0.0115,0.0607,0.054,0.0133,0.0075,0.0139,0.0114,1.0808,0.0956,0.0125,0.0159,0.0179,0.0142,0.009,0.0073,0.0075,0.01,0.0086,0.0059,0.0095,0.0177,0.0125,0.0166,0.0099,0.0446,0.1693,0.1659,0.0125,0.0106,0.0061,0.0051,0.0032,0.0033,0.0022,0.0013,0.0041,0.0068,0.0032,0.0025,0.0039,0.0057,0.0058,0
"DOM_C20",0.0229,0.0098,0.0161,0.0135,0.0236,0.0187,0.0204,0.029,0.0388,0.0263,1.14,0.06,0.1197,0.0262,0.0174,0.0175,0.0288,0.0234,0.014,0.0203,0.0172,0.0222,0.0071,0.0108,0.012,0.0055,0.0066,0.0094,0.0097,0.0052,0.005,0.0053,0.0075,0.0045,0.0053,0.0023,0.0021,0.0072,0.0087,0.0025,0.0018,0.0115,0.0075,0.0151,0
"DOM_C21",0.0034,0.0014,0.0028,0.0018,0.0025,0.0048,0.0045,0.0024,0.003,0.0022,0.0161,1.0648,0.0095,0.0031,0.0044,0.0019,0.0029,0.0022,0.0017,0.0032,0.0025,0.0025,0.0011,0.0016,0.0015,9e-04,8e-04,0.0015,0.0016,8e-04,7e-04,0.0015,0.0012,7e-04,9e-04,4e-04,3e-04,0.0019,0.0016,5e-04,6e-04,0.0258,0.0014,0.0013,0
"DOM_C22",0.0081,0.0106,0.0053,0.0052,0.0165,0.0179,0.0195,0.0155,0.025,0.0055,0.0199,0.0416,1.1077,0.0257,0.0161,0.0289,0.0186,0.0344,0.0302,0.0441,0.0185,0.0196,0.0079,0.0105,0.023,0.0071,0.0158,0.009,0.0094,0.0095,0.0066,0.0066,0.0094,0.0091,0.0071,0.0043,0.0024,0.0107,0.0166,0.0033,0.0019,0.0075,0.0104,0.0082,0
"DOM_C23",0.008,0.0056,0.0033,0.0069,0.0147,0.014,0.0047,0.0142,0.0055,0.0032,0.0146,0.0087,0.0111,1.1461,0.0152,0.0114,0.0154,0.0176,0.0083,0.0203,0.0157,0.0097,0.0072,0.0097,0.0451,0.005,0.0035,0.0062,0.0047,0.0038,0.0029,0.0053,0.0042,0.0029,0.0037,0.0015,0.0039,0.0045,0.0054,0.0022,0.0014,0.0031,0.0053,0.0043,0
"DOM_C24",0.0045,0.0083,0.0114,0.0047,0.0293,0.0076,0.0057,0.0102,0.0099,0.0041,0.031,0.016,0.0173,0.0404,1.2735,0.132,0.0357,0.0865,0.0647,0.0591,0.0383,0.035,0.0057,0.0142,0.0227,0.0051,0.0052,0.0072,0.007,0.0058,0.0037,0.0033,0.0047,0.0044,0.0045,0.0017,0.0031,0.0084,0.0069,0.0024,0.0011,0.0104,0.0052,0.0047,0
"DOM_C25",0.0108,0.016,0.0092,0.0084,0.0456,0.0135,0.0114,0.0203,0.0237,0.0069,0.019,0.0151,0.032,0.0325,0.0403,1.1973,0.0609,0.0749,0.1744,0.1315,0.0523,0.041,0.0188,0.0263,0.0491,0.0101,0.0147,0.0327,0.0141,0.0131,0.0098,0.0076,0.011,0.0153,0.0121,0.0042,0.005,0.0124,0.0167,0.0053,0.0025,0.0075,0.0128,0.0092,0
"DOM_C26",0.0016,0.004,0.0026,0.0019,0.0045,0.002,0.002,0.0019,0.0026,0.0016,0.0021,0.0046,0.0031,0.0026,0.0024,0.0034,1.0327,0.0102,0.0052,0.009,0.0128,0.0058,0.0038,0.0028,0.0041,0.002,0.002,0.0022,0.0043,0.0026,0.0026,0.0016,0.0057,0.0054,0.0131,0.0021,7e-04,0.0035,0.003,0.0017,9e-04,0.0033,0.0049,0.0024,0
"DOM_C27",0.0035,0.0088,0.0039,0.0039,0.0106,0.0042,0.004,0.0039,0.0059,0.0028,0.005,0.005,0.0078,0.0076,0.0076,0.014,0.0402,1.1001,0.018,0.0241,0.0271,0.0091,0.0092,0.0067,0.0109,0.0041,0.0043,0.0062,0.0102,0.0056,0.0044,0.0034,0.0066,0.0105,0.0064,0.0017,0.0013,0.0054,0.0064,0.0026,0.0013,0.0033,0.0069,0.0041,0
"DOM_C28",0.0087,0.01,0.0112,0.013,0.0497,0.0118,0.0108,0.0101,0.0225,0.0081,0.0125,0.0234,0.0234,0.0164,0.0272,0.0354,0.0303,0.0385,1.1213,0.0571,0.0725,0.0256,0.0115,0.0186,0.0231,0.0092,0.0108,0.0179,0.0226,0.0113,0.0114,0.0073,0.0135,0.0112,0.0112,0.0043,0.0026,0.011,0.0164,0.0049,0.0024,0.0081,0.0094,0.0078,0
"DOM_C29",0.0039,0.0049,0.0033,0.0036,0.0104,0.0052,0.0045,0.006,0.0058,0.0041,0.0117,0.007,0.0119,0.0176,0.0078,0.016,0.0142,0.0172,0.0295,1.0791,0.018,0.0185,0.0038,0.0182,0.012,0.0099,0.0063,0.0055,0.0059,0.0051,0.0042,0.003,0.0043,0.0037,0.0032,0.0016,9e-04,0.0036,0.0047,0.0025,0.0011,0.0026,0.0044,0.0029,0
"DOM_C30",7e-04,0.0244,0.0014,0.0012,0.0018,0.0014,0.0013,0.002,0.0014,0.0011,0.0011,0.0012,0.0012,0.0013,0.0012,0.0026,0.0012,0.0013,0.0016,0.0108,1.1566,0.0154,0.0015,0.0025,0.0013,0.003,0.0033,0.0096,0.0535,0.0032,0.0019,0.0012,0.002,8e-04,0.0035,5e-04,2e-04,0.0018,0.0035,0.0016,6e-04,0.001,0.0038,7e-04,0
"DOM_C31T33",0.0118,0.0123,0.007,0.0077,0.0259,0.0084,0.0115,0.0268,0.0151,0.0095,0.009,0.0192,0.011,0.0093,0.0099,0.014,0.0138,0.0141,0.0188,0.019,0.0129,1.0658,0.0072,0.0146,0.0167,0.0069,0.0071,0.012,0.0132,0.0082,0.0119,0.0063,0.0141,0.006,0.0078,0.0028,0.0022,0.0085,0.0124,0.0063,0.0033,0.027,0.0126,0.0076,0
"DOM_D",0.0433,0.0771,0.0326,0.0424,0.0664,0.044,0.0284,0.0637,0.0562,0.0225,0.0567,0.0299,0.0596,0.0899,0.0952,0.0374,0.0384,0.0278,0.038,0.0326,0.0182,0.0438,1.5018,0.0723,0.0251,0.0282,0.0429,0.0195,0.0297,0.0287,0.1167,0.0445,0.0276,0.0241,0.0123,0.0112,0.0044,0.0256,0.0305,0.0336,0.0212,0.0299,0.0328,0.0948,0
