"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0445,0.0126,5e-04,5e-04,3e-04,0.1045,2e-04,0.0032,4e-04,1e-04,0.002,4e-04,8e-04,5e-04,2e-04,3e-04,6e-04,5e-04,5e-04,5e-04,7e-04,0.0012,2e-04,3e-04,4e-04,9e-04,1e-04,2e-04,3e-04,5e-04,2e-04,0.053,8e-04,3e-04,4e-04,2e-04,1e-04,8e-04,0.0018,0.0025,4e-04,0.0017,0.0045,0.0013,0
"DOM_A03",0,1.0343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B05_06",0.0088,0.0043,1.0145,0.0142,0.0084,0.0081,0.0023,0.008,0.0059,0.1083,0.0086,0.0037,0.0601,0.0382,0.0073,0.0048,0.0128,0.0163,0.0175,0.0138,0.0248,0.0188,0.0322,0.0148,0.0144,0.0089,0.0241,0.0043,0.0339,0.0045,0.0054,0.0075,0.0106,0.0071,0.0059,0.0021,0.0012,0.0045,0.0082,0.0038,0.0039,0.0055,0.0096,0.0073,0
"DOM_B07_08",0.0012,5e-04,5e-04,1.0007,4e-04,0.0028,2e-04,6e-04,0.0012,1e-04,0.13,0.0041,0.0119,0.0255,0.0014,0.0014,0.0043,0.0052,0.0024,0.0032,0.0036,0.0047,3e-04,0.0017,0.0083,6e-04,2e-04,2e-04,5e-04,0.001,4e-04,0.0011,5e-04,2e-04,2e-04,1e-04,4e-04,0.0012,3e-04,8e-04,3e-04,0.0012,0.0012,0.0024,0
"DOM_B09",0.0015,6e-04,0.1477,0.003,1.1425,0.0013,4e-04,0.0012,9e-04,0.0158,0.0014,6e-04,0.0088,0.0056,0.0011,7e-04,0.0019,0.0024,0.0026,0.0021,0.0037,0.0028,0.0047,0.0022,0.016,0.0014,0.0036,7e-04,0.0054,8e-04,9e-04,0.0012,0.0016,0.0011,9e-04,4e-04,7e-04,7e-04,0.0013,7e-04,7e-04,0.001,0.0017,0.0012,0
"DOM_C10T12",0.1167,0.0516,0.0021,0.002,0.0016,1.2514,6e-04,0.0011,0.0014,5e-04,0.0087,0.0026,0.0026,0.0025,0.0011,0.0011,0.0026,0.0022,0.0026,0.0019,0.0035,0.0042,6e-04,0.0014,0.0019,0.0027,7e-04,5e-04,9e-04,0.0016,9e-04,0.1577,0.0035,0.0015,0.0014,7e-04,3e-04,0.0031,0.006,0.0073,0.0023,0.0155,0.0352,0.0049,0
"DOM_C13T15",0.0013,0.0128,0.0033,0.0033,0.0021,0.0017,1.1066,0.0021,0.0024,5e-04,0.0011,0.0022,0.0098,6e-04,4e-04,5e-04,0.0094,0.0062,0.0084,0.0086,0.016,0.0129,5e-04,8e-04,0.0016,0.0014,3e-04,6e-04,0.002,0.002,7e-04,0.0066,0.0016,8e-04,8e-04,4e-04,1e-04,0.0011,0.0036,0.0103,0.0016,0.0066,0.0078,0.0039,0
"DOM_C16",7e-04,1e-04,3e-04,3e-04,2e-04,5e-04,3e-04,1.1387,0.052,1e-04,5e-04,6e-04,0.0011,0.0015,0.0024,0.0015,0.0059,0.0043,0.0039,0.0036,0.0063,0.0192,2e-04,9e-04,0.0051,7e-04,1e-04,5e-04,4e-04,7e-04,5e-04,0.0011,0.0019,4e-04,5e-04,3e-04,3e-04,0.0042,8e-04,9e-04,8e-04,5e-04,0.0015,5e-04,0
"DOM_C17_18",0.0022,8e-04,0.0013,0.0013,9e-04,0.0051,0.001,0.0012,1.2193,7e-04,0.0061,0.011,0.0145,0.0055,0.0041,0.0056,0.0177,0.0181,0.0118,0.0096,0.0087,0.0171,0.0016,0.005,0.0038,0.0046,8e-04,0.0017,0.0022,0.0056,0.0087,0.019,0.0275,0.0032,0.0062,0.0048,6e-04,0.0338,0.0089,0.0123,0.0107,0.0046,0.009,0.0032,0
"DOM_C19",0.032,0.0271,0.0313,0.0364,0.0152,0.0427,0.0094,0.0134,0.0297,1.0504,0.0405,0.0138,0.0258,0.0517,0.0339,0.0235,0.0195,0.021,0.0193,0.0179,0.0205,0.0225,0.1042,0.0553,0.0319,0.0259,0.1388,0.033,0.3069,0.0203,0.0363,0.0371,0.0331,0.022,0.016,0.0051,0.0028,0.0118,0.0404,0.0254,0.0186,0.0225,0.0368,0.0184,0
