"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1068,0.0075,0.0027,0.0039,0.0028,0.1386,0.0062,0.0063,0.0376,6e-04,0.004,0.0041,0.0369,0.0027,0.0018,0.0023,0.0026,0.0028,0.0034,0.0042,0.0034,0.004,0.0014,0.0014,0.0048,0.0053,0.0014,0.0018,0.0021,0.0028,0.0017,0.0462,0.0061,0.0048,0.0019,0.0023,5e-04,0.0031,0.0019,0.0018,0.0033,0.0055,0.0056,0.0053,0
"DOM_A03",0.0015,1.0341,3e-04,6e-04,2e-04,0.0265,4e-04,4e-04,4e-04,1e-04,4e-04,4e-04,4e-04,3e-04,2e-04,3e-04,3e-04,3e-04,3e-04,2e-04,3e-04,0.0012,2e-04,2e-04,3e-04,4e-04,2e-04,2e-04,3e-04,4e-04,2e-04,0.0129,4e-04,0.0011,3e-04,3e-04,1e-04,3e-04,3e-04,2e-04,3e-04,0.0014,4e-04,5e-04,0
"DOM_B05_06",2e-04,4e-04,1.0002,6e-04,4e-04,2e-04,2e-04,4e-04,1e-04,0.004,6e-04,2e-04,2e-04,4e-04,3e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.0021,1e-04,2e-04,1e-04,3e-04,6e-04,6e-04,1e-04,1e-04,2e-04,1e-04,1e-04,0,0,0,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,0
"DOM_B07_08",3e-04,2e-04,3e-04,1.0023,0.0052,4e-04,4e-04,0.0013,7e-04,1e-04,0.0014,7e-04,7e-04,0.034,0.0061,0.0019,0.0012,0.0011,0.0011,0.001,0.0013,8e-04,3e-04,2e-04,0.0056,2e-04,1e-04,1e-04,2e-04,2e-04,1e-04,3e-04,2e-04,2e-04,1e-04,1e-04,2e-04,4e-04,1e-04,2e-04,1e-04,2e-04,3e-04,3e-04,0
"DOM_B09",3e-04,6e-04,0.0091,0.0075,1.0233,3e-04,1e-04,3e-04,3e-04,0.0018,0.001,3e-04,3e-04,0.0016,7e-04,5e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,0.0019,3e-04,0.0011,1e-04,3e-04,3e-04,4e-04,3e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04,1e-04,1e-04,2e-04,1e-04,0
"DOM_C10T12",0.0587,0.0429,0.0034,0.0073,0.003,1.0934,0.0061,0.0065,0.0068,8e-04,0.0065,0.0067,0.0058,0.0041,0.0027,0.0038,0.0038,0.0038,0.0037,0.003,0.0032,0.0036,0.0024,0.0023,0.0036,0.0051,0.0029,0.0025,0.0036,0.0048,0.0029,0.1551,0.0055,0.0134,0.0036,0.004,8e-04,0.0036,0.0042,0.0029,0.0059,0.0115,0.0057,0.0063,0
"DOM_C13T15",0.0033,0.024,0.0019,0.0042,0.0027,0.0048,1.2384,0.0131,0.003,5e-04,0.0019,0.0015,0.0209,0.0064,0.0016,0.0019,0.0036,0.0034,0.003,0.0042,0.0041,0.0058,0.001,0.0011,0.0029,0.0032,0.0015,0.0079,0.0025,0.0024,0.0024,0.0031,0.0024,0.0025,0.0021,0.0016,3e-04,0.0022,0.0035,0.0019,9e-04,0.0024,0.0089,0.0051,0
"DOM_C16",0.0097,0.0026,0.0012,0.0023,0.0026,0.0104,0.0043,1.1204,0.0365,6e-04,0.0075,0.0047,0.0043,0.0078,0.0017,0.0026,0.0038,0.004,0.0024,0.0023,0.0021,0.0056,0.0013,0.0011,0.0051,0.0045,0.0016,0.0019,0.0036,0.0086,0.0027,0.0046,0.0277,0.0029,0.0043,0.0032,6e-04,0.0052,0.0029,0.002,0.002,0.0033,0.0032,0.0031,0
"DOM_C17_18",0.0174,0.0153,0.0096,0.0128,0.0139,0.0266,0.0144,0.1277,1.2607,0.0025,0.0149,0.0166,0.0116,0.0251,0.0098,0.0154,0.0181,0.0151,0.0128,0.0107,0.017,0.0483,0.0135,0.0081,0.0872,0.0187,0.0087,0.008,0.0167,0.0383,0.0253,0.015,0.1455,0.0246,0.0221,0.034,0.0064,0.0307,0.014,0.0231,0.0202,0.011,0.0349,0.0176,0
"DOM_C19",0.0414,0.0986,0.0137,0.1261,0.0455,0.0253,0.023,0.0247,0.0213,1.0277,0.1195,0.0426,0.0297,0.0406,0.0241,0.0167,0.0119,0.0124,0.0125,0.0135,0.0183,0.019,0.0512,0.0112,0.0283,0.0209,0.0596,0.14,0.1457,0.0094,0.0239,0.0206,0.0135,0.0083,0.0075,0.0063,0.0029,0.0117,0.0102,0.0164,0.0089,0.0161,0.0257,0.02,0
