"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.5475,0.0752,0.0196,0.0192,0.0369,0.5384,0.4329,0.4357,0.0549,0.0181,0.0185,0.1108,0.0166,0.019,0.018,0.0166,0.0196,0.0166,0.0172,0.0203,0.0157,0.0208,0.02,0.0185,0.0218,0.034,0.0191,0.03,0.0644,0.0538,0.0249,0.369,0.0626,0.0218,0.0459,0.0369,0.0393,0.0387,0.0633,0.1891,0.0624,0.067,0.1579,0.0404,0
"DOM_A03",3e-04,1.0001,0,0,1e-04,4e-04,1e-04,1e-04,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,4e-04,1e-04,1e-04,0,2e-04,1e-04,0,1e-04,1e-04,0,1e-04,2e-04,2e-04,3e-04,8e-04,6e-04,0,0
"DOM_B05_06",0.0517,0.0902,1.4168,0.1188,0.1504,0.0563,0.0477,0.1656,0.1021,0.9018,0.3758,0.0921,0.432,0.2177,0.1094,0.0786,0.0772,0.0852,0.0804,0.0786,0.0697,0.0914,0.3157,0.1167,0.0934,0.0868,0.2941,0.1067,0.1133,0.0975,0.1126,0.0473,0.0699,0.0613,0.0674,0.0826,0.0866,0.0566,0.0616,0.0956,0.0731,0.106,0.0736,0.0684,0
"DOM_B07_08",0.0241,0.034,0.0484,1.1757,0.0945,0.0274,0.0247,0.0285,0.08,0.0384,0.3417,0.0642,0.074,0.1736,0.494,0.2246,0.1686,0.2316,0.2087,0.1628,0.1531,0.1667,0.1,0.1896,0.1423,0.0384,0.0594,0.0865,0.0324,0.055,0.0289,0.0228,0.0385,0.0802,0.0386,0.0441,0.054,0.064,0.0408,0.044,0.0613,0.0458,0.0369,0.0372,0
"DOM_B09",0.005,0.0081,0.0965,0.0602,1.0465,0.0055,0.0047,0.0127,0.0108,0.0619,0.0405,0.0094,0.0323,0.0226,0.0295,0.0156,0.0131,0.0163,0.0161,0.013,0.0119,0.0139,0.0261,0.017,0.0159,0.0086,0.0227,0.0119,0.0095,0.0095,0.0093,0.0046,0.007,0.0086,0.0068,0.0081,0.0092,0.0148,0.0069,0.0106,0.0088,0.0098,0.0074,0.0069,0
"DOM_C10T12",0.1203,0.1254,0.018,0.0197,0.0333,1.1903,0.0639,0.0455,0.0408,0.018,0.0188,0.0405,0.0165,0.0191,0.0194,0.0181,0.0165,0.0172,0.0174,0.0225,0.016,0.0183,0.0203,0.0192,0.0211,0.0414,0.0177,0.0228,0.0519,0.0404,0.0182,0.2874,0.0994,0.0204,0.0643,0.0155,0.0182,0.0345,0.0512,0.0377,0.0737,0.035,0.1094,0.0252,0
"DOM_C13T15",0.0014,0.0141,0.0021,0.0024,0.0021,0.0016,1.1094,0.0015,0.0026,0.0019,0.0019,0.0025,0.0029,0.0028,0.0019,0.0018,0.0015,0.0016,0.0034,0.0017,0.0016,0.0036,0.0022,0.0037,0.0023,0.0029,0.0026,0.0043,0.015,0.0026,0.016,0.0055,0.0035,0.0022,0.0029,0.0015,0.0016,0.0041,0.0073,0.0029,0.0029,0.0044,0.0139,0.0024,0
"DOM_C16",4e-04,9e-04,0.0011,7e-04,0.0072,4e-04,4e-04,1.005,4e-04,8e-04,6e-04,3e-04,8e-04,7e-04,5e-04,6e-04,5e-04,4e-04,4e-04,0.001,7e-04,0.0054,7e-04,5e-04,0.0013,7e-04,6e-04,8e-04,0.0021,0.0012,8e-04,8e-04,5e-04,7e-04,6e-04,7e-04,0.0022,0.0015,8e-04,9e-04,8e-04,5e-04,0.0015,0.0012,0
"DOM_C17_18",0.0029,0.0028,0.0025,0.0029,0.0028,0.0043,0.003,0.0058,1.0274,0.0028,0.003,0.0044,0.0028,0.0032,0.0032,0.0031,0.0032,0.0031,0.0031,0.0038,0.0029,0.0029,0.0031,0.003,0.0037,0.008,0.0028,0.0029,0.0029,0.0029,0.0647,0.0038,0.0357,0.0038,0.0216,0.0037,0.0026,0.0057,0.0043,0.0054,0.0073,0.0031,0.0037,0.002,0
"DOM_C19",0.0226,0.0647,0.0362,0.0454,0.0273,0.022,0.0191,0.1486,0.0228,1.0306,0.0341,0.0194,0.0261,0.0483,0.054,0.0352,0.033,0.0358,0.0352,0.0335,0.0296,0.033,0.0475,0.0374,0.0347,0.0358,0.1029,0.0709,0.0932,0.046,0.0289,0.0186,0.0224,0.0216,0.0218,0.0353,0.0392,0.0228,0.0247,0.0406,0.0252,0.038,0.0288,0.0267,0
