"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0631,3e-04,0,0.0061,0.0071,0.2746,0.0023,0.1964,0.0435,0.0024,0.0756,0.0427,0.0101,0.0083,0.0069,0.0077,0.0022,0.0027,0.0091,0.0039,0.0039,0.008,0.0732,0.0712,0.0157,0.037,0.0188,0.0267,0.0422,0.0136,0.0079,0.1975,0.0318,0.0087,0.033,0.0068,0.0207,0.0274,0.031,0.0437,0.0183,0.0482,0.0418,0.0313,0
"DOM_A03",0.0348,1.0912,0,0.0018,0.0021,0.0915,7e-04,0.0638,0.0124,7e-04,0.0228,0.0179,0.0033,0.0026,0.0022,0.0025,7e-04,9e-04,0.0029,0.0013,0.0013,0.002,0.0224,0.0208,0.0023,0.012,0.0055,0.0093,0.0148,0.0037,0.0026,0.0642,0.0148,0.0028,0.0104,0.0022,0.0054,0.0083,0.0103,0.0064,0.0075,0.0172,0.014,0.0102,0
"DOM_B05_06",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",0.001,0,0,1.0061,0.0034,0.003,1e-04,9e-04,0.0038,0.0057,0.0034,0.0017,9e-04,0.1175,0.0455,0.017,4e-04,8e-04,0.0017,0.001,9e-04,0.0012,0.0353,0.0271,0.0078,8e-04,0.0014,0.0012,0.0016,0.0013,0.0023,0.002,0.0051,0.0023,0.0043,8e-04,0.0109,0.0068,0.0051,0.0037,0.0013,6e-04,0.0044,0.0058,0
"DOM_B09",6e-04,0,0,0.0031,1.0095,8e-04,0,5e-04,0.0016,0.0018,7e-04,3e-04,2e-04,0.011,0.0127,0.0072,1e-04,2e-04,7e-04,2e-04,2e-04,7e-04,0.0171,0.0099,0.0017,2e-04,5e-04,4e-04,5e-04,4e-04,0.0022,6e-04,0.0033,5e-04,0.0014,5e-04,0.0067,0.0032,0.0016,0.0024,7e-04,4e-04,0.0013,0.0015,0
"DOM_C10T12",0.0028,1e-04,0,0.0016,0.0013,1.0962,5e-04,0.0034,0.0046,6e-04,0.0029,0.0016,0.0015,0.0041,0.0078,0.0079,7e-04,9e-04,0.0034,0.0021,0.0026,0.0044,0.0066,0.0067,0.0055,0.0063,0.0053,0.0088,0.0137,0.0036,0.0037,0.0454,0.0042,0.0036,0.0089,0.0018,0.0078,0.0071,0.0077,0.0055,0.0021,0.0024,0.0033,0.003,0
"DOM_C13T15",0.0181,7e-04,0,0.0033,0.003,0.0577,1.2706,0.013,0.0174,0.0036,0.0081,0.0041,0.2275,0.0166,0.0271,0.0345,0.0025,0.0034,0.0141,0.0135,0.0115,0.0335,0.016,0.0185,0.0307,0.0277,0.0307,0.0319,0.0466,0.0237,0.0027,0.0381,0.0101,0.0027,0.0096,0.0018,0.0046,0.0082,0.0141,0.0446,0.0025,0.0034,0.0062,0.0111,0
"DOM_C16",0.0026,0,0,3e-04,3e-04,0.0012,2e-04,1.0842,4e-04,2e-04,4e-04,2e-04,2e-04,3e-04,2e-04,3e-04,1e-04,1e-04,3e-04,0.0013,0.0015,9e-04,0.0034,0.0018,0.0015,0.0019,4e-04,3e-04,7e-04,3e-04,2e-04,0.0025,7e-04,3e-04,0.0072,3e-04,7e-04,0.0089,0.0063,7e-04,3e-04,3e-04,6e-04,6e-04,0
"DOM_C17_18",2e-04,1e-04,0,7e-04,4e-04,0.0011,1e-04,6e-04,1.1173,5e-04,0.0074,0.0044,6e-04,8e-04,0.0033,0.0059,2e-04,3e-04,0.0011,0.0019,0.0017,0.0077,0.0013,0.0022,9e-04,0.0014,9e-04,7e-04,0.0014,9e-04,0.0016,0.0032,0.0271,0.0014,0.003,8e-04,6e-04,0.0032,0.0023,0.0079,0.0036,4e-04,8e-04,7e-04,0
"DOM_C19",0.0047,1e-04,0,0.0124,0.0052,0.0057,3e-04,0.0104,0.0015,1.011,0.0016,6e-04,0.001,0.0077,0.0045,0.0024,0.0043,0.0106,9e-04,0.0022,0.0021,0.0027,0.0213,0.0086,0.0011,0.0039,0.0126,0.0119,0.0189,0.0031,0.0014,0.0023,0.0022,0.0012,0.0035,0.0012,0.0022,0.0034,0.004,0.0046,0.001,8e-04,0.0018,0.0018,0
