"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0788,0.0282,0.0041,0.0028,0.0011,0.3206,0.0136,0.1845,0.0035,4e-04,0.0027,0.02,0.012,0.0022,0.0014,0.0024,0.0019,0.0027,0.0025,0.003,0.0028,0.0097,5e-04,0.0016,0.0059,0.0016,0.0017,7e-04,0.0014,0.0029,0.0014,0.1234,0.0018,0.001,0.0016,0.0011,5e-04,0.0025,0.0015,0.003,0.0042,0.013,0.0034,0.0042,0
"DOM_A03",0.0028,1.0398,1e-04,2e-04,1e-04,0.028,5e-04,6e-04,2e-04,0,2e-04,4e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,4e-04,0,1e-04,1e-04,1e-04,1e-04,0,1e-04,2e-04,1e-04,0.0272,2e-04,1e-04,1e-04,1e-04,0,2e-04,1e-04,4e-04,0.0013,8e-04,4e-04,3e-04,0
"DOM_B05_06",2e-04,2e-04,1.0001,4e-04,2e-04,2e-04,3e-04,3e-04,3e-04,0.0022,7e-04,2e-04,4e-04,0.0014,6e-04,3e-04,2e-04,2e-04,2e-04,2e-04,2e-04,2e-04,0.0042,4e-04,2e-04,1e-04,3e-04,2e-04,3e-04,2e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,2e-04,2e-04,3e-04,2e-04,0
"DOM_B07_08",7e-04,5e-04,2e-04,1.0305,0.0053,0.0014,0.0011,8e-04,0.003,3e-04,0.0052,0.0027,0.0018,0.0694,0.0037,0.0015,0.0027,0.0019,0.0013,0.0015,0.0014,0.0017,3e-04,9e-04,0.0079,2e-04,4e-04,2e-04,4e-04,3e-04,4e-04,9e-04,5e-04,2e-04,3e-04,1e-04,3e-04,3e-04,2e-04,4e-04,3e-04,6e-04,4e-04,6e-04,0
"DOM_B09",0,0,2e-04,2e-04,1.0003,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.1143,0.0227,0.0016,0.0037,0.0016,1.1619,0.0171,0.0224,0.0048,9e-04,0.0063,0.0125,0.0045,0.0025,0.0022,0.003,0.0025,0.0029,0.003,0.003,0.003,0.0039,9e-04,0.0024,0.0029,0.003,0.0024,0.0013,0.0025,0.0047,0.0023,0.2757,0.0038,0.0023,0.0035,0.0022,7e-04,0.0057,0.0036,0.002,0.0136,0.0081,0.0071,0.0083,0
"DOM_C13T15",0.0084,0.0684,0.0023,0.0068,0.0038,0.0112,1.3224,0.008,0.0191,0.001,0.0058,0.0076,0.0257,0.0092,0.0033,0.0073,0.0072,0.0079,0.0074,0.0132,0.0113,0.0653,0.0021,0.0092,0.0076,0.0081,0.0087,0.0025,0.0055,0.0139,0.0185,0.0107,0.0065,0.0021,0.0029,0.0026,0.0015,0.0052,0.0052,0.0074,0.0031,0.0082,0.01,0.0193,0
"DOM_C16",0.0023,0.0314,0.0032,0.0038,0.002,0.0035,0.0017,1.2454,0.0083,3e-04,0.0012,0.0016,0.0015,0.0053,0.0019,0.0047,0.0017,0.0049,0.0044,0.0039,0.0063,0.0487,6e-04,0.0012,0.0152,0.001,0.002,7e-04,0.0015,0.0054,0.0015,0.0036,0.0016,5e-04,8e-04,4e-04,7e-04,0.0014,7e-04,0.0013,0.0014,0.002,0.0026,0.0018,0
"DOM_C17_18",0.0121,0.0098,0.0021,0.0059,0.006,0.0367,0.0238,0.0192,1.3891,0.0019,0.0102,0.0436,0.0141,0.0214,0.0049,0.0109,0.0133,0.0218,0.011,0.0106,0.0082,0.069,0.0024,0.0083,0.0116,0.0163,0.0082,0.0031,0.0075,0.0167,0.0661,0.0186,0.107,0.0087,0.0172,0.0108,0.0031,0.0379,0.0103,0.0116,0.0217,0.0132,0.018,0.0213,0
"DOM_C19",0.0465,0.0705,0.0064,0.0728,0.0259,0.0361,0.0639,0.0487,0.0511,1.1012,0.2132,0.056,0.1173,0.0634,0.0282,0.0393,0.033,0.0362,0.0272,0.0341,0.0285,0.0445,0.0285,0.0375,0.0296,0.017,0.11,0.0689,0.1315,0.0267,0.0314,0.0282,0.0176,0.006,0.0089,0.0047,0.0036,0.0173,0.0127,0.0109,0.0113,0.0172,0.0173,0.0228,0
"DOM_C20",0.1071,0.0488,0.0094,0.0797,0.0273,0.0639,0.1646,0.1013,0.1109,0.0299,1.1925,0.069,0.3147,0.0765,0.0311,0.0766,0.079,0.0784,0.0495,0.0746,0.0585,0.1089,0.0243,0.0468,0.0477,0.0122,0.0433,0.0195,0.0369,0.0209,0.023,0.0331,0.0326,0.0077,0.0133,0.0046,0.0041,0.0178,0.025,0.0126,0.0111,0.0214,0.0294,0.0376,0
"DOM_C21",0.0015,0.0021,2e-04,4e-04,4e-04,0.0033,6e-04,9e-04,5e-04,1e-04,6e-04,1.0315,6e-04,4e-04,3e-04,5e-04,4e-04,5e-04,5e-04,5e-04,6e-04,7e-04,1e-04,0.0016,6e-04,3e-04,4e-04,1e-04,9e-04,6e-04,5e-04,0.0021,8e-04,2e-04,4e-04,3e-04,1e-04,0.0011,4e-04,7e-04,6e-04,0.0804,0.001,0.0114,0
"DOM_C22",0.0199,0.0406,0.0054,0.0216,0.0094,0.0473,0.0411,0.0215,0.0366,0.0027,0.0184,0.0465,1.0873,0.0255,0.0083,0.0252,0.0513,0.0633,0.0431,0.1341,0.033,0.0592,0.0046,0.0389,0.0441,0.0133,0.0449,0.0038,0.0087,0.0146,0.0122,0.0207,0.0093,0.0039,0.0072,0.0024,0.0025,0.0081,0.0053,0.0058,0.0049,0.0111,0.0062,0.0157,0
"DOM_C23",0.0028,0.0027,0.001,0.004,0.008,0.0108,0.0029,0.0036,0.0056,7e-04,0.0032,0.0378,0.0055,1.198,0.0169,0.0079,0.0356,0.0182,0.01,0.0147,0.0115,0.0138,0.002,0.0038,0.0988,0.0015,0.0029,9e-04,0.0019,0.002,0.0022,0.0062,0.0019,0.0018,0.0031,7e-04,0.0036,0.0023,0.0011,0.0031,0.0022,0.0052,0.0023,0.0055,0
"DOM_C24",0.0069,0.0174,0.0162,0.0229,0.0188,0.0149,0.0143,0.0167,0.0114,0.0043,0.0217,0.015,0.0178,0.0291,1.4388,0.2967,0.0427,0.1829,0.1819,0.1126,0.1907,0.0672,0.0117,0.0169,0.1147,0.0061,0.0179,0.0094,0.0177,0.0106,0.0096,0.0109,0.0059,0.0065,0.0063,0.0025,0.006,0.0074,0.0047,0.0144,0.0056,0.0093,0.0083,0.0195,0
"DOM_C25",0.0066,0.0129,0.0211,0.025,0.0182,0.0265,0.0208,0.0286,0.0093,0.0055,0.0156,0.0186,0.0187,0.0245,0.0163,1.1776,0.0301,0.0469,0.1114,0.0593,0.1154,0.0674,0.0062,0.0102,0.1249,0.0058,0.0121,0.0087,0.0167,0.0099,0.0076,0.0148,0.0047,0.0039,0.0053,0.0027,0.0054,0.0072,0.0041,0.0126,0.0041,0.0072,0.0067,0.0239,0
"DOM_C26",0.0065,0.0116,0.0029,0.0085,0.006,0.0114,0.0105,0.0111,0.0101,0.0022,0.0075,0.0088,0.0105,0.0084,0.0073,0.0105,1.264,0.0595,0.0435,0.0376,0.0466,0.0294,0.0053,0.0092,0.0202,0.0057,0.01,0.0036,0.0091,0.0081,0.0208,0.0119,0.015,0.0249,0.0802,0.0049,0.0022,0.017,0.0068,0.0096,0.011,0.0087,0.0082,0.0591,0
"DOM_C27",0.0029,0.0148,0.0074,0.0135,0.0064,0.0053,0.0052,0.0063,0.0059,0.0015,0.0041,0.0049,0.0057,0.0104,0.0133,0.0157,0.0559,1.2426,0.0722,0.07,0.0663,0.0289,0.0133,0.0103,0.061,0.005,0.0179,0.0044,0.0104,0.0086,0.0096,0.0069,0.007,0.0199,0.0091,0.0025,0.0037,0.0067,0.0086,0.0073,0.0041,0.0048,0.0085,0.0294,0
"DOM_C28",0.0048,0.0166,0.0114,0.0242,0.0158,0.008,0.008,0.0071,0.009,0.0031,0.0062,0.0058,0.0181,0.0146,0.011,0.0241,0.0164,0.029,1.1713,0.0485,0.1131,0.025,0.007,0.0229,0.0364,0.0043,0.0111,0.0063,0.015,0.0098,0.0072,0.0061,0.0042,0.0029,0.0037,0.0015,0.0029,0.0048,0.0032,0.0253,0.0032,0.0048,0.005,0.0168,0
"DOM_C29",0.0059,0.0097,0.0058,0.0713,0.0082,0.0139,0.01,0.0151,0.0125,0.0025,0.0081,0.0121,0.0099,0.0324,0.0089,0.0126,0.0088,0.0161,0.0277,1.4922,0.0134,0.0112,0.0029,0.0552,0.0144,0.0272,0.138,0.0037,0.0107,0.035,0.0285,0.0093,0.009,0.004,0.0058,0.0035,0.002,0.0107,0.0074,0.0048,0.0035,0.0101,0.0079,0.0111,0
"DOM_C30",0.0015,0.0492,0.0041,0.0237,0.0054,0.0042,0.0027,0.0033,0.0023,0.0013,0.0023,0.0025,0.0031,0.0065,0.003,0.0092,0.0071,0.0233,0.0208,0.0111,1.1656,0.0071,0.0023,0.004,0.012,0.0023,0.0077,0.039,0.0555,0.0088,0.0136,0.0034,0.0018,0.0024,0.0017,8e-04,8e-04,0.0026,0.0018,0.0359,0.0011,0.0016,0.0019,0.0098,0
"DOM_C31T33",0.002,0.005,0.0015,0.0038,0.0063,0.005,0.0095,0.0036,0.0044,6e-04,0.002,0.0046,0.0025,0.0036,0.0023,0.0033,0.003,0.0038,0.0041,0.0215,0.0052,1.0418,0.0012,0.0106,0.0076,0.0053,0.0056,0.0014,0.0029,0.0065,0.0078,0.008,0.0072,0.004,0.0073,0.0052,0.0018,0.0148,0.0047,0.0081,0.0135,0.0232,0.0138,0.0088,0
"DOM_D",0.0153,0.0192,0.0114,0.0461,0.0209,0.0234,0.0394,0.0401,0.0567,0.0158,0.0352,0.0198,0.025,0.0509,0.0697,0.0383,0.0234,0.0288,0.0268,0.0269,0.0265,0.0249,1.144,0.0646,0.021,0.014,0.025,0.0052,0.0122,0.0313,0.014,0.0413,0.0226,0.0209,0.0109,0.0098,0.0288,0.0179,0.0108,0.0169,0.0421,0.0331,0.0547,0.0365,0
"DOM_E",0.0022,0.0025,0.0014,0.0059,0.0024,0.0044,0.0052,0.0028,0.0036,0.001,0.0047,0.0034,0.0032,0.0043,0.0033,0.0052,0.0021,0.0021,0.0028,0.0029,0.0025,0.0033,0.0022,1.0842,0.0036,0.0016,0.0078,9e-04,0.0019,0.0067,0.0024,0.0125,0.0031,0.0024,0.0013,0.0018,0.0053,0.0027,0.0018,0.0044,0.0076,0.0167,0.0065,0.0093,0
"DOM_F",0.0013,0.0025,0.0012,0.0027,0.0081,0.0021,0.0024,0.0017,0.0019,5e-04,0.0014,0.0022,0.0013,0.002,0.002,0.0018,0.0015,0.0018,0.0018,0.0014,0.0014,0.0015,0.0094,0.0038,1.0015,0.0023,0.0026,0.001,0.0022,0.0044,0.0036,0.0057,0.0021,0.004,0.0025,0.0016,0.0334,0.0047,0.002,0.015,0.0058,0.0056,0.0083,0.0076,0
"DOM_G",0.0629,0.0717,0.0112,0.0362,0.0195,0.1272,0.0956,0.1027,0.0782,0.014,0.0495,0.0518,0.068,0.0482,0.0374,0.0569,0.0579,0.0734,0.0633,0.0805,0.0612,0.086,0.0148,0.0303,0.0589,1.0184,0.0407,0.0144,0.0372,0.0278,0.0303,0.1147,0.0362,0.0131,0.0208,0.0085,0.0059,0.0363,0.0147,0.0176,0.02,0.0482,0.026,0.0435,0
"DOM_H49",0.0117,0.0148,0.0122,0.1096,0.024,0.0387,0.0255,0.0349,0.0357,0.0076,0.0246,0.0301,0.0228,0.0883,0.0308,0.0257,0.0163,0.0206,0.0233,0.0215,0.0185,0.023,0.0058,0.0315,0.025,0.0261,1.0173,0.0059,0.0117,0.0182,0.0422,0.0198,0.0174,0.0059,0.0085,0.009,0.0037,0.0248,0.0114,0.0122,0.0081,0.0145,0.0093,0.0163,0
"DOM_H50",0.0094,0.0448,0.0034,0.0192,0.117,0.0248,0.018,0.0267,0.0161,0.0249,0.0276,0.0121,0.0239,0.0789,0.027,0.0233,0.0136,0.0163,0.0275,0.0219,0.0275,0.0158,0.0187,0.0219,0.0201,0.0156,0.018,1.7648,0.0233,0.0196,0.0078,0.0131,0.0049,0.0025,0.0035,0.0015,0.0017,0.0048,0.0057,0.0062,0.0044,0.0059,0.0053,0.0076,0
"DOM_H51",0.0021,0.0053,0.001,0.0038,0.0039,0.0048,0.0057,0.0046,0.0041,0.0027,0.0035,0.0081,0.0037,0.0058,0.0035,0.004,0.0048,0.0049,0.0057,0.0039,0.0037,0.0039,0.0022,0.0025,0.0039,0.0113,0.0061,0.0014,1.0054,0.0064,0.0815,0.0034,0.007,0.0035,0.0054,0.0037,8e-04,0.0093,0.0042,0.0056,0.0021,0.0032,0.003,0.0057,0
"DOM_H52",0.0083,0.0502,0.0032,0.0548,0.04,0.0256,0.016,0.0201,0.0188,0.0073,0.0145,0.0143,0.0127,0.0386,0.0172,0.0156,0.0129,0.0141,0.0153,0.014,0.0128,0.0136,0.0041,0.0163,0.0137,0.0186,0.0981,0.0528,0.1741,1.0794,0.047,0.0138,0.0095,0.0041,0.0081,0.0044,0.0019,0.0156,0.0056,0.0049,0.0043,0.0073,0.0071,0.011,0
"DOM_H53",0.0023,0.0037,0.0016,0.0052,0.0037,0.0046,0.0071,0.0035,0.0049,8e-04,0.0025,0.0077,0.0026,0.0047,0.0025,0.0034,0.0032,0.0036,0.0036,0.003,0.0031,0.0036,0.001,0.0043,0.0035,0.0078,0.0039,0.0015,0.003,0.0079,1.2733,0.0038,0.0063,0.0103,0.0061,0.0103,0.0015,0.0175,0.0051,0.0059,0.0039,0.0072,0.0042,0.0082,0
"DOM_I",1e-04,1e-04,0,2e-04,1e-04,2e-04,2e-04,1e-04,2e-04,0,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,2e-04,1e-04,2e-04,4e-04,2e-04,1.0005,5e-04,1e-04,3e-04,2e-04,1e-04,7e-04,2e-04,1e-04,2e-04,3e-04,7e-04,9e-04,0
