"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0074,4e-04,0,1e-04,1e-04,0.1661,2e-04,0.0369,0.0356,0.0019,0.002,0.0021,0.0036,1e-04,1e-04,0,2e-04,1e-04,0,1e-04,1e-04,0.009,1e-04,7e-04,2e-04,1e-04,1e-04,2e-04,1e-04,2e-04,2e-04,0.0182,0.003,3e-04,3e-04,1e-04,0,3e-04,2e-04,2e-04,5e-04,1e-04,2e-04,2e-04,0
"DOM_A03",0.0072,1.0232,0,0,0,0.0176,1e-04,0.0043,0.0222,0.001,5e-04,8e-04,6e-04,0,0,0,0,0,0,0,0,0.0049,0,5e-04,1e-04,0,0,1e-04,0,1e-04,0,0.009,0.0036,0,1e-04,0,0,1e-04,1e-04,0,2e-04,0,1e-04,1e-04,0
"DOM_B05_06",0.0021,0.0015,1.0089,0.0095,0.007,0.0096,0.0032,0.006,0.0077,0.0161,0.0113,0.0032,0.0166,0.0309,0.0099,0.0068,0.0092,0.0089,0.0067,0.0162,0.0163,0.1102,0.0162,0.0035,0.0127,0.0654,0.0475,0.0157,0.0648,0.119,0.0708,0.0801,0.0077,0.0763,0.0061,0.0441,0.0129,0.0055,0.036,0.0316,0.0386,0.0751,0.0032,0.0063,0
"DOM_B07_08",8e-04,3e-04,0.027,1.0898,0.049,0.0089,7e-04,0.0031,0.0024,0.0401,0.047,0.0201,0.0633,0.2136,0.018,0.0056,0.0043,0.0044,0.013,0.0409,0.0524,0.0066,0.0585,0.0182,0.0658,0.0027,0.0021,0.0038,0.003,0.0058,0.0028,0.005,0.0223,0.0033,0.0024,0.0016,0.0052,0.0026,0.0033,0.0034,0.0019,0.0031,0.0082,0.0044,0
"DOM_B09",7e-04,3e-04,0.0697,0.0396,1.1205,0.0066,5e-04,0.0047,0.0021,0.0378,0.026,0.0041,0.0461,0.0516,0.0071,0.0031,0.0016,0.0016,0.0089,0.0182,0.0185,0.0083,0.0374,0.0154,0.0219,0.005,0.0038,0.004,0.0056,0.0105,0.0052,0.0071,0.0212,0.0057,0.0012,0.0033,0.0024,0.0017,0.0035,0.0031,0.003,0.0058,0.0215,0.0019,0
"DOM_C10T12",0.0031,8e-04,0,1e-04,0,1.0326,0,3e-04,2e-04,7e-04,5e-04,5e-04,9e-04,1e-04,0,0,6e-04,3e-04,0,0,0,2e-04,0,0,0,0,0,1e-04,0,1e-04,0,0.04,1e-04,0,2e-04,0,0,2e-04,1e-04,0,1e-04,1e-04,0,0,0
"DOM_C13T15",0.0028,0.0017,1e-04,2e-04,1e-04,0.001,1.0771,0.0086,0.0073,5e-04,5e-04,4e-04,8e-04,2e-04,1e-04,1e-04,0.0017,9e-04,1e-04,2e-04,2e-04,0.0072,3e-04,0.0011,4e-04,4e-04,2e-04,2e-04,1e-04,2e-04,1e-04,0.0073,0.0077,1e-04,0.0051,1e-04,0,0.0033,0.0036,9e-04,2e-04,5e-04,0.0022,0.0014,0
"DOM_C16",8e-04,3e-04,1e-04,2e-04,1e-04,0.0062,0.001,1.1017,0.0837,0.0079,0.0084,0.0037,0.0117,0.0011,4e-04,4e-04,0.0017,0.0016,3e-04,7e-04,8e-04,0.0255,4e-04,0.0024,0.0026,0.0015,5e-04,0.0012,5e-04,9e-04,0.0066,0.005,0.0102,0.0071,0.0047,0.0032,2e-04,0.0049,0.0032,0.005,0.0015,0.0011,0.0031,0.0026,0
"DOM_C17_18",0,0,0,0,0,3e-04,0,0.0041,1.0066,3e-04,3e-04,3e-04,5e-04,0,0,0,0,0,0,0,0,9e-04,0,1e-04,1e-04,1e-04,0,0,0,0,2e-04,2e-04,8e-04,2e-04,3e-04,1e-04,0,3e-04,1e-04,2e-04,0,0,1e-04,1e-04,0
"DOM_C19",0.0054,0.0022,0.002,0.0052,0.0023,0.0062,9e-04,0.007,0.006,1.0145,0.0149,0.0035,0.0197,0.0029,0.0059,0.0024,0.0032,0.0034,0.0023,0.006,0.0059,0.0024,0.0024,0.0012,0.0042,0.0022,0.0054,0.0717,0.0274,0.0567,7e-04,0.0059,0.0041,6e-04,0.0025,0.0025,4e-04,0.0057,0.0098,0.0027,9e-04,0.0071,0.0014,0.0018,0
