"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.4061,0.2539,0.0195,0.0185,0.0095,0.3268,0.0467,0.178,0.0549,0.0127,0.0706,0.1631,0.0274,0.0192,0.0283,0.0263,0.027,0.0191,0.0247,0.0333,0.0218,0.0602,0.0155,0.0243,0.0476,0.0303,0.0164,0.0271,0.0522,0.0224,0.0093,0.0543,0.0279,0.0118,0.012,0.01,0.0133,0.0192,0.0212,0.0333,0.0081,0.0464,0.0258,0.0198,0
"DOM_A03",1e-04,1.0589,1e-04,1e-04,0,0.0012,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,6e-04,0,1e-04,5e-04,1e-04,0,0.0015,2e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,1e-04,0.0014,6e-04,1e-04,0
"DOM_B05_06",0.0013,6e-04,1.0034,0.005,0.0015,0.0013,0.0013,0.0024,0.0028,0.0486,0.0137,3e-04,0.0079,0.0034,0.002,0.0011,0.0014,0.0012,0.0011,0.0017,0.0022,0.0013,0.013,0.0016,0.0015,8e-04,5e-04,9e-04,0.0014,0.0013,3e-04,7e-04,0.0024,5e-04,9e-04,5e-04,0.0029,9e-04,0.0014,8e-04,0.0011,0.0016,0.0013,0.0011,0
"DOM_B07_08",0.0021,7e-04,4e-04,1.0035,0.0011,0.0014,5e-04,7e-04,5e-04,0.0023,0.0011,5e-04,8e-04,0.0544,0.0019,6e-04,7e-04,3e-04,0.0019,6e-04,3e-04,5e-04,5e-04,0.0037,0.0065,5e-04,0.0015,6e-04,0.0022,0.0014,1e-04,4e-04,4e-04,2e-04,2e-04,1e-04,0.001,2e-04,2e-04,6e-04,1e-04,3e-04,7e-04,0.0013,0
"DOM_B09",2e-04,0.0011,0.013,0.0074,1.0084,2e-04,2e-04,2e-04,3e-04,0.0109,5e-04,1e-04,2e-04,0.0022,3e-04,2e-04,1e-04,1e-04,1e-04,2e-04,3e-04,1e-04,9e-04,4e-04,0.001,1e-04,1e-04,1e-04,3e-04,3e-04,0,1e-04,4e-04,1e-04,1e-04,1e-04,3e-04,1e-04,2e-04,2e-04,1e-04,2e-04,2e-04,2e-04,0
"DOM_C10T12",0.0417,0.0159,0.0044,0.0064,0.0028,1.2099,0.0065,0.0101,0.0064,0.0024,0.0269,0.0077,0.022,0.0047,0.0215,0.0102,0.026,0.0055,0.0131,0.0083,0.0046,0.0065,0.004,0.0193,0.0209,0.0191,0.004,0.0372,0.0419,0.0187,0.0048,0.1186,0.006,0.023,0.0048,0.0094,0.0033,0.011,0.0106,0.0279,0.006,0.0829,0.0194,0.005,0
"DOM_C13T15",0.0062,0.011,0.0072,0.0072,0.003,0.0112,1.2146,0.0196,0.0102,0.0044,0.0089,0.005,0.0064,0.0072,0.0116,0.0056,0.0142,0.0094,0.0095,0.0149,0.0116,0.0254,0.0191,0.0081,0.0108,0.0204,0.0137,0.0137,0.0455,0.01,0.0027,0.011,0.0135,0.0061,0.0046,0.0031,0.0066,0.0056,0.0057,0.0198,0.0034,0.0097,0.0264,0.0347,0
"DOM_C16",0.0058,0.0063,0.0099,0.0062,0.0025,0.0104,0.008,1.1035,0.0623,0.0022,0.0351,0.0031,0.0105,0.0053,0.0059,0.0074,0.0116,0.0096,0.0081,0.0235,0.0133,0.0884,0.0078,0.0074,0.0395,0.0047,0.0042,0.0055,0.006,0.0049,0.0128,0.0036,0.0335,0.0021,0.0071,0.0056,0.007,0.0146,0.015,0.0071,0.0044,0.004,0.0063,0.0059,0
"DOM_C17_18",0.0047,0.0051,0.0044,0.0113,0.002,0.0104,0.0031,0.0103,1.0344,0.0027,0.0087,0.0021,0.0049,0.008,0.0055,0.0038,0.0114,0.0066,0.0094,0.0114,0.0054,0.0152,0.0067,0.0052,0.0068,0.0089,0.004,0.0065,0.013,0.007,0.0249,0.005,0.0487,0.0037,0.0293,0.018,0.0116,0.0185,0.0104,0.0108,0.0123,0.0065,0.0394,0.0116,0
"DOM_C19",0.0105,0.0048,0.0116,0.0041,0.0154,0.0079,0.0118,0.0053,0.0103,1.0355,0.006,0.0024,0.0025,0.0104,0.0073,0.004,0.0035,0.0033,0.0026,0.0095,0.0233,0.0056,0.0028,0.0104,0.0169,0.0082,0.004,0.0073,0.0173,0.017,0.0017,0.0043,0.0361,0.0019,0.0048,0.0028,0.0053,0.0081,0.008,0.0063,0.0012,0.0111,0.0149,0.0109,0
