"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0825,0,0,2e-04,0,0.0659,0.0012,0.007,0.0016,0,0.0073,0.0028,0.0041,7e-04,6e-04,7e-04,6e-04,8e-04,7e-04,8e-04,9e-04,0.0011,0.0029,2e-04,7e-04,2e-04,3e-04,2e-04,4e-04,2e-04,1e-04,0.0082,1e-04,1e-04,1e-04,0,3e-04,1e-04,3e-04,2e-04,1e-04,9e-04,8e-04,8e-04,0
"DOM_A03",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B05_06",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_B07_08",2e-04,0,0,1.0041,0,1e-04,3e-04,1e-04,3e-04,0,0.0032,4e-04,6e-04,0.0337,0.0091,0.0023,3e-04,0.001,0.001,8e-04,0.0011,4e-04,7e-04,5e-04,0.0019,0,3e-04,0,0,1e-04,0,0,0,0,0,0,2e-04,0,0,1e-04,0,0,0,1e-04,0
"DOM_B09",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.0287,0,0,6e-04,0,1.0357,0.001,6e-04,0.0038,0,0.0377,0.0167,0.0038,0.0017,0.0013,0.0016,0.0011,0.0014,0.0014,0.0013,0.0015,0.0015,4e-04,3e-04,6e-04,3e-04,3e-04,0.0021,0.0031,8e-04,5e-04,0.097,2e-04,2e-04,4e-04,1e-04,7e-04,5e-04,0.0017,6e-04,2e-04,0.0085,0.0024,0.0013,0
"DOM_C13T15",0.0022,0,0,4e-04,0,0.0011,1.1106,3e-04,0.0035,0,0.002,0.0023,0.0105,0.0027,0.0014,0.0022,0.0018,0.0022,0.0023,0.0084,0.0061,0.0095,3e-04,3e-04,0.0014,7e-04,4e-04,3e-04,9e-04,4e-04,6e-04,4e-04,2e-04,1e-04,2e-04,0,2e-04,2e-04,0.0014,3e-04,0,7e-04,5e-04,0.0015,0
"DOM_C16",8e-04,0,0,5e-04,0,0.0017,0.0021,1.0795,0.0089,0,0.0025,8e-04,0.0055,0.0076,0.0048,0.0075,0.0016,0.0048,0.0037,0.0052,0.0172,0.0311,0.0015,0.0016,0.0139,6e-04,9e-04,2e-04,3e-04,7e-04,3e-04,6e-04,3e-04,2e-04,5e-04,1e-04,0.0019,5e-04,8e-04,0.001,0.0017,5e-04,4e-04,9e-04,0
"DOM_C17_18",4e-04,0,0,3e-04,0,0.0026,0.0012,5e-04,1.0636,0,0.0032,0.004,0.0047,0.0029,0.0012,0.002,0.003,0.0027,0.002,0.0019,0.002,0.0019,3e-04,3e-04,6e-04,0.0029,4e-04,3e-04,6e-04,7e-04,0.0018,6e-04,0.0016,2e-04,0.0038,1e-04,5e-04,9e-04,0.0026,2e-04,1e-04,2e-04,3e-04,6e-04,0
"DOM_C19",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
