"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.227,0.017,0.0044,0.0081,0.0045,0.0749,0.0081,0.2428,0.0038,0.0057,0.0074,0.0038,0.0072,0.0111,0.0056,0.0114,0.0066,0.0037,0.0072,0.0075,0.0075,0.0539,0.0087,0.0081,0.0219,0.0119,0.0074,0.006,0.0096,0.0186,0.0026,0.0267,0.0043,0.0017,0.003,0.0021,0.0048,0.0047,0.0054,0.006,0.006,0.0074,0.005,0.0101,0
"DOM_A03",0.0045,1.0061,8e-04,6e-04,1e-04,0.0265,0.001,0.0013,7e-04,5e-04,6e-04,5e-04,6e-04,5e-04,0.0013,8e-04,3e-04,2e-04,5e-04,5e-04,3e-04,6e-04,5e-04,6e-04,4e-04,0.0022,4e-04,3e-04,0.001,8e-04,2e-04,0.0079,6e-04,2e-04,3e-04,2e-04,3e-04,3e-04,5e-04,7e-04,0.001,0.0014,8e-04,7e-04,0
"DOM_B05_06",0,0,1.0005,4e-04,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,2e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0
"DOM_B07_08",6e-04,6e-04,0.001,1.0133,0.0059,8e-04,9e-04,8e-04,4e-04,0.001,6e-04,4e-04,0.002,0.0302,0.0046,0.0017,5e-04,7e-04,0.001,6e-04,0.0024,0.001,8e-04,0.0069,0.0095,7e-04,0.0013,6e-04,7e-04,0.0016,3e-04,8e-04,0.0035,3e-04,3e-04,3e-04,8e-04,6e-04,5e-04,6e-04,4e-04,4e-04,5e-04,8e-04,0
"DOM_B09",0,6e-04,4e-04,7e-04,1.0004,0,0,0,0,0.001,1e-04,0,0,4e-04,0,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DOM_C10T12",0.0563,0.0617,0.0029,0.0055,0.0019,1.267,0.0118,0.0198,0.0061,0.0086,0.0086,0.0063,0.0068,0.009,0.0072,0.0077,0.0054,0.0041,0.0087,0.0069,0.0068,0.0101,0.0066,0.0064,0.009,0.0462,0.0074,0.0082,0.0414,0.0196,0.0044,0.3117,0.0163,0.0034,0.0067,0.0043,0.0077,0.0074,0.0119,0.0205,0.0402,0.0615,0.0335,0.0095,0
"DOM_C13T15",0.0022,0.0047,9e-04,0.0024,5e-04,0.0027,1.2551,0.0027,0.0021,0.0022,0.0025,0.003,0.0223,0.0032,0.0028,0.0029,0.011,0.0016,0.0024,0.002,0.0027,0.016,0.0026,0.0026,0.0021,0.0018,0.0018,9e-04,0.0014,0.0021,0.001,0.0024,0.0015,9e-04,8e-04,5e-04,0.0011,0.0015,0.0021,0.0029,0.0016,0.0019,0.0022,0.0041,0
"DOM_C16",0.0396,0.008,0.0129,0.0183,0.0149,0.0121,0.0084,1.2871,0.0073,0.0105,0.0072,0.0068,0.0137,0.0306,0.011,0.0144,0.0197,0.0071,0.0125,0.0162,0.0191,0.1808,0.0169,0.0177,0.063,0.0142,0.0144,0.0076,0.0092,0.0204,0.0034,0.0125,0.0067,0.0031,0.0045,0.0037,0.0094,0.0081,0.0092,0.0069,0.0062,0.0061,0.0067,0.0251,0
"DOM_C17_18",0.0062,0.0194,0.0014,0.0156,0.0021,0.0271,0.0067,0.0087,1.1703,0.003,0.0132,0.0092,0.0106,0.0118,0.0042,0.0053,0.0036,0.0073,0.0057,0.0052,0.0034,0.0129,0.003,0.0046,0.0063,0.0119,0.0045,0.0069,0.0045,0.0063,0.0772,0.0132,0.2873,0.0125,0.0064,0.009,0.0038,0.0418,0.0328,0.0153,0.0087,0.0066,0.0163,0.0118,0
"DOM_C19",0.0045,0.0047,0.0014,0.0039,0.0015,0.0019,0.0014,0.0027,6e-04,1.0653,0.0187,0.0069,0.0012,0.0072,0.0048,0.0019,6e-04,7e-04,0.0012,0.001,0.0012,0.0021,0.0061,0.0038,0.0017,0.0016,0.0072,0.0018,0.0049,0.0021,0.0011,0.0014,8e-04,3e-04,7e-04,3e-04,9e-04,7e-04,8e-04,8e-04,6e-04,0.001,6e-04,0.0013,0
"DOM_C20",0.0115,0.0016,6e-04,0.0066,0.0021,0.0022,0.0069,0.0068,0.0047,7e-04,1.0309,0.0209,0.0101,0.0053,0.0022,0.0031,0.0018,0.0018,0.0018,0.0013,0.0026,0.0054,0.001,0.005,0.0046,0.001,0.001,0.0011,9e-04,0.0019,8e-04,0.0018,0.002,4e-04,0.0012,5e-04,7e-04,0.0018,0.0023,0.0011,0.0013,0.0098,0.0015,0.0076,0
"DOM_C21",0.0037,5e-04,2e-04,0.004,2e-04,0.001,0.0042,0.0017,7e-04,7e-04,0.01,1.0485,5e-04,9e-04,0.0012,0.0011,0.0018,3e-04,4e-04,0.0014,0.0012,6e-04,3e-04,8e-04,0.0017,6e-04,2e-04,2e-04,2e-04,3e-04,2e-04,9e-04,6e-04,1e-04,2e-04,1e-04,2e-04,8e-04,6e-04,2e-04,2e-04,0.0172,6e-04,0.0128,0
