"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1011,0.0019,0.0028,0.0024,4e-04,0.419,0.011,0.1484,0.0468,7e-04,0.0172,0.0194,0.0074,0.0026,0.0011,0.0018,0.0015,0.0017,0.0014,0.002,0.0083,0.0068,6e-04,4e-04,0.0038,0.0102,0.0014,0.0038,0.0022,0.0011,0.0013,0.0752,0.0081,4e-04,7e-04,5e-04,3e-04,0.001,0.0016,0.002,0.0015,0.002,0.0091,0.011,0
"DOM_A03",8e-04,1.0463,0,0,0,0.0209,1e-04,1e-04,1e-04,0,7e-04,0.0011,2e-04,0,0,0,0,3e-04,0,1e-04,1e-04,0,0,0,0,4e-04,0,1e-04,1e-04,0,1e-04,0.0069,1e-04,0,0,0,0,0,0,2e-04,1e-04,2e-04,1e-04,2e-04,0
"DOM_B05_06",1e-04,3e-04,1.0001,2e-04,0,1e-04,0,0,1e-04,0.0051,2e-04,0,1e-04,3e-04,1e-04,1e-04,1e-04,0,0,1e-04,0,0,0.001,4e-04,1e-04,1e-04,4e-04,8e-04,7e-04,1e-04,1e-04,1e-04,1e-04,0,0,0,0,0,0,1e-04,0,0,1e-04,1e-04,0
"DOM_B07_08",0.0059,0.001,0.0011,1.0041,0.0045,0.0061,0.005,0.0134,0.0133,0.0096,0.2324,0.0531,0.0464,0.0488,0.0534,0.0669,0.0069,0.0729,0.0106,0.009,0.0067,0.0082,0.002,0.0016,0.0395,0.0034,0.0016,0.0026,0.0023,9e-04,0.0013,0.0019,0.0079,4e-04,3e-04,2e-04,3e-04,7e-04,9e-04,0.0025,9e-04,0.0016,0.0028,0.0048,0
"DOM_B09",1e-04,4e-04,0.0019,0.0021,1.0015,2e-04,1e-04,1e-04,2e-04,0.0071,8e-04,2e-04,2e-04,9e-04,9e-04,4e-04,1e-04,3e-04,1e-04,1e-04,1e-04,1e-04,0.0011,3e-04,8e-04,1e-04,6e-04,0.0011,0.001,2e-04,2e-04,1e-04,1e-04,0,0,0,0,0,0,1e-04,0,0,1e-04,1e-04,0
"DOM_C10T12",0.0398,0.0029,2e-04,3e-04,2e-04,1.1196,0.0015,0.006,0.0025,2e-04,0.0017,0.0016,9e-04,6e-04,3e-04,4e-04,8e-04,4e-04,4e-04,7e-04,0.0013,6e-04,3e-04,2e-04,5e-04,0.0044,6e-04,0.002,0.0016,6e-04,0.0012,0.1232,0.0044,4e-04,3e-04,5e-04,1e-04,3e-04,6e-04,0.0022,0.0013,0.0015,0.0058,0.0069,0
"DOM_C13T15",6e-04,5e-04,4e-04,5e-04,2e-04,8e-04,1.09,0.0027,0.0022,7e-04,7e-04,5e-04,0.0033,6e-04,2e-04,5e-04,0.0016,0.001,0.0017,0.0015,5e-04,0.011,3e-04,2e-04,7e-04,7e-04,4e-04,8e-04,9e-04,3e-04,3e-04,7e-04,0.002,1e-04,2e-04,0,1e-04,3e-04,4e-04,9e-04,3e-04,3e-04,0.0011,0.0015,0
"DOM_C16",5e-04,4e-04,3e-04,6e-04,3e-04,0.0011,0.0011,1.1417,0.0076,8e-04,6e-04,3e-04,0.0013,0.0021,7e-04,0.0048,8e-04,0.0016,0.0013,0.0018,0.0152,0.0256,5e-04,3e-04,0.0182,0.0012,5e-04,9e-04,0.0012,3e-04,5e-04,4e-04,0.0022,2e-04,3e-04,1e-04,2e-04,4e-04,7e-04,2e-04,2e-04,2e-04,0.0017,0.0026,0
"DOM_C17_18",0.0011,7e-04,9e-04,0.0028,4e-04,0.0141,0.0063,0.0027,1.1567,0.0016,0.0076,0.0089,0.0064,0.0106,0.0022,0.0027,0.0089,0.0068,0.0051,0.0036,0.0014,0.0037,0.0019,0.0012,0.0033,0.0055,0.0017,0.0025,0.0023,0.0019,0.0057,0.0036,0.0709,0.0015,0.0015,0.003,5e-04,0.0028,0.0025,0.0021,0.0046,0.0038,0.0122,0.0149,0
"DOM_C19",0.0111,0.0507,0.0152,0.0341,0.0043,0.017,0.0046,0.007,0.0112,1.0215,0.029,0.0082,0.01,0.0495,0.0183,0.0106,0.0092,0.0076,0.0055,0.0121,0.003,0.006,0.0616,0.0226,0.0245,0.0131,0.0776,0.1584,0.1424,0.0211,0.0257,0.0083,0.0099,0.004,0.0011,6e-04,6e-04,0.0014,0.0025,0.0083,0.0043,0.005,0.0088,0.0115,0
"DOM_C20",0.0266,0.0018,0.0018,0.0055,0.0033,0.0218,0.0215,0.0137,0.0567,0.0123,1.1158,0.0411,0.2155,0.0348,0.0063,0.0159,0.0157,0.0312,0.0279,0.0208,0.0136,0.0278,0.0052,0.0057,0.0191,0.0105,0.0036,0.0053,0.0047,0.0021,0.0036,0.0069,0.0321,0.001,0.001,4e-04,8e-04,0.0023,0.0036,0.0023,0.003,0.0059,0.0102,0.0186,0
"DOM_C21",0.003,2e-04,2e-04,3e-04,1e-04,0.0026,0.0011,0.0012,0.0032,9e-04,0.0048,1.0531,0.0117,0.0024,2e-04,0.0011,0.0011,0.0014,0.0021,0.0015,3e-04,0.0022,5e-04,5e-04,0.0013,0.0012,3e-04,6e-04,5e-04,2e-04,5e-04,8e-04,0.0022,1e-04,1e-04,0,1e-04,4e-04,2e-04,5e-04,0.0011,0.0047,0.0022,0.0027,0
"DOM_C22",0.0025,0.0021,6e-04,0.0057,9e-04,0.0104,0.0119,0.0039,0.006,8e-04,0.0067,0.0049,1.0233,0.0028,0.0013,0.0031,0.0021,0.0218,0.0277,0.0311,0.0018,0.0095,9e-04,7e-04,0.0065,0.0123,0.0048,0.0033,0.0028,0.0021,0.0018,0.0024,0.0037,4e-04,2e-04,1e-04,1e-04,3e-04,5e-04,0.0017,3e-04,5e-04,0.0017,0.0024,0
"DOM_C23",8e-04,3e-04,0.0012,0.0022,0.0015,0.0029,0.0019,0.0043,0.0102,0.001,0.0116,0.0042,0.0044,1.0701,0.0018,0.0148,0.0036,0.0041,0.0016,0.0112,0.0024,0.0024,8e-04,6e-04,0.1701,0.0025,0.001,0.0013,0.0011,0.001,0.0014,0.0014,0.0052,4e-04,4e-04,7e-04,4e-04,5e-04,5e-04,0.0012,7e-04,7e-04,0.0016,0.002,0
"DOM_C24",5e-04,8e-04,9e-04,0.0017,0.0018,0.0018,0.0016,0.0061,0.0038,0.0011,0.0022,0.001,0.0061,0.061,1.3087,0.1391,0.0326,0.0917,0.0585,0.0301,0.0452,0.0218,0.0012,8e-04,0.0513,0.0023,0.0011,0.0014,0.0016,7e-04,0.0012,7e-04,0.0023,4e-04,3e-04,2e-04,2e-04,4e-04,4e-04,5e-04,4e-04,4e-04,0.0011,0.002,0
"DOM_C25",6e-04,4e-04,7e-04,0.0033,0.0013,0.0064,0.0026,0.0162,0.0048,0.0016,0.0044,0.0024,0.0032,0.0119,0.0098,1.0361,0.0091,0.0074,0.0174,0.0107,0.018,0.0114,0.0017,0.0011,0.0249,0.0025,0.0011,0.0015,0.0013,8e-04,9e-04,0.0022,0.0042,3e-04,3e-04,2e-04,2e-04,4e-04,5e-04,5e-04,3e-04,3e-04,0.0021,0.0029,0
"DOM_C26",1e-04,1e-04,0,2e-04,1e-04,4e-04,2e-04,1e-04,2e-04,0,3e-04,2e-04,0.001,2e-04,1e-04,3e-04,1.0537,8e-04,0.0015,0.0012,3e-04,4e-04,5e-04,3e-04,3e-04,5e-04,2e-04,2e-04,2e-04,1e-04,8e-04,1e-04,5e-04,0.0012,1e-04,0,0,1e-04,1e-04,2e-04,2e-04,4e-04,2e-04,4e-04,0
"DOM_C27",2e-04,1e-04,1e-04,3e-04,2e-04,4e-04,3e-04,5e-04,4e-04,5e-04,0.0027,0.0014,0.0016,0.0014,9e-04,0.0017,0.0067,1.0539,0.0016,0.0286,0.0025,0.001,0.0041,0.0018,0.0048,0.0019,0.001,0.001,8e-04,7e-04,0.0014,2e-04,7e-04,0.0012,2e-04,0,1e-04,2e-04,2e-04,2e-04,1e-04,1e-04,4e-04,6e-04,0
"DOM_C28",2e-04,1e-04,6e-04,0.0012,4e-04,4e-04,3e-04,6e-04,2e-04,4e-04,6e-04,3e-04,3e-04,0.001,9e-04,8e-04,0.0012,5e-04,1.0074,0.0063,0.0024,7e-04,0.0018,0.0014,0.001,7e-04,4e-04,4e-04,4e-04,2e-04,4e-04,1e-04,0.001,1e-04,1e-04,0,1e-04,2e-04,3e-04,1e-04,2e-04,2e-04,0.001,0.0014,0
"DOM_C29",6e-04,8e-04,6e-04,0.0015,9e-04,0.0025,0.0016,0.0062,0.0015,8e-04,0.002,0.0011,0.0015,0.0031,0.0028,0.0127,0.0029,0.0042,0.0063,1.3326,0.01,0.007,0.0017,0.0012,0.0044,0.0121,0.0194,0.0066,0.0079,0.0063,0.0248,0.001,0.0015,0.0034,4e-04,1e-04,2e-04,5e-04,0.001,0.0015,4e-04,5e-04,0.0011,0.0014,0
"DOM_C30",0,4e-04,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,1.0303,5e-04,0,0,0,3e-04,4e-04,0.0014,0.0026,2e-04,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0
