"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.075,0.0086,3e-04,0.0014,0.0027,0.1993,0.0272,0.2211,0.0052,0.0011,0.0047,0.0079,0.0193,0.0053,0.0013,0.0024,0.0014,0.0018,0.0014,0.0022,0.0015,0.0108,0.0011,0.003,0.0041,0.0039,9e-04,0.0011,0.0016,0.0012,0.0013,0.0227,0.001,5e-04,9e-04,5e-04,3e-04,8e-04,7e-04,0.0021,9e-04,0.0021,0.0016,7e-04,0
"DOM_A03",2e-04,1.0062,0,0,0,0.0028,1e-04,1e-04,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,6e-04,0,0,0,0,0,0,0,0,0,0,1e-04,0,0
"DOM_B05_06",0.0186,0.0721,1.0278,0.0322,0.0511,0.0163,0.0168,0.0262,0.0241,0.497,0.1823,0.1512,0.045,0.036,0.0363,0.0215,0.0062,0.0187,0.0114,0.0126,0.0113,0.0239,0.0961,0.0279,0.0138,0.0073,0.0608,0.0197,0.1058,0.0135,0.0521,0.0091,0.0102,0.0031,0.0063,0.0041,0.0021,0.0089,0.0084,0.0121,0.0036,0.0187,0.0086,0.0141,0
"DOM_B07_08",0.0031,0.0108,7e-04,1.0148,0.0061,0.0056,0.0024,0.0021,0.0041,0.0015,0.0155,0.0036,0.0072,0.1673,0.2349,0.0463,0.005,0.0329,0.0233,0.0176,0.0229,0.0114,0.0081,0.0047,0.0282,9e-04,0.0011,0.0011,0.0019,0.0022,0.0014,0.0022,0.002,9e-04,0.0022,5e-04,5e-04,9e-04,8e-04,0.0011,5e-04,0.0015,0.0013,0.0012,0
"DOM_B09",5e-04,0.0015,0.0192,0.0041,1.029,7e-04,6e-04,7e-04,9e-04,0.0094,0.0037,0.0032,0.0012,0.0017,0.0016,9e-04,3e-04,8e-04,6e-04,6e-04,6e-04,8e-04,0.0019,8e-04,0.0019,5e-04,0.0013,0.0011,0.0044,7e-04,0.0029,6e-04,0.001,4e-04,0.0018,4e-04,1e-04,7e-04,3e-04,7e-04,2e-04,5e-04,0.001,7e-04,0
"DOM_C10T12",0.0758,0.0182,4e-04,0.0013,0.0013,1.1096,0.0177,0.0171,0.0091,0.0013,0.0052,0.0116,0.0038,0.0025,0.0012,0.0018,8e-04,0.0012,0.0012,0.0013,0.0012,0.0026,9e-04,0.0011,0.0012,0.0015,0.0015,0.0022,0.003,0.0027,0.0023,0.075,0.0023,0.0012,0.0021,0.0016,3e-04,0.0026,0.0017,0.0086,0.0015,0.005,0.0052,0.0014,0
"DOM_C13T15",0.0016,0.0039,4e-04,7e-04,0.0012,0.0014,1.1484,0.002,0.0278,9e-04,0.0015,9e-04,0.0055,0.0019,9e-04,0.0022,0.0015,0.0017,0.0017,0.0149,0.0031,0.0197,5e-04,0.001,9e-04,0.001,0.0015,0.0061,0.0015,0.001,0.0016,0.0045,0.0015,6e-04,7e-04,5e-04,4e-04,5e-04,9e-04,0.0022,0.001,0.0034,0.0012,0.0031,0
"DOM_C16",0.0014,0.0024,3e-04,0.0033,0.0082,0.0031,0.0044,1.0988,0.0038,5e-04,0.0023,0.0078,0.003,0.0057,0.0023,0.0063,0.0023,0.0035,0.0025,0.003,0.0019,0.0381,0.0016,0.0086,0.0091,0.0011,3e-04,4e-04,9e-04,6e-04,9e-04,9e-04,8e-04,4e-04,6e-04,3e-04,2e-04,4e-04,8e-04,5e-04,3e-04,0.0012,7e-04,3e-04,0
"DOM_C17_18",0.0037,0.0023,9e-04,0.0023,0.0167,0.0116,0.0204,0.0134,1.2229,0.0024,0.0054,0.0128,0.0116,0.0143,0.0029,0.012,0.0088,0.0099,0.0063,0.0063,0.0046,0.0246,0.002,0.0046,0.0029,0.0075,0.0021,0.004,0.004,0.0052,0.0072,0.0118,0.0049,0.0026,0.0103,0.0104,0.0031,0.0051,0.0114,0.0115,0.0077,0.0069,0.0068,0.0024,0
"DOM_C19",0.0293,0.1802,0.014,0.0699,0.0925,0.0276,0.023,0.0508,0.0334,1.2598,0.069,0.0235,0.0361,0.0672,0.0506,0.0371,0.0098,0.0279,0.019,0.0195,0.0202,0.0284,0.1828,0.0544,0.0294,0.0157,0.1498,0.0473,0.2651,0.0296,0.1287,0.0153,0.0176,0.0061,0.0123,0.0085,0.0039,0.0174,0.0167,0.0256,0.0066,0.0186,0.0128,0.0305,0
