"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0212,0.0114,0.0025,0.0025,0.0026,0.08,0.0013,6e-04,0.0011,0.0018,0.0028,0.0018,6e-04,0.0035,0.0016,0.002,9e-04,7e-04,9e-04,9e-04,0.0011,0.0015,0.0015,0.0056,0.0133,0.0013,0.0021,0.0022,0.002,0.006,0.0014,0.0217,0.0012,4e-04,7e-04,0.0021,0.0064,0.0017,0.007,0.0031,0.003,0.0024,8e-04,0.0037,0
"DOM_A03",3e-04,1.0868,2e-04,2e-04,3e-04,1e-04,0,1e-04,1e-04,2e-04,7e-04,0.001,1e-04,3e-04,1e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,5e-04,0.0013,1e-04,2e-04,1e-04,1e-04,4e-04,1e-04,0.003,1e-04,0,1e-04,3e-04,6e-04,2e-04,2e-04,3e-04,3e-04,2e-04,1e-04,3e-04,0
"DOM_B05_06",3e-04,1e-04,1.0002,2e-04,0.0024,6e-04,9e-04,4e-04,5e-04,4e-04,0.0011,5e-04,7e-04,4e-04,7e-04,4e-04,0.0011,2e-04,4e-04,3e-04,1e-04,4e-04,0.0186,0.0024,2e-04,2e-04,1e-04,2e-04,2e-04,3e-04,4e-04,6e-04,3e-04,3e-04,7e-04,3e-04,3e-04,2e-04,1e-04,2e-04,3e-04,6e-04,2e-04,3e-04,0
"DOM_B07_08",0.0018,0.0019,0.0048,1.0228,0.0695,0.0036,7e-04,6e-04,0.0011,0.0076,0.0071,0.0012,0.001,0.1559,0.0131,0.0033,0.0082,6e-04,0.0011,0.0016,0.0084,0.0015,0.0034,0.008,0.0322,6e-04,0.0024,8e-04,0.0014,0.0022,9e-04,0.0019,7e-04,7e-04,7e-04,0.0013,0.0043,0.0015,0.0016,0.0015,0.0013,0.0016,5e-04,0.0024,0
"DOM_B09",0.0017,0.0028,0.056,0.0402,1.2502,0.002,0.0021,0.0014,0.0017,0.1184,0.0053,0.0019,0.0022,0.0267,0.0423,0.0042,0.0038,7e-04,0.0019,0.0012,0.0018,0.0013,0.0401,0.0087,0.0122,7e-04,0.0015,7e-04,0.001,0.0022,0.0013,0.0019,8e-04,7e-04,0.0016,0.001,0.0018,9e-04,0.001,0.0013,9e-04,0.0017,7e-04,0.0013,0
"DOM_C10T12",0.0632,0.0623,0.0128,0.0074,0.0012,1.1298,5e-04,5e-04,5e-04,7e-04,0.0098,0.0034,3e-04,0.0058,4e-04,8e-04,4e-04,3e-04,4e-04,4e-04,4e-04,4e-04,6e-04,7e-04,0.0018,3e-04,9e-04,0.0104,0.0041,0.0013,9e-04,0.0934,0.0031,2e-04,3e-04,0.0012,6e-04,5e-04,0.0013,6e-04,4e-04,5e-04,3e-04,8e-04,0
"DOM_C13T15",1e-04,0.001,1e-04,1e-04,3e-04,2e-04,1.0168,0.0063,6e-04,7e-04,1e-04,2e-04,4e-04,1e-04,1e-04,2e-04,1e-04,1e-04,3e-04,0.0013,2e-04,6e-04,6e-04,3e-04,5e-04,0,6e-04,3e-04,2e-04,1e-04,3e-04,4e-04,2e-04,1e-04,1e-04,5e-04,1e-04,1e-04,3e-04,2e-04,1e-04,2e-04,1e-04,0.0012,0
"DOM_C16",2e-04,1e-04,2e-04,3e-04,2e-04,1e-04,0,1.0187,4e-04,0.0095,1e-04,1e-04,1e-04,2e-04,4e-04,2e-04,1e-04,1e-04,7e-04,0.0025,4e-04,0.0026,1e-04,2e-04,3e-04,0,2e-04,6e-04,1e-04,2e-04,1e-04,1e-04,1e-04,0,1e-04,1e-04,2e-04,1e-04,2e-04,1e-04,0,2e-04,0,2e-04,0
"DOM_C17_18",8e-04,0.0016,0.0019,0.0018,0.0014,0.0032,9e-04,0.0015,1.0281,0.0019,0.0019,0.0025,0.0025,0.0012,8e-04,0.0013,7e-04,9e-04,0.0019,0.0031,0.0033,0.0022,0.0012,0.0011,0.0015,0.0018,0.0017,0.0026,0.0025,0.0013,0.0114,0.0028,0.0126,0.0029,0.0036,0.0105,0.001,0.0135,0.0011,0.0016,0.0017,0.0014,0.003,0.0013,0
"DOM_C19",0,1e-04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1e-04,0,0,0,0,0,7e-04,1e-04,0,0,1e-04,1e-04,2e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
