"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.5826,0.1146,0.0607,0.0572,0.0563,0.8991,0.2174,0.4634,0.1586,0.0449,0.1491,0.1707,0.1567,0.053,0.0356,0.0343,0.0475,0.0392,0.0338,0.0409,0.0297,0.1248,0.0585,0.0667,0.0849,0.1403,0.0572,0.0643,0.0731,0.0754,0.0535,0.4625,0.0936,0.0562,0.0629,0.0526,0.0525,0.0739,0.0911,0.1322,0.1291,0.1676,0.2193,0.1348,0
"DOM_A03",0.0083,1.343,0.0062,0.0045,0.0051,0.0458,0.0051,0.0063,0.0055,0.0045,0.0074,0.0079,0.0046,0.0039,0.0028,0.0025,0.0041,0.0031,0.0029,0.003,0.0024,0.0061,0.0044,0.0046,0.0038,0.0089,0.0046,0.0088,0.0077,0.0061,0.0043,0.0627,0.0082,0.0051,0.0059,0.0041,0.0028,0.0058,0.0062,0.007,0.0088,0.0114,0.0125,0.0108,0
"DOM_B05_06",0.0046,0.0114,1.0587,0.0351,0.0384,0.005,0.0057,0.0091,0.0165,0.5181,0.0363,0.0106,0.0154,0.0309,0.0227,0.0101,0.0085,0.0102,0.008,0.0077,0.0065,0.0098,0.19,0.0201,0.0155,0.0111,0.0514,0.0296,0.0495,0.0207,0.0253,0.0051,0.0093,0.0096,0.0079,0.0073,0.0073,0.009,0.0115,0.0115,0.0099,0.0092,0.0094,0.0115,0
"DOM_B07_08",0.0027,0.0032,0.0238,1.2116,0.0462,0.0032,0.0034,0.0081,0.0161,0.0156,0.0589,0.014,0.0167,0.2514,0.3266,0.0707,0.0279,0.0547,0.036,0.0278,0.0204,0.0276,0.0226,0.0252,0.0915,0.0057,0.0072,0.004,0.0054,0.0087,0.0051,0.003,0.006,0.0065,0.0046,0.004,0.0158,0.0062,0.0053,0.0078,0.0054,0.0056,0.0062,0.0086,0
"DOM_B09",0,3e-04,0.0057,0.0014,1.0018,1e-04,0,1e-04,2e-04,0.0041,4e-04,1e-04,1e-04,9e-04,5e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0.0013,2e-04,4e-04,1e-04,4e-04,2e-04,4e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04,0
"DOM_C10T12",0.0715,0.0557,0.0112,0.0112,0.0113,1.1085,0.0306,0.0276,0.0242,0.0088,0.0495,0.0473,0.0237,0.0107,0.0076,0.0071,0.0109,0.0086,0.0071,0.0078,0.0057,0.0147,0.0096,0.0135,0.0103,0.0263,0.0122,0.0184,0.0215,0.0195,0.0115,0.2308,0.0222,0.0111,0.0159,0.0126,0.0079,0.0173,0.0198,0.0304,0.041,0.0671,0.0554,0.0323,0
"DOM_C13T15",0.0024,0.0094,0.0103,0.0076,0.0091,0.0033,1.2602,0.0073,0.0134,0.0065,0.008,0.009,0.0172,0.0079,0.0051,0.0063,0.008,0.0069,0.0063,0.0109,0.0066,0.0321,0.0064,0.0113,0.0087,0.0104,0.0083,0.007,0.0101,0.0083,0.018,0.0055,0.0124,0.0076,0.0059,0.0058,0.0041,0.0085,0.0133,0.0159,0.0089,0.0203,0.0203,0.0267,0
"DOM_C16",0.0018,0.003,0.0058,0.0072,0.006,0.0021,0.0029,1.2383,0.0261,0.0036,0.005,0.0042,0.0063,0.0111,0.0047,0.0075,0.0055,0.006,0.005,0.0081,0.0099,0.1176,0.0073,0.0064,0.0497,0.0053,0.0046,0.0036,0.0046,0.0083,0.0046,0.0021,0.0081,0.0045,0.0042,0.0035,0.0112,0.0062,0.0061,0.0049,0.0056,0.0038,0.0081,0.0116,0
"DOM_C17_18",0.0018,0.0028,0.005,0.0074,0.0064,0.0049,0.0068,0.0098,1.2188,0.004,0.0144,0.0177,0.0131,0.014,0.0046,0.0056,0.0115,0.0089,0.0057,0.0051,0.0036,0.0117,0.0055,0.0088,0.0061,0.0133,0.0062,0.0047,0.0069,0.0101,0.0203,0.0043,0.1185,0.0164,0.0252,0.0195,0.0055,0.0249,0.0206,0.0125,0.0193,0.0085,0.0175,0.0159,0
"DOM_C19",0.0069,0.0194,0.0275,0.0442,0.0273,0.007,0.0072,0.012,0.0167,1.0426,0.0383,0.0122,0.0191,0.0291,0.0232,0.0114,0.0103,0.0121,0.0089,0.009,0.0078,0.0125,0.05,0.0268,0.0198,0.0155,0.0917,0.0528,0.0906,0.0325,0.0399,0.0065,0.0116,0.0123,0.0106,0.0096,0.0076,0.0118,0.0172,0.0157,0.0113,0.0109,0.0117,0.0157,0
