"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.073,0.0366,0.0029,0.0073,0.0076,0.4829,0.03,0.3229,0.104,0.0062,0.0573,0.0146,0.1515,0.0108,0.0059,0.0095,0.0032,0.0057,0.0078,0.0064,0.0845,0.0209,0.0048,0.0075,0.0171,0.0385,0.0069,0.0057,0.0099,0.005,0.0064,0.1404,0.0112,0.0045,0.0046,0.0079,0.0066,0.0046,0.0083,0.0162,0.0038,0.0143,0.0159,0.0027,0
"DOM_A03",0.0019,1.1009,3e-04,7e-04,0.001,0.0189,8e-04,0.0015,0.0012,7e-04,0.0025,5e-04,0.0017,0.0012,7e-04,9e-04,3e-04,5e-04,5e-04,4e-04,9e-04,6e-04,5e-04,5e-04,0.001,0.0064,0.001,0.0013,0.0018,7e-04,7e-04,0.077,8e-04,6e-04,8e-04,0.002,0.0011,4e-04,0.0015,0.0016,5e-04,0.0011,0.0013,4e-04,0
"DOM_B05_06",0.0378,0.1484,1.0402,0.0487,0.0397,0.0407,0.0208,0.0432,0.0339,0.5552,0.1185,0.0094,0.0486,0.1168,0.0324,0.0268,0.005,0.0132,0.0137,0.0089,0.023,0.0177,0.1386,0.0367,0.068,0.0555,0.1499,0.0801,0.2134,0.0378,0.1057,0.041,0.0099,0.0068,0.0073,0.0118,0.0138,0.0088,0.0225,0.0204,0.0086,0.0177,0.0196,0.0143,0
"DOM_B07_08",0.0011,9e-04,0.0011,1.0009,0.0061,0.0014,7e-04,0.0015,0.0017,0.0012,0.0018,7e-04,0.0028,0.1342,0.0093,0.0057,7e-04,0.0018,0.0028,0.0011,0.0047,0.0083,0.0057,0.0022,0.0553,0.0023,9e-04,8e-04,0.0013,0.001,8e-04,0.0011,8e-04,9e-04,0.0023,7e-04,0.0026,6e-04,0.0019,0.0038,0.0014,7e-04,0.0011,5e-04,0
"DOM_B09",0.0054,0.026,0.0648,0.0192,1.0257,0.0057,0.0028,0.006,0.0052,0.0794,0.016,0.0013,0.0068,0.0223,0.005,0.0039,7e-04,0.0019,0.002,0.0013,0.0034,0.0025,0.0161,0.0055,0.0123,0.008,0.0214,0.0115,0.0305,0.0054,0.0151,0.006,0.0014,0.001,0.0011,0.0016,0.0022,0.0013,0.0033,0.0031,0.0012,0.0024,0.0028,0.0019,0
"DOM_C10T12",0.089,0.079,0.0044,0.0115,0.0097,1.526,0.0177,0.0392,0.023,0.0107,0.1369,0.0152,0.047,0.0164,0.0084,0.0138,0.0033,0.0078,0.0072,0.0059,0.0151,0.0124,0.0062,0.0094,0.0128,0.0591,0.0085,0.0084,0.0131,0.0059,0.0087,0.3018,0.0072,0.0049,0.0051,0.0104,0.009,0.0035,0.0097,0.0269,0.0038,0.025,0.042,0.0036,0
"DOM_C13T15",7e-04,8e-04,4e-04,0.0012,0.0016,0.0016,1.1581,0.0028,0.0252,6e-04,0.0016,0.0029,0.0113,0.0021,0.0013,0.0018,6e-04,0.0018,0.0019,0.0065,0.0022,0.0047,5e-04,0.0012,0.0012,0.0043,8e-04,6e-04,0.0013,7e-04,0.0081,0.0035,0.0022,7e-04,6e-04,0.001,0.001,9e-04,0.0011,0.0029,0.0011,0.0016,0.0011,4e-04,0
"DOM_C16",0.0016,9e-04,6e-04,7e-04,0.0016,0.0015,8e-04,1.0659,0.0404,7e-04,0.0035,4e-04,0.0023,0.0023,0.001,0.0023,8e-04,7e-04,0.001,7e-04,0.005,0.0019,0.003,0.0021,0.0258,0.0027,6e-04,6e-04,8e-04,6e-04,8e-04,0.001,0.0035,0.0011,0.0017,0.0014,0.0018,0.0013,0.0017,0.0029,0.0011,9e-04,0.001,5e-04,0
"DOM_C17_18",0.005,0.0035,0.0034,0.0024,0.005,0.0083,0.0039,0.0083,1.1123,0.0041,0.0063,0.0023,0.0069,0.0077,0.0051,0.0054,0.0019,0.0034,0.0034,0.0022,0.0056,0.0053,0.0027,0.0028,0.0041,0.016,0.0044,0.0052,0.0043,0.0042,0.0101,0.0072,0.0851,0.0167,0.0158,0.0271,0.0096,0.0263,0.0194,0.0168,0.0064,0.0065,0.0086,0.0045,0
"DOM_C19",0.07,0.2852,0.0666,0.0898,0.0652,0.0692,0.0345,0.0765,0.0589,1.0782,0.1927,0.0162,0.084,0.1975,0.0555,0.0461,0.0089,0.0224,0.0228,0.0152,0.0404,0.0293,0.1632,0.0612,0.1223,0.1052,0.2895,0.1545,0.4134,0.0708,0.2037,0.0719,0.0169,0.0116,0.0125,0.0187,0.0243,0.0155,0.0414,0.0349,0.0142,0.0297,0.0344,0.0239,0
"DOM_C20",0.052,0.0341,0.0151,0.0248,0.0131,0.0373,0.057,0.0552,0.0628,0.0221,1.2305,0.0292,0.1756,0.0424,0.0202,0.0414,0.0044,0.032,0.0213,0.0153,0.022,0.0637,0.0079,0.0362,0.0203,0.018,0.011,0.0079,0.0128,0.0161,0.0197,0.0168,0.0163,0.0032,0.0032,0.0072,0.0058,0.0056,0.0064,0.0094,0.0028,0.0894,0.0053,0.0091,0
"DOM_C21",0.0023,0.0036,2e-04,1e-04,5e-04,0.0022,5e-04,0.0011,0.0018,3e-04,8e-04,1.0064,7e-04,8e-04,3e-04,3e-04,1e-04,2e-04,2e-04,9e-04,4e-04,8e-04,2e-04,2e-04,3e-04,7e-04,2e-04,3e-04,2e-04,1e-04,2e-04,9e-04,8e-04,4e-04,5e-04,0.0032,6e-04,3e-04,2e-04,0.0027,7e-04,0.0762,3e-04,2e-04,0
"DOM_C22",0.0065,0.0095,0.0018,0.01,0.0077,0.0307,0.009,0.008,0.0173,0.0032,0.0128,0.0065,1.2128,0.0081,0.0053,0.0099,0.0066,0.0099,0.0136,0.0186,0.0252,0.0241,0.003,0.0215,0.0108,0.0142,0.0167,0.0027,0.005,0.0141,0.0033,0.0116,0.0029,0.0024,0.0018,0.0024,0.0034,0.0022,0.0103,0.0042,0.0017,0.0145,0.0039,0.0036,0
"DOM_C23",0.0031,0.0028,0.0027,0.0027,0.0093,0.0058,0.0023,0.0063,0.0076,0.0029,0.0081,0.0034,0.0069,1.123,0.039,0.0135,0.0046,0.0074,0.0084,0.0028,0.0279,0.0046,0.0136,0.0059,0.1286,0.012,0.0021,0.0021,0.0033,0.0032,0.002,0.0035,0.0025,0.0026,0.0058,0.0021,0.0071,0.0016,0.005,0.0095,0.0036,0.0023,0.0027,0.0014,0
"DOM_C24",0.0033,0.0045,0.0069,0.0059,0.0132,0.0114,0.0052,0.0125,0.0245,0.0055,0.0115,0.0037,0.0129,0.0304,1.3343,0.1953,0.0076,0.1132,0.1105,0.0312,0.1393,0.0783,0.0178,0.0185,0.1021,0.0113,0.0045,0.013,0.0089,0.0035,0.004,0.0059,0.0041,0.0029,0.0052,0.0028,0.0061,0.0032,0.0052,0.0107,0.0037,0.0039,0.0049,0.0025,0
"DOM_C25",0.0044,0.0046,0.0144,0.0047,0.0164,0.0138,0.004,0.0057,0.0198,0.0096,0.0136,0.003,0.0091,0.0393,0.0508,1.1267,0.0038,0.0468,0.0775,0.0184,0.0626,0.0137,0.0054,0.0117,0.0224,0.0058,0.0038,0.0523,0.0064,0.0018,0.003,0.0048,0.0025,0.0012,0.0016,0.0014,0.002,0.0013,0.0021,0.0088,0.0013,0.0027,0.0021,0.0014,0
