"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1478,0.2235,0.0998,0.0189,0.0255,0.323,0.053,0.0838,0.069,0.0475,0.2109,0.0906,0.055,0.0531,0.0232,0.0234,0.0272,0.0198,0.0201,0.0719,0.0512,0.0244,0.0757,0.0121,0.1312,0.1308,0.0293,0.0749,0.0448,0.0679,0.0097,0.383,0.1361,0.0986,0.0944,0.0221,0.0299,0.0883,0.1862,0.0185,0.0356,0.039,0.136,0.1209,0
"DOM_A03",1e-04,1.0339,2e-04,2e-04,3e-04,0.0011,2e-04,3e-04,3e-04,1e-04,4e-04,2e-04,2e-04,3e-04,1e-04,2e-04,3e-04,1e-04,2e-04,3e-04,2e-04,2e-04,6e-04,1e-04,4e-04,0.0018,4e-04,4e-04,5e-04,5e-04,1e-04,0.03,9e-04,0.001,0.001,2e-04,3e-04,8e-04,9e-04,1e-04,3e-04,2e-04,9e-04,7e-04,0
"DOM_B05_06",2e-04,3e-04,1.0024,0.0154,0.0269,8e-04,0.0016,0.0034,8e-04,0.4216,7e-04,3e-04,0.4056,0.1333,0.0901,0.0498,0.0041,0.0187,0.0206,0.0027,0.0015,0.0071,0.0152,0.0031,0.049,0.0029,0.0036,8e-04,0.0021,0.006,7e-04,0.0012,0.0033,0.0046,0.0047,0.001,0.0015,0.0034,0.0034,0.0023,0.0022,5e-04,0.0036,0.0031,0
"DOM_B07_08",0,0,2e-04,1.0224,0.0057,0,1e-04,3e-04,7e-04,2e-04,0.0012,1e-04,1e-04,0.0119,0.0081,0.0052,5e-04,0.0041,0.0028,0.0185,0.0159,7e-04,0.0262,3e-04,0.012,0,0,0,1e-04,1e-04,0,0,1e-04,1e-04,1e-04,0,1e-04,1e-04,1e-04,2e-04,1e-04,0,0,1e-04,0
"DOM_B09",0,0,1e-04,3e-04,1.0005,0,0,0,0,0.0134,0,0,1e-04,1e-04,0,0,0,0,0,0,0,0,2e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0
"DOM_C10T12",0.0034,0.0098,0.0772,0.0334,0.044,1.2902,0.0175,0.1083,0.2382,0.0417,0.315,0.119,0.0419,0.1342,0.0335,0.0372,0.0645,0.042,0.0362,0.2629,0.1877,0.0501,0.2051,0.0284,0.0817,0.1238,0.0493,0.2703,0.1135,0.2299,0.0246,0.5504,0.4411,0.2397,0.2266,0.0562,0.0759,0.2131,0.6678,0.0649,0.1044,0.1416,0.4648,0.423,0
"DOM_C13T15",0,0,8e-04,0.0055,0.0014,0,1.1349,0.004,4e-04,4e-04,1e-04,0,8e-04,8e-04,0.0039,0.0076,3e-04,0.0019,0.0052,9e-04,7e-04,0.0034,0.0011,0.0022,0.001,3e-04,0.0016,6e-04,3e-04,0.0012,1e-04,1e-04,3e-04,4e-04,4e-04,1e-04,2e-04,6e-04,0.0019,1e-04,1e-04,4e-04,3e-04,3e-04,0
"DOM_C16",0,0,7e-04,0.0081,0.0026,0,4e-04,1.0724,0.0074,4e-04,3e-04,1e-04,0.0035,0.0029,0.0083,0.0166,0.0034,0.0277,0.0207,0.0051,0.0035,0.0256,0.0263,0.0013,0.1077,3e-04,2e-04,1e-04,7e-04,0.0011,2e-04,1e-04,8e-04,8e-04,8e-04,2e-04,0.0021,0.0015,0.0087,0.0025,0.0012,1e-04,0.0016,8e-04,0
"DOM_C17_18",0,0,2e-04,0.0012,0.0011,1e-04,2e-04,0.0011,1.0026,3e-04,2e-04,1e-04,3e-04,0.0023,0.0037,0.0084,0.0023,0.006,0.0035,0.0014,8e-04,9e-04,0.0073,0.0013,0.0014,3e-04,7e-04,2e-04,0.0021,0.0041,0.0076,1e-04,0.0118,0.0064,0.0062,0.0013,0.0018,0.0062,0.0073,6e-04,0.0012,8e-04,0.0054,0.0018,0
"DOM_C19",0,0,3e-04,6e-04,5e-04,0,2e-04,2e-04,1e-04,1.0031,0,0,1e-04,2e-04,0.0013,9e-04,5e-04,4e-04,2e-04,0,0,2e-04,0.0042,0.0013,3e-04,0,0.001,6e-04,9e-04,1e-04,2e-04,0,8e-04,0.0018,0.0018,3e-04,6e-04,0.0012,3e-04,0,1e-04,0,4e-04,2e-04,0
