"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.1288,0.0068,0.0013,0.0034,0.0023,0.186,0.0396,0.0137,0.0048,0.0032,0.0056,0.013,0.0097,0.0056,0.0045,0.0031,0.0032,0.0032,0.0024,0.002,0.0044,0.0082,0.0075,0.009,0.0046,0.0037,0.0033,0.0025,0.0047,0.0036,0.0018,0.0344,0.002,0.0022,0.0019,0.0011,0.002,0.0025,0.0048,0.0033,0.0015,0.0065,0.0103,0.0057,0
"DOM_A03",5e-04,1.0146,0,0,0,0.0019,1e-04,0,0,1e-04,1e-04,3e-04,0,0,0,0,0,0,0,0,0,1e-04,1e-04,2e-04,0,0,0,0,1e-04,0,0,0.001,0,0,0,0,0,0,0,0,0,2e-04,2e-04,1e-04,0
"DOM_B05_06",0.0068,0.0087,1.0213,0.0655,0.0621,0.0036,0.006,0.0022,0.0042,0.1481,0.0178,0.0022,0.0047,0.0069,0.0294,0.0045,9e-04,0.0033,0.0017,0.0017,0.0047,0.0024,0.0273,0.0028,0.0069,0.0014,0.0077,0.0086,0.0222,0.0026,0.0012,0.0029,8e-04,0.0011,8e-04,6e-04,0.0016,0.0011,0.0012,0.0014,0.0014,0.0014,0.0036,0.0036,0
"DOM_B07_08",0.0012,8e-04,9e-04,1.0248,0.0107,5e-04,0.0015,4e-04,4e-04,2e-04,0.0052,4e-04,0.0013,0.0329,0.0082,0.0012,1e-04,5e-04,4e-04,3e-04,0.0014,5e-04,5e-04,4e-04,0.005,2e-04,1e-04,1e-04,2e-04,3e-04,1e-04,2e-04,1e-04,3e-04,1e-04,1e-04,8e-04,2e-04,1e-04,7e-04,2e-04,2e-04,2e-04,2e-04,0
"DOM_B09",0.0011,0.0011,0.0658,0.2121,1.1912,5e-04,0.0032,6e-04,6e-04,0.0097,0.0026,4e-04,9e-04,0.0076,0.0284,0.0028,2e-04,9e-04,9e-04,9e-04,0.0023,9e-04,0.0031,7e-04,0.0163,3e-04,7e-04,7e-04,0.0017,0.001,2e-04,5e-04,2e-04,8e-04,3e-04,1e-04,0.0023,5e-04,3e-04,0.0011,5e-04,4e-04,6e-04,5e-04,0
"DOM_C10T12",0.1027,0.028,0.0013,0.0118,0.0061,1.1829,0.029,0.0057,0.0096,0.0125,0.0191,0.0601,0.0113,0.0177,0.0091,0.0057,0.0052,0.0058,0.0041,0.0035,0.007,0.0188,0.0102,0.043,0.0066,0.0081,0.0044,0.0047,0.0107,0.0039,0.0055,0.1328,0.0051,0.0034,0.0047,0.0029,0.003,0.0067,0.0061,0.0059,0.0036,0.0161,0.0494,0.0105,0
"DOM_C13T15",3e-04,0.0069,0,1e-04,1e-04,2e-04,1.0604,6e-04,0.0018,1e-04,2e-04,2e-04,0.0021,5e-04,2e-04,3e-04,4e-04,0.0013,7e-04,3e-04,5e-04,0.0013,1e-04,4e-04,4e-04,2e-04,1e-04,2e-04,2e-04,2e-04,5e-04,3e-04,2e-04,4e-04,1e-04,1e-04,1e-04,3e-04,6e-04,6e-04,1e-04,0.001,3e-04,0.0011,0
"DOM_C16",0.0021,9e-04,3e-04,8e-04,6e-04,0.002,0.0053,1.1109,0.0025,4e-04,0.0016,0.004,0.0047,0.0045,0.0033,0.003,8e-04,0.0014,0.0018,0.0013,0.0034,0.0085,0.0016,0.0021,0.012,0.0011,0.001,9e-04,0.0012,0.0026,6e-04,0.0015,0.001,0.0014,6e-04,4e-04,0.0042,9e-04,0.0027,0.0013,8e-04,7e-04,0.001,0.0039,0
"DOM_C17_18",0.0031,0.0107,8e-04,0.0052,0.0045,0.0126,0.0062,0.0052,1.1761,0.0011,0.0042,0.0205,0.0116,0.0066,0.0064,0.0045,0.0029,0.0038,0.0051,0.0039,0.0041,0.0057,0.0024,0.0053,0.0035,0.0042,0.0029,0.0036,0.0028,0.0033,0.0028,0.0053,0.0633,0.0053,0.005,0.0025,0.0022,0.0048,0.0055,0.0038,0.0044,0.0054,0.0057,0.0049,0
"DOM_C19",0.0138,0.0554,0.0012,0.009,0.0059,0.0058,0.0083,0.0056,0.0049,1.0603,0.0404,0.0044,0.0096,0.0086,0.0053,0.0051,0.0029,0.014,0.004,0.0031,0.0053,0.008,0.007,0.0083,0.0085,0.0041,0.0496,0.0586,0.1556,0.0098,0.0049,0.0033,0.0019,0.0021,0.0027,0.0021,0.0028,0.0032,0.0051,0.0032,0.0027,0.002,0.0071,0.0065,0
"DOM_C20",0.0164,0.0082,0.0011,0.0106,0.0063,0.0101,0.0962,0.0201,0.0365,0.0193,1.2026,0.0197,0.1433,0.0267,0.0119,0.0084,0.007,0.0115,0.0053,0.0074,0.0078,0.0138,0.0047,0.0075,0.0116,0.0029,0.0048,0.005,0.01,0.0026,0.0024,0.0035,0.006,0.0028,0.0025,0.0011,0.0031,0.0039,0.0038,0.0028,0.0021,0.0052,0.0036,0.0129,0
"DOM_C21",0.0013,3e-04,1e-04,2e-04,2e-04,0.0011,0.001,6e-04,6e-04,2e-04,0.0018,1.074,0.0012,6e-04,3e-04,4e-04,7e-04,4e-04,5e-04,3e-04,4e-04,5e-04,2e-04,4e-04,4e-04,3e-04,2e-04,2e-04,2e-04,2e-04,2e-04,3e-04,2e-04,3e-04,3e-04,1e-04,2e-04,0.0011,2e-04,0.0011,3e-04,0.0098,2e-04,3e-04,0
"DOM_C22",0.0039,0.0015,6e-04,0.0011,0.001,0.006,0.0057,0.0296,0.0096,0.001,0.0046,0.0075,1.0365,0.0179,0.0038,0.0074,0.0019,0.0089,0.0069,0.0152,0.0093,0.0093,0.0022,0.0027,0.0117,0.0025,0.0044,0.0018,0.0017,0.0023,0.0014,0.0018,0.0029,0.0018,0.0011,5e-04,0.0028,0.0016,0.0021,0.0015,9e-04,0.0022,0.0018,0.0036,0
