"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.0701,0.0247,2e-04,0.0014,0.001,0.137,0.0112,0.0935,0.0263,0.0011,0.0093,0.0013,0.0021,0.0018,0.001,0.0014,0.0015,0.0012,0.0011,0.0018,0.0013,0.0016,0.0011,0.0016,0.0059,0.0022,9e-04,0.0014,0.0017,0.0016,0.0014,0.0251,0.0034,0.0014,0.002,7e-04,0.0016,0.0018,0.0034,0.003,0.0011,0.0023,0.0025,0.0018,0
"DOM_A03",0.0278,1.0987,1e-04,0.001,5e-04,0.1865,0.003,0.0038,0.0014,6e-04,0.0014,0.0014,0.001,9e-04,6e-04,8e-04,0.0011,8e-04,7e-04,8e-04,7e-04,9e-04,7e-04,6e-04,7e-04,9e-04,4e-04,8e-04,0.001,0.001,5e-04,0.0303,0.002,6e-04,0.0015,4e-04,3e-04,9e-04,0.0021,0.001,7e-04,0.0023,0.0011,6e-04,0
"DOM_B05_06",0.0151,0.0099,1.0039,0.0329,0.0233,0.009,0.0057,0.0092,0.0099,0.2527,0.0279,0.027,0.0079,0.0337,0.0199,0.0071,0.0072,0.007,0.0234,0.0088,0.0224,0.0119,0.0132,0.0142,0.0109,0.0096,0.0282,0.0504,0.0725,0.0404,0.0091,0.0068,0.0074,0.0046,0.0052,0.0016,0.0029,0.0051,0.0105,0.0054,0.0026,0.0034,0.0076,0.0051,0
"DOM_B07_08",0.0019,0.001,0.001,1.0494,0.0082,0.0014,8e-04,0.0034,0.006,0.0036,0.017,0.0112,0.0062,0.0528,0.005,0.0016,0.001,0.0014,0.0019,0.0018,0.0105,0.0015,4e-04,0.0016,0.0055,7e-04,0.0016,0.0011,0.0011,0.0016,7e-04,9e-04,7e-04,7e-04,4e-04,2e-04,0.001,5e-04,7e-04,0.0012,3e-04,4e-04,0.0014,5e-04,0
"DOM_B09",0.0158,0.0131,0.1089,0.24,1.6295,0.0108,0.0061,0.0116,0.0193,0.6206,0.0258,0.0146,0.0104,0.0973,0.1086,0.017,0.006,0.0164,0.0115,0.0138,0.0126,0.0096,0.0403,0.0161,0.0453,0.0076,0.0215,0.0345,0.0489,0.0288,0.0064,0.0077,0.006,0.0066,0.0041,0.0016,0.0065,0.0067,0.0074,0.01,0.0029,0.0035,0.0074,0.0054,0
"DOM_C10T12",0.1952,0.2341,8e-04,0.0051,0.0029,1.3401,0.0185,0.0239,0.0084,0.0033,0.0079,0.0064,0.0049,0.0046,0.0031,0.0044,0.0059,0.0042,0.0036,0.0041,0.0036,0.0047,0.0036,0.0031,0.0037,0.0043,0.0022,0.0039,0.0052,0.0047,0.0026,0.1697,0.0097,0.0028,0.0075,0.0021,0.0015,0.0044,0.0112,0.0057,0.0037,0.0114,0.006,0.0029,0
"DOM_C13T15",8e-04,0.0019,1e-04,8e-04,5e-04,0.0011,1.0315,0.0013,0.0011,5e-04,0.0011,4e-04,0.0019,9e-04,0.0011,0.0026,0.0011,0.0011,0.0015,0.0013,0.0013,0.0031,4e-04,0.0026,0.0015,7e-04,4e-04,6e-04,8e-04,8e-04,3e-04,0.001,0.0016,4e-04,6e-04,2e-04,4e-04,7e-04,8e-04,5e-04,4e-04,0.0011,0.0047,0.0022,0
"DOM_C16",0.0031,0.0025,3e-04,0.002,0.0018,0.0026,0.002,1.1541,0.0119,0.0014,0.0043,9e-04,0.0022,0.0039,0.0017,0.0033,0.0019,0.0018,0.0023,0.0089,0.0032,0.006,0.0019,0.0071,0.0414,0.0034,0.0013,0.0018,0.0017,0.0027,0.0015,0.0033,0.0021,0.0042,0.0015,9e-04,0.0138,0.0018,0.0019,0.0055,0.0013,0.0013,0.0066,0.0034,0
"DOM_C17_18",0.0043,0.0053,5e-04,0.003,0.0025,0.007,0.0042,0.0057,1.1021,0.0031,0.003,0.0026,0.0081,0.0047,0.0025,0.0025,0.0025,0.0039,0.0027,0.0023,0.0034,0.0028,0.0013,0.005,0.0038,0.0114,0.0026,0.0033,0.0045,0.0039,0.0205,0.0041,0.0446,0.0031,0.0085,0.0023,0.0018,0.011,0.0095,0.0041,0.0029,0.0016,0.0106,0.0084,0
"DOM_C19",0.014,0.0085,0.002,0.0247,0.0167,0.008,0.0056,0.007,0.0066,1.0206,0.006,0.0125,0.0043,0.0271,0.0122,0.0047,0.0033,0.0047,0.0052,0.0044,0.0044,0.0051,0.004,0.0113,0.008,0.007,0.0236,0.0438,0.0647,0.0318,0.0066,0.0057,0.0057,0.0036,0.0035,0.0011,0.0021,0.0034,0.006,0.0043,0.0021,0.0028,0.0058,0.0041,0
"DOM_C20",0.0199,0.0047,0.0014,0.0168,0.0105,0.0084,0.0084,0.0198,0.035,0.0077,1.0996,0.024,0.112,0.0264,0.013,0.0111,0.0043,0.0113,0.0068,0.0277,0.0152,0.0102,0.0015,0.0092,0.0101,0.0059,0.0051,0.0061,0.0137,0.0051,0.0054,0.0055,0.006,0.0033,0.0033,0.0012,0.0034,0.0043,0.0078,0.0028,0.0025,0.0026,0.0063,0.0064,0
"DOM_C21",0.0021,0.0071,1e-04,0.0021,4e-04,0.0021,0.0023,6e-04,6e-04,0.0076,9e-04,1.0101,5e-04,7e-04,0.0014,4e-04,5e-04,5e-04,6e-04,5e-04,0.0011,5e-04,1e-04,0.0011,4e-04,3e-04,4e-04,7e-04,9e-04,6e-04,2e-04,0.0013,4e-04,3e-04,4e-04,1e-04,2e-04,5e-04,4e-04,3e-04,2e-04,0.0084,4e-04,3e-04,0
"DOM_C22",0.0046,0.003,4e-04,0.0027,0.0026,0.0053,0.0022,0.0044,0.005,0.0034,0.0043,0.0037,1.0238,0.0031,0.0021,0.0051,0.0021,0.0048,0.0042,0.0047,0.0032,0.0044,8e-04,0.0125,0.0062,0.0032,0.0064,0.0016,0.0021,0.0021,0.0013,0.0026,0.0023,0.0014,0.0015,5e-04,0.0017,0.0018,0.0026,0.0015,0.001,0.001,0.002,0.0016,0
"DOM_C23",0.0044,0.0035,0.0011,0.0045,0.0057,0.0043,0.0026,0.0252,0.0035,0.0034,0.0074,0.0017,0.0099,1.0887,0.0065,0.0096,0.0045,0.0057,0.0051,0.0095,0.017,0.0091,0.0012,0.0062,0.0384,0.0035,0.0022,0.0034,0.0032,0.0119,0.0016,0.0077,0.0023,0.0041,0.0019,8e-04,0.0094,0.0018,0.0024,0.0083,0.0024,0.0017,0.0034,0.0022,0
"DOM_C24",0.0013,0.0019,8e-04,0.0024,0.0045,0.0021,0.0066,0.0089,0.0062,0.0023,0.0021,7e-04,0.0065,0.0156,1.1982,0.0637,0.0165,0.1324,0.0203,0.0933,0.0233,0.0245,5e-04,0.0081,0.004,0.0027,0.0015,0.0028,0.0021,0.0068,0.001,0.0012,0.0015,0.0011,0.001,4e-04,9e-04,0.0011,0.0016,0.0012,5e-04,0.0013,0.0018,0.0013,0
