"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T"
"DOM_A01_02",1.2296,0.0445,0.0078,0.0108,0.0102,0.3935,0.1475,0.2752,0.1512,0.0033,0.019,0.033,0.0255,0.0143,0.01,0.0082,0.0122,0.0134,0.0102,0.0055,0.0087,0.0241,0.0038,0.0069,0.0197,0.0139,0.0057,0.0152,0.0076,0.0063,0.0053,0.0734,0.0179,0.0056,0.0046,0.0047,0.0054,0.0084,0.0147,0.0185,0.0051,0.0157,0.0311,0.0088,0
"DOM_A03",0.0157,1.0982,0.0029,0.0031,0.0069,0.0196,0.0051,0.005,0.0049,9e-04,0.0022,0.0052,0.0022,0.0021,0.0019,0.002,0.0014,0.0027,0.0014,9e-04,0.0014,0.0031,0.0011,0.0016,0.0018,0.0044,0.0019,0.0031,0.0035,0.0022,0.0017,0.0158,0.0077,0.0022,0.002,0.0055,0.002,0.002,0.0037,0.0025,0.0011,0.0023,0.003,0.0021,0
"DOM_B05_06",0.006,0.0091,1.0779,0.0199,0.0373,0.0064,0.0074,0.006,0.0076,0.1042,0.0352,0.0057,0.006,0.0149,0.0343,0.0107,0.0033,0.0055,0.0077,0.0024,0.0037,0.0056,0.0263,0.0052,0.0122,0.0083,0.0098,0.012,0.0151,0.0033,0.0018,0.0036,0.0033,0.0027,0.0012,0.0011,0.0026,0.0019,0.0027,0.0027,0.003,0.0041,0.0025,0.0025,0
"DOM_B07_08",0.0031,6e-04,0.0045,1.0066,0.0048,0.0023,0.0059,0.0016,0.0014,9e-04,0.0087,0.0015,0.0029,0.0147,0.0118,0.0032,0.0021,0.0031,0.0024,6e-04,8e-04,0.0045,4e-04,0.0026,0.0048,5e-04,6e-04,6e-04,3e-04,3e-04,3e-04,0.0011,6e-04,5e-04,2e-04,4e-04,6e-04,3e-04,6e-04,4e-04,4e-04,4e-04,4e-04,6e-04,0
"DOM_B09",9e-04,0.0011,0.0729,0.0153,1.0398,0.0013,0.0029,0.001,0.0011,0.0085,0.0037,0.0013,0.0011,0.0021,0.0089,0.0037,6e-04,0.0012,0.0023,9e-04,7e-04,0.0016,0.0021,8e-04,0.002,0.0016,0.001,0.0012,0.0015,5e-04,3e-04,7e-04,8e-04,5e-04,3e-04,3e-04,5e-04,6e-04,9e-04,8e-04,7e-04,5e-04,6e-04,5e-04,0
"DOM_C10T12",0.0377,0.0885,0.0116,0.0134,0.0134,1.0841,0.0371,0.0206,0.0319,0.0052,0.0324,0.0554,0.0298,0.0148,0.0151,0.0112,0.0168,0.0221,0.0089,0.008,0.0124,0.011,0.0043,0.0104,0.0092,0.0137,0.005,0.018,0.0105,0.0056,0.0064,0.1418,0.0254,0.0058,0.0045,0.0038,0.0046,0.0054,0.0084,0.0069,0.0046,0.0178,0.0152,0.0057,0
"DOM_C13T15",0.0018,0.0025,0.0012,0.0016,0.0026,0.0015,1.0648,0.0015,0.0023,4e-04,9e-04,0.0056,0.0019,0.0012,0.002,0.0013,0.0076,0.0015,0.001,7e-04,0.0012,0.0083,6e-04,7e-04,0.0032,0.0031,8e-04,8e-04,9e-04,7e-04,5e-04,0.0011,0.0013,9e-04,5e-04,4e-04,0.0017,7e-04,0.0011,0.0014,0.0011,0.001,0.0011,0.0031,0
"DOM_C16",0.0145,0.0037,0.0039,0.0054,0.0041,0.0085,0.0065,1.1869,0.0452,0.0016,0.0048,0.0063,0.0088,0.0216,0.0069,0.0069,0.0038,0.0067,0.0059,0.0028,0.0072,0.0663,0.0026,0.003,0.0502,0.0125,0.0024,0.0036,0.0027,0.0033,0.0019,0.0042,0.0045,0.0038,0.0016,0.0018,0.0066,0.0035,0.004,0.0028,0.0037,0.0025,0.0042,0.0071,0
"DOM_C17_18",0.0159,0.0128,0.0044,0.0124,0.0055,0.0146,0.0162,0.0218,1.0886,0.0027,0.0363,0.0413,0.0379,0.015,0.0069,0.0058,0.0215,0.0143,0.0045,0.0046,0.0076,0.0137,0.0026,0.0054,0.0084,0.0064,0.0034,0.0057,0.0062,0.0052,0.008,0.0095,0.0343,0.0053,0.0047,0.0043,0.0052,0.0122,0.0079,0.0058,0.006,0.0059,0.0104,0.0068,0
"DOM_C19",0.0193,0.0537,0.0366,0.0359,0.0222,0.0159,0.014,0.0153,0.0141,1.0115,0.0111,0.0099,0.0094,0.0233,0.0225,0.013,0.0068,0.0091,0.009,0.0045,0.0092,0.0151,0.0082,0.0119,0.0296,0.0086,0.0684,0.0757,0.1115,0.0161,0.0064,0.0077,0.0078,0.0048,0.003,0.0024,0.0048,0.0037,0.008,0.0064,0.0044,0.0047,0.0078,0.0072,0
"DOM_C20",0.0235,0.0047,0.0091,0.0188,0.0071,0.0126,0.023,0.0239,0.0348,0.0026,1.0724,0.0471,0.0695,0.0219,0.0098,0.0055,0.0241,0.0244,0.0049,0.0068,0.0097,0.0096,0.0017,0.006,0.0091,0.0043,0.0042,0.0037,0.0042,0.0032,0.004,0.0061,0.0126,0.0028,0.0016,0.0012,0.0029,0.0026,0.0048,0.004,0.0025,0.0052,0.0043,0.0035,0
"DOM_C21",0.0055,7e-04,0.0016,0.0027,0.0012,0.0028,0.0037,0.004,0.0054,4e-04,0.0108,1.0183,0.0107,0.0033,0.0014,9e-04,0.0095,0.0037,8e-04,0.001,0.0016,0.0015,3e-04,9e-04,0.0014,0.001,5e-04,5e-04,5e-04,5e-04,6e-04,0.0011,0.0019,6e-04,3e-04,3e-04,5e-04,5e-04,8e-04,7e-04,4e-04,0.004,7e-04,6e-04,0
"DOM_C22",0.017,0.0065,0.0095,0.0152,0.0075,0.0189,0.0153,0.0166,0.0189,0.0085,0.0271,0.0369,1.0493,0.012,0.0084,0.0057,0.0122,0.0248,0.0133,0.0163,0.0082,0.0216,0.0019,0.0064,0.0142,0.0064,0.0147,0.0038,0.0046,0.0053,0.0134,0.007,0.0068,0.0027,0.0014,0.0014,0.0029,0.0026,0.0042,0.0028,0.0022,0.0039,0.0038,0.0041,0
"DOM_C23",0.0065,0.0021,0.0047,0.0144,0.0093,0.0084,0.0048,0.0086,0.0061,0.0022,0.0119,0.0075,0.0093,1.0882,0.0094,0.0145,0.0122,0.007,0.0042,0.0033,0.0078,0.0075,0.0019,0.0075,0.0494,0.0023,0.0021,0.0016,0.0016,0.0017,0.0014,0.0034,0.0029,0.0032,0.0012,0.0016,0.0053,0.003,0.0043,0.002,0.0027,0.0018,0.0024,0.0033,0
"DOM_C24",0.0074,0.0029,0.0125,0.0118,0.0135,0.0068,0.0052,0.0092,0.009,0.0186,0.0094,0.0054,0.0087,0.0228,1.1294,0.2197,0.0128,0.0723,0.1767,0.0229,0.0311,0.0362,0.002,0.0044,0.026,0.0028,0.003,0.0034,0.004,0.0019,0.0019,0.0046,0.0036,0.0029,0.001,0.0012,0.0046,0.0017,0.0026,0.0031,0.0028,0.0016,0.0022,0.0039,0
"DOM_C25",0.0114,0.0051,0.0278,0.0293,0.0267,0.0154,0.0117,0.0218,0.0161,0.0092,0.0074,0.0093,0.0238,0.037,0.0464,1.1219,0.0075,0.0268,0.0492,0.0146,0.0152,0.0668,0.0049,0.0102,0.0669,0.008,0.0042,0.004,0.0051,0.0043,0.0027,0.0107,0.0048,0.0054,0.0022,0.0032,0.0147,0.0036,0.0066,0.0084,0.0052,0.0035,0.0049,0.0114,0
"DOM_C26",7e-04,5e-04,0.001,6e-04,0.0023,0.001,0.0013,0.001,0.0015,3e-04,0.0019,0.0014,0.0011,9e-04,8e-04,6e-04,1.0137,0.0076,9e-04,5e-04,0.0012,0.0021,8e-04,0.0011,0.0016,0.0014,5e-04,5e-04,6e-04,6e-04,0.0018,7e-04,0.0083,0.0273,0.0032,9e-04,4e-04,0.0026,0.0014,0.0018,0.0018,0.0049,0.0023,0.0023,0
"DOM_C27",9e-04,5e-04,7e-04,0.0012,9e-04,0.001,0.001,0.0011,0.0024,3e-04,0.0011,0.0013,0.0015,0.0011,0.0013,0.0014,0.0206,1.0455,0.0095,0.0082,0.0013,0.0015,8e-04,6e-04,0.0088,8e-04,7e-04,5e-04,0.0011,9e-04,0.0068,0.0014,0.0023,0.0073,6e-04,5e-04,9e-04,7e-04,0.0013,0.001,7e-04,8e-04,7e-04,0.0011,0
"DOM_C28",0.0043,0.002,0.0138,0.0088,0.0165,0.0035,0.0046,0.0049,0.0096,0.0027,0.0028,0.003,0.004,0.0058,0.0077,0.0105,0.0049,0.0103,1.0227,0.0805,0.0374,0.0111,0.002,0.0021,0.0119,0.003,0.0022,0.0024,0.0045,0.0019,0.0028,0.0033,0.0024,0.0028,9e-04,9e-04,0.0019,0.0017,0.0034,0.002,0.0031,0.0012,0.002,0.0025,0
"DOM_C29",3e-04,4e-04,2e-04,2e-04,2e-04,3e-04,3e-04,4e-04,3e-04,1e-04,3e-04,3e-04,3e-04,4e-04,4e-04,2e-04,2e-04,3e-04,3e-04,1.003,2e-04,0.0012,1e-04,4e-04,3e-04,5e-04,0.0017,4e-04,4e-04,8e-04,0.0027,2e-04,2e-04,1e-04,2e-04,2e-04,2e-04,3e-04,0.001,2e-04,1e-04,1e-04,2e-04,9e-04,0
"DOM_C30",0.0011,0.0019,0.0015,0.0013,0.0015,0.0013,0.0011,0.0013,0.0015,6e-04,9e-04,0.001,0.0012,0.0014,0.0014,0.0016,0.0046,0.0099,0.0028,0.0082,1.2061,0.0015,0.001,9e-04,0.0031,9e-04,0.008,0.0075,0.0039,0.002,0.0021,9e-04,0.0014,0.002,6e-04,4e-04,6e-04,0.0014,0.0012,0.007,6e-04,5e-04,0.0061,0.0015,0
"DOM_C31T33",0.0023,0.0036,0.0054,0.0042,0.0048,0.0023,0.0079,0.0043,0.0043,0.0016,0.0026,0.0027,0.0025,0.0035,0.0161,0.0058,0.0027,0.0039,0.0051,0.0051,0.0076,1.0065,0.0019,0.0015,0.0033,0.0016,0.0011,0.0014,0.0013,0.0011,7e-04,0.0015,0.0018,0.0022,8e-04,5e-04,0.002,9e-04,0.0014,0.0012,0.0023,0.0027,0.0019,0.0015,0
"DOM_D",0.0483,0.0161,0.0916,0.0874,0.0221,0.0468,0.0374,0.0632,0.1258,0.0216,0.1222,0.0524,0.045,0.0731,0.4144,0.0982,0.0253,0.0504,0.0778,0.0171,0.024,0.0435,1.7415,0.0685,0.0337,0.0286,0.0139,0.0151,0.0162,0.017,0.0133,0.0365,0.0323,0.0367,0.0181,0.0108,0.0172,0.0139,0.0152,0.0192,0.03,0.0306,0.0243,0.0196,0
"DOM_E",0.0103,0.009,0.0072,0.0123,0.0064,0.0113,0.0067,0.0165,0.0166,0.0056,0.0099,0.0081,0.005,0.006,0.0547,0.013,0.0033,0.0074,0.0101,0.0024,0.0113,0.0066,0.0184,1.2584,0.0132,0.0055,0.0059,0.003,0.0028,0.0039,0.002,0.0066,0.0043,0.0031,0.0019,0.0035,0.0153,0.0038,0.0078,0.0063,0.0045,0.0105,0.0081,0.0164,0
"DOM_F",0.0456,0.0208,0.0288,0.0432,0.0357,0.0312,0.0358,0.0407,0.0375,0.0107,0.0194,0.0223,0.0174,0.0411,0.0408,0.0335,0.0175,0.0275,0.0365,0.0135,0.022,0.047,0.0349,0.0416,1.4582,0.0272,0.0154,0.0181,0.0176,0.0263,0.0157,0.0362,0.0263,0.0626,0.0191,0.0295,0.0977,0.0281,0.0399,0.0286,0.0407,0.0202,0.0386,0.0493,0
"DOM_G",0.1093,0.0885,0.1002,0.1074,0.094,0.1236,0.1738,0.1459,0.1379,0.0412,0.1205,0.1599,0.1258,0.1106,0.1478,0.1115,0.1146,0.1252,0.0838,0.0672,0.1567,0.1056,0.0585,0.0621,0.0946,1.0532,0.0859,0.0944,0.0868,0.0477,0.056,0.1011,0.0822,0.0672,0.0273,0.019,0.0291,0.0312,0.0483,0.0401,0.0325,0.0528,0.0549,0.0493,0
"DOM_H49",0.0435,0.0214,0.0476,0.0654,0.0431,0.0591,0.0452,0.0578,0.0492,0.0177,0.0399,0.0391,0.0473,0.0602,0.0322,0.0305,0.022,0.0281,0.0181,0.0124,0.0248,0.0356,0.0089,0.0232,0.0224,0.0353,1.0863,0.0363,0.0226,0.0233,0.0389,0.0196,0.0331,0.009,0.0079,0.0047,0.0058,0.0092,0.015,0.0105,0.0089,0.0081,0.0134,0.0197,0
"DOM_H50",0.0032,0.005,0.0203,0.0039,0.0042,0.0033,0.0035,0.0034,0.0044,0.0046,0.0034,0.0024,0.0024,0.0077,0.0204,0.0088,0.0016,0.0033,0.0043,0.0019,0.0017,0.0024,0.0011,0.0012,0.0021,0.0022,0.0093,1.0569,0.0035,0.0059,0.0015,0.0013,0.002,0.0023,9e-04,6e-04,6e-04,7e-04,0.0019,9e-04,6e-04,7e-04,9e-04,0.0011,0
"DOM_H51",0.0061,0.0072,0.0084,0.0057,0.011,0.008,0.0084,0.0078,0.0071,0.0063,0.0075,0.007,0.0078,0.008,0.0066,0.0066,0.0077,0.0088,0.0063,0.0061,0.0082,0.0073,0.0033,0.0037,0.0062,0.0057,0.0085,0.0112,1.0252,0.0114,0.0215,0.0049,0.0072,0.0044,0.0061,0.0031,0.0021,0.0044,0.0062,0.0057,0.0036,0.0034,0.006,0.006,0
"DOM_H52",0.0161,0.0486,0.0371,0.0168,0.0165,0.0306,0.0188,0.0327,0.0211,0.0082,0.0102,0.0114,0.0154,0.0253,0.0174,0.0117,0.0103,0.0107,0.008,0.0082,0.0106,0.014,0.0046,0.0058,0.0096,0.018,0.0527,0.1411,0.0888,1.0605,0.0129,0.0111,0.0117,0.0063,0.0045,0.0033,0.0036,0.0051,0.0103,0.0082,0.0038,0.0042,0.0068,0.0136,0
"DOM_H53",0.0068,0.005,0.0051,0.0067,0.0063,0.0069,0.0086,0.0072,0.0176,0.0017,0.0045,0.008,0.0072,0.0094,0.0057,0.0048,0.0045,0.0048,0.0043,0.0022,0.0037,0.0083,0.0044,0.0074,0.0071,0.0123,0.0039,0.0043,0.0034,0.0049,1.2555,0.0082,0.0139,0.006,0.0049,0.0176,0.0036,0.0112,0.0116,0.0122,0.0066,0.007,0.0108,0.015,0
"DOM_I",0.0046,0.005,0.0048,0.0043,0.0153,0.0059,0.0075,0.0046,0.005,0.0013,0.0049,0.0072,0.0042,0.0033,0.0053,0.0037,0.0054,0.0077,0.0038,0.002,0.0044,0.0037,0.0032,0.0031,0.0038,0.0028,0.0033,0.0055,0.0196,0.003,0.0022,1.0065,0.0065,0.0032,0.006,0.0014,0.0016,0.0025,0.0031,0.0083,0.0074,0.0107,0.0046,0.0035,0
"DOM_J58T60",0.0056,0.0048,0.0097,0.0056,0.0063,0.0138,0.0125,0.0071,0.0087,0.0044,0.0064,0.0151,0.0101,0.0113,0.0067,0.0077,0.0129,0.0167,0.0057,0.0038,0.0052,0.0133,0.0057,0.0054,0.0061,0.0121,0.0041,0.011,0.0094,0.0068,0.0113,0.0142,1.0975,0.032,0.0083,0.0087,0.0037,0.0084,0.0112,0.0075,0.0064,0.0046,0.0331,0.0177,0
"DOM_J61",0.0076,0.0038,0.0038,0.0045,0.0072,0.0055,0.0054,0.0051,0.0051,0.0014,0.0031,0.0045,0.0039,0.0051,0.004,0.004,0.0052,0.0051,0.0035,0.0017,0.0025,0.0059,0.0043,0.0047,0.0053,0.0058,0.0053,0.0038,0.0045,0.0054,0.0076,0.005,0.0153,1.1226,0.0163,0.0076,0.0022,0.0066,0.0071,0.0113,0.0055,0.0052,0.0129,0.009,0
"DOM_J62_63",0.0042,0.0032,0.005,0.0053,0.0107,0.005,0.0056,0.0046,0.0053,0.0021,0.0035,0.0043,0.0039,0.0057,0.0048,0.0045,0.0054,0.0065,0.0037,0.0023,0.0031,0.0045,0.0043,0.0032,0.0036,0.0051,0.0032,0.0036,0.0077,0.0042,0.006,0.0046,0.0175,0.0522,1.04,0.011,0.0029,0.007,0.0088,0.0122,0.0032,0.0044,0.0104,0.0056,0
"DOM_K",0.08,0.0318,0.0531,0.0336,0.0578,0.0535,0.0542,0.0496,0.0463,0.0182,0.0312,0.0338,0.0386,0.0496,0.0592,0.0391,0.0378,0.0371,0.0306,0.0172,0.0256,0.0638,0.0289,0.0395,0.0405,0.0695,0.0358,0.0351,0.0311,0.039,0.0355,0.0584,0.0639,0.0407,0.0368,1.2629,0.1043,0.0484,0.0662,0.0499,0.0304,0.0337,0.0703,0.0728,0
"DOM_L",0.0378,0.0252,0.0259,0.0247,0.0419,0.034,0.0397,0.0301,0.0337,0.0087,0.019,0.0338,0.0274,0.0296,0.024,0.037,0.035,0.0324,0.0244,0.0152,0.0222,0.046,0.0147,0.0175,0.029,0.0568,0.0369,0.0309,0.0287,0.0702,0.0341,0.0687,0.0538,0.0595,0.039,0.0499,1.0836,0.04,0.0553,0.0472,0.0224,0.024,0.0462,0.0569,0
"DOM_M",0.0957,0.074,0.1035,0.0831,0.1983,0.1027,0.1026,0.0759,0.076,0.0358,0.0563,0.0859,0.0659,0.1062,0.0956,0.0924,0.1137,0.1092,0.0808,0.0301,0.048,0.0805,0.1046,0.1123,0.1104,0.1183,0.0556,0.0673,0.0621,0.0647,0.0742,0.092,0.1125,0.0732,0.1344,0.1238,0.0523,1.1882,0.1736,0.1177,0.0694,0.0784,0.134,0.1333,0
"DOM_N",0.041,0.0348,0.0419,0.0369,0.0723,0.0565,0.0444,0.0391,0.0324,0.0104,0.0194,0.0286,0.0237,0.0289,0.0271,0.0244,0.0207,0.0283,0.0199,0.0137,0.0155,0.0328,0.0177,0.0268,0.0287,0.0472,0.0246,0.0325,0.0387,0.0275,0.0232,0.0471,0.0615,0.0397,0.034,0.0302,0.0211,0.0424,1.0483,0.0481,0.0311,0.0295,0.047,0.0405,0
"DOM_O",0.0067,0.0052,0.0107,0.0143,0.012,0.0067,0.0071,0.0092,0.0078,0.0024,0.0039,0.0051,0.0063,0.0052,0.0077,0.0058,0.0045,0.0051,0.0038,0.0026,0.003,0.0077,0.0076,0.0126,0.0093,0.0087,0.0045,0.005,0.0053,0.005,0.0128,0.0129,0.0111,0.0082,0.007,0.0058,0.006,0.0092,0.0156,1.0164,0.0105,0.0079,0.0134,0.0129,0
"DOM_P",0.0055,0.0049,0.01,0.0072,0.0226,0.0064,0.0049,0.0126,0.0056,0.0024,0.0048,0.0053,0.0046,0.0049,0.0062,0.0057,0.0044,0.0074,0.0059,0.0026,0.0033,0.0045,0.0059,0.005,0.0057,0.0049,0.0037,0.0042,0.0059,0.0031,0.0037,0.0044,0.01,0.007,0.0135,0.0052,0.0026,0.0195,0.0094,0.034,1.0297,0.0117,0.0089,0.0206,0
"DOM_Q",8e-04,7e-04,8e-04,7e-04,0.0013,9e-04,9e-04,9e-04,0.0013,2e-04,9e-04,0.0014,9e-04,8e-04,8e-04,7e-04,0.001,9e-04,5e-04,3e-04,5e-04,8e-04,4e-04,6e-04,7e-04,9e-04,7e-04,0.001,0.0013,0.001,7e-04,9e-04,0.0019,0.0018,0.0011,9e-04,8e-04,0.0011,0.0012,0.004,0.002,1.0729,0.0012,0.0011,0
"DOM_R",0.0024,0.0017,0.0023,0.0019,0.0036,0.0033,0.0029,0.0023,0.0024,0.001,0.0017,0.0028,0.0021,0.0024,0.0022,0.0024,0.0026,0.003,0.0019,0.0013,0.0019,0.0026,0.0016,0.0044,0.002,0.0026,0.0016,0.0036,0.0036,0.0023,0.0022,0.0031,0.0173,0.0112,0.006,0.0028,0.0018,0.0046,0.0035,0.0036,0.0106,0.0021,1.0557,0.0042,0
"DOM_S",0.0085,0.0507,0.0064,0.0111,0.016,0.0214,0.0128,0.0095,0.0072,0.002,0.0059,0.0091,0.0065,0.0065,0.0058,0.0057,0.0046,0.0109,0.0043,0.0032,0.0038,0.008,0.008,0.0068,0.0085,0.0064,0.0059,0.0052,0.0075,0.0056,0.0054,0.0081,0.013,0.0063,0.0087,0.0065,0.0045,0.0298,0.0249,0.0179,0.0093,0.0096,0.0477,1.0483,0
"DOM_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TOTAL",2.0148,1.8128,1.9356,1.8151,1.9431,2.2585,2.0263,2.2579,2.1125,1.3941,1.8015,1.847,1.7789,1.9231,2.3422,2.0061,1.6611,1.8528,1.7816,1.4283,1.7826,1.8646,2.1537,1.8043,2.238,1.6351,1.6087,1.7548,1.6842,1.5064,1.7095,1.8514,1.8476,1.747,1.4788,1.6456,1.5334,1.5755,1.6694,1.5921,1.4236,1.5173,1.7572,1.6974,1
